№ строки	Название	Адрес	Название ансамбля	Статус	Категория
5071	Партер с подпорной стенкой и фонтаном	СЗАО	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	выявленный объект культурного наследия	категория не устанавливается
5072	Партер с подпорной стенкой и фонтаном	СЗАО	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	выявленный объект культурного наследия	категория не устанавливается
5073	Служебный Флигель	СЗАО, нет адреса БТИ	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	выявленный объект культурного наследия	категория не устанавливается
5074	Дача М.П.Хлебниковой, кон. XIX в.	5-й Лучевой просек, дом 16 строение 1	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5075	Грот и фонтан дачи Н.Д.Стахеева, арх. К.Ф.Бугровский, 1890 гг.	ВАО, Большая Оленья ул., д. 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5076	Грот и фонтан дачи Н.Д.Стахеева, арх. К.Ф.Бугровский, 1890 гг.	ВАО, Большая Оленья ул., д. 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5077	Фабричный корпус, 1901 г., арх. П.В.Харко	Нижняя Сыромятническая ул., дом 11	Ансамбль корпусов чаеразвесочной фабрики "Торгово-промышленное товарищество преемник Алексея Губкина А.Кузнецов и К"	выявленный объект культурного наследия	категория не устанавливается
5078	Гостиница И.Шевалье, 2-я пол. XIX в. (в основе главный дом городской усадьбы Трубецких, кон. XVIII в. 1-я пол. XIX в.)	Камергерский пер., дом 4 строение 1	"	выявленный объект культурного наследия	категория не устанавливается
5079	Флигель служебный, кон. XIX в.	ул. Волхонка, дом 14 строение 4	Городская усадьба Голицыных, XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5080	Жилой дом Московского Кадетского корпуса (Московская военно-фельдшерская школа), 1850-е гг., арх. К.А.Тон, Е.Д.Тюрин (?), 1871-1873 гг., воен. инж. Козлов	1-й Краснокурсантский пр., дом 7 строение 1 ; 1-й Краснокурсантский пр., дом 7	"	выявленный объект культурного наследия	категория не устанавливается
5081	Больница, 1912-1914 гг., арх.Л.Н.Кекушев	ул. Преображенский Вал, дом 19 строение 2	Ансамбль памятников Преображенской старообрядческой общины, XIX - нач. XX вв., арх. Л.Н. Кекушев	выявленный объект культурного наследия	категория не устанавливается
5082	Главный дом, XVIII в., 1878 г., 1909 г.	ул. Арбат, дом 44 строение 1	Городская усадьба, XVIII - н. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5083	Жилой дом работников трамвайного парка, 1910-1911 гг.	Новорязанская ул., дом 25 строение 1	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	выявленный объект культурного наследия	категория не устанавливается
5084	Дача А.Я.Перловой, 1911 г., арх. К.К.Гиппиус	Поперечный просек, дом 17 строение 19	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5085	Доходный дом	ул. Кузнецкий Мост, дом 2	Ансамбль доходных домов Г.Г.Солодовникова, 1863 г.	выявленный объект культурного наследия	категория не устанавливается
5086	Дача М.А.Сиротининой, кон. XIX нач. XX вв.	Поперечный просек, дом 35	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5087	Дом администрации, 1910 г.	Новорязанская ул., дом 23 строение 5	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	выявленный объект культурного наследия	категория не устанавливается
5088	Жилой дом владельца фабрики (в основе палаты московских торговых иноземцев Вестовых), XVII XVIII вв., XIX в.	Кривоколенный пер., дом 12 строение 3	Ансамбль фабрики фармацевтической фирмы "В.К.Феррейн" (в основе городские усадьбы XVII-XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5089	Дача С.П.Афанасьева, 1903 г., арх. П.Соколов: главный дом, служебный флигель, фрагмент ограды с двумя воротами по улице и просеку	3-й Лучевой просек, дом 12 строение 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5090	Дача С.П.Афанасьева, 1903 г., арх. П.Соколов: главный дом, служебный флигель, фрагмент ограды с двумя воротами по улице и просеку	3-й Лучевой просек, дом 12 строение 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5091	Дача С.П.Афанасьева, 1903 г., арх. П.Соколов: главный дом, служебный флигель, фрагмент ограды с двумя воротами по улице и просеку	3-й Лучевой просек, дом 12 строение 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5092	Дача С.П.Афанасьева, 1903 г., арх. П.Соколов: главный дом, служебный флигель, фрагмент ограды с двумя воротами по улице и просеку	3-й Лучевой просек, дом 12 строение 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5093	Дача С.П.Афанасьева, 1903 г., арх. П.Соколов: главный дом, служебный флигель, фрагмент ограды с двумя воротами по улице и просеку	3-й Лучевой просек, дом 12 строение 6	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5094	Главный дом	Никольский туп., дом 2 строение 14	Дача В.А.Носёнкова, 1909 г., арх. В.А.Симов, Л.А.Веснин	выявленный объект культурного наследия	категория не устанавливается
5095	Лабораторный корпус, 1903 г., арх. О. фон Дессин	Кривоколенный пер., дом 12 строение 4	Ансамбль фабрики фармацевтической фирмы "В.К.Феррейн" (в основе городские усадьбы XVII-XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5096	Дача И.Я.Тестова, кон. XIX нач. XX вв.: главный дом, флигель, крытый переход	ВАО, Большая Тихоновская ул., д.18, стр.1	Дачи в парке Сокольники, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5097	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	ЦАО	"	выявленный объект культурного наследия	категория не устанавливается
5098	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	ЦАО	"	выявленный объект культурного наследия	категория не устанавливается
5099	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	ЦАО	"	выявленный объект культурного наследия	категория не устанавливается
5100	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	ЦАО	"	выявленный объект культурного наследия	категория не устанавливается
5101	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	ЦАО	"	выявленный объект культурного наследия	категория не устанавливается
5102	флигель, 1880 г. (жилой дом, кон. XIX в.)	ул. Волхонка, дом 14 строение 3	Городская усадьба Голицыных, XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5103	Начальное училище им. Востряковых, кон. XVIII в., 1817-1821 гг., 1893 г., арх. Б.В.Фрейденберг, 1895 г., арх. Л.Н.Кекушев (?)	Сыромятнический пр., дом 8	Ансамбль дома призрения бедных им. Г.И.Хлудова (в основе городская усадьба XVIII - нач. XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5104	Жилой дом, 1936 г., арх. В.Н.Владимиров. Здесь жил авиаконструктор Н.Н.Поликарпов	Малый Патриарший пер., дом 5 строение 1	"	выявленный объект культурного наследия	категория не устанавливается
5105	Сторожка, 1912 г., арх. Н.С.Курдюков	Лаврушинский пер., дом 3/8 строение 1	Приют для вдов и сирот русских художников им. П.М.Третьякова, нач. XX в., 1930-е гг., арх. Н.С.Курдюков, инженер Н.Егоров	выявленный объект культурного наследия	категория не устанавливается
5106	Дом призрения с домовой церковью Преп. Герасима Иорданского, XVIII в., 1817-1821 гг., 1890-е гг., арх. Б.В.Фрейденберг	Сыромятнический пр., дом 6	Ансамбль дома призрения бедных им. Г.И.Хлудова (в основе городская усадьба XVIII - нач. XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5107	Служебный флигель, нач. XIX в., 1888 г., 1890 г., арх. А.Э.Эрихсон	Кривоколенный пер., дом 12 строение 10	Ансамбль фабрики фармацевтической фирмы "В.К.Феррейн" (в основе городские усадьбы XVII-XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5108	Богадельня, кон. XVIII в., 1817-1821 гг., 1887 г., 1895-1897 гг.	Сыромятнический пр., дом 4 строение 1	Ансамбль дома призрения бедных им. Г.И.Хлудова (в основе городская усадьба XVIII - нач. XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5109	Торговый корпус, 1890-1900 гг., 1911-1912 гг., арх. А.Ф.Мейснер	Никольская ул., дом 10	Шереметьевское подворье, кон. XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5110	Вагонный сарай, 1910-1911 гг.	Новорязанская ул., дом 23 строение 1	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	выявленный объект культурного наследия	категория не устанавливается
5111	Дом бесплатных квартир с ремесленным училищем им. Прохоровых, 1899 г.	Сыромятнический пр., дом 4 строение 2	Ансамбль дома призрения бедных им. Г.И.Хлудова (в основе городская усадьба XVIII - нач. XIX вв.)	выявленный объект культурного наследия	категория не устанавливается
5112	Главный дом городской усадьбы Плахово, Осташевских, Л.С.Полякова, кон. XVII в., 1760-е гг., XIX в.	Тверской бульв., дом 17 строение 4	"	выявленный объект культурного наследия	категория не устанавливается
5113	Проходная, 1910 г.	Новорязанская ул., дом 23 строение 8	Ансамбль зданий Рязанского трамвайного парка, 1910-1911 гг., арх. мастерская гражд. инж.М.К.Поливанова	выявленный объект культурного наследия	категория не устанавливается
5114	Дом Акционерного общества «Оргметалл», 1927-1928 гг., архитекторы О.О.Штейндратус, Б.А.Гайду, Д.И.Френкель	Каланчёвская ул., дом 15А	"	выявленный объект культурного наследия	категория не устанавливается
5115	Доходный дом	ул. Большая Дмитровка, дом 6 строение 1	Ансамбль доходных домов Г.Г.Солодовникова, 1863 г.	выявленный объект культурного наследия	категория не устанавливается
5116	Доходный дом (в основе палаты Щербатовых-Шаховских, 1-я пол. XVIII в.)	ул. Кузнецкий Мост, дом 2 строение 2	Ансамбль доходных домов Г.Г.Солодовникова, 1863 г.	выявленный объект культурного наследия	категория не устанавливается
5117	Храм в честь Вадопедской иконы Божией Матери "Отрада и Утешение" у Николаевских казарм на Ходынском поле, 1907-1909 гг., арх. В.Д.Адамович	ул. Поликарпова, дом 16	"	выявленный объект культурного наследия	категория не устанавливается
5118	Въездной мост, XVIII в.	ЮЗАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Усадьба Репниных-Волконских-Мухановых «Воронцово», XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5119	приют им. Ф.П.Гааза для малолетних призреваемых Работного дома и Дома трудолюбия, 1913 г, арх. А.Ф.Мейснер	ул. Олений Вал, дом 24Б	Ансамбль Сокольнического отделения Городского Работного дома и Дома трудолюбия, XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5120	корпус мастерских и спален, 1871 г., арх. Г.фон Ниссен, 1897 г., арх. Л.Ф.Даукша	ул. Короленко, дом 3А	Ансамбль Сокольнического отделения Городского Работного дома и Дома трудолюбия, XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5121	Богадельня, 1874 г., арх. Г.фон Ниссен	Колодезный пер., дом 2А строение 9	Ансамбль Сокольнического отделения Городского Работного дома и Дома трудолюбия, XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5122	больничный корпус, 1878 г., арх. С.А.Гамбурцев	Колодезный пер., дом 2А строение 7	Ансамбль Сокольнического отделения Городского Работного дома и Дома трудолюбия, XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5123	главный корпус, 1900 г., арх. А.Рооп	Колодезный пер., дом 2А строение 2	Ансамбль Сокольнического отделения Городского Работного дома и Дома трудолюбия, XIX - нач. XX вв.	выявленный объект культурного наследия	категория не устанавливается
5124	Флигель, XIX в.	Свободный просп., дом 4 строение 7	Усадьба Терлецких, кон. XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5125	Главный дом, кон. XVIII нач. XIX вв.	Свободный просп., дом 4 строение 6	Усадьба Терлецких, кон. XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5126	Доходный дом, нач. XX в.	Уланский пер., дом 13 строение 2	"	выявленный объект культурного наследия	категория не устанавливается
5127	Жилой дом, XIX в.	Погорельский пер., дом 5	"	выявленный объект культурного наследия	категория не устанавливается
5128	дом дешевых квартир для одиноких, 1908 г., арх. М.М.Перетяткович, инж. Т.Я.Бардт	ул. Гиляровского, дом 65 строение 1	Дома дешевых квартир им. Г.Г.Солодовникова, 1907-1908 гг., арх. И.И.Рерберг, М.М.Перетяткович, инж. Т.Я.Бардт	выявленный объект культурного наследия	категория не устанавливается
5129	дом дешевых квартир для семейных, 1907 г., арх. И.И.Рерберг	ул. Гиляровского, дом 57 строение 1	Дома дешевых квартир им. Г.Г.Солодовникова, 1907-1908 гг., арх. И.И.Рерберг, М.М.Перетяткович, инж. Т.Я.Бардт	выявленный объект культурного наследия	категория не устанавливается
5130	Хозяйственный флигель городской усадьбы А.А.Морозова, 1894-1899 гг., арх. В.А.Мазырин	ул. Воздвиженка, дом 16 строение 2	"	выявленный объект культурного наследия	категория не устанавливается
5131	Доходный дом, 1912—1914 гг., арх. Э.К.Нирнзее	ул. Щепкина, дом 47 строение 1	"	выявленный объект культурного наследия	категория не устанавливается
5132	Руины Львиной пристани на Большом пруду, начало XIX в.	ЮВАО	Ансамбль подмосковной усадьбы "Кузьминки", конец XVIII - начало XX вв.	выявленный объект культурного наследия	категория не устанавливается
5133	Беседка-храм (фрагменты деревянного фундамента, XVIII-XIX вв.)	СВАО, 1-я Останкинская ул., в парке	Усадьба Останкино, кон. XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5134	Ограда, 1908 г.	ЦАО, нет данных БТИ	Ансамбль Миусского трамвайного депо, 1874 г., 1908-1910 гг., 1930-е гг., арх. Н.К.Жуков, М.Н.Глейнинг, инж. Н.А.Сытенко, инж. В.Г.Шухов (?)	выявленный объект культурного наследия	категория не устанавливается
5135	Ограда, 1908 г.	ЦАО, нет данных БТИ	Ансамбль Миусского трамвайного депо, 1874 г., 1908-1910 гг., 1930-е гг., арх. Н.К.Жуков, М.Н.Глейнинг, инж. Н.А.Сытенко, инж. В.Г.Шухов (?)	выявленный объект культурного наследия	категория не устанавливается
5136	Вагонный сарай с котельной, 1903-1909 гг., 1910-1911 гг., арх. Н.К.Жуков, М.Н.Глейнинг, инж. Н.А.Сытенко	Лесная ул., дом 20 строение 5	Ансамбль Миусского трамвайного депо, 1874 г., 1908-1910 гг., 1930-е гг., арх. Н.К.Жуков, М.Н.Глейнинг, инж. Н.А.Сытенко, инж. В.Г.Шухов (?)	выявленный объект культурного наследия	категория не устанавливается
5137	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5138	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5139	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5140	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5141	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5142	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5143	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5144	Жилой поселок, арх. Н. Гераскин, А. Самойловжилые дома (восемь)	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5145	Административный корпус станции с входом	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5146	Административный корпус станции с входом	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5147	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5148	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5149	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5150	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5151	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5152	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5153	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5154	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5155	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5156	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5157	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5158	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5159	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5160	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5161	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5162	Павильон отстойников арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5163	Павильонпереключатель арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5164	Павильон смесителя арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5165	Павильон смесителя арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5166	Павильон смесителя арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5167	Павильон смесителя арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5168	Скорые фильтры,   арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5169	Машинное Здание второго подъёма арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5170	Машинное Здание второго подъёма арх. А. Самойлов	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5171	Узел Первого подъёма арх. И.С. Фридлянд	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5172	Узел Первого подъёма арх. И.С. Фридлянд	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5173	Узел Первого подъёма арх. И.С. Фридлянд	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5174	Узел Первого подъёма арх. И.С. Фридлянд	ВАО	Сталинская (Восточная) водонапорная станция 1937-1938 гг., 1947 г. арх. И.С. Фридлянд, А. Самойлов, Н. Гераскин, С. Харитонов, А.М. Прибыткова	выявленный объект культурного наследия	категория не устанавливается
5175	Фрагменты служебного корпуса, последняя четверть XVIII в.-XIX в.	ЮЗАО, По данным цифрового адресного плана МосгорБТИ адрес отсутствует	Усадьба Репниных-Волконских-Мухановых «Воронцово», XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5176	Два столба при въезде, XIX в.	ЮЗАО, Воронцовский парк, По данным Цифрового адресного плана МосгоБТИ адрес отсутствует	Усадьба Репниных-Волконских-Мухановых «Воронцово», XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5177	Два столба при въезде, XIX в.	ЮЗАО, Воронцовский парк, По данным Цифрового адресного плана МосгоБТИ адрес отсутствует	Усадьба Репниных-Волконских-Мухановых «Воронцово», XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
5178	Южный служебный корпус, 1820-е-1830-е гг., 1920-е-1930-е гг.	Воронцовский парк, дом 8	Усадьба Репниных-Волконских-Мухановых «Воронцово»,   XVIII-XIX вв.	выявленный объект культурного наследия	категория не устанавливается
