№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
114	Негосударственное общеобразовательное учреждение школа “Лотос”	127349 Шенкурский проезд, д. 5	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 909-57-74,(499) 909-95-36	
115	Частное учреждение Центр образования "Личность"	109456 Паперника улица, д.6 корпус2	Негосударственное	Общеобразовательное учреждение	Центр образования	(495) 371-55-92,(495) 371-59-00,(495) 643-89-60	
116	Негосударственное образовательное учреждение Школа «XXI век»	109125 Волжский бульвар, квартал 95 к.2	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 918-19-11,918-17-74	
117	Негосударственное образовательное учреждение средняя общеобразовательная школа "Ювенес"	123182 Сосновая улица, д.3	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 193-91-47	
118	Автономная некоммерческая организация Школа "Президент"	Большая Ордынка улица, д. 17, стр. 8	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа		
119	Некоммерческое образовательное учреждение частная гуманитарно-экономическая школа “Самсон”	115446 Академика Миллионщикова улица, 7 корпус 2	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 730-50-90,(499) 618-66-96	
120	Автономная некоммерческая организация "Средняя общеобразовательная школа "Премьер"	115563 Шипиловская улица, 40 корпус2	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 393-08-18,(495) 393-07-11	
121	Автономная некоммерческая организация Средняя Общеобразовательная Школа «Колибри»	105425 Никитинская улица, 24а	Автономное	Общеобразовательное учреждение	Средняя общеобразовательная школа	164-37-60	
122	Автономная некоммерческое организация средняя образовательная школа "Школа "Феникс"	123458 Таллинская улица, д.12 к.5	Автономное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 758-10-75,(495) 750-50-36	
123	Негосударственное общеобразовательное учреждение «Школа Натальи Нестеровой»	Новопесчаная улица, 9а	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 157-70-38,(495) 769-31-38	
124	Автономная некоммерческая организация образовательный центр "ЭОС"	Сталеваров улица, д. 28	Негосударственное	Общеобразовательное учреждение	Центр образования	305-77-22,304-73-86	
125	Негосударственное общеобразовательное учреждение Школа "Планета"	111395 Молдагуловой улица, д. 20а	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 373-17-81	
126	Частное образовательное учреждение «Частная общеобразовательная школа «Ступени»	119361 Марии Поливановой улица, 12а	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 430-26-79,437-92-65	
127	Негосударственное образовательное учреждение средняя общеобразовательная школа "Петровская школа"	127083 Юннатов улица, д.1	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	152-79-66,612-41-84	
128	Негосударственное образовательное учреждение центр образования «Православный Центр непрерывного образования во имя преподобного Серафима Саровского»	115597 Ясеневая улица, д. 33/2	Негосударственное	Общеобразовательное учреждение	Центр образования	(495) 548-24-12,(495) 399-44-79	
129	Негосударственное образовательное учреждение "Школа для малышей"	Базовская улица, 24а	Негосударственное	Общеобразовательное учреждение	Начальная общеобразовательная школа	(499) 906-73-33	
130	Негосударственное образовательное учреждение "Британская международная школа "	127299 Большая Академическая улица, дом 24	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 421-21-49,(495) 421-82-11	
131	Автономная некоммерческая организация средняя общеобразовательная школа "ПРИОРИТЕТ"	Живописная улица, д. 46а	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 193-85-61,(499) 193-85-22	
132	Негосударственное образовательное учреждение Школа индивидуального развития "Мыслитель"	Большая Тихоновская улица, 18	Негосударственное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 609-50-06	
