№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
104	Библиотека-филиал №148	125499, г.Москва, ул. Лавочкина, д.16 корп.2	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
105	Библиотека-филиал №197	125438, г.Москва, ул. Онежская, д.17 корп.4	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbsbibloradugasao@cumail.ru
106	Библиотека-филиал №197	125438, г.Москва, ул. Онежская, д.17 корп.5	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbsbibloradugasao@cumail.ru
107	Библиотека-филиал №211	125493, г.Москва, ул. Смольная, д.11	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
108	Библиотека-филиал №257	125599, г.Москва, ул. Бусиновская горка, д.5	Северный АО	Головинский	125239, г.Москва, ул. Новопетровская, д.16а	(495) 456-35-80, (495) 453-81-05	(495) 456-35-80	cbs2sao.ru	cbs2sao@yandex.ru
109	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Книгоград» САО»	125239, г.Москва, ул. Михалковская, д.15	Северный АО	Коптево	125239, г.Москва, ул. Новопетровская, д.16а	(499) 154-10-12	(499) 154-10-12		cbs3sao@mail.ru
110	Центральная детская библиотека №40 им. И.З. Сурикова	125239, г.Москва, ул. Михалковская, д.15	Северный АО	Коптево	125239, г.Москва, ул. Новопетровская, д.16а	(499) 154-10-12	(499) 154-10-12		cbs3sao@mail.ru
111	Детская библиотека №44	125239, г.Москва, ул. Новопетровская, д.16а	Северный АО	Коптево	125239, г.Москва, ул. Новопетровская, д.16а	(499) 154-10-12	(499) 154-10-12		cbs3sao@mail.ru
112	Детская библиотека №117	127635, г.Москва, ул. Весенняя, д.8	Северный АО	Коптево	125239, г.Москва, ул. Новопетровская, д.16а	(499) 154-10-12	(499) 154-10-12		cbs3sao@mail.ru
113	Библиотека №261	127635, г.Москва, ул. Весенняя, д.8	Северный АО	Коптево	125239, г.Москва, ул. Новопетровская, д.16а	(499) 154-10-12	(499) 154-10-12		cbs3sao@mail.ru
114	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Кругозор» САО»	127299, г.Москва, ул. Клары Цеткин, д.11	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
115	Детская библиотека-филиал №37	125315, г.Москва, ул. Балтийская, д.4	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
116	Пункт выдачи детской библиотеки-филиала №37	125252, г.Москва, ул. Зорге, д.36	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
117	Библиотека-филиал №59 им. Назыма Хикмета	125252, г.Москва, ул. Новопесчаная, д.23/7	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
118	Библиотека-филиал №60 им. Вс. Иванова	125080, г.Москва, ул. Врубеля, д.13	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
119	Центральная библиотека №63 им. Г. Николаевой	127299, г.Москва, ул. Клары Цеткин, д.11	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
120	Библиотека-филиал №69	125445, г.Москва, Ленинградское ш., д.114	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
121	Библиотека-филиал №70	125502, г.Москва, ул. Фестивальная, д.67	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
122	Центральная детская библиотека №105 им. Льва Кассиля	125445, г.Москва, Ленинградское ш., д.120	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
123	Библиотека-филиал №131	125502, г.Москва, ул. Фестивальная, д.67	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
124	Детская библиотека-филиал №135	125171, г.Москва, ул. Космонавта Волкова, д.3	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
125	Библиотека-филиал №190	125475, г.Москва ул. Зеленоградская, д.27а	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
126	Библиотека-филиал №195	125130, г.Москва, ул. Нарвская, д.9а	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
127	Библиотека-филиал №245	141408, г.Москва, Охтинский пр-д, д.8	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
128	Библиотека-филиала №270	125080, г.Москва, ул. Алабяна, д.12	Северный АО	Войковский	127299, г.Москва, ул. Клары Цеткин, д.11	(495) 450-68-00	(495) 450-68-00	cbs4sao.ru	bib63@bk.ru
129	Государственное бюджетное учреждение культуры города Москвы «Библиотека — информационный интеллект-центр «Познание» САО»	127434, г.Москва, Дмитровское ш., д.25 корп.1	Северный АО	Тимирязевский	127434, г.Москва, Дмитровское ш., д.25 корп.1	(499) 976-77-72	(499) 976-77-72	library84.ru	ipoznanie@mail.ru
130	Государственное бюджетное учреждение культуры города Москвы «Детская библиотека информационный интеллект-центр «Книжкин дом»	103287, г.Москва, ул. 1-я Хуторская, д.2 корп.2	Северный АО	Савеловский	103287, г.Москва, ул. 1-я Хуторская, д.2 корп.2	(495) 613-25-09	(495) 613-25-09	cbs3sao.ru	45biblioteka@mail.ru
131	Государственное бюджетное учреждение культуры города Москвы «Детская библиотека имени Максима Горького САО»	127015, г.Москва, ул. Вятская, д.3	Северный АО	Савеловский	127015, г.Москва, ул. Вятская, д.3	(495) 685-66-10	(495) 685-66-10	cbs3sao.ru	bibliochild-mg@mail.ru
132	Государственное бюджетное учреждение культуры города Москвы «Центральная Городская Деловая Библиотека»	129301, г.Москва, ул. Бориса Галушкина, д.19	Северо-Восточный АО	Алексеевский	129301, г.Москва, ул. Бориса Галушкина, д.19 корп.1	(495) 683-56-46	(495) 683-56-46	mgdb.ru	mgdb@mgdb.ru
133	Государственное бюджетное учреждение культуры города Москвы «ЦБС №1 СВАО»	127560, г.Москва, ул. Коненкова, д.23	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
134	Библиотека №38	127521, г.Москва, ул. Шереметьевская, д.5 корп.1	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
135	Библиотека №39	127224, г.Москва, ул. Северодвинская, д.11 корп.2	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
136	Библиотека №56	127349, г.Москва, Алтуфьевское ш., д.102б	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
137	Библиотека №58	127566, г.Москва, ул. Римского-Корсакова, д.16	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
138	Библиотека №72	127521, г.Москва, ул. Шереметьевская, д.5 корп.1	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
139	Библиотека №77	127560, г.Москва, ул. Коненкова, д.23	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
140	Библиотека №82	127322, г.Москва, ул. Яблочкова, д.41	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
141	Библиотека №89	127224, г.Москва, ул. Широкая, д.11	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
142	Библиотека №91	127562, г.Москва, Алтуфьевское ш., д.34а	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
143	Библиотека №99	127543, г.Москва, ул. Корнейчука, д.40	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
144	Библиотека №107	127204, г.Москва, ул. 6-я Северная линия, д.1	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
145	Библиотека №113	127221, г.Москва, ул. Полярная, д.26 корп.1	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
146	Библиотека №144	127543, г.Москва, ул. Корнейчука, д.59	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
147	Библиотека №160	127560, г.Москва, ул. Коненкова, д.23	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
148	Библиотека №184	127560, г.Москва, ул. Коненкова, д.23	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
149	Библиотека №200	127081, г.Москва, ул. Полярная, д.15 корп.1	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
150	Библиотека №201	127254, г.Москва, ул. Гончарова, д.17	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
151	Библиотека №206	127410, г.Москва, Путевой пр-д, д.38а	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
152	Библиотека №207	127204, г.Москва, ул. 2-я Северная линия, д.7	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
153	Библиотека №231	127276, г.Москва, ул. Академика Комарова, д.8	Северо-Восточный АО	Бибирево	127254, г.Москва, ул. Руставели, д.13/12 стр.2	(495) 407-94-73, (495) 405-41-55	(495) 405-41-55		info@cbs1svao.ru
154	Государственное бюджетное учреждение культуры города Москвы «ЦБС №7 ЦАО»	109004, г.Москва, Большой Факельный пер., д.3 стр.2	Центральный АО	Таганский	109004, г.Москва, Большой Факельный пер., д.3 стр.2	(495) 911-84-50, (495) 912-33-76	(495) 911-84-60	cbs7cao.ru	cbs7cao@mail.ru
155	Детская библиотека №57	107392, г.Москва, ул. Краснобогатырская, д.75 корп.2	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
156	Библиотека №59 семейного чтения	107553, г.Москва, ул. Большая Черкизовская, д.18/1	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
157	Библиотека №76	107589, г.Москва, ул. Хабаровская, д.12/23	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
158	Библиотека №103 им. А.С.Серафимовича	107143, г.Москва, Открытое ш., д.27 корп.8	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
159	Детская библиотека №103	107143, г.Москва, Открытое ш., д.24 корп.13	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
160	Библиотека №105	107241, г.Москва, ул. Амурская, д.31	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
161	Библиотека №107	107076, г.Москва, ул. Краснобогатырская, д.77	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
162	Центральная библиотека №109 им. М.А.Шолохова	107392, г.Москва, ул. Халтуринская, д.18	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
163	Библиотека №111 экономической и юридической литературы	107553, г.Москва, ул. Большая Черкизовская, д.18/1	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
164	Юношеская библиотека №115	107589, г.Москва, ул. Хабаровская, д.6 корп.1	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
165	Детская библиотека №97	105203, г.Москва, Измайловский пр-т, д.113	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
166	Библиотека №101	105554, г.Москва, Измайловский пр-т, д.83	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
167	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Волгоградская»	109428, г.Москва, ул. Зарайская, д.56а	Юго-Восточный АО	Рязанский	109428, г.Москва, ул. Зарайская, д.56а	(499) 170-84-10	(499) 170-84-10	biblios.ru	cb194@yandex.ru
168	Государственное бюджетное учреждение культуры города Москвы «Библиотечный комплекс «Бабушкино»	129345, г.Москва, ул. Тайнинская, д.16 корп.2	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
169	Библиотека №90	129128, г.Москва, Будайский пр-д, д.7 корп.2	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
170	Библиотека №92	129345, г.Москва, ул. Тайнинская, д.16 корп.2	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
171		129329, г.Москва, Тенистый пр-д, д.2 корп.1	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
172	Библиотека №93	129347, г.Москва, Ярославское ш., д.117	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
173	Библиотека №95	129226, г.Москва, ул. Сельскохозяйственная, д.13 корп.2	Северо-Восточный АО	Лосиноостровский	129345, г.Москва, ул. Тайнинская, д.16 корп.2	(495) 474-54-66, (495) 475-41-33	(499) 185-35-07	bkbabushkino.ru	info@bkbabushkino.ru
174	Государственное бюджетное учреждение культуры города Москвы «ЦБС «Лианозово»	127576, г.Москва, Алтуфьевское ш., д.91	Северо-Восточный АО	Лианозово	127254, г.Москва, ул. Руставели, д.13/12 корп.2	(499) 209-58-01, (499) 209-51-88	(499) 209-51-88		2095801@list.ru
175	Детская библиотека №51	127572, г.Москва, Алтуфьевское ш., д.97	Северо-Восточный АО	Лианозово	127254, г.Москва, ул. Руставели, д.13/12 корп.2	(499) 209-58-01, (499) 209-51-88	(499) 209-51-88		2095801@list.ru
176	Библиотека №209	127576, г.Москва, Алтуфьевское ш., д.91	Северо-Восточный АО	Лианозово	127254, г.Москва, ул. Руставели, д.13/12 корп.2	(499) 209-58-01, (499) 209-51-88	(499) 209-51-88		2095801@list.ru
177	Центральная детская библиотека №115	107497, г.Москва, ул. Байкальская, д.46 корп.1	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
178	Детская библиотека №161	107065, г.Москва, ул. Уссурийская, д.9	Восточный АО	Преображенское	107392, г.Москва, ул. Халтуринская, д.18	(499) 162-97-57	(499) 162-97-57	cbs1vao.ru	biblmol@mail.ru
179	Государственное бюджетное учреждение культуры города Москвы «ЦБС №2 «Измайлово»	105203, г.Москва, ул. 13-я Парковая, д.4	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
180	Центральная библиотека №120 им. Б.Лавренева	105203, г.Москва, ул. 13-я Парковая, д.4	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
181	Центральная библиотека №120 им. Б.Лавренева	105077, г.Москва, ул. Средняя Первомайская, д.38/7	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
182	Центральная библиотека №120 им. Б.Лавренева	105077, г.Москва, ул. Средняя Первомайская, 23/9	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
183	Детская библиотека №62	105484, г.Москва, Сиреневый б-р, 64/31	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
184	Детская библиотека №63	105043, г.Москва, ул. 3-я Парковая, д.26/2	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
185	Детская библиотека №64	105043, г.Москва, ул. 4-я Парковая, д.12 корп.1	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
186	Центральная детская библиотека №65 им.В Загорского	105318, г.Москва, ул. Ткацкая, д.28/14	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
187	Детская библиотека №66	105264, г.Москва, ул. 7-я Парковая, д.27	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
188	Библиотека №67 юношеская	107077, г.Москва, ул. 11-я Парковая, д.19	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs2vao@cumail.ru
189	Библиотека №267	105275, г.Москва, ул. 5-я Соколиной горы, д.19 корп.2	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
190	Государственное бюджетное учреждение культуры города Москвы «ЦБС №3 ВАО»	111538, г.Москва, ул. Молдагуловой, д.3 корп.2 стр.2	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50	cbs3vao.narod.ru	biblioteka126@mail.ru
191	Детская библиотека №7	111672, г.Москва, ул. Суздальская, д.38 корп.2	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
192	Библиотека №10 им. Блока	111555, г.Москва, ул. Сталеваров, д.14 корп.3	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
193	Детская библиотека №33	111673, г.Москва, ул. Новокосинская, д.15 корп.3	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
194	Детская библиотека №70 им. А.Неверова	111395, г.Москва, ул. Вешняковская, д.24б	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
195	Детская библиотека №74	111531, г.Москва, ул. Саянская, д.7а	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
196	Центральная детская библиотека №76 им.Э.Войнич	111123, г.Москва, ш. Энтузиастов, д.78 корп.1	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
197	Детская библиотека №104	111398, г.Москва, ул. Плеханова, д.26 корп.4	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
198	Детская библиотека №108	111558, г.Москва, Зеленый пр-т, д.87 корп.1	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
199	Библиотека №123	111401, г.Москва, ул. 1-я Владимирская, д.15 корп.3	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
200	Центральная библиотека №126	111538, г.Москва, ул. Молдагуловой, д.3б	Восточный АО	Вешняки	111538, г.Москва, ул. Молдагуловой, д.3 стр.4	(495) 374-94-50, (495) 374-95-31	(495) 374-94-50		biblioteka126@mail.ru
201	Детская библиотека №34	109235, г.Москва, ул. 1-я Курьяновская, д.31	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
202	Центральная библиотека №42	109263, г.Москва, ул. Чистова, д.15/15	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
203	Центральная библиотека №42, ОКиО	109263, г.Москва, ул. 7-я Текстильщиков, д.14	Юго-Восточный АО	Текстильщики	109263, г.Москва, ул. Чистова, д.15/15	(499) 179-90-32, (499) 178-05-90, (499) 178-39-46	(499) 178-05-90	infokniga.ru	bibl42@mail.ru
204	Библиотека №114	105484, г.Москва, Сиреневый б-р, д.73 корп.1	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
205	Библиотека №116	105525, г.Москва, ул. Константина Федина, д.2 корп.1	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
206	Библиотека семейного чтения №117 им. В.Загорского	105568, г.Москва, ул. Челябинская, д.24 корп.3а	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
207	Библиотека №118	105187, г.Москва, ул. Щербаковская, д.54 стр.1	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
208	Библиотека №119	105037, г.Москва, ул. 3-я Парковая, д.35	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
209	Библиотека №121	105037, г.Москва, Измайловский пр-д, д.4	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
210	Библиотека семейного чтения №180	105037, г.Москва, Измайловский пр-д, д.18 корп.2	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
211	Библиотека семейного чтения №192	105118, г.Москва, ул. 9-я Соколиной горы, д.17	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
212	Библиотека семейного чтения №208	105173, г.Москва, пос. Акулово, д.20 стр.1	Восточный АО	Восточное Измайлово	105203, г.Москва, ул.13-я Парковая, д.4	(495) 465-59-98	(495) 465-59-98	ismailovo.biblioland.ru	cbs_ ism@mail.ru
