№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
113	Государственный центральный музей современной истории России	ул. Тверская, 21	ЦАО	Тверской		(495) 699-61-76, 699-73-27, (495) 699-67-24		www.sovr.ru	sovrhistory@mail.ru
114	Государственный центральный музей современной истории России, Филиал Экспозиционно-мемориальный отдел «Пресня»	Б. Предтеченский пер., д.4	ЦАО	Пресненский		(499) 252-29-00,  (499)252-30-35			
115	Государственный центральный музей современной истории России, Филиал Экспозиционно-мемориальный отдел «Подпольная типография 1905-1906гг.»	ул. Лесная, д. 55	ЦАО	Тверской		(499)250-30-74, (499)251-25-93, (499) 251-69-43			
116	Государственный центральный музей современной истории России, Филиал Экспозиция на Делегатской «Мой дом – Россия»	ул. Делегатская, д. 3	ЦАО	Тверской		609-01-63, 609-01-50			
117	Государственный центральный музей современной истории России, Филиал Экспозиционно-мемориальный отдел «Квартира Г.М.Кржижановского»	ул. Садовническая, д.30, стр.1.	ЦАО	Замоскворечье		(495) 953-06-40			
118	Государственная Третьяковская галерея	Лаврушинский пер., д. 10	ЦАО	Якиманка		(495) 951 1362, (499) 230 7788, (499) 238 1378, 8(495) 953 3375, 8(495) 957 0792		www.tretyakovgallery.ru;  tretyakov.ru	tretyakov@ tretyakov.ru pr@tretyakov.ru
119	Государственная Третьяковская галерея	Крымский Вал, д.10	ЦАО	Якиманка		(495) 951-13-62, (499) 238-13-78, (499) 230-77-88			
120	Государственная Третьяковская галерея. Музей-мастерская А.С.Голубкиной	Большой Лёвшинский переулок,д.12	ЦАО	Хамовники		(495) 637-56-82, (495) 637-25-64			
121	Государственная Третьяковская галерея. Дом-музей В.М. Васнецова	пер. Васнецова , д.13	ЦАО	Мещанский		(495) 681-13-29			
122	Государственная Третьяковская галерея. Музей-квартира А.М.Васнецова	Фурманный переулок, д.6, кв. 21–22	ЦАО	Басманный		8 (495) 608 9045			
123	Государственный музей искусства народов Востока	Никитский б-р, д.12-а	ЦАО	Пресненский		(495)691-49-66, 695-45-55		www.orientmuseum.ru	info@orientmuseum.ru
124	Центральный музей древнерусской культуры и искусства им. А. Рублева	Андроньевская пл., д.10	ЦАО	Таганский		8 (495) 678 14-67			
125	Всероссийский музей декоративно-прикладного и народного искусства	ул. Делегатская, д.3	ЦАО	Тверской		(499) 973-32-14	(499) 973-2578	www.vmdpni.ru	info@vmdpni.ru
126	Государственный музей изобразительного искусства им. А.С. Пушкина	ул. Волхонка, д.12	ЦАО	Хамовники		(495) 697-74-12, (495) 697-74-96	697-46-74	www.arts-musem.ru	piars@artsmuseum.ru
127	Государственный музей изобразительного искусства им. А.С. Пушкина, Филиал «Галерея искусства стран Европы и Америки 19-20 вв»	ул. Волхонка, д.14 стр.6	ЦАО	Хамовники		(495) 697-74-12, (495) 697-74-96, (495) 697-15-46			
128	Государственный музей изобразительного искусства им. А.С. Пушкина, Филиал «Музей личных коллекций»	ул. Волхонка, д. 10	ЦАО	Хамовники		(495) 697-74-12, (495) 697-74-96, (495) 697-16-10			
129	Государственный музей изобразительного искусства им. А.С. Пушкина, Отдел Центр эстетического воспитания «Мусейон»	Колымажный пер. д.6	ЦАО	Хамовники		697-65-19, 697-74-96			
130	Государственный музей изобразительного искусства им. А.С. Пушкина, Отдел Мемориальная квартира Святослава Рихтера	Ул. Большая Бронная, д.2/6	ЦАО	Пресненский		(495) 923-39-58			
131	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки	ул. Фадеева, д.4	ЦАО	Тверской		8(495) 739 39 87 8(495) 739 62 26 доб. 116		www.glinka.museum	info@glinka.museum
132	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки, Филиал Мемориальная усадьба Ф.И. Шаляпина	Новинский б-р, д.25	ЦАО	Пресненский		(499) 605-62-36 (499) 255-63-99 (495) 605 62 36			
133	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки, Филиал Музей «П.И. Чайковский в Москве»	Кудринская пл., д. 46/54	ЦАО	Пресненский		(495) 690-24-00, (495) 291-15-14			
134	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки, Филиал «Музей–квартира А.Б. Гольденвейзера»	Тверская ул., д. 17, п. 8, кв. 110	ЦАО	Тверской		(495) 629-29-29			
135	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки, Филиал Музей-квартира Н.С. Голованова	Брюсов пер., д.7, кв.10	ЦАО	Пресненский		(495) 629-70-83			
136	Музей МХАТ	Камергерский пер., д.3 стр.2а	ЦАО	Тверской		(495) 692-51-87 (495) 629-20-87			
137	Музей МХАТ, Филиал Дом-Музей К.С. Станиславского	Леонтьевский пер., д.6	ЦАО	Пресненский		(495) 629-24-42			
138	Музей МХАТ, Филиал Музей-квартира В.И. Немировича-Данченко	Глинищевский пер., д.5/7, кв. 52	ЦАО	Тверской		(495) 650-53-91			
139	Государственный центральный театральный музей им. А.А. Бахрушина	ул. Бахрушина, д.31/12	ЦАО	Замоскворечье		8(495)953 44 70		www.gctm.ru	gctm@gctm.ru
140	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Дом-музей А.Н. Островского	ул. Малая Ордынка, д.9/12 стр.1	ЦАО	Замоскворечье		495) 953-12-45 8(495)953 86 84			
141	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал «Дом-музей М.Н. Ермоловой»	Тверской б-р, д.11	ЦАО	Пресненский		8(495)690 54 16 8(495)690 02 15			
142	Государственный центральный театральный музей им. А.А. Бахрушина, Филиал Дом-музей М.С. Щепкина	ул. Щепкина, д.47	ЦАО	Мещанский		8(495)600-62-378(495)600-61-49			
143	Музей путешествий и паломничества по святым местам	ул. Крутицкая, 11,13. Крутицкое патриаршее подворье.	ЦАО			(495) 390-06-40			
144	Музей развития металлургии	Ленинградское ш., 18, в здании МИСИС (для спец.)				784-68-13			
145	Музей Российской Императорской фамилии	Измайловский бул., 30				367-45-81			
146	Музей Сенкевича	ул. Селезневская, дом 11а, строение 3				(495)684-34-80, 681-51-50 (дом.) Ксения Николаевна вдова			
147	Музей советских игровых автоматов	Бауманская улица, 11						www.15kop.ru/	
148	Музей спортивной славы ЦСКА	Ленинградский проспект, д. 39-А				(495) 213-4316			
149	Музей театральных кукол	ул. Садово-Самотечная, 3	ЦАО			(495) 289-55-53		www.puppet.ru/?pageId=163	
150	Музей В.И.Даля,Всероссийское Общество Охраны памятников истории и культуры,	Большая Грузинская, 4/6 стр. 9	ЦАО	Пресненский		(495) 254-4460			
151	Музей детской клинической больницы N 9 им. Г.Н.Сперанского	Шмитовский проезд, 29.	ЦАО	Пресненский		(495) 256-2162			
152	Центральный музей МВД России	Селезневская ул., 11	ЦАО	Тверской		(499)9780659			cm_mvd_rf@mail.ru
153	Центральный дом художника	Крымский вал ул., д.10	ЦАО	Якиманка				www.cha.ru	cha@cha.ru
154	Общественный музей им. Н.К. Рериха Международного центра Рерихов	Москва, Малый Знаменский пер, д.3/5	ЦАО	Хамовники		(499) 271-34-17(499) 271-34-20		www.icr.su	roerich@icr.su
155	Народный музей истории Московского метрополитена,Управление моск. Метрополитена	Хамовнический Вал, 36	ЦАО	Хамовники		(495) 622-73-09(495)622-78-33			cheri067@rambler.ru
156	Музей театра Российской армии	Суворовская пл., д.2	ЦАО	Мещанский		495-281-51-20 495-281-09-83	495-281-57-19		
157	Музей Московской государственной академии легкой промышленности	ул. Садовническая, 33, МГАЛП	ЦАО	Замоскворечье		(495) 953-0297			Mgalp.Msk@g23.relcom.ru
158	Музей истории медицины Московской медицинской академии им. И.М.Сеченова	ул. Б.Пироговская, д. 2-6, стр.3 ректорат ММА им. И.М.Сеченова	ЦАО	Хамовники		(499) 248-10-86			
159	Музей-квартира К.А.Тимирязева	Романов пер., 2, кв. 29	ЦАО	Арбатский		202-80-64			as.sa.aa@mail.ru
160	Музей "Самоцветы"	ул. Народного ополчения, 29, корп.1	СЗАО	Хорошово-Мневники		(499) 197-54-01, 192-40-19		www.gemmuseum.ru	gemmuseum@mail.ru
161	Музей истории Московского государственного университета путей сообщения	Лазоревый пр-д, д.12	СВАО	Свиблово					muzey-mchs@yandex.ru
162	Главный Ботанический сад им.Н.В.Цицина РАН	Ул.Ботаническая, д.4	СВАО	Марфино		(495)977-91-45219-53-68(495)977-90-44 977-80-27	(495)977-91-72	www.hortus.ru	lander@aha.ru
163	Музей занимательных наук "Экспериментаниум"	ул. Бутырская, 46/2	СВАО	Бутырский		(495) 789-36-58, (910) 476-50-82		www.experimentanium.ru	
164	Музей трудовой и боевой славы второго часового завода (МАООТ "Слава")	Ленинградский просп., д.3, стр.8	САО	Беговой		495) 257-0332(495) 251-2937	(950) 257-1502		
165	Музей декоративно-прикладного и промышленного искусства при МГХПУ им. С.Г. Строганова	Волоколамское шоссе, д. 9	САО	Сокол		(499) 158-15-68499-158-15-68			stroganoff_museum@pochta.ru
166	Зоологический музей им.Н.М.Кулагина, при Тимирязевской академии,	Тимирязевская ул., д.49	САО	Тимирязевский		976-14-58			
167	Музей истории Московской сельскохозяйственной академии им. К.А.Тимирязева	ул. Тимирязевская, 45.	САО	Тимирязевский		499-976-20-50499-976-35-21499-976-14-80	499-976-04-28		info@timacad.ru
168	Музей коневодства	Тимирязевская ул., д.44	САО	Тимирязевский		976-10-03			
169	Почвенно-агрономический музей им. В.Р.Вильямса	Тимирязевская ул., 55	САО	Тимирязевский		976-16-19			
170	Центральный Дом авиации и космонавтики,Общ. орг-ция,Российская оборонная спортивно-техническая организация (РОСТО)	Ул.Красноармейская ул., 4.	САО	Аэропорт		(495) 612-5461, 613-4333(495)612-73-01	(495)614-84-04		cdaik@mail.ru
171	Музей охоты и рыболовства ассоциации "Росохотрыболовсоюз"	Головинское шоссе, дом 1.	САО	Головинский		459-11-34, 646-67-07 (доб. 2252)		www.deol.ru/culture/museum/muzeum.htm	
172	Музей морского флота,Федеральное агентство морского и речного транспорта,	ул. Адмирала Макарова, 4	САО	Войковский		(495) 150-8494			
173	Народный музей революционной, боевой и трудовой славы ОАО «Московский радиотехнический завод»	Ул.Верейская, д.29	ЗАО	Можайский				www.mrtz.ru	museum  info@mrtz.ru
174	Музей киноконцерна Мосфильм	Мосфильмовская ул., д. 1, корп.3. Фонды.	ЗАО	Раменки		8 (499) 143-95-99,143-91-51 (495) 745-28-90		www.museikino.ru	musei15@yandex.ru
175	Педагогический музей А.С.Макаренко, Московский департамент образования	Поклонная ул., 16	ЗАО	Дорогомилово		(495) 148-0835			Museum_mararenko@bk.ru
176	Мемориальный музей А.П.Виноградова	Косыгина ул., д.19	ЗАО	Раменки					vinogradov@geokhi.ru
177	Экологический центр «Лосиный остров»	Щелковское ш., 21. Ярославское шоссе	ЗАО, СВАО	Гольяново		(495) 465-7986		www.elkisland.ru	
178	Музей истории Преображенской больницы им.В.А.Гиляровского	Матросская тишина ул., д.20	ЗАО	Сокольники					
179	Музей водки	Измайловское шоссе, вл.73Ж	ЗАО	Измайлово				www.vodkamuseum.ru	museumvodka@mail.ru
180	Галерея Вонга (KING's Gallery)	Большой Палашевский переулок, д. 10	ЦАО			(495)518-96-87, +7(916)637-81-29		www.gallerywong.com	
181	Галерея Елены Врублевской	Рождественский Бульвар, 19.	ЦАО			(495) 621 35 86			
182	Геологический музей им. профессора В.В. Ершова МГГУ	Ленинский просп., 6	ЗАО						
183	Главный центр радиовещания и телевидения РФ – Останкинская башня	ул. Академика Королева, 15	СВАО			(495) 282-2038(495) 981-52-74		www.nashabashnya.ru	
184	Государственная коллекция уникальных музыкальных инструментов	М.Власьевский пер., 4	ЦАО			(495) 241-9675			
185	Дом-музей В.Л.Пушкина	Старая Басманная ул., д.36	ЦАО			637-26-36			
186	Историко-демонстрационный зал Федеральной службы Безопасности РФ	ул. Большая Лубянка, 12.	ЦАО			(495) 224-1982			
187	Кремль в Измайлово	Измайловское шоссе, д. 73Ж.	ВАО			499) 166-50-31			
188	Московский государственный университет природообустройства	ул. Прянишникова, 19.				(495) 976-2962	(495) 976-1046		
189	Московский центр искусств	ул. Неглинная, д.14	ЦАО			(495) 924-89-74			
190	Музей "Булгаковский Дом"	ул. Большая Садовая, дом 10	ЦАО			(495) 970-06-19		www.dombulgakova.ru	
191	Музей «Бункер Сталина»ЗАО "ФОП "ИЗМАЙЛОВО",	Советская ул., д.80	ЦАО			(495) 166-99-70	(495) 166-74-22		
192	Музей «Великий почин» локомотивного депо «Москва-Сортировочная»,	Буракова ул., 8, депо Москва-Сортировочная				171-72-71			
193	Музей «Наша эпоха»,	Олсуфьевский пер., 6, стр.2	ЦАО			245-21-85			
194	Музей «Радио и радиолюбительства» им. Э.Т. Кренкеля	ул. Берниковская набережная, д. 12.	ЦАО			(495) 915-0560			
195	Музей «Хлебное дело в Москве»	Ул. Николоямская, 62	ЦАО			181-96-12(495) 755-6769			
196	Музей уникальных кукол	Покровка, 13, стр.2.	ЦАО			625-64-05,625-75-12			
197	Музей эволюции мозга при НИИ мозга РАМН	пер. Обуха, 5.	ЦАО			(495) 917-8007, 916-3986, 379-6340			
198	Музей индустриальной культуры	ул. Заречье, владение 3А	ЮВАО			(495) 372-2718			
199	Музей экслибриса Международного союза книголюбов	ул. Пушечная, 7/5 стр.4	ВАО			(495) 621-8221			
200	Музей экспериментального завода ОАО Авиационного научно-технического комплекса им. А.Н.Туполева	Дубининская ул., д.68	ЦАО			495) 235-2457 Владимир Георгиевич 465-98-31		www.tupolev.ru	
201	Музей ядерного приборостроения Научно-инженерного центра «СНИИП	Расплетина ул., 5				198-95-18			
202	Музей-квартира И.Д.Сытина	Тверская ул., 12, 2-й эт., кв.274	ЦАО			629-44-97			
203	Музей-квартира Н.С.Голованова	Брюсов пер., 7	ЦАО			229-70-83			
204	Музей-квартира отца Павла Флоренского	Ул.Бурденко, д.16/12				246-54-90			
205	Научно-исследовательский институт и музей антропологии им. Д.Н.Анучина Московского государственного университета им. М.В.Ломоносова	Моховая ул., 11.	ЦАО			(495) 203-5067			
206	Павильон-музей В.И.Ленина с паровозом У-127, (траурный поезд)	Павелецкая пл., 1А	ЦАО			235-28-98			
207	С.АРТ галерея	Земляной вал, дом 14/16, стр.1	ЦАО				495) 916-0366, (495) 917-5454		
208	Археологический центр в Старом гостином дворе	ул. Ильинка, дом 4	ЦАО						
209	Театральная галерея на Малой Ордынке	улица Малая Ордынка д.9/12, стр.1	ЦАО				(495) 953-12-45		
210	Музей Московского государственного технического университета им. Н.Э.Баумана	2-ая Бауманская ул., 5, стр.1	ЦАО	Басманный		(499) 263-6386499-263-63-91	499-267-48-44		muzmgtu@rambler.ru музеймгту@письмо.рф
211	Московский планетарий	Садовая-Кудринская, д.5, стр.1	ЦАО	Пресненский		(495)221-76-90		www.planetarium-moscow.ru	info@planetarium-moscow.ru
212	Мемориальная квартира Святослава Рихтера	Бронная Большая ул., д.2/6, кв.58	ЦАО	Пресненский					
213	Музей творчества и быта в ГУЛАГе при обществе "Мемориал"	Малый Каретный пер., 12	ЦАО	Тверской		495) 209-7883, (495) 299-6571		www.memo.ru/museum	museum@memo.ru malihina@memo.ru
214	Музей истории дважды ордена В.И.Ленина Московского Радиозавода "Темп"	ул. Бахрушина, д.1, стр.1	ЦАО	Замоскворечье		(495) 951-6371			
215	Музей-квартира Е.Ф.Гнесиной	Поварская ул., 30/36, в здании РАМ им.Гнесиных	ЦАО	Арбатский		290-45-05			gnesina_museum@mail.ru
216	Государственный Геологический музей им. В.И.Вернадского РАН	Моховая ул., д.11, стр.11	ЦАО	Тверской		(495)692-09-43		www.sgm.ru	
217	Мемориальный музей-мастерская С.Т.Коненкова (РАХ),	Тверская ул., 17.	ЦАО	Тверской		(495) 6296139629-44-72		www.rah.ru	
218	Учебный художественный музей им. И.В.Цветаева	Миусская площадь, д.6	ЦАО	Тверской					finearts@artsmuseum.ru
219	Музей истории локомотивного депо станции "Москва" Октябрьской железной дороги, ведомств.	Комсомольская пл., 3/36.	ЦАО	Красносельский		(495) 264-76-93495) 262-9556495) 262-7396	(495) 262-9564		
220	Объединение "Фотоцентр" Союза журналистов, Союз журналистов	Гоголевский бульвар, 8	ЦАО	Хамовники		495-690-69-96,(495) 691-8602495-691-86-02	495-691-56-85	www.foto-expo.ru	fotoexpo@yandex.ru
221	Федеральное государственное учреждение "Российский музей леса", Федеральная служба лесного хозяйства России	5-й Монетчиковский пер., д.4	ЦАО	Замоскворечье		(495) 959-15-22	495-959-15-17	www.museum.forest.ru	quercus@caravan.ru
222	Центральный пограничный музей ФСБ России	Яузский бульвар, 13	ЦАО	Таганский		(495) 917-3104	(495) 917-3105	www.ps.fsb.ru/history/museum.htm	cpm-1914@mail.ru
223	Бункер-42 на Таганке (Музей холодной войны)	Котельнический 5-й пер., д.11	ЦАО	Таганский		(495) 500-05-54		www.bunker42.com	museum@bunker42.com
224	Галерея «Гельман»	'4-й Сыромятнический переулок д.1/8, стр.8	ЦАО	Басманный				www.guelman.ru	
225	Галерея Русской Ледовой Скульптуры, частная	ул. Мантулинская, д. 5 (на территории парка "Красная Пресня")	ЦАО	Пресненский		(495) 782-44-248 (985) 220-46-19		www.posuda-ice.ru	www.posuda-ice.ru/gallery icegallery@mobit.ru
226	Музей «Дом Иконы»	Спиридоновка ул., д.4, стр.1	ЦАО	Пресненский		(495)690-54-74		www.dom-ikony.ru	office@dom-ikony.ru
227	Музей «Кадашевская слобода» при храме Воскресения Христова в Кадашах	Кадашевский тупик, д.2, стр.6	ЦАО	Якиманка				www.kadashi.ru/nks_about.html	museum_ks@mail.ru
228	Музей «Огни Москвы»	Армянский пер., д.3/5, стр.1	ЦАО	Басманный				www.moscowlights.ru	
229	Музей и общественный центр "Мир, прогресс, права человека" имени Андрея Сахарова	ул. Земляной вал, 57, стр. 6.	ЦАО	Таганский		(495) 623-44-01, 623-44-20		www.sakharov-center.ru	secretary@sakharov-center.ru
230	Музей русской иконы	Гончарная ул., д.3, стр.1	ЦАО	Таганский				www.russikona.ru	russikons@yandex.ru
231	Музей спорта "Лужники", ОАО	Лужники д.24, стр.1	ЦАО	Хамовники		(495) 780-0808, экс.бюро (495) 637-0061495-780-67-67: 495-780-67-75	495-780-6768		
232	Фотогалерея им. братьев Люмьер	Болотная наб., д.3, стр.1 Фабрика «Красный Октябрь»	ЦАО	Якиманка		8(499)230-38-68			
233	Центр современной культуры «ГАРАЖ»	Крымский вал ул., д.9, стр.45, Парк культуры им.Горького, пионерский пруд	ЦАО	Якиманка		(495)645-05-20(495)645-05-10	(495)645-05-11	www.garageccc.com	welcome@ garageccc.com
234	Центр творческих индустрий (ЦТИ) «ПRОЕКТ_FАБRИКА»	Переведеновский пер., д.18	ЦАО	Басманный		(499) 265-3926		www.proektfabrika.ru	space@proektfabrika.ru
235	Музей шахмат	Гоголевский бул., 14		Хамовники		291-44-29			
236	Музей истории Тушинского машиностроительного завода, ведомств.	ул. Свободы, 35.	СЗАО	Южное Тушино		(495) 493-3047+7 (495) 221-52-36, +7(499)493-50-53	(495) 497-4825, (499) 497-53-51		recep@oao-tmz.ru
237	Мемориальный дом-музей академика И.В.Курчатова	Пл.Курчатова, д.1	СЗАО	Щукино					ra@kiae.ru
238	Музей истории Российского химико-технологического университета им. Д.И.Менделеева	ул.Героев панфиловцев, 20	СЗАО	Северное Тушино		(495) 495-40-63 доб.50-408-903-747-85-59	499-609-29-64		mendel@muctr.ru
239	Музей истории Акционерного московского общества "Завод им. Лихачева"	Автозаводская ул., 23.	ЮАО			(495) 277-2208, 277-9620			
240	Музей истории Афганской войны	Авиационная ул., 68	ВАО			193-30-65			
241	Музей истории вычислительной техники	ул. Егерская, 4 , гимназия N1530	ВАО			(905)7482646, Факс: (495)6030652			
242	Музей истории Государственного космического научно-производственного центра им.М.В.Хруничева	Новозаводская ул., 27, Дворец культуры им.С.П.Горбунова	ЗАО			145-83-39			
243	Музей истории Государственного университета по землеустройству	ул. Казакова, 15 К-64, ГУЗ, Музей.	ЦАО			495) 261-7201			
244	Музей истории коньяка, Моск. Коньячный завод	Ленинградское шоссе, д.67				(495) 518-68-15 (499) 940-93-51			
245	Музей истории МГУ	Воробьевы горы, Ломоносовский проспект, дом 27	ЗАО			(495) 939-35-52 Факс: 8 (495) 939-43-12			
246	Музей истории почты	Чистопрудный бул., 2, кв. 29	ЦАО			923-82-41924-24-34			
247	Музей истории развития "Мосэнерго"	Садовническая ул., 30.	ЦАО			(495) 957-4802, 957-2639			
248	Музей истории шоколада и какао	Улица Малая Красносельская д.7 стр.4	ЦАО			(495) 982-57-97, 8-915-027-65-77		www.chokomuseum.ru	
249	Музей книги Российской Государственной библиотеки	Воздвиженка ул., 3/5, 3-й подъезд, 4-й этаж.	ЦАО			(495) 622-8672			
250	Музей кочевой культуры	Авиамоторная, д. 30а	ЮВАО					www.nomadic.ru	
251	Музей кукол "Кукольный дом"	ул. Варварка, д.14, стр.3	ЦАО			495) 698-1105			
252	Музей кулинарного искусства Московской ассоциации кулинаров	Б. Рогожский пер., д.17				911-35-16911-35-03912-32-03			
253	Музей матрешки	Леонтьевский пер., 7				291-87-18			
254	Музей мебели	ул. Таганская, дом 13, строение 3. (част.)				(495) 912-5170, 912-4546			
255	Музей московской городской телефонной сети	Зорге ул., 27				(495) 198-0563			
256	Музей Московской железной дороги	ул. Кожевническая, 2	ЦАО			(499) 266-01-53, (499) 623-39-12, (499) 266-34-34, (499) 623-39-78			
257	Центральный дом архитектора	Гранатный пер., д. 7, стр. 1	ЦАО				(495) 691-49-76, (495) 690-27-50	www.domarch.info	
258	Центральный музей ФСБ России	Б.Лубянка, 12	ЦАО				914-85-38		
259	Центральный музей Федеральной таможенной службы России	Комсомольская пл., 1А, стр.1	ЦАО				265-98-94 265-98-81		
260	Центральный музей Вооруженных сил	ул. Советской Армии, д. 2,	ЦАО				(495) 681-48-77 спр. (495) 681-18-80	www.cmaf.ru	
261	Государственный музей животноводства им. академика Е.Ф.Лискуна Московской сельскохозяйственной академии им. К.А.Тимирязева (мин.сельского хоз-ва),	ул. Тимирязевская, 48	САО			(495) 976-3870			
262	Музей "Другое искусство"	Миусская площадь, д.6.	САО				(495) 250-6193, 250-6908		
263	Автовилль, музей частных коллекций	ул. Усачева, дом 2, стр.1	ЦАО				(495) 705-98-81		
264	Государственный историко-культурный музей-заповедник «Московский Кремль»	Кремль	ЦАО	Тверской		697-03-49, 697-44-22, 695-46-31, 695-41-46, (495) 621-55-03	621-63-23	www.kreml.ru	head@kremlin.museum.ru
265	Государственный Исторический Музей	Красная площадь 1	ЦАО	Тверской		692-23-32692-37-31		www.shm.ru	
266	Государственный Исторический Музей, Филиал «Покровский собор»	Красная площадь, д.2	ЦАО	Тверской		8 (495) 698-15-37		www.saintbasil.ru	
267	Государственный Исторический Музей, Филиал Палаты бояр Романовых	Москва, ул. Варварка, д.10	ЦАО	Тверской		(495) 698-12-56			
268	Государственный центральный музей современной истории России, Филиал Экспозиционно-выставочный отдел «Музей-галерея Е. Евтушенко»	Московская обл., Ленинский р-он, ДСК «Мичуринец», ул.Гоголя, д.1				796-24-50, (495) 590-83-56			
269	Государственный музей изобразительного искусства им. А.С. Пушкина, Отдел Учебный художественный музей им. И.В. Цветаева	Миусская площадь д.6, стр.6	ЦАО	Тверской		(495) 250-69-08			
270	Всероссийское музейное объединение музыкальной культуры имени М. И. Глинки, Филиал Музей С.С. Прокофьева	Камергерский переулок, дом 4, стр.1	ЦАО	Тверской		(495) 692 79 59			
271	Государственный Литературный музей, Филиал «Дом-музей М.М. Пришвина»	Московская обл., Одинцовский р-н, дер. Дунино				(495) 992-66-43			
272	Государственный Литературный музей, Филиал Дом-музей Б.Л. Пастернака	Московская обл., Переделкино, ул. Павленко, д.3				(495) 934-51-75			
273	Музей "Крутицкое подворье"	ул. Крутицкая, 8	ЦАО	Таганский		(495) 292-3731, 276-92-56			
274	Государственный Литературный музей, Филиал «Дом-музей К.И. Чуковского»	Московская обл., пос. Переделкино, ул. Серафимовича, д. 3				(495) 593-26-70			
275	Выставочный зал Московского союза художников	Ул.Кузнецкий мост, д.20	ЦАО	Мещанский		(495)624-79-52			Kuzneckiy20@gmail.com
276	Ботанический сад Московского государственного университета им. М.В.Ломоносова	Ленинские горы, д.1 стр.42	ЗАО	Раменки		(495) 939-48-06		www.botsad.msu.ru	
277	Галерея "ФотоСоюз" Союза фотохудожников России (фед)	Семеновская наб., дом 3/1, корпус 1	ВАО			(495) 921-5727			
278	Государственный мемориальный музей Булата Окуджавы	Московская обл., Одинцовский р-н, пос.Переделкино, ул.Довженко, 11				593-52-08			
279	Московский музей анимации	Проспект мира д.119 стр.82	СВАО			(495) 940-6960, (495) 940-7960		www.animamuseum.ru	
280	Музей «Жили-были»	Проспект мира д.119, стр.1	СВАО						
281	Музей истории железнодорожного транспорта	площадь Рижского вокзала, дом 1	ЦАО			495) 266-82-08, (495) 266-82-21			
282	Музей Московского архитектурного института	ул. Рождественка, 11				921-15-01			
283	Музей-театр "Ледниковый период"	проспект мира д.119,  стр.71	ВАО			(499) 929-09-13			
284	Научно-исследовательский Зоологический музей МГУ	ул. Б. Никитская, 6	ЦАО			(495) 629–44–35, (495)629-39-48		www.zmmu.msu.ru	
285	Рудно-петрографический музей Института геологии рудных месторождений РАН	Старомонетный пер., 35 стр.13	ЦАО			230-82-92			
286	Культурный Центр Вооруженных Сил Российской Федерации	пл. Суворова, д.2	ЦАО				681-36-08		
287	Музей предпринимателей, меценатов и благотворителей	Донская ул., д.9				(495) 237-5349			
