№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Адрес электронной почты
94	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Позиция»	119633, г.Москва, ул. Приречная, д.5	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
95	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Гармония»	119634, г.Москва, ул. Чоботовская, д.17 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
96	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Сфера»	119634, г.Москва, ул. Лукинская, д.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
97	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Встреча»	119634, г.Москва, ул. Шолохова, д.12	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
98	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Альтаир»	119634, г.Москва, ул. Лукинская, д.9 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
99	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». Клуб-филиал «Наш театр»	119633, г.Москва, Боровское ш., д.35 корп.1	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
100	Государственное бюджетное учреждение культуры города Москвы «ТКС «Ново-Переделкино». ДК «Луч»	119634, г.Москва, Чоботовский пр-д, д.7	Западный АО	Ново-Переделкино	119634, г.Москва, ул. Лукинская, д.1 корп.1	(495) 732-02-17	(495) 732-05-79	tks-np.ru	buh1@tks-np.ru
101	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево»	121614, г.Москва, ул. Крылатские холмы, д.49	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
102	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». КХЦ «Крылатское»	121614, г.Москва, ул. Крылатские холмы, д.49	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
103	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Надежда»	121614, г.Москва, ул. Крылатская, д.29 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
104	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб-галерея «Крылатский орнамент»	121614, г.Москва, ул. Крылатские холмы, д.26 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
105	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево».  Клуб «Театральный центр «Крылатское»	121609, г.Москва, Рублевское ш., д.34 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
106	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Палитра»	121609, г.Москва, Рублевское ш., д.36 корп.2.	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
107	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Горизонт»	121353, г.Москва, ул. Беловежская, д.39 корп.1	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
108	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Горизонт»	121353, г.Москва, ул. Беловежская, д.39 корп.1	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
109	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Зодиак»	121596, г.Москва, ул. Барвихинская, д.4 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
110	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Школа танца» (вместе с Клубом тренажерный зал)	121351, г.Москва, ул. Партизанская, д.35 корп.1	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
111	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Фольклорный центр»	121357, г.Москва, ул. Вересаева, д.17	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
112	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Можайка»	121471, г.Москва, Можайское ш., д.4 корп.1	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
113	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Носики-курносики»	121596, г.Москва, Сколковское ш., д.32 корп.2	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
114	Государственное бюджетное учреждение культуры города Москвы «ТКС «Кунцево». Клуб «Сказка»	121471, г.Москва, Можайское ш., д.29 стр.1	Западный АО	Крылатское	121614, г.Москва, ул. Крылатские холмы, д.49	(495) 415-17-33, (495) 415-65-04	(495) 415-65-04	tkskuncevo.ru	mail@tkskuncevo.ru
115	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист»	119526, г.Москва, пр-т Вернадского, д.89 корп.4	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
116	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». ДК «Оптимист»	119526, г.Москва, пр-т Вернадского, д.89 корп.4	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
117	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». Клуб «Феерия»	119526, г.Москва, ул. 26-ти Бакинских комиссаров, д.12 корп.2	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
118	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». Клуб «Браво»	119571, г.Москва, ул. Академика Анохина, д.62	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
119	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». Клуб «Новая Сцена»	119571, г.Москва, Ленинский пр-т, д.150	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
120	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». Клуб «Молодежная копилка»	119454, г.Москва, ул. Удальцова, д.69	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
121	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». Клуб «Башня»	119136, г.Москва, 1-й Сетуньский пр-д, д.16/2	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
122	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». ДК «Экран»	119136, г.Москва, 3-й Сетуньский пр-д, д.13	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
123	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». ДК «Раменки»	119607, г.Москва, ул. Лобачевского, д.100	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
124	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». ДК «Раменки»	119607, г.Москва, ул. Лобачевского, д.100 корп.3	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
125	Государственное бюджетное учреждение культуры города Москвы ТКС «Оптимист». ДК «Звезда»	119192, г.Москва, Мичуринский пр-т, д.54 корп.3	Западный АО	Тропарево-Никулино	119526, г.Москва, пр-т Вернадского, д.89 корп.4	(495) 433-23-74, (495) 434-50-19	(495) 433-23-74	optimistclub.ru	tks-optimist@mail.ru
126	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета»	119361, г.Москва, ул. Озерная, д.11	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
127	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб «Очаковец»	119361, г.Москва, ул. Озерная, д.11	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
128	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». ДК «Планета»	119530, г.Москва, Очаковское ш., д.21 корп.2	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
129	Государственное бюджетное учреждение культуры города Москвы «ТКС «Планета». Клуб «Дельфин»	119361, г.Москва, ул. Озерная, д.23 корп.1	Западный АО	Очаково-Матвеевское	119361, г.Москва, ул. Озерная, д.11	(495) 437-53-86, (495) 651-10-56	(495) 651-10-56	tksplaneta.ru	tksplaneta@list.ru
130	Государственное бюджетное учреждение культуры города Москвы «Дворец культуры имени И.М.Астахова»	109382, г.Москва, ул. Люблинская, д.149	Юго-Восточный АО	Люблино	109382, г.Москва, ул. Люблинская, д.149	(495) 351-74-63, (495) 351-59-84	(495) 351-59-84		dkastahova@rambler
131	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Москвич»	109125, г.Москва, Волгоградский пр-т, д.46/15	Юго-Восточный АО	Текстильщики	109125, г.Москва, Волгоградский пр-т, д.46/15	(499) 173-72-78	(499) 173-72-79	kc-moskvich.ru	Kcmoskvich@mail.ru
132	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Аккорд»	119620, г.Москва, Солнцевский пр-т, д.5	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
133	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Внуково»	119027, г.Москва, ул. Большая Внуковская, д.6	Западный АО	Внуково	119027, г.Москва, ул. Большая Внуковская, д.6	(495) 736-23-81	(495) 736-23-74	dkvnukovo.ru	info@dkvnukovo.ru
134	Государственное бюджетное учреждение культуры города Москвы «Клуб «Развитие»	121351, г.Москва, ул. Боженко, д.14 корп.4	Западный АО	Кунцево	121351, г.Москва, ул. Боженко, д.14 корп.4	(495) 417-45-53	(495) 417-42-28	clubrazvitie.ru	nmczaouk@mail.ru
135	Государственное бюджетное учреждение культуры города Москвы «Клуб «Развитие»	121351, г.Москва, ул. Боженко, д.9	Западный АО	Кунцево	121351, г.Москва, ул. Боженко, д.14 корп.4	(495) 417-45-53	(495) 417-42-28		nmczaouk@mail.ru
136	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево»	121500, г.Москва, ул. Василия Ботылева, д.43	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
137	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «На Полоцкой»	121351, г.Москва, ул. Полоцкая, д.2	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
138	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Baby art- центр»	121351, г.Москва, ул. Кунцевская, д.13 корп.6	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
139	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Радуга»	121552, г.Москва, ул. Рублевское ш., д.109 корп.6	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
140	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Тренажерный зал»	121351, г.Москва, ул. Партизанская, д.35 корп.1	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
141	Государственное бюджетное учреждение культуры города Москвы «ТКС «Бригантина». Клуб «Маска»	121096, г.Москва, ул. Кастанаевская, д.26	Западный АО	Филевский парк	121601, г.Москва, Филевский б-р, д.11а	(495) 738-14-34	(495) 738-20-64	brigantinatks.ru	tks_brigantina@mail.ru
142	Государственное бюджетное учреждение культуры города Москвы «ТКС «Бригантина». Клуб «Чунга-чанга»	121096, г.Москва, ул. Василисы Кожиной, д.24 корп.1	Западный АО	Филевский парк	121601, г.Москва, Филевский б-р, д.11а	(495) 738-14-34	(495) 738-20-64	brigantinatks.ru	tks_brigantina@mail.ru
143	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево»	119620, г.Москва, ул. Богданова, д.50	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
144	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Дом культуры «Солнцево»	119620, г.Москва, ул. Богданова, д.50	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
145	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Дельта»	119620, г.Москва, ул. Богданова, д.54	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
146	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Орион»	119618, г.Москва, ул. Главмосстроя, д.9	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
147	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Вернисаж»	119620, г.Москва, Солнцевский пр-т, д.17/1	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
148	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Сатурн»	119620, г.Москва, ул. Авиаторов, д.16 корп.1	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
149	Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Хозяюшка»	119619, г.Москва, Боровский пр-д, д.10	Западный АО	Солнцево	119620, г.Москва, ул. Богданова, д.50	(495) 934-20-00, (495) 439-69-00	(495) 934-20-00, (495) 439-02-00	tks-solntsevo.ru	tks-sol@mail.ru
150	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Акварель»	121351, г.Москва, ул. Полоцкая, д.16	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
151	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Рублево». Клуб «Мякинино»	121500, г.Москва, ул. 3-я Мякининская, д.13	Западный АО	Кунцево	121500, г.Москва, ул. Василия Ботылева, д.43	(499) 727-18-72/73	(499) 727-18-45	rublevo-art.ru	rublevo.dk@mail.ru
152	Государственное бюджетное учреждение культуры города Москвы «ТКС «Фили-Давыдково»	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	Западный АО	Фили-Давыдково	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	(499) 730-67-20	(499) 146-65-25	tks-fili.ru	dk-karavella@mail.ru
153	Государственное бюджетное учреждение культуры города Москвы «ТКС «Фили-Давыдково». Дом культуры «Каравелла»	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	Западный АО	Фили-Давыдково	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	(499) 730-67-20	(499) 146-65-25	tks-fili.ru	dk-karavella@mail.ru
154	Государственное бюджетное учреждение культуры города Москвы «ТКС «Фили-Давыдково». Клуб «Чайка»	121433, г.Москва, ул. Большая Филевская, д.59 корп.1	Западный АО	Фили-Давыдково	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	(499) 730-67-20	(499) 146-65-25	tks-fili.ru	dk-karavella@mail.ru
155	Государственное бюджетное учреждение культуры города Москвы «ТКС «Фили-Давыдково». Клуб «Фрегат»	121357, г.Москва, ул. Кременчугская, д.44 корп.2	Западный АО	Фили-Давыдково	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	(499) 730-67-20	(499) 146-65-25	tks-fili.ru	dk-karavella@mail.ru
156	Государственное бюджетное учреждение культуры города Москвы «ТКС «Фили-Давыдково». Клуб «Поколение»	121352, г.Москва, ул. Кременчугская, д.7 корп.3	Западный АО	Фили-Давыдково	121108, г.Москва, ул. Олеко Дундича, д.39 корп.2	(499) 730-67-20	(499) 146-65-25	tks-fili.ru	dk-karavella@mail.ru
157	Государственное бюджетное учреждение культуры города Москвы «ТКС «Бригантина»	121601, г.Москва, Филевский б-р, д.11а	Западный АО	Филевский парк	121601, г.Москва, Филевский б-р, д.11а	(495) 738-14-34	(495) 738-20-64	brigantinatks.ru	tks_brigantina@mail.ru
158	Государственное бюджетное учреждение культуры города Москвы «ТКС «Бригантина». ДК «Бригантина»	121601, г.Москва, Филевский б-р, д.11а	Западный АО	Филевский парк	121601, г.Москва, Филевский б-р, д.11а	(495) 738-14-34	(495) 738-20-64	brigantinatks.ru	tks_brigantina@mail.ru
159	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Куркино»	125466, г.Москва, Куркинское ш., д.82	Северо-Западный АО	Куркино	125466, г.Москва, Куркинское ш., д.82	(495) 754-10-10	(495) 572-63-60		dk-kurkino@mail.ru
160	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Митино»	125368, г.Москва, ул. Митинская, д.31/1	Северо-Западный АО	Митино	125368, г.Москва, ул. Митинская, д.31/1	(495) 794-05-00	(495) 794-05-02, (495) 794-05-06	dkmitino.ru	dkmitino@gmail.ru
161	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Митино». Музей Морского космического флота	125368, г.Москва, Пятницкое ш., д.45	Северо-Западный АО	Митино	125368, г.Москва, ул. Митинская, д.31/1	(495) 794-05-00	(495) 794-05-02, (495) 794-05-06	dkmitino.ru	dkmitino@gmail.ru
162	Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Митино». Галерея «Праздник души» скульптора-кузнеца В.Я.Воробьева	125368, г.Москва, ул. Митинская, д.17/4	Северо-Западный АО	Митино	125368, г.Москва, ул. Митинская, д.31/1	(495) 794-05-00	(495) 794-05-02, (495) 794-05-06	dkmitino.ru	dkmitino@gmail.ru
163	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Огонек»	123098, г.Москва, ул. Маршала Василевского, д.11 корп.1	Северо-Западный АО	Щукино	125364, г.Москва, ул. Свободы, д.61/2	(499) 196-33-91	(499) 196-28-88	dkogonek1.narod.ru	dkogonek@mail.ru
164	Государственное бюджетное учреждение культуры города Москвы «Центр культуры «Олимп»	125592, г.Москва, Строгинский б-р, д.12	Северо-Западный АО	Строгино	125592, г.Москва, Строгинский б-р, д.12	(499) 740-10-25, (499) 740-11-35	(499) 740-10-25		zdolimp@yandex.ru
165	Государственное бюджетное учреждение культуры города Москвы «Дворец культуры «Салют»	125364, г.Москва, ул. Свободы, д.37	Северо-Западный АО	Южное Тушино	125364, г.Москва, ул. Свободы, д.37	(495) 492-61-21	(495) 492-61-21		dksalut@mail.ru
166	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123458, г.Москва, ул. Твардовского, д.23 корп.3	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
167	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123592, г.Москва, ул. Маршала Катукова, д.14 корп.1, кв. 50	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
168	Государственное бюджетное учреждение культуры города Москвы «Клуб «Современник»	123592, г.Москва, ул. Маршала Катукова, д.9 корп.3	Северо-Западный АО	Строгино	123458, г.Москва, ул. Твардовского, д.23 корп.3	(495) 758-05-47, (495) 758-42-80, (495) 757-44-11	(495) 758-05-47	klub-sovremennik.narod.ru	klub.sovremennik@yandex.ru
169	Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»	123308, г.Москва, Новохорошевский пр-д, д.26	Северо-Западный АО	Щукино	123182, г.Москва, ул. Авиационная, д.19	(499) 193-54-08	(499) 193-54-08	club-fenix.ru	fenixclubszao@mail.ru
170	Государственное бюджетное учреждение культуры города Москвы «Дом Романса»	123060, г.Москва, ул. Расплетина, д.2	Северо-Западный АО	Щукино	123060, г.Москва, ул. Расплетина, д.2	(499) 197-48-31	(499) 197-48-86	romansiada.ru	romansiada @mail.ru
171	Государственное бюджетное учреждение культуры города Москвы «Дом Романса»	123060, г.Москва, ул. Маршала Новикова, д.11	Северо-Западный АО	Щукино	123060, г.Москва, ул. Расплетина, д.2	(499) 197-48-31	(499) 197-48-86		romansiada @mail.ru
172	Государственное бюджетное учреждение культуры города Москвы «Клуб «Силуэт»	124617, г.Москва, Зеленоград, корп.1432, н.п.1, 2, 3	Зеленоградский АО	Крюково	124617, г.Москва, Зеленоград, корп.1432	(499) 733-25-66	(499) 733-24-31		clabsiluet@mail.ru
173	Государственное бюджетное учреждение культуры города Москвы «ТКС «Бригантина». Клуб «Робинзон»	121096, г.Москва, ул. Кастанаевская, д.9 корп.2	Западный АО	Филевский парк	121601, г.Москва, Филевский б-р, д.11а	(495) 738-14-34	(495) 738-20-64	brigantinatks.ru	tks_brigantina@mail.ru
174	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Алые паруса»	125481, г.Москва, ул. Свободы, д.91	Северо-Западный АО	Северное Тушино	125481, г.Москва, ул. Свободы, д.91	(495) 496-65-63	(495) 496-65-37	alyeparusa.msk.su	alyeparusa@mail.ru
175	Государственное бюджетное учреждение культуры города Москвы «Клуб «Атом»	123154, г.Москва, ул. Маршала Тухачевского, д.20 стр.2	Северо-Западный АО	Хорошево-Мневники	123154, г.Москва, ул. Маршала Тухачевского, д.20 стр.2	(499) 192-79-46	(499) 192-79-46	clubatom.ru	atomclub_2006@mail.ru
176	Государственное бюджетное учреждение культуры города Москвы «Центр досуга «Атом»	123298, г.Москва, ул. Маршала Бирюзова, д.12 стр.1	Северо-Западный АО	Щукино	123298, г.Москва, ул. Маршала Бирюзова, д.12 стр.1	(499) 198-20-89, (499) 194-85-73	(499) 943-68-40		atomcenter@mail.ru
177	Государственное бюджетное учреждение культуры города Москвы «Центр досуга «Атом»	123298, г.Москва, ул. Маршала Бирюзова, д.10 корп.2	Северо-Западный АО	Щукино	123298, г.Москва, ул. Маршала Бирюзова, д.12 стр.1	(499) 198-20-89, (499) 194-85-73	(499) 943-68-40		atomcenter@mail.ru
178	Государственное бюджетное учреждение культуры города Москвы «Центр досуга «Атом»	123298, г.Москва, ул. Расплетина, д.32, корп.1	Северо-Западный АО	Щукино	123298, г.Москва, ул. Маршала Бирюзова, д.12 стр.1	(499) 198-20-89, (499) 194-85-73	(499) 943-68-40		atomcenter@mail.ru
179	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Берендей»	123423, г.Москва, ул. Народного Ополчения, д.4	Северо-Западный АО	Хорошево-Мневники	123423, г.Москва, ул. Народного Ополчения, д.4	(499) 191-64-79	(499) 191-64-79		dkberendei@yandex.ru
180	Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Берендей»	123423, г.Москва, ул. Народного Ополчения, д.12	Северо-Западный АО	Хорошево-Мневники	123423, г.Москва, ул. Народного Ополчения, д.4	(499) 191-64-79	(499) 191-64-79		dkberendei@yandex.ru
