№ строки	Название	Адрес	Административный округ	Руководитель	Телефон	Факс	Дополнительная информация
100	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 49  Департамента здравоохранения города Москвы	117588, Москва, Тарусская ул., д.6	ЮЗАО	Байдакова Татьяна Валентиновна	(495)425-6811	(495)425-7011	С 15.09.2012г. присоединяется к «ГП № 134»
101	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 79  Департамента здравоохранения города Москвы»	115487, Москва, ул. Ак. Миллионщикова, д.1	ЮАО	Косаченко Алина  Жораевна	(499) 612-7507	(499) 612-0531	самостоятельное
102	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 50 Департамента здравоохранения города Москвы»	109263, Москва, ул. Шкулева, д.4,стр.7	ЮВАО	Талагаев Олег Иванович	(499) 178-6380	(499) 178-6380	С 15.09.2012г. присоединяется к «ГКБ № 68»
103	Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 81  Департамента здравоохранения города Москвы»	127644, Москва, ул. Лобненская, д.10	САО	и.о. Андрейченко Александр Тимофеевич	(495) 483-4244	(495) 483-0247	самостоятельное
104	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 51  Департамента здравоохранения города Москвы»	115184, Москва, Большой Татарский пер., д 4а	ЦАО	и.о. Левыкина Наталья Юрьевна	(495) 959-3368	(495) 951-7755	С 15.09.2012г. присоединяется к «ГП № 68»
105	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 52  Департамента здравоохранения города Москвы»	117403, Москва, ул. Медынская, дом 7, корп.1	ЮАО	Ульяшина Татьяна Григорьевне	(495)383-4052	(495)383-4052	самостоятельное
106	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 53  Департамента здравоохранения города Москвы»	117449, Москва, ул. Д.Ульянова, д.25	ЮЗАО	Сакиева Роза Темуркановна	(499) 126-4884	(499) 126-2545	С 15.09.2012г. присоединяется к «ГП № 22»
107	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 54  Департамента здравоохранения города Москвы»	115563, Москва, ул. генерала Белова, д.19, к.2	ЮАО	Бутурлинцева Ирина Сергеевна	(495)394-7811	(495)394-7811	С 15.09.2012г. присоединяется к ГП № 210»
108	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 73  Департамента здравоохранения города Москвы»	111524, Москва, ул. Плющева, д.20	ВАО	Шоршнева Ольга Валентиновна	(495)309-3927	(495)309-3927	С 15.09.2012г. присоединяется к «ГП № 69»
109	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 74  Департамента здравоохранения города Москвы»	117342, Москва, ул. Введенского, д.14а	ЮЗАО	и.о. Патрикеева Елена Борисовна	(495)333-6030	(495)333-7031	С 15.09.2012г. присоединяется к «КДЦ № 1»
110	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 75  Департамента здравоохранения города Москвы»	129301, Москва, ул. Касаткина, д.7	СВАО	Назарова Раиса Викторовна	(495)683-1824	(495)682-9180	С 15.09.2012г. присоединяется к «ГП № 12»
111	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 76 Департамента здравоохранения города Москвы»	123290,Москва, Шелепихинская набер., д.12	ЦАО	и.о. Зинченко Александр Александрович	(499) 256-2293	(499) 259-7532	С 15.09.2012г. присоединяется к «ГП № 220»
112	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 77  Департамента здравоохранения города Москвы»	129515, Москва, ул. Цандера, д.9	СВАО	Жолинский Андрей Владимирович	(495)686-9998	(495)683-4395	С 15.09.2012г. присоединяется к «ГП № 12»
113	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 78  Департамента здравоохранения города Москвы	г. Москва, ул. Рудневка, д.8	ВАО	Тарасов Константин Михайлович	(499) 721-40-20	(499) 721-8090	С 15.09.2012г. присоединяется к «ГП № 66»
114	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 79 Департамента здравоохранения города Москвы»	123098, Москва, ул. маршала Новикова, д.14	СЗАО	и.о. Слободян Татьяна Габденуровна	(499) 193-5422	(499) 193-8590	С 15.09.2012г. присоединяется к «ГП № 115»
115	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 80  Департамента здравоохранения города Москвы»	111395, Москва, ул. Молдагуловой, д.10а	ВАО	и.о. Палферова Елена Александровна	(499) 373-3700	(499) 373-3700	С 15.09.2012г. присоединяется к «ГП № 66»
116	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 81  Департамента здравоохранения города Москвы»	125414, Москва, ул. Петрозаводская, д.26	САО	Курпилянская Галина Георгиевна	(495)451-5353	(495)451-2315	С 15.09.2012г. присоединяется к «МСЧ № 51»
117	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 110  Департамента здравоохранения  города Москвы»	117296, Москва, Университетский проспект, д.9	ЮЗАО	Бирбасов Иван Гаврилович	(495)938-0056	(495)938-0056	с 15.09.2012г. присоединяется к «ГП № 11»
118	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 111 Департамента здравоохранения   города Москвы»	127254, Москва, ул. Гончарова, д.6а	СВАО	Осипенко Анатолий Павлович	(495) 618-4047	(495) 619-9355	с 15.09.2012г. присоединяется к «ГП № 12»
119	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 112 Департамента здравоохранения города Москвы»	103104, Москва, Большая Бронная ул., д.3/5	ЦАО	Назаркина Валентина Александровна	(495) 695-7187	(495) 695-7187	с 15.09.2012г. присоединяется к «ГП № 3»
120	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 113  Департамента здравоохранения   города Москвы»	123308, Москва, ул.Куусинена, д.6Б	САО	Королёв Денис Валерьевич	(499) 195-30-71	(499) 195-3071	с 15.09.2012г. присоединяется к «ГП № 62»
121	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 114  Департамента здравоохранения города Москвы»	105318, Москва, ул. Щербаковская, д.26/30	ВАО	Базунцева Гаянэ Гарниковна	8-499-369-7373	8-499-369-7373	с 15.09.2012г. присоединяется к «ГП № 64»
122	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 115  Департамента здравоохранения города Москвы»	123308, Москва, ул. Демьяна Бедного, д.8	СЗАО	Погорелова Людмила Григорьевна	8-499-191-5014	8-499-191-0520	самостоятельное
123	Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 116  Департамента здравоохранения города»	107120, Москва, 3-й Сыромятнический пер., д.1	ЦАО	Шипилов Александр Владимирович.	698-5977	698-5015	с 01.09.2012г. присоединяется к МНПЦ мед. реабилитации, восстановительной и спортивной медицины
124	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 117 Департамента здравоохранения города Москвы»	119270, Москва, Фрунзенская набережная , д.38/1	ЦАО	и.о. Черниенко Елена Васильевна	(499) 242-2779	(499) 242-2779	с 15.09.2012г. присоединяется к «ГП № 68»
125	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 118  Департамента здравоохранения  города Москвы»	119454, Москва, проспект Вернадского, д.30	ЗАО	Одарюк Оксана Анатольевна	(495)431-1985	(495)431-1985	с 15.09.2012г. присоединяется к «ГП № 8»
126	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 119  Департамента здравоохранения  города Москвы»	115404, Москва, ул. Ряжская,д.13	ЮАО	Гончарова Наталья Георгиевна	(495)326-01-66	(495)326-0166	с 15.09.2012г. присоединяется к «ГП № 52»
127	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 120  Департамента здравоохранения города Москвы»	129346, Москва, 1-я Напрудная ул., д.15	СВАО	Исмаилов Анвар Магомедович	(495) 475-74-91	(495) 475-74-91	с 15.09.2012г. присоединяется к «ГП № 218»
128	Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121  Департамента здравоохранения города Москвы»	117042, Москва, ул. Южнобутовская.д.87	ЮЗАО	Сафарян Сергей Левони	(495) 474-5436	(495) 474-5436	самостоятельное
129	Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 122  Департамента здравоохранения   города Москвы»	107061, Москва, 2-я Пугачевская ул.,д.8	ВАО	Хряпов Борис Тимофеевич	8-499-161-0039	8-499-161-0005	с 15.09.2012г. присоединяется к «ГП № 64»
130	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 124  Департамента здравоохранения  города Москвы»	119526, Москва, 26-ти Бакинских комиссаров ул., д.10, к.5	ЗАО	Советкин Сергей Викторович	(495)433-4410	(495)433-4410	с 15.09.2012г. присоединяется к «ГП № 8»
131	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 125  Департамента здравоохранения   города Москвы»	113546, Москва, Булатниковский проезд, д.8	ЮАО	Федорченко Леонид Леонидович	(495)383-9765	(495)385-0954	с 15.09.2012г. присоединяется к «ГП № 52»
132	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 126  Департамента здравоохранения  города Москвы»	123480, Москва, бульвар Яна Райниса, д.4, кор.5	СЗАО	Петрова Наталья Владимировна	(495)494-1284	(495)494-1284	с 15.09.2012г. присоединяется к «ГП № 219»
133	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 127  Департамента здравоохранения города Москвы»	115407, Москва, ул. Затонная, д.11,кор.2	ЮАО	Токарева Татьяна Васильевна	8-499-614-5937	8-499-614-5937	с 15.09.2012г. присоединяется к «ГП № 67»
134	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 128 Департамента здравоохранения города Москвы»	123448, Москва, проспект маршала Жукова, д.64, кор. 1	СЗАО	Пирожкова Галина Юрьевна	(495)947-6781	(495)947-6781	с 15.09.2012г. присоединяется к «ГП № 115»
135	Государственное учреждение здравоохранения города Москвы Городская поликлиника № 129 Управления здравоохранения  Центрального АО города Москвы	107005, Москва, ул. Ладожская, дом 4/6	ЦАО	Мороз Ивисталина Васильевна	(499) 263-0429	(499) 261-5675	самостоятельное
136	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 130  Департамента здравоохранения города Москвы»	111555, Москва, ул. Молостовых.д.7,кор.2	ВАО	Бабкин Андрей Васильевич	(495)300-4141	(495)300-4141	с 15.09.2012г. присоединяется к «ГП № 175»
137	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 131  Департамента здравоохранения города Москвы»	121108, Москва, ул. Кастанаевская, д.47	ЗАО	Домбровский Андрей Леонидович	8-499-144-5679	8-499-144-5679	с 15.09.2012г. присоединяется к КДЦ № 4
138	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 132  Департамента здравоохранения города Москвы»	111399, Москва, Федеративный проспект, д.17а	ВАО	Капто Оксана Владимировна	(495)302-6516	(495)303-5074	самостоятельное
139	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 133  Департамента здравоохранения  города Москвы»	111020, Москва, Юрьевский пер., д.13	ЮВАО	и.о. Проценко Алексей Николаевич	(495)360-6768	(495)360-6768	с 15.09.2012г. присоединяется к «ДЦ № 3»
140	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 134  Департамента здравоохранения    города Москвы»	117574, Москва, Новоясеневский проспект, д.24,кор.2	ЮЗАО	Кузнецова Надежда Александровна	(495)422-1111	(495)422-3577	самостоятельное
141	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 135  Департамента здравоохранения города Москвы»	117465, Москва, ул. Теплый Стан, д.13, кор.2	ЮЗАО	и.о. Лаптева Елена Леонидовна	(495)338-8000	(495)338-7144	с 15.09.2012г. присоединяется к «ГП № 134»
142	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 136  Департамента здравоохранения города Москвы»	125171, Москва, 1-я Радиаторская ул., д.5	САО	Ковалёва Светлана Вячеславовна	(499) 150-6900	(499) 150-2656	с 15.09.2012г. присоединяется к МСЧ № 51
143	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 137  Департамента здравоохранения города Москвы»	129090, Москва, Протопоповский пер., д.19	ЦАО	Обрезкова Наталия Егоровна	(495)680-2933	(495)680-2933	с 15.09.2012г. присоединяется к «ГП № 5»
144	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 138   Департамента здравоохранения  города Москвы»	125412, Москва, ул. Ангарская, д.24	САО	Терешин Геннадий Иванович	(499) 905-0367	(499) 905-0367	с 15.09.2012г. присоединяется к «КДЦ № 6»
145	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 139   Департамента здравоохранения   города Москвы»	123362, Москва, ул. Долгова, д.1, кор.4	СЗАО	Азизов Гюли Азизович	(495)491-1459	(495)491-3700	с 15.09.2012г. присоединяется к «ГП № 115»
146	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 140  Департамента здравоохранения города Москвы»	119330, Москва, ул. Мосфильмовская, д.29а	ЗАО	Кумалагова Зоя Ильинична	8-499-143-3451	8-499-143-3451	с 15.09.2012г. присоединяется к ГП № 209
147	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 141  Департамента здравоохранения города Москвы»	117623, Москва, 2-я Мелитопольская ул., д.13, кор.1	ЮЗАО	Вильковский Андрей Борисович	(495)712-6363	(495)712-6363	с 15.09.2012г. присоединяется к «КДП № 121»
148	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 142  Департамента здравоохранения  города Москвы»	125239, Москва, 3-й Михалковский пер., д.22	САО	Васильева Наталья Владимировна	(499) 154-4471	(499) 154-4471	с 15.09.2012г. присоединяется к «ГП № 6»
149	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 143 Департамента здравоохранения города Москвы»	121353, Москва, ул. Беловежская, дом 45	ЗАО	Мамаев Владимир Александрович	(495)446-3234	(495)446-3234	с 15.09.2012г. присоединяется к «КДЦ № 4»
150	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 144  Департамента здравоохранения  города Москвы»	127221, Москва, ул. Полярная, дом 28	СВАО	и.о. Пантелеев Вадим Вячеславович	(495) 477-0533	(495) 477-0533	с 15.09.2012г. присоединяется к «ГП № 107»
151	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 145  Департамента здравоохранения города Москвы»	109457, Москва, ул. Федора Полетаева, д.6	ЮВАО	Пятигорская Стелла Рахмильевна	8-499-172-1950	8-499-172-6652	с 15.09.2012г. присоединяется к «ГП № 9»
152	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 146  Департамента здравоохранения  города Москвы»	125239, Москва, Бескудниковский пер., д.5	САО	Красильникова Ольга Ивановна	(495) 488-4355	(495) 488-4215	с 15.09.2012г. присоединяется к «КДЦ № 6»
153	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 147  Департамента здравоохранения  города Москвы»	121355, Москва, ул. Молодогвардейская, д.40, к.1	ЗАО	Кузнецов Сергей Владимирович	8-499-141-4090	8-499-141-4090	с 15.09.2012г. присоединяется к «ГП № 195»
154	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 148  Департамента здравоохранения города Москвы»	115516, Москва, Кавказский бульвар, д.45	ЮАО	Верещагин Михаил Леонидович	(495)325-58-97	(495)325-5897	с 15.09.2012г. присоединяется к «ГП № 166»
155	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 149  Департамента здравоохранения  города Москвы»	107392, Москва, ул.Хромова,д.45	ВАО	Алексеев Алексей Константинович	8-499-161-1080	8-499-161-1080	с 15.09.2012г. присоединяется к «КДЦ № 2»
156	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 150  Департамента здравоохранения города Москвы»	119421, Москва, ул. Новаторов, д.5	ЮЗАО	Ермолаева Татьяна Игоревна	(495)936-4036	(495)936-4036	с 15.09.2012г. присоединяется к «ГП № 11»
157	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 151  Департамента здравоохранения города Москвы»	125481, Москва, ул. Планерная, д.8	СЗАО	Борисов Константин Николаевич	(495)493-9167	(495)493-6921	с 15.09.2012г. присоединяется к «ГП № 219»
158	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 152  Департамента здравоохранения города Москвы»	124305, г. Зеленоград, корпус 225	ЗелАО	Маркина Елена Владимировна	(495)535-5580	8-499-736-0238	с 15.09.2012г. присоединяется к «ГП № 201»
159	Государственное бюджетное учреждение здравоохранения города Москвы  «Городская поликлиника № 153  Департамента здравоохранения  города Москвы»	129224, Москва, ул. Грекова, д.12	СВАО	Каспарова Элина Артуровна	(499) 479-0802	(499) 479-0802	с 15.09.2012г. присоединяется к «ГП № 218»
160	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 154  Департамента здравоохранения  города Москвы»	125581, Москва, ул. Флотская , д.9	САО	Панченко Иван Иванович	(495) 455-6525	(495) 455-6540	с 15.09.2012г. присоединяется к МСЧ № 51
161	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 155  Департамента здравоохранения города Москвы»	127486, Москва, Бескудниковский бульвар, д.59	САО	Морунов Евгений Михайлович	(495) 483-34-66	(495) 483-3683	с 15.09.2012г. присоединяется к «КДЦ № 6»
162	Государственное бюджетное учреждение здравоохранения города Москвы «Городская специализированная поликлиника № 156 (городской медицинский центр для молодежи)   Департамента здравоохранения города Москвы»	125319, Москва, ул. Планетная ,д.37	САО	Работкин Олег Стефанович	8-499-152-8815	8-499-152-2058	с 15.09.2012г. присоединяется к «ГП № 62»
163	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 157  Департамента здравоохранения города Москвы»	127083, Москва, ул. Юннатов, д.12	САО	Ишкова Виктория Ивановна	(495) 612-2133	(495) 613-6677	с 15.09.2012г. присоединяется к «ГП № 62»
164	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 158  Департамента здравоохранения города Москвы»	119501, Москва, ул. Веерная, д.34	ЗАО	Морозова Светлана Владимировна	(495)441-7456	(495)441-1251	с 15.09.2012г. присоединяется к  «ГП № 209»
165	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 159  Департамента здравоохранения города Москвы»	125008, Москва, 3-й Новомихалковский проезд, д.3а	САО	Владимирова Надежда Николаевна	(499) 153-7101	(499) 153-7101	с 15.09.2012г. присоединяется к «ГП № 6»
166	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 160  Департамента здравоохранения города Москвы»	105005, Москва, Бригадирский пер., д.14	ЦАО	Орлова Лидия Александровна	(499) 261-0995	(499) 261-0995	с 15.09.2012г. присоединяется к «ГП № 46»
167	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 162  Департамента здравоохранения города Москвы»	121355, Москва, ул. Молодогвардейская, д.20, стр.1	ЗАО	Алексеев Александр Генрихович	8-499-141-3160	8-499-141-3160	с 15.09.2012г. присоединяется к «ГП № 195»,
168	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 163  Департамента здравоохранения города Москвы»	117216, Москва, ул. Коктебельская, д.6	ЮЗАО	Кожина Валентина Ивановна	(495)711-1163	(495)711-8313	с 15.09.2012г. присоединяется к «КДП № 121»
169	Государственное учреждение здравоохранения города Москвы Городская поликлиника № 164  Управления здравоохранения  Северного АО города Москвы	127434, Москва, ул. Немчинова, д.14	САО	Смольяков Александр Дмитриевич	(499) 977-0110	(499) 977-0122	с 15.09.2012г. присоединяется к « ГП № 6»
170	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 101  Департамента здравоохранения города Москвы»	113534, Москва, ул. Чертановская, д.62,стр.1	ЮАО	Винокуров Владимир Геннадьевич	(495)386-0931	(495)386-3464	с 15.09.2012г. присоединяется к «ГП № 170»
171	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 102  Департамента здравоохранения   города Москвы»	121170, Москва, ул. Поклонная, д.8, к.3	ЗАО	Столярская Татьяна Яновна	8-499-249-3320	8-499-249-2669	с 15.09.2012г. присоединяется к « КДЦ № 4»
172	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 103  Департамента здравоохранения города Москвы»	109518, Москва, ул. Грайвороновская, д.18, к.1	ЮВАО	Романов Сергей Николаевич	8-499-173-2071	8-499-173-6690	с 15.09.2012г. присоединяется к «ГП № 109»
173	Государственное  бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 104  Департамента здравоохранения  города Москвы»	109004, Москва, ул. Воронцовская, д.14/14	ЦАО	Кузнецов Валерий Алексеевич	(495) 911-2167	(495) 911-2167	с 15.09.2012г. присоединяется к «ГП № 46»
174	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 105  Департамента здравоохранения  города Москвы»	127238, Москва, Лиственничная аллея, д.14	САО	Титов Игорь Александрович	(495) 976-1363	(495)976-1960	с 15.09.2012г. присоединяется к « ГП № 6» ,
175	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 106  Департамента здравоохранения города Москвы»	117335, Москва, ул. Вавилова , д.71	ЮЗАО	Сорокина Маргарита Леонидовна	(495)134-5411	8-499-132-1283	с 15.09.2012г. присоединяется к «ГП № 22»
176	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 107  Департамента здравоохранения   города Москвы»	127273, Москва, ул. Декабристов, д.24	СВАО	Москалева Марина Константиновна	(499) 404-1422, (499) 907-6324	(499) 904-9990	самостоятельное
177	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 108  Департамента здравоохранения   города Москвы»	125445, Москва, ул. Смольная, д.53	САО	и.о. Евтов Александр Евгеньевич	(495) 707-7740	(495) 457-3291	с 15.09.2012г. присоединяется к «МСЧ № 51»
178	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 109  Департамента здравоохранения   города Москвы»	Москва, ул. Гурьянова, дом 4, корп.3	ЮВАО	Урюпин Алексей Алексеевич	(495)715-7954	(495)715-1212	самостоятельное
179	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 Департамента здравоохранения города Москвы»	123022, Москва, ул. Заморенова, д.27	ЦАО	Шастина Вера Ростиславовна	8-499-255-1937	8-499-255-0819	самостоятельное
180	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 221  Департамента здравоохранения города Москвы»	117628, Москва, ул. Ратная, д.8в	ЮЗАО	Ульянов Валентин Юрьевич	(495)711-1572	(495)711-0445	с 15.09.2012г. присоединяется к «КДП № 121»
181	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 222  Департамента здравоохранения города Москвы»	104421, Москва, ул. Амурская, д.36	ВАО	Коровкина Наталья Александровна	(495)462-0202	(495)462-0202	с 15.09.2012г. присоединяется к ГП № 191»
182	Государственное бюджетное учреждение здравоохранения города Москвы «Городская психотерапевтическая поликлиника № 223 Департамента здравоохранения города Москвы»	Москва, Б.Златоустинский пер., д. 6/6, стр.2	ЦАО	Кыров Николай Евгеньевич	(495)680-1607	(495)680-1607	самостоятельное
183	Государственное  бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 224  Департамента здравоохранения города Москвы»	109145, Москва, Жулебинский бульвар, д.8	ЮВАО	Евдаков Валерьян Алексеевич	(495)705-2800	(495)7051881	с 15.09.2012г. присоединяется к ГП № 23»
184	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 225  Департамента здравоохранения города Москвы»	109202, Москва, 3-я Карачаровская ул., д.11	ЮВАО	Камалова Фярзяня Абдулхановна	8-499-170-0247	8-499-170-4410	с 15.09.2012г. присоединяется к ГП № 36»
185	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 226  Департамента здравоохранения города Москвы»	125430, Москва, Пятницкое шоссе, д.29, к.3	СЗАО	Новичкова Валентина Михайловна	(495)751-2572	(495)751-2572	с 15.09.2012г. присоединяется к «ГП № 180»
186	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 229  Департамента здравоохранения города Москвы»	125222, Москва, ул. Дубравная, д.41	СЗАО	Борисенко Евгений Федорович	(495)753-3111	(495)753-3111	с 15.09.2012г. присоединяется к «ГП № 180»
187	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 230  Департамента здравоохранения  города Москвы»	124617, г. Зеленоград, корпус 1460	ЗелАО	Кадникова Наталья Григорьевна	8-499-717-0255	8-499-738-7010	с 15.09.2012г. присоединяется к «ГП № 201»
188	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 192  Департамента здравоохранения города Москвы»	115372, Москва, ул. Лебедянская, д.10	ЮАО	Бадма-Гаряев Мерген Сергеевич	(495)329-8755	(495)328-9257	с 15.09.2012г. присоединяется к «ГП № 52»
189	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 193  Департамента здравоохранения города Москвы»	125599, Москва, ул. маршала Федоренко, д.6	САО	Ивашевская Наталья Николаевна	(495) 486-2064	(495) 486-1596	с 15.09.2012г. присоединяется к «КДЦ № 6»
190	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 194  Департамента здравоохранения города Москвы»	119620, Москва, Солнцевский проспект, д.8	ЗАО	Дмитриев Дмитрий Геннадьевич	(495)435-2241	(495)435-2241	с 15.09.2012г. присоединяется к «ГП № 212»
191	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 195  Департамента здравоохранения города Москвы»	121614, Москва, ул. Крылатские холмы, д.51	ЗАО	Фуфаев Евгений Николаевич	(495)413-2524	(495)413-4744	самостоятельное
192	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 196 Департамента здравоохранения города Москвы»	111621, Москва, ул. Красносолнечная, д.40а	ВАО	Фарутина Алла Геннадиевна	(495)700-0120	(495)700-0111	с 15.09.2012г. присоединяется к «ГП № 66»
193	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 197 Департамента здравоохранения города Москвы»	119633, Москва, ул. Новоорловская, д.4	ЗАО	Фатеев Александр Иванович	(495)733-5362	(495)733-5294	с 15.09.2012г. присоединяется к «ГП № 212»
194	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 198  Департамента здравоохранения города Москвы»	115408, Москва, ул. Алма-Атинская, д.3,кор.3	ЮАО	Рожеова Надежда Ивановна	(495)341-3684	(495)341-3718	с 15.09.2012г. присоединяется к «ГП № 210»
195	Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 199 Департамента здравоохранения города Москвы»	121601, Москва, Филевский Бульвар, д.18	ЗАО	Маер Руслан Юрьевич	(499) 145-1074	(499) 145-0986	с 15.09.2012г. присоединяется к «ГП № 195»
196	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 200 Департамента здравоохранения   города Москвы»	Москва, ул. Родионовская, дом 10, к.2	СЗАО	Павлов Сергей Валерьевич	(499) 401-7040	(499) 401-7040	с 15.09.2012г. присоединяется к «ГП № 219»
197	Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 201  Департамента здравоохранения города Москвы»	124575, г. Зеленоград, корпус 911, стр.1	ЗелАО	Михайличенко Павел Николаевич	(499) 731-1383	(499) 732-2636	самостоятельное
198	Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 202 Департамента здравоохранения города Москвы»	119992, Москва, Ленинские горы, дом 1, стр.53	ЗАО	и.о. Осипова Александра Федоровна	(495)939-2072	(495)939-0030	самостоятельное
