№ строки	Название	Адрес	Юридический адрес	Руководитель	Телефон	Факс	ЛПУ	Дополнительная информация
115	Детская городская поликлиника № 73 Молочная кухня	ул. Академика Павлова, д. 21, корп. 1	ул. Ярцевская, д. 25, корп. 2	Панкратов Иван Владимирович	(499) 140-04-07	8-499-140-04-07	ГБУЗ Города Москвы Детская городская поликлиника № 73  Пункт 1	отсутствует
116	Детская городская поликлиника № 73 Молочная кухня	ул. Ивана Франко, д. 32	ул. Ярцевская, д. 25, корп. 2	Панкратов Иван Владимирович	(499) 140-04-07	8-499-140-04-07	ГБУЗ Города Москвы Детская городская поликлиника № 73  Пункт 2	отсутствует
117	Детская  городская поликлиника№ 88 Молочная кухня	ул. Большая Очаковская, д.38-А	ул. Большая Очаковская, д.38-А	Степанова Ирина Валерьевна	(495) 430-10-77	8-495-430-10-77	ГБУЗ Города Москвы  Детская городская поликлиника № 88	отсутствует
118	Детская городская поликлиника № 89 Молочная кухня	ул. Инициативная, д.5, корп.1, стр.2	улица Артамонова, дом 6,	Жарких Олег Владимирович	(499) 445-00-33	8-495-445-00-33	ГБУЗ города Москвы Детская городская поликлиника № 89	отсутствует
119	Детская городская поликлиника № 119 Молочная кухня	проспект Вернадского, дом 101, корпус 4	проспект Вернадского, дом 101, корпус 4.	Медведева Елена Игоревна	(495) 434-54-11	8-495-434-54-11	ГБУЗ города Москвы Детская городская поликлиника № 119  Пункт 1	отсутствует
120	Детская городская поликлиника № 119 Молочная кухня	улица Академика Анохина, дом 4, корпус 2.	проспект Вернадского, дом 101, корпус 4.	Медведева Елена Игоревна	(495) 434-54-11	8-495-434-54-11	ГБУЗ города Москвы Детская городская поликлиника № 119  Пункт 2	отсутствует
121	Детская городская поликлиника № 124 Молочная кухня	Москва Авиаторов д. 16	ул. Авиаторов 22	Притыко Денис Андреевич	(495) 934-85-62	8-499-934-17-51	КДЦ НПЦ НПД детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы	отсутствует
122	Детская городская поликлиника № 128  Молочная кухня	Крылатские холмы, д. 34	Осенний бульвар, д.19	Фесюк Ольга Спиридоновна	(495) 413-60-15; (495) 415-82-24	495) 415-82-24	ГБУЗ города Москвы Детская городская поликлиника № 128	отсутствует
123	Детская городская поликлиника № 131. Молочная кухня	улица Раменки, д. 27.	улица Раменки, дом 27.	Лукьянова Елена Арнольдовна	(495) 9311183	8-495-413-60-15	ГБУЗ города Москвы Детская городская поликлиника № 131	отсутствует
124	Детская городская поликлиника № 132. Молочная кухня	ул. Новопеределкинская, д. 11	ул. Новоорловская, д. 2, корп.1	Кузнецова Елена Ивановна	(495) 733-54-60	8-495-931-83-11	ГБУЗ города Москвы Детская городская поликлиника № 132	отсутствует
125	Детская городская поликлиника № 106 Молочная кухня	ул. Краснодонская, д.34, к.2	ул.	Главный врач Синицына Т.В.	(495) 351-55-44	8-495-351-55-44	ГБУЗ ДГП № 106	отсутствует
126	Детская городская поликлиника № 112 Молочная кухня	ул.  Подольская, д. 27, к.2, с.1	ул.   Новочеркасский б-р, д. 6	Главный врач Толстолесов В.А.	(495) 356-04-81	8-495-356-16-71	ГБУЗ ДГП № 112	отсутствует
127	Детская городская поликлиника № 115 Молочная кухня	ул. Красноказарменная, д. 9	ул.   2-я Синичкина, д 6	Главный врач Илюхина Е.И.	(495) 362-11-27	8-495-362-10-80	ГБУЗ ДГП № 115	отсутствует
128	Детская городская поликлиника № 115 Молочная кухня	ул. Волочаевская, д. 20, к.1	ул.  2-я Синичкина, д 6	Главный врач Илюхина Е.И.	(495) 362-11-27	8-495-362-10-80	ГБУЗ ДГП № 115	отсутствует
129	Детская городская поликлиника № 135 Молочная кухня	ул. Грайвороновская, д.16, к. 1	ул. Саратовская, д.14/1	И.о. главного врача Чхаидзе Р.А.	(495) 177-67-77	8-499-177-67-77	ГБУЗ ДГП № 135	отсутствует
130	Детская городская поликлиника № 136 Молочная кухня	Батайский пр-д, д.55	ул.   Новочеркасский б-р, д.35	Главный врач Смоленцева Т.Л.	(495) 348-21-92	8-495-348-21-92	ГБУЗ ДГП № 136	отсутствует
131	Детская городская поликлиника № 142 Молочная кухня	Хвалынский б-р, д. 10	ул.  Хвалынский б-р, д. 10	И.о. главного врача Онищенко С.А.	(495) 705-61-35	8-495-705-61-35	ГБУЗ ДГП № 142	отсутствует
132	Детская городская поликлиника № 143 Молочная кухня	Генерала Кузнецова, д. 14, к.1	ул.   Авиаконструктора Миля, 5, к. 1	Главный врач Казыкина Т.Н.	(495) 704-58-72	8-495-705-03-45	ГБУЗ ДГП № 143	отсутствует
133	Детская городская поликлиника № 146 Молочная кухня	ул. Цимлянская, д.22	ул.   Цимлянская, д.22	Главный врач Биркина Л.В.	(495) 770-71-51	8-495-770-68-75	ГБУЗ ДГП № 146	отсутствует
134	Детская городская поликлиника № 146 Молочная кухня	Ставропольский пр-д, д. 17	ул.  Цимлянская, д.22	Главный врач Биркина Л.В.	(495) 770-71-51	8-495-770-68-75	ГБУЗ ДГП № 146	отсутствует
135	Детская городская поликлиника № 147 Молочная кухня	Перервинский б-р, д. 18, к.1	ул.   Перервинский б-р, д. 18, к.1	Главный врач Заводилова Л.Л.	(495) 347-46-00	8-495-347-46-00	ГБУЗ ДГП № 147	отсутствует
136	Детская городская поликлиника № 150 Молочная кухня	ул. Братиславская, д. 1	ул.Братиславская, д. 1	Главный врач Ключникова И.В.	(495) 658-42-27	8-495-658-42-27	ГБУЗ ДГП № 150	отсутствует
137	Городская  больница № 49, детское отделение, Молочная кухня	Капотня, 3-й квартал, д.27	ул.Капотня, 3-й квартал, д.27	Главный врач Леков Р.М.	(495) 355-15-47	8-495-355-36-38	ГБУЗ ГБ № 49  детское отделение	отсутствует
138	Детская городская поликлиника № 97. Молочная кухня	Профсоюзная ул., д.154, корп.6.	Профсоюзная ул., д.154, корп.5	Айрапетян Арам Суренович	(495) 338-56-00	8-495-338-56-00	Детская городская поликлиника № 97	отсутствует
139	Детская городская поликлиника № 97. Молочная кухня	Теплый Стан, д. 4	Профсоюзная ул., д.154, корп.5	Айрапетян Арам Суренович	(495) 338-56-00	8-495-338-56-00	Детская городская поликлиника № 97	отсутствует
140	Детская городская поликлиника № 103. Молочная кухня	Паустовского ул., д.8, корп.2.	Голубинская ул., д.21, корп.2	Удалова Наталья Ивановна	(495) 421-29-11	8-495-421-29-11	Детская городская поликлиника № 103	отсутствует
141	Детская городская поликлиника № 111. Молочная кухня	Соловьиный пр. д.6.	Ясногорская ул., д.3А	Ковкина Татьяна Петровна	(495) 425-85-11	8-495-425-85-11	Детская городская поликлиника № 111	отсутствует
142	Детская городская поликлиника № 118. Молочная кухня	Коктебельская ул., д.4а	Куликовская ул., д1Б.	Филатчева Елена Алексеевна	(495) 711-63-36	8-495-711-69-81	Детская городская поликлиника № 118. Пункт 1	отсутствует
143	Детская городская поликлиника № 118. Молочная кухня	Знаменские Садки ул., д.1б.	Куликовская ул., д1Б.	Филатчева Елена Алексеевна	(495) 711-63-36	8-495-711-69-81	Детская городская поликлиника № 118. Пункт 2	отсутствует
144	Детская городская поликлиника № 118. Молочная кухня	Грина ул., д. 1г	Куликовская ул., д1Б.	Филатчева Елена Алексеевна	(495) 711-63-36	(495) 711-69-81	Детская городская поликлиника № 118. Пункт 3	отсутствует
145	Детская городская поликлиника № 134. Молочная кухня	Академика Пилюгина ул., д.26, корп.5.	Академика Пилюгина ул., д.26, корп.5.	Кононенко Екатерина Валерьевна	(495) 132-79-92	8-499-132-79-92	Детская городская поликлиника № 134	отсутствует
146	Детская городская поликлиника № 149. Молочная кухня	Бартеневская ул., д.61	Бартеневская ул., д.61.	Володина Лариса Алексеевна	(495) 715-34-63	8-499-715-34-43	Детская городская поликлиника № 149	отсутствует
147	Детская городская поликлиника № 151. Молочная кухня	Брусилова ул., д.17, корп.1	Брусилова ул., д.17, корп.1	Гаплаев Магомед Шиблуевич	(495) 234-00-43	8-499-234-00-43	Детская городская поликлиника № 151	отсутствует
148	Детская городская поликлиника № 151. Молочная кухня	2-я Мелитопольская ул., д.21, корп.1	Брусилова ул., д.17, корп.1	Гаплаев Магомед Шиблуевич	(495) 234-00-43	8-499-234-00-43	Детская городская поликлиника № 151	отсутствует
149	Городская поликлиника № 199	Филевский б-р, д. 18	ул. Крылатские холмы, д. 51	Фуфаев Евгений  Николаевич	(495) 413-25-24; (499) 145-09-86	(499) 145-09-86	ГБУЗ  Москвы Городская поликлиника № 195  филиал № 5	отсутствует
150	Городская поликлиника № 217. Молочная кухня	ул. Насосная, 1А	Солнцевский проспект, 11А	Пиддэ Ольга Васильевна	(495) 436-75-38	8-495-436-75-38	ГБУЗ города Москвы Городская поликлиника № 212  Филиал № 217	отсутствует
151	Городская поликлиника № 83. Молочная кухня	Обводное шоссе д.5	ул.Советская д.2 стр.1	Фуфаев Евгений  Николаевич	(495) 727-12-28	8(495) 727-12-28	ГБУЗ  Москвы Городская поликлиника № 195  филиал № 1	отсутствует
152	Детская городская поликлиника № 84 Молочная кухня	Зеленоград, корп. 348А, стр.1	Зеленоград, корп. 384А	Кудряшева Галина Петровна	(499) 7352779	8-499-794-06-37	ГБУЗ ДГП № 84	отсутствует
153	Молочная кухня	г. Московский, 1-й микрорайон, д.18,  детская поликлиника	г. Московский, 1-й микрорайон, д.18,  детская поликлиника	Рыбникова Т.Д.	(495) 841-81-05;  (495) 841-82-85	(495) 841-82-85	ГБУЗ Городская больница  больница г. Московский	отсутствует
154	Молочная кухня	п. Кокошкино, ул. Труда, 15, детская поликлиника	п. Кокошкино, ул. Труда, 15, детская поликлиника	Рыбникова Т.Д.	(495) 841-81-05;  (495) 841-82-85	(495) 841-82-85	ГБУЗ Городская больница  больница г. Московский	отсутствует
155	Молочная кухня	д. Марушкино, амбулатория	Марушкино д.   амбулатория	Рыбникова Т.Д.	(495) 841-81-05;  (495) 841-82-85	495) 841-82-85	ГБУЗ Городская больница  больница г. Московский	отсутствует
156	Молочная кухня	п. Крекшино, амбулатория	п. Крекшино, амбулатория	Рыбникова Т.Д.	(495) 841-81-05;  (495) 841-82-85	495) 841-82-85	ГБУЗ Городская больница  больница г. Московский	отсутствует
157	Щербинская больница.  Молочная кухня	г. Щербинка, ул. Вокзальная, д.8, детская городская поликлиника	г. Щербинка,  ул. Первомайская д.10	Курков Владимир Львович	(495) 876-02-49; (495) 876-02-79	495) 876-02-79	ГБУЗ Щербинская городская больница	отсутствует
158	Амбулатория Мосрентген. Молочная кухня	п. Мосрентген, амбулатория	п. Мосрентген, амбулатория	Гоев Кирилл Владимирович	(495) 339-18-55	'(495) 339-18-55	Амбулатория  Мосрентген	отсутствует
159	Внуковская больница. Молочная кухня	д. Абабурово, ул. Маяковского, д. 1, поликлиника	д. Абабурово, ул. Маяковского, д. 1, поликлиника	Словеснова Ираида Викторовна	(495) 736-64-09	(495) 736-64-09	ГБУЗ Внуковская больница	отсутствует
160	Коммунарская больница. Молочная кухня	п., Коммунарка, амбулатория	п., Коммунарка, амбулатория	Сатаров Михаил Геннадьевич	(495)  817-85-03	(495)  817-85-03	ГБУЗ Коммунарская больница	отсутствует
161	Молочная кухня	п. Воскресенское, д. 28	п., Коммунарка, амбулатория	Сатаров Михаил Геннадьевич	(495)  817-85-03	(495)  817-85-03	ГБУЗ Коммунарская больница	отсутствует
162	Марьинская амбулатория. Молочная кухня	п. Марьино, амбулатория	п. Марьино, амбулатория	и.о.Удальцова Марина Сергеевна	8-916-129-63-70	8-916-129-63-70	ГБУЗ Марьинская амбулатория	отсутствует
163	Ватутинская амбулатория. Молочная  кухня	п. Ватутинки 1, амбулатория	п. Ватутинки 1, амбулатория	Бахмутов Денис Николаевич	(495) 5495953	(495) 5495953	ГБУЗ Ватутинская амбулатория	отсутствует
164	Больница Кузнечики. Молочная кухня	п. Знамя Октября, стр. 5а, поликлиника	п. Знамя Октября, стр. 5а, поликлиника	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
165	Больница Кузнечики. Молочная кухня	п. Ерино, стр. 1а, поликлиника	п. Знамя Октября, стр. 5а, поликлиника	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
166	Больница Кузнечики. Молочная кухня	п. Фабрика им. 1 Мая, д. 6 ,  поликлиника	п. Знамя Октября, стр. 5а, поликлиника	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
167	Больница Кузнечики. Молочная кухня	п. Остафьево, стр. 29, амбулатория	п. Знамя Октября, стр. 5а, поликлиника	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
168	Молочная кухня	п. Шишкин лес, стр. 32, поликлиника	п. Шишкин лес, стр. 32, поликлиника	Лысиков Владимир Генадьевич	(495) 5495953	'(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
169	Молочная кухня	п. Щапово, д. 49, амбулатория	п. Щапово, д. 49, амбулатория	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
170	Молочная кухня	п.  Красная Пахра, ул. Заводская, д. 17, амбулатория	п.  Красная Пахра, ул. Заводская, д. 17, амбулатория	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
171	Молочная кухня	п.  Кленово, ул. Мичурина, стр. 5, амбулатория	п.  Кленово, ул. Мичурина, стр. 5, амбулатория	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
172	Молочная кухня	п. Курилово, ул. Школьная, д. 5, ФАП	п. Курилово, ул. Школьная, д. 5, ФАП	Лысиков Владимир Генадьевич	(495) 5495953	(495) 5495953	ГБУЗ Больница Кузнечики	отсутствует
173	Молочная кухня	г. Троицк, Сиреневый бульвар, д. 1	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница . Пункт 1	отсутствует
174	Молочная кухня	г. Троицк, Микрорайон В, д. 52	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница . Пункт 2	отсутствует
175	Молочная кухня	п. Птичное, амбулатория	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница . Выезжает машина	отсутствует
176	Молочная кухня	п. Первомайское,  амбулатория	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница	отсутствует
177	Молочная кухня	п. Киевский, пол-ка РЖД	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница	отсутствует
178	Молочная кухня	д. Яковлевское,  амбулатория	г. Троицк, Октябрьский просп., д. 3Б	Герасименко Жанетта Александровна	(495)  851-50-90	(495)  851-50-90	ГАУЗ Троицкая городская больница	отсутствует
179	Молочная кухня	п.Рогово д.8а, пос.ЛМС	п.Рогово д.8а, пос.ЛМС	Киселева Марина Борисовна	(495) 850-79-44	(495) 850-79-44	ГБУЗ Вороновская городская больница	отсутствует
180	Детская городская поликлиника № 138. Молочная кухня	Виневская ул., д.3а	Скобелевская ул., д.2.	Панферова Ольга Олеговна	(495) 716-70-72	(495) 716-70-72	Детская городская поликлиника № 138	отсутствует
