№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
187	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 263	127273,г. Москва, ул. Отрадная, д. 11 Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 904-04-77	http://sch263.svao.mscobr.ru
188	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 302	127410, г. Москва, Инженерная улица, дом 16	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 900-90-93; (499) 900-90-30; (499) 900-90-02	http://sch302.svou.mskobr.ru
189	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 352	129128, г. Москва, ул. Малахитовая, 15	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 181-02-12; (199) 181-27-94	http://www.ds1419.mskobr.ru
190	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 761	127566, г. Москва, ул. Бестужевых, д. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 903-55-00; (499) 903-55-08	http://school970.binec.ru
191	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний "Искусство" № 242	129594, г. Москва, 1-й проезд Марьной рощи, д. 3а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	631-17-06	http://schu242.svao.mskobr.ru
192	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 705	123592, г. Москва, ул. Кулакова, д. 25, кор. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	758-36-87	http://sch705.mskobr.ru
193	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 820	125362, г. Москва, ул. Тушинская, д.7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	491-76-33	http://школа820.рф/
194	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1010	123308, город Москва, улица Мневники, дом 7, корус 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 191-35-12	http://sch1010.ru
195	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1192	125310, г. Москва, ул. Барышиха, д. 42, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 751-69-71; (495) 751-69-50	http://sch1192.mskobr.ru
196	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985	125466, г. Москва, ул. Ландышевая, дом 8	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 401-98-19	http://dsovp2454.mskobr.ru
197	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1945	117628, г.Москва, ул. Старокачаловская, вл.22	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	713-68-72	http://sch1945.ru
198	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1981	117042, г.Москва, ул. Бартеневская, д. 27	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	717-17-54	http://school-1981.ru
199	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2009	117041, г.Москва, улица Адмирала Руднева, дом 16, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	717-19-54	http://www.sch2009.ru
200	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 34	119121 г.Москва, ул. Плющиха, д.39/41	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 248-45-79	http://school34.ru/
201	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 59 имени Н.В.Гоголя	119002 г.Москва, Староконюшенный пер., д.18,20	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 241-56-62	http://www.sch59.cao.mskobr.ru
202	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 171	119146 г.Москва, 2-ая Фрунзенская ул.,д.7 А, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 242-45-58	http://sch171.ru
203	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 330	105064 г. Москва, Б. Казенный пер., д.9	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	917-78-21	http://couo.ru/school/330/
204	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 457	109544 г. Москва, ул. Библиотечная , д.29	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 678-00-01	http://school457.ru
205	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2046	117148, Москва, улица Маршала Савицкого, дом 6, корпус 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499)232-11-09,(499)-232-11-09	http://sosh2046.ru
206	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 480 имени В.В.Талалихина	109029 г. Москва, ул. Средняя Калитниковская , д.22 стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 670-53-54; (495) 670-53-51	http://sch480.ru/
207	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 789	117574, г. Москва, улица Голубинская, дом 5, корп.3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	421-47-88	http://www.sch789.hut2.ru
208	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1716 "Эврика-Огонек"	109451, Москва, улица Верхние поля, дом 40, корпус 2.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	658-59-21	http://schuv1716.mskobr.ru
209	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1741	119602 г.Москва, ул. Никулинская, д. 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 232-75-81; (495) 232-75-82	http://www.sch1741.mskzapad.ru
210	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1933	119634 г. Москва, ул Чоботовская, дом 8.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	732-95-33	http://sch1933.mskzapad.ru
211	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 862	117463, Москва,  ул. Голубинская, д. 23, корп. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	422-34-00	http://school862.3dn.ru/
212	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа Российско-Словацкой дружбы № 1934	109451, г. Москва, Мячковский бульвар, д. 7, к. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 722-77-15	http://sch1934uv.mskobr.ru
213	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1937	109444, г. Москва, Самаркандский бульвар, д. 28, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	377-62-29	http://www.school1937.org
214	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1101	117133, Москва, ул. Академика Варги, дом 34	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	339-77-39	http://sch1101.mosuzedu.ru
215	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2012	109559, г. Москва, ул. Верхние поля, д. 47, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	658-49-94	http://sc2012.ru
216	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1176	117148, г. Москва, улица Брусилова, дом 29, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	659-23-81	http://sch1176.mosuzedu.ru
217	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1141	109651, г. Москва, Батайский проезд, дом 21	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	356-43-71	http://www.schoool1141.narod.ru
218	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 18	117463, г. Москва, проезд Карамзина, дом 9, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	423-08-33	http://shkola18.taba.ru/
219	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 103	117485, г.Москва, ул.Академика Волгина, дом 11	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	336-65-33	http://school103.narod.ru
220	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 107	117463, г.Москва, улица Голубинская, дом 28, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	421-82-00	http://www.school107.mosuzedu.ru
221	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 536	117452, г.Москва, ул.Азовская, д.41	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	318-59-09	http://sch536.ru
222	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 693	117593, г. Москва, Соловьиный проезд, дом 4, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	426-79-11	http://www.school693.ru
223	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 790	117588, г. Москва, Новоясеневский проспект, дом 24, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	427-68-01	http://kadet790.ru
224	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1968	10934, г. Москва, ул. Верхние поля, д. 30	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	658-52-67	http://school1968.ru/
225	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1986 имени Героя Советского Союза М.П.Судакова	109559, г. Москва, ул. Новороссийская, д. 36	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	359-55-01	http://schuv1986.mskobr.ru
226	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1199 "Лига Школ"	117574, г.Москва, Новоясеневский проспект, дом 16, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	427-59-45	http://www.liga1199.ru
227	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 172	125481, г. Москва, ул. Фомичевой, д. 5, кор.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	492-83-22	http://school-172.ru
228	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 827	125373, г. Москва, ул. Героев Панфиловцев, д. 35, кор. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 496-55-29	http://www.ds1861.mskobr.ru
229	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1946	117042, г.Москва, ул. Южнобутовская, д. 135 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	715-26-37	http://sch1946.wmsite.ru
230	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1961	117042, г. Москва, ул. Южнобутовская, д. 76, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	715-80-54	http://www.sch1961.ru
231	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1994	117042, г. Москва, Аллея Витте, дом 2, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	717-90-45	http://school1994.ru/
232	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 128	125047 г. Москва, 2-ая Тверская -Ямская ул., д.46	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	251-96-00	http://schc128.mskobr.ru/
233	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 555	115093 г. Москва, ул. Б. Серпуховская, д. 13	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	236-21-82	http://couo.ru/school/555_1/index.html
234	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1323	115035 г. Москва, ул. Б. Ордынка, д.15, стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	951-28-28	http://1323.ru
235	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 259	127018, г. Москва, ул. Двинцев, д. 10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 689-51-33; (495) 689-81-36; (495) 689-75-65	http://sch259.svao.mskobr.ru
236	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 297	129323, г. Москва, 1-й Ботанический проезд, дом 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 180-41-85; (499) 180-84-85; (495) 656-66-12; (499) 180-82-04; (499) 180-11-04; (495) 656-65-86	http://sch297.svao.mskobr.ru/
237	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 968	127322, г.Москва, ул.Милашенкова, д.10В	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	639-51-21	http://school-968.ucoz.ru/
238	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1096	129337, г. Москва, улица Палехская, дом 10	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 188-51-01	http://school1096.narod.ru
239	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 316	107589, г. Москва, улица  Алтайская, д. 26 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	467-63-40	http://www.lvv316.narod2.ru
240	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 362	107150, г. Москва, ул. Ивантеевская, 32А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 160-12-20	http://362.su/
241	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 406	111399, Москва, Зеленый проспект, дом 59	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	301-35-49	http://school-406.ru
242	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 616	124489, г. Москва, Зеленоград, корп.621А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 734-15-93	http://schzg616.mskobr.ru
243	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №617 имени генерала Д.Ф.Алексеева	124498, г. Москва, Зеленоград, Березовая аллея, д. 7А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	734-12-36	http://zou.ru/s617test/
244	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 897	124527, г. Москва, Зеленоград, корпус 844	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 732-62-21	http://s897.zouo.ru
245	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1149	124617, г. Москва, Зеленоград, корп. 1464	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 717-02-01	http://schzg1149mskobr.ru/
246	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 816	119361 г.Москва, ул. Б.Очаковская, д.39, к.2,3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 430-51-10	http://sch816.mskzapad.ru
247	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 914	119517 г.Москва, ул.Матвеевская, д. 34, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 441-30-10; (495) 441-25-18	http://ds677.mskzapad.ru
248	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2025	119361, г.Москва, ул. Б.Очаковская, д.42, корпус 2.	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 726-15-89	http://sch2025.mskzapad.ru/
249	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 766	107497, г. Москва, Байкальская ул., д.44	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	467-57-95	http://sch766.narod.ru
250	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 841	109518, город Москва, Волжский бульвар, дом 6, корпус 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	177-56-77	http://schuv841.mskobr.ru
251	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1043	109652, г. Москва, ул. Люблинская, дом 173	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	658-57-83	http://schuv1043.mskobr.ru
252	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 3	117420, г. Москва, улица Новочеремушкинская, дом 62, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	331-08-22	http://school3.msk.ru
253	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 4	117218, г.Москва, ул.Профсоюзная, д. 9А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 125-37-94	http://school4.mosuzedu.ru
254	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 51	117513, г.Москва, Ленинский пр-т, дом 125, корп.4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 438-24-56	http://gou51.mosuzedu.ru
255	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 113	117437, г.Москва, ул. Профсоюзная, дом 118-Б	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	335-92-77	http://www.school113.ru
256	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 156	117463, г.Москва, улица Паустовского, дом 5, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	422-24-22	http://www.156.ru
257	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 520	117447, г.Москва, ул.Винокурова, д.19	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 724-23-00	http://www.s520.mosuzedu.ru
258	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 535	117452, г. Москва, ул. Азовская, д.31	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	310-54-22	http://sosh535.ru
259	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1935	109431, г. Москва, ул. Авиаконструктора Миля, дом 18, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 704-08-40; (495) 704-26-11; (495) 705-85-11	http://sch1935.uvuo.ru
260	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 70	123592, г. Москва, Строгинский бульвар, д.14, корп. 5	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	758-67-00	http://www.school70.ru
261	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 89 имени А.П. Маресьева	123592, г. Москва, ул. Кулакова, д.12, к. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	758-91-15	http://dsovp1397.mskobr.ru
262	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 92	123098, г. Москва, ул. Живописная, д. 32	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 728-54-02; (499) 728-53-39; (499) 728-54-41	http://www.schsz92.mskobr.ru
263	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 114	125363, г.Москва, ул.Сходненская, д.35	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	493-44-33	http:// sch.114.ru/
264	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 680	125480, г. Москва, бульвар Яна Райниса, д. 4, корп. 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 494-11-55	http://www.ds1982.mskobr.ru
265	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1931	117042, г. Москва, Чечёрский проезд, дом 42	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	715-62-27	http://sch1931.mosuzedu.ru
266	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1980	117042, г. Москва, Чечерский проезд, дом 56	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	715-51-36	http://school1980.mosuzedu.ru
267	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 235	129110 г.Москва, ул.Щепкина, д.68	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 684-59-05	http://sch235.ru
268	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2013	117342, г.Москва, ул. Островитянова, дом 53, корпус 4	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	336-02-33	http://school-2013.msk.ru
269	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 283	127224, г.Москва, ул.Широкая, д.21-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	477-11-40	http://sch283.svao.mskobr.ru
270	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 529	129345, г. Москва, ул. 2-ая Напрудная, дом 17А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 184-29-09; (499) 184-19-18; (499) 184-19-22	http://sch529.svao.mskobr.ru/
271	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 655	127576, г. Москва, ул. Новгородская, д. 12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 200-95-66	http://sch655.svao.mskobr.ru/
272	Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 745	127562 г. Москва, Алтуфьевское шоссе, д. 30а	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 903-00-01	http://www.sch745.svao.mskobr.ru
273	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 756	127224, г. Москва, ул. Грекова, дом 11 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 478-10-89; (499) 479-25-01	http://sch756.svao.mskobr.ru/
274	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 758	127349 г. Москва, ул. Лескова, д. 3, корп. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	908-39-23	http://www.sch758.svao.mskobr.ru
275	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 763	129336, г. Москва, ул. Стартовая, д. 27, корп. 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 474-90-60	http://sch763.svao.mskobr.ru
276	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 956	127642, г.Москва, улица Заповедная, дом 22	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	186-38-92	http://sch956svao.mskobr.ru/
277	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1051 имени Героя Социалистического Труда Г.В. Кисунько	127572, город  Москва, улица  Угличская, дом 17	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 209-11-51	http://www.sch1051.svao.mskobr.ru
278	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1097	129327, г. Москва, ул. Печорская, д.18	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	471-15-61	http://sch1097.svao.mskobr.ru
279	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 319	105122, г. Москва, ул. Амурская, дом 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	966-87-10	http//sch319.mskobr.ru
280	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 360	105523, г. Москва,ул. 15-я Парковая , 46 А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	468-81-52	http://360school.ru
281	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 392	107392, г. Москва, ул. Знаменская, д. 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(495) 963-92-39; (495) 963-92-46; (495) 963-87-72; (495) 963-87-50; (495) 963-90-88; (495) 963-91-89	http://schv392.mskobr.ru
282	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 403	105264, г. Москва, Сиреневый б-р, д. 20	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	164-67-01	http://403school.ucoz.ru
