№ строки	Название	Адрес	Телефон	Режим работы
126	Управление социальной защиты населения района Ясенево, ЮЗАО	г. Москва, ул. Голубинская, д. 31, корп. 1	(495) 423-89-20, (499) 724-42-83	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
127	Управление социальной защиты населения Западного административного округа г. Москвы	г. Москва, ул.Удальцова, дом 4	(499) 133-86-42, (495) 431-17-11	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
128	Управление социальной защиты населения Можайского района, ЗАО	г. Москва, ул. Гришина, д. 8, стр. 3	(495) 446-02-05, (495) 440-70-32	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
129	Управление социальной защиты населения района Внуково, ЗАО	г. Москва, ул. 2-я Рейсовая, д. 25 Б	(495) 736-28-91, (495) 436-30-78	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
130	Управление социальной защиты населения района Дорогомилово, ЗАО	г. Москва, ул. Студенческая, д. 31	(499) 249-04-67, (499) 249-11-06	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
131	Управление социальной защиты населения района Крылатское, ЗАО	г. Москва, шоссе Рублевское, д. 36 корп. 1	(495) 415-50-07, (495) 415-95-97	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
132	Управление социальной защиты населения района Кунцево, ЗАО	г. Москва, ул. Екатерины Будановой, д. 8, корп. 2	(495) 417-91-75, (495) 417-24-64	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
133	Управление социальной защиты населения района Ново-Переделкино, ЗАО	г. Москва, ул. Лукинская, д. 1	(495) 731-88-04, (495) 733-28-90	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
134	Управление социальной защиты населения района Очаково-Матвеевское, ЗАО	г. Москва, ул. Б.Очаковская, д. 22	(495) 437-55-14, (495) 437-82-38	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
135	Управление социальной защиты населения района Проспект Вернадского, ЗАО	г. Москва, ул. Удальцова, дом 4	(499) 133-77-45, (499) 131-77-95	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
136	Управление социальной защиты населения района Раменки, ЗАО	г. Москва, ул. Раменки, д. 6, корп. 2	(495) 932-78-91, (495) 932-86-81	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
137	Управление социальной защиты населения района Солнцево, ЗАО	г. Москва, ул. Богданова, д. 54	(495) 435-23-66, (495) 439-41-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
138	Управление социальной защиты населения района Тропарево-Никулино, ЗАО	г. Москва, Ленинский пр-т, д. 156	(495) 433-64-00, (495) 434-05-94	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
139	Управление социальной защиты населения района Фили-Давыдково, ЗАО	г. Москва, ул. Большая Филевская, д. 57, стр. 1	(499) 146-00-77, (499) 146-33-00	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
140	Управление социальной защиты населения Северо-Западного административного округа г. Москвы	г. Москва, ул. Маршала Бирюзова, д. 10, корп. 1	(499) 195-95-09, (499) 943-27-93	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
141	Управление социальной защиты населения района Митино, СЗАО	г. Москва, Пятницкое шоссе, д. 7	(495) 751-01-91, (495) 751-01-91	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
142	Управление социальной защиты населения района Покровско-Стрешнево, СЗАО	г. Москва, ул. Свободы, д. 8/4, стр. 1	(495) 491-82-24, 491-82-24	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
143	Управление социальной защиты населения района Северное Тушино, СЗАО	г. Москва, бульв. Яна Райниса, д. 17	(495) 948-92-72, 949-17-18	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
144	Управление социальной защиты населения района Строгино, СЗАО	г. Москва, Строгинский бульвар, д. 2, корп. 2	(495) 758-93-33	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
145	Управление социальной защиты населения района Хорошево-Мневники, СЗАО	г. Москва, бульв. Генерала Карбышева, д. 14	(495) 197-72-59, 199-25-66	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
146	Управление социальной защиты населения района Щукино, СЗАО	г. Москва, ул. Живописная, д. 48	(495) 193-65-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
147	Управление социальной защиты населения района Южное Тушино, СЗАО	г. Москва, бульв. Яна Райниса, д. 17	(495) 948-96-88	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
148	Управление социальной защиты населения района Куркино, СЗАО	г. Москва, Соловьиная роща, д. 10	(499) 401-90-07, (499) 401-90-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
149	Управление социальной защиты населения Зеленоградского административного округа г. Москвы	г. Москва, Зеленоград, корп. 1821	(499) 717-01-19, (499) 717-08-81	пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
150	Управление социальной защиты населения района Матушкино-Савелки, ЗелАО	г. Зеленоград, корп. 313	(495) 535-52-15, (499) 736-59-87	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
151	Управление социальной защиты населения района Крюково, ЗелАО	г. Зеленоград, корп. 1818 а	(499) 733-02-93, (499) 733-58-01	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
152	Управление социальной защиты населения Панфиловского района, ЗелАО	г. Москва, г. Зеленоград, корп. 830	(499) 729-81-51, (499) 729-81-61	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
153	Государственное бюджетное образовательное учреждение города Москвы детский дом №5	127282, Москва, Полярная ул., д.54а	(499) 473-34- 41	круглосуточно
154	Государственное бюджетное  образовательное учреждение Специальная (коррекционная)  школа-интернат № 8 для детей-сирот и детей,  оставшихся без попечения родителей, с ограниченными возможностями здоровья	121309, Москва, Новозаводская ул., д.19а	(499) 148-36-21	круглосуточно
155	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 11	119602, Москва, Академика Анохина ул., д.28, кор.1	(495) 437-41-41	круглосуточно
156	Государственное бюджетное образовательное учреждение детский дом №12	125373, Москва, Василия Петушкова ул., д.19, кор.1	(495) 948-50-10	круглосуточно
157	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом для детей – сирот и детей, оставшихся без попечения родителей № 14	124617, Москва, Зеленоград, кор.1426	(499) 717-04-95	круглосуточно
158	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с ограниченными возможностями здоровья № 18	109280, Москва, Лебедянская ул., д.26, кор.3	(495) 329-83-22	пн.-пят. 9.00-17.00, суб. 10.00-16.00
159	Государственное бюджетное образовательное учреждение города Москвы детский дом №19 «Центр патронатного воспитания»	105082, Москва, Спартаковская площадь, дом 10, строение 3	(499) 267-74-19	пн-пт: 9.45-18.15
160	Государственное бюджетное учреждение города Москвы Специализированный дом ребенка № 22	119517, Москва, Нежинская ул., д.10	(495) 442-40-85	круглосуточно
161	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 43	127081, Москва, Ясный пр., д.24а	(499) 477-04-79	круглосуточно
162	Государственное бюджетное образовательное учреждение Специальный (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  V вида № 46.	107497, Москва, Байкальская ул., д.48	(495) 469-40-69	круглосуточно
163	Государственное бюджетное образовательное учреждение города Москвы Санаторный детский дом для детей-сирот и детей, оставшихся без попечения родителей № 48	105484, Москва, 16-я Парковая ул., д.4	(499) 461-46-23	круглосуточно
164	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии № 51	109548, Москва, Полбина ул., д.26	(495) 353-07-00	круглосуточно
165	Государственное бюджетное образовательное учреждение города Москвы детский дом № 57	111539, Москва, Реутовская ул., д.24б	(495) 770-08-44	пн-пт: 9.00 – 18.00, сб-вскр: выходной
166	Государственное бюджетное образовательное учреждение города Москвы детский дом № 59	127562, Москва, Декабристов ул, д.8, кор.3	(499) 907-93-55	круглосуточно
167	Государственное бюджетное образовательное учреждение города Москвы детский дом №71	115598, Москва, Гурьевский пр-д., д.27, кор.3	8(495)398-40-11	пн-пт: 9.00-18.00
168	Вороновское управление социальной защиты населения, ТиНАО	Московская обл. г. Подольск, ул. Маштакова д.12	(4967) 66-33-19, (4967) 66-33-13	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
169	Московское Управление социальной защиты населения, ТиНАО	г. Москва, Московский, мкр.3, стр. 2А	(495) 276-23-61, (495) 276-23-65	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
170	Троицкое Управление социальной защиты населения, ТиНАО	г. Москва, г. Троицк, Октябрьский проспект д.11	(4967) 51-00-25, (4967) 51-23-72	пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
171	Государственное бюджетное образовательное учреждение «Санаторный детский дом №39»	141253, Московская обл., Зеленоградский п., Пушкинский р-н, Железнодорожная ул., д.2а	(495) 993–57–34	круглосуточно
172	Государственное бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей детский дом «Молодая гвардия»	142750, город Москва, поселенние Внуковское, посёлок детского дома "Молодая гвардия".	8(495) 736-64-27	круглосуточно
173	Государственное бюджетное учреждение города Москвы Реабилитационный центр по социальной адаптации инвалидов и участников военных действий, ЗелАО	103460 г. Москва, г. Зеленоград, корп. 1137	(499) 710-65-95	круглосуточно (администрация пн-пт 09.00 – 18.00)
174	ГКУ Социально-реабилитационный центр для несовершеннолетних «Крюково» Зел.АО	ул. Заводская, д. 14а, стр. 2	499-738-82-62	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
175	Территориальный центр социального обслуживания №34, ЗелАО	124498, г.Москва. Зеленоград, корп.205А	(499) 734-21-40	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
176	Государственное бюджетное учреждение города Москвы Пансионат «Никольский парк», ЗелАО	124536, Москва, Зеленоград, Никольский проезд, дом 5	8 (495) 589-96-60	круглосуточно (администрация пн-пт 09.00 – 18.00)
177	Государственное бюджетное учреждение города Москвы Дирекция по управлению комплексом социальных жилых домов Митино, СЗАО	125430, Москва, Пятницкое шоссе, д. 31,кор.2	(495) 753-26-10	круглосуточно (администрация пн-пт 09.00 – 18.00)
178	Территориальный центр социального обслуживания №30, ЗАО	119619, г.Москва, ул.Богданова, д.54	(495) 732-27-18	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
179	Государственное казенное учреждение  Детский дом-интернат для умственно отсталых детей № 15	121359, Москва, ул. Академика Павлова, д. 15	(499) 140-73-27	круглосуточно (администрация пн-пт 09.00 – 18.00)
180	ГКУ Социально-реабилитационный центр для несовершеннолетних «Солнцево» ЗАО	Солнцевский пр-т., д.8а	495-934-34-98	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
181	ТЦСО №11 филиал "Ростокино"	129128 г. Москва, ул. Бажова, дом 5	(499) 181-16-23	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
182	ТЦСО №12 филиал "Новокосино"	111673, г. Москва, ул. Новокосинская, д.13, корп.1	(495) 701-70-90	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
183	ТЦСО №12 филиал "Косино-Ухтомский"	111675, г. Москва, ул. Святоозерская, д. 11	(499) 742-73-42, (499) 721- 73-52	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
184	ТЦСО №13 филиал "Гольяново"	107497, г. Москва, ул. Новосибирская, д. 3	(499) 748-83-92	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
185	ТЦСО №13 филиал "Северное Измайлово"	105425, г. Москва, Щелковское ш., д. 24, стр. 1	(499) 164-59-14	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
186	ТЦСО №13 филиал "Измайлово"	105037, г. Москва, ул. Первомайская, д. 3, корп. 1	(499) 166-36-82	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
187	ТЦСО №13 филиал "Восточный"	105173, г. Москва, ул. 9 Мая, д. 14 а	(499) 780-17-93	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
188	ТЦСО №14 филиал "Перовский"	111123, г. Москва, ул. 2-я Владимирская, д. 10	(495) 305-60-90	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
189	ТЦСО №14 филиал "Ивановский"	105568, г. Москва, ул. Челябинская, д. 5 Б	(499) 308-11-20	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
190	ТЦСО №15 филиал "Преображенский"	107076, г. Москва, 1-й Зборовский пер., д. 11	(495) 964-93-80	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
191	ТЦСО №15 филиал "Богородское"	107150, г. Москва, ул. Ивантеевская, д.13	(499) 169-35-00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
192	ТЦСО №15 филиал "Соколиная гора"	105118, г. Москва, ул. Буракова, д. 17/2, стр. 1	(495) 366-84-49	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
193	ТЦСО №16 филиал "Некрасовка"	111674, г. Москва, ул. 1-я Вольская, д. 18, корп. 3	(495) 706-90-50	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
194	ТЦСО №16 филиал "Выхино"	109542, г. Москва, Рязанский пр-т, д. 64, корп. 2	(495) 377-99-76	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
195	ТЦСО №17 филиал "Рязанский"	109377 г.Москва, Зеленодольская ул., дом 4	(495) 379-98-11	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
196	ТЦСО №17 филиал "Печатники"	109388, г.Москва, ул.Гурьянова, д.49	(495)354-48-91	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
197	ТЦСО №18 филиал "Марьино"	109369, г. Москва, Новочеркасский б-р. 47	(495) 349-78-20	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
198	ТЦСО №18 филиал "Капотня"	109429, г. Москва, Капотня, 1-й квартал, д. 14	(495) 355-55-51	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
199	ТЦСО №19 филиал "Лефортово"	111250, г. Москва, ул. Госпитальная, д. 6	(495) 360-69-47	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
200	ТЦСО №19 филиал "Нижегородский"	109202, г. Москва, ул. 3-я Карачаровская, д. 9, корп. 3	(499) 171-89-94, (499) 171-82-51	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
201	ТЦСО №20 филиал "Даниловский"	г. Москва, 1-й Кожуховский пр-д, д. 3	(495) 677-44-78	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
202	ТЦСО №20 филиал "Нагатино-Садовники"	115487, город Москва, Проспект Андропова, д. 42, к. 1	(495) 545-44-42	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
203	ТЦСО №20 филиал "Донской"	117152, г. Москва, Севастопольский проспект, дом 1, корп. 1А	(499) 127-69-90	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
204	ТЦСО №20 филиал ЦСРДИ и ДОЖ "Нагатино-Садовники"	115533, г. Москва, Нагатинский бульвар, д. 6	(499) 614-11-30	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
205	ТЦСО №21 филиал "Орехово-Борисово Южное"	15582,город Москва, Домодедовская ул., д. 24 к. 4	(495) 343-92-97	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
206	ТЦСО №21 филиал "Братеево"	115408 г. Москва, ул. Алма-Атинская, д. 10, к. 3	(495) 342-09-46	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
207	ТЦСО №21 филиал ЦСРиДРИ "Братеево"	115612, г. Москва, ул. Ключевая, д. 12, к. 1	(495) 340-61-09	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
208	ТЦСО №22 филиал "Бирюлево Восточное"	115372, г. Москва, ул. Липецкая, д. 36/20	(499) 725-89-28	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
209	ТЦСО №22 филиал "Москворечье-Сабурово"	115409, г. Москва, Каширское шоссе, д. 60, к. 2	(499) 324-87-34	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
210	ТЦСО №22 филиал ЦСРиДРИ "Бирюлево Восточное"	115372, г. Москва, ул. Липецкая, дом 46, корп. 1	(495) 655-33-00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
211	ТЦСО №23 филиал "Чертаново Северное"	117639, г. Москва, Чертановская ул., д. 1«В», к. 1	(495) 316-96-22	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
212	ТЦСО №23 филиал "Чертаново Южное"	117534, Москва, Чертановская ул., д. 60	(495) 389-32-00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
213	ТЦСО №23 филиал "Нагорный"	117756, г. Москва, ул. Фруктовая, дом 5, корп. 3	(499) 794-74-87	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
214	ТЦСО №24 филиал "Академический"	117036, г. Москва, ул. Новочерёмушкинская д.20/23	(499) 124-34-29	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
215	ТЦСО №24 филиал "Черемушки"	117420, Москва, ул. Наметкина, д.9	(495) 718-31-33, (495) 331-58-39	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
216	ТЦСО №24 филиал "Котловка"	117447, г. Москва, Севастопольский проспект, д. 18а	(495) 719-08-94, (495) 718-90-75	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
217	ТЦСО №25 филиал "Гагаринский"	119333, г. Москва, Ленинский проспект, д. 60/2	(499) 137-89-87	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
218	ТЦСО №25 филиал "Обручевский"	119421, Москва, ул. Новаторов д.36, корп.5	(495) 935-92-01	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
219	ТЦСО №25 филиал "Коньково"	117485 г. Москва ул. Профсоюзная 88/20	(495) 330-49-55; (495) 330-57-29	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
220	ТЦСО №26 филиал "Северное Бутово"	117216, г. Москва, ул. Старокачаловская д.3к.1	(495) 713-52-99	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
221	ТЦСО №27 филиал "Теплый Стан"	117321, г. Москва, ул. Профсоюзная, дом 142	(495) 337-88-22	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
222	ТЦСО №28 филиал "Кунцевский"	121351, Москва, ул. Партизанская, дом 7., корпус 3	(495) 417-07-27	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
223	ТЦСО №28 филиал "Крылатское"	121609 г. Москва, Рублевское шоссе дом 36, корп. 2	(495) 415-14-10	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
224	ТЦСО №28 филиал "Филевский парк"	121096, г.Москва, 2-я Филевская ул., д.7, корп.7	(499) 146-27-06	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
225	ТЦСО №29 филиал "Тропарево-Никулино"	119602, г. Москва, ул. Академика Анохина, д.2, корп.7	(499) 792-21-83	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
226	ТЦСО №29 филиал "Раменки"	119607 г. Москва, ул. Раменки, д.8, корп.2	(495) 932-71-05	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
227	ТЦСО №30 филиал "Внуково"	119027, г. Москва, ул.2-я Рейсовая, д.25-Б	(495) 436-27-165	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
228	ТЦСО №30 филиал "Ново-Переделкино"	119634, г. Москва, Боровское шоссе, д. 32	(495) 732-56-09	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
229	ТЦСО №31 филиал "Дорогомиловский"	121165, г. Москва, ул. Студенческая, д. 42	(499) 249-41-17	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
230	ТЦСО №31 филиал "Очаково-Матвеевский"	119501, Москва, ул. Веерная, д. 1, корп. 2	(499) 730-39-05; (495)441-11-78	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
231	ТЦСО №32 филиал "Митино"	125310, г. Москва, ул. Митинская, д. 55	(495) 754-01-04	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
232	ТЦСО №32 филиал "Строгино"	123592, г. Москва, Строгинский бульвар, д. 5	(495) 750-05-37	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
233	ТЦСО №33 филиал "Куркино"	125466, г. Москва, ул. Соловьиная роща, д. 10	(499) 401-78-65	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
234	ТЦСО №33 филиал "Покровское-Стрешнево"	125362, ул. Подмосковная, д. 5	(495) 490-61-60	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
235	ТЦСО №33 филиал "Северное Тушино"	123480, г. Москва, ул. Вилиса Лациса, д. 25, корп. 1	(495) 944-46-09	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
236	ТЦСО №34 филиал "Ковчег"	124460, г.Москва, Зеленоград, корп.1124	(499) 710-25-65	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
237	ТЦСО №34 филиал "Савелки"	124482, г.Москва, Зеленоград, корп.320	(499) 734-90-86	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
238	ТЦСО №34 филиал "Солнечный"	124527, Москва, Зеленоград, корп. 826	(499) 710-56-02	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
239	ТЦСО №34 филиал "Крюково"	124365, Москва, Зеленоград, корп. 2014	(499) 733-96-66	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
240	Государственное бюджетное образовательное  Учреждение Специальный   (коррекционный) детский дом для детей сирот и детей, оставшихся без попечения родителей,  с ограниченными возможностями здоровья №1	111402, Москва, Аллея Жемчуговой ул., д.3а	(495) 370-01-71	круглосуточно
241	Государственное бюджетное образовательное учреждение города Москвы Специальный (коррекционный) детский дом для детей-сирот и детей, оставшихся без попечения родителей,VII вида, № 2	119634, Москва, Шолохова ул., д.6, кор.3	(495) 732-56-12	круглосуточно
242	Государственное бюджетное образовательное учреждение Специальный (коррекционный) детский дом VIII вида № 9	115580, Москва, Муссы Джалиля ул., д.15, кор.2	(495) 395-73-55	круглосуточно
243	ГКУ Социальный приют для детей и подростков «Марьино» ЮВАО (реорганизация)	ул. Новомарьинская,  д.3,  к.4	495-345-35-00	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
244	ТЦСО №17 филиал "Тесктильщики"	109263 г. Москва, ул. Текстильщиков 7-ая, д. 7, корп. 1 и корп. 4	(499) 178-56-15	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
245	Территориальный центр социального обслуживания №17, ЮВАО	109462, г.Москва, Волжский бульвар, квартал 113 А, корп.5	(499) 722-61-82	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
246	Государственное бюджетное учреждение города Москвы Социальный жилой дом «Марьино», ЮВАО	109451, Москва, Верхние поля, д.34, кор.2	8 (495) 770-72-81	круглосуточно (администрация пн-пт 09.00 – 18.00)
247	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 17, ЮВАО	109386, Москва, ул. Ставропольская, д. 27а	8(495) 358-31-34	круглосуточно (администрация пн-пт 09.00 – 18.00)
248	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 11, ЮВАО	109559, Москва, ул. Ставропольская, д. 37	(495) 350-39-38	круглосуточно (администрация пн-пт 09.00 – 18.00)
249	Территориальный центр социального обслуживания №14, ВАО	111141, г.Москва, ул.Кусковская, д.23, корп.2	(495) 770-27-54	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
250	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 12, ВАО	105215, Москва, 9-я Парковая д.53	(499) 164-89-42	круглосуточно (администрация пн-пт 09.00 – 18.00)
251	Государственное бюджетное учреждение города Москвы Дом ветеранов сцены им. Яблочкиной, ВАО	111123, Москва, шоссе Энтузиастов, 88	(495) 304-01-90	круглосуточно (администрация пн-пт 09.00 – 18.00)
252	Территориальный центр социального обслуживания №13, ВАО	105077, г.Москва, ул. Первомайская Средняя, д.46, стр.1	(495) 965-87-36	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
253	Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 19, ВАО	105484, Москва, 16-я Парковая ул., д. 16	(499) 464-03-89	круглосуточно (администрация пн-пт 09.00 – 18.00)
254	Территориальный центр социального обслуживания №12,ВАО	11539, г.Москва, Реутовская ул., д.6А	(495) 370-17-00	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
255	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 26, ВАО	111538, Москва, ул. Косинская, д. 8	(495) 918-76-08	круглосуточно (администрация пн-пт 09.00 – 18.00)
256	Территориальный центр социального обслуживания №16, ЮВАО	109156, Жулебинский б-р, дом 40, корп. 1	(495) 706-49-04	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
257	ГКУ Социально-реабилитационный центр для несовершенно-летних Восточного административного округа	ул. Муромская, д.1	495-700-84-42	пон. - четв.: 09.00 - 18.00 пятн.: 09.00 - 16.45 перерыв: 13.00 - 13.45 приемное отделение круглосуточно
258	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 33	143150, Московская область, Рузский район, с/п Старорузское, д. Нестерово	8 917 570 25 09	круглосуточно (администрация пн-пт 09.00 – 18.00)
259	Государственное бюджетное учреждение города Москвы Психоневрологический интернат № 3	141834, Московская обл., Дмитровский р-н, п. Луговой	(496) 222-39-16	круглосуточно (администрация пн-пт 09.00 – 18.00)
260	Центр социального обслуживания «Троицкий»	1421191, г. Москва, г. Троицк, микрорайон «В», д.40	(495) 851-30-01, (495) 851-30-01	пн-чт 09.00-20.00, пт 09.00-18.45, сб 09.00-17.00
