№ строки	Название	Адрес	Телефон	Режим работы	Адрес головной организации	Тип объекта
524	ООО "Новая Фармация"	109428, г. Москва, просп. Рязанский, д. 14, корп. 2	8-499-784-88-85	режим работы устанавливается юридическим лицом самостоятельно	117588, Россия, г. Москва, ул. Тарусская, д.14, корп.1	Аптечный пункт
525	ООО "Новая Фармация"	109469, г. Москва, Перервинский бульвар, д. 27, корп. 1	8-499-784-88-85	режим работы устанавливается юридическим лицом самостоятельно	117588, Россия, г. Москва, ул. Тарусская, д.14, корп.1	Аптечный пункт
526	ООО "Первый аптекарь"	119331, г. Москва, проспект Вернадского, дом 29	8-495-720-83-75	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, просп. Вернадского, д.29	Аптечный пункт
527	ООО "Первый аптекарь"	111539, г. Москва, ул. Вешняковская, д. 23, стр. 1	8-495-720-83-75	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, просп. Вернадского, д.29	Аптечный пункт
528	ООО "Первый аптекарь"	123557, г. Москва, ул. Пресненский Вал, д. 4/29	8-495-720-83-75	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, просп. Вернадского, д.29	Аптечный пункт
529	ООО "АПТЕКА-А.в.е"	119634, г. Москва, ул. Шолохова, д.5, корп.2	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
530	ООО "АПТЕКА-А.в.е"	121609, г. Москва, Осенний бульвар, вл. 10А	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
531	ООО "АПТЕКА-А.в.е"	115408, г. Москва, 19 км МКАД (в районе Беседниковского моста)	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
532	ООО "АПТЕКА-А.в.е"	123308, г. Москва, ул. Куусинена, д. 4, корп. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптека готовых лекарственных форм
533	ООО "АПТЕКА-А.в.е"	121596, г. Москва, ул. Толбухина, д.13, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
534	ООО "АПТЕКА-А.в.е"	121615, г. Москва, Рублевское шоссе, д.22, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
535	ООО "АПТЕКА-А.в.е"	117534, г. Москва, ул. Академика Янгеля, д.6, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
536	ООО "АПТЕКА-А.в.е"	117292, г. Москва, ул. Дмитрия Ульянова, д. 10/1, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
537	ООО "АПТЕКА-А.в.е"	125047, г. Москва, ул. Чаянова, д.16	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
538	ООО "АПТЕКА-А.в.е"	127221, г. Москва, ул. Полярная, д.16, корп. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
539	ООО "АПТЕКА-А.в.е"	119313, г. Москва, просп. Ленинский, д. 87	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
540	ООО "АПТЕКА-А.в.е"	121357, г. Москва, ул. Инициативная, д.11	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
541	ООО "АПТЕКА-А.в.е"	125362, г. Москва, ул. Свободы, д.14	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
542	ООО "АПТЕКА-А.в.е"	115035, г. Москва, ул. Балчуг, д.2	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
543	ООО "АПТЕКА-А.в.е"	107392, г. Москва, ул. Хромова, д.7/1, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
544	ООО "АПТЕКА-А.в.е"	129272, г. Москва, просп. Олимпийский, д.32	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
545	ООО "АПТЕКА-А.в.е"	105484, г. Москва, бульв. Сиреневый, д. 69, корп. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптека готовых лекарственных форм
546	ООО "АПТЕКА-А.в.е"	125239, г. Москва, ул. Коптевская, д. 16, корп. 2	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
547	ООО "АПТЕКА-А.в.е"	125364, г. Москва, ул. Свободы, д. 42	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
548	ООО "АПТЕКА-А.в.е"	119454, г. Москва, просп. Вернадского, д.14А	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
549	ООО "АПТЕКА-А.в.е"	123557, г. Москва, ул. Грузинская Б., д.37, стр.2	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
550	ЗАО "ЭРКАФАРМ"	119146, г. Москва, Комсомольский проспект, д. 28	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
551	ЗАО "ЭРКАФАРМ"	123308, г. Москва, пр-д Березовой рощи, д. 8	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
552	ЗАО "ЭРКАФАРМ"	109145, г. Москва, ул. Привольная, д. 3, корп. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
553	ЗАО "ЭРКАФАРМ"	109428, г. Москва, Рязанский проспект, д. 45, корп. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
554	ООО "ФАРМАЦЕВТИКА"	125413, г. Москва, ул. Флотская, дом 76	202-1167	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, офис 309	Аптечный пункт
555	ООО "ФАРМАЦЕВТИКА"	129164, г. Москва, Ракетный бульвар, д.16	202-1167	режим работы устанавливается юридическим лицом самостоятельно	107113, Россия, г. Москва, Сокольническая пл., д.4А, офис 309	Аптечный пункт
556	ООО "АПТЕКА-А.в.е"	117638, г. Москва, просп. Нахимовский, д.9, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
557	ООО "АПТЕКА-А.в.е"	127055, г. Москва, ул. Новослободская, д.14/19, стр.5	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
558	ООО "АПТЕКА-А.в.е"	121351, г. Москва, ул. Ивана Франко, вл.35	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
559	ООО "АПТЕКА-А.в.е"	109369, г. Москва, бульв. Новочеркасский, д. 41, корп. 7	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
560	ООО "АПТЕКА-А.в.е"	125252, г. Москва, ул. Гризодубовой, д.4, корп.4	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
561	ООО "АПТЕКА-А.в.е"	125319, г. Москва, ул. Черняховского, д. 7	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
562	ООО "АПТЕКА-А.в.е"	123242, г. Москва, ул. Красная Пресня, д.46, стр. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
563	ООО "АПТЕКА-А.в.е"	121433, г. Москва, ул. Малая Филёвская, д. 12, корп. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптека готовых лекарственных форм
564	ООО "АПТЕКА-А.в.е"	103030, г. Москва, ул. Новослободская, д. 2, стр. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
565	ООО "АПТЕКА-А.в.е"	123098, г. Москва, ул. Живописная, влад. 26	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
566	ЗАО "ЭРКАФАРМ"	109472, г. Москва, ул. Тверская, д. 22	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
567	ЗАО "ЭРКАФАРМ"	117535, г. Москва, ул. Россошанская, д. 7, корп. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
568	ЗАО "ЭРКАФАРМ"	101000, г. Москва, ул. Покровка, д. 11	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
569	ЗАО "ЭРКАФАРМ"	123098, г. Москва, ул. Академика Бочвара, д. 15	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
570	ЗАО "ЭРКАФАРМ"	127018, г. Москва, ул. Сущевский Вал, д. 14/22, корп. 7	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
571	ЗАО "ЭРКАФАРМ"	105568, г. Москва, ул. Магнитогорская, д. 2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
572	ЗАО "ЭРКАФАРМ"	115172, г. Москва, Гончарный проезд, д. 8/40	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
573	ЗАО "ЭРКАФАРМ"	115551, г. Москва, пр. Шипиловский, д. 43, корп. 3	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
574	ЗАО "ЭРКАФАРМ"	115598, г. Москва, ул. Лебедянская, д. 28, корп.2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
575	ЗАО "ЭРКАФАРМ"	119002, г. Москва, ул. Арбат, д. 28/1, стр. 1	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
576	ООО "Салюс"	129515, г. Москва, ул. Академика Королева, владение 8 "Б"	8-925-024-29-76	режим работы устанавливается юридическим лицом самостоятельно	129344, Россия, г. Москва, ул. Искры, д.31, корп.1, пом. II, ком. 7б	Аптечный пункт
577	ООО "Салюс"	127081, г. Москва, пр. Ясный, д. 6	8-925-024-29-76	режим работы устанавливается юридическим лицом самостоятельно	129344, Россия, г. Москва, ул. Искры, д.31, корп.1, пом. II, ком. 7б	Аптечный пункт
578	ООО "Аптеки "Скажите А"	127247, г. Москва, ш. Дмитровское, д. 98	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
579	ООО "Аптеки "Скажите А"	115582, г. Москва, ул. Домодедовская, д. 42	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
580	ООО "Аптеки "Скажите А"	109316, г. Москва, Волгоградский проспект, д. 46/15, стр. 3	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
581	ООО "Аптеки "Скажите А"	111395, г. Москва, ул. Молдагуловой, д. 12А	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
582	ООО "Аптеки "Скажите А"	111397, г. Москва, ул. 3-я Владимирская, д. 27	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
583	ООО "Аптеки "Скажите А"	107140, г. Москва, ул. Русаковская, д. 4, стр. 4	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
584	ООО "Аптеки "Скажите А"	127490, г. Москва, Северный бульвар, д. 10	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
585	ООО "Аптеки "Скажите А"	109144, г. Москва, Батайский проезд, д. 63	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
586	ООО "Аптеки "Скажите А"	109147, г. Москва, ул. Таганская, д. 31/22, стр. 1	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
587	ООО "Аптеки "Скажите А"	109125, г. Москва, Волгоградский проспект, д. 63	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
588	ООО "Аптеки "Скажите А"	123458, г. Москва, ул. Маршала Катукова, д. 23	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
589	ООО "Аптеки "Скажите А"	123222, г. Москва, ул. Митинская, д. 21	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
590	ООО "Аптеки "Скажите А"	119261, г. Москва, Ленинский просп., д. 74	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
591	ООО "Аптеки "Скажите А"	125319, г. Москва, ул. Черняховского, д. 4А	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
592	ООО "Аптеки "Скажите А"	109341, г. Москва, ул. Братиславская, д. 6	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
593	ООО "Аптеки "Скажите А"	117519, г. Москва, ул. Кировоградская, вл. 22 Г	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
594	ООО "Аптеки "Скажите А"	111024, г. Москва, ул. 2-я Кабельная, д. 2, стр. 25	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
595	ООО "Аптеки "Скажите А"	109456, г. Москва, Рязанский проспект, д. 75, стр. 1	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
596	ООО "Аптеки "Скажите А"	111024, г. Москва, ул. 2-я Кабельная, д. 2, стр. 37	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
597	ООО "Аптеки "Скажите А"	117452, г. Москва, Чонгарский бульвар, д. 4, корп. 1	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
598	ООО "Аптеки "Скажите А"	123103, г. Москва, Хорошевский проезд 1-й, д. 14, корп. 1	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
599	ООО "Аптеки "Скажите А"	105187, г. Москва, Измайловское шоссе, д. 71, стр. 10	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптечный пункт
600	ООО "Аптеки "Скажите А"	107150, г. Москва, ул. Бойцовая, д. 17, корп. 1	8-495-640-62-30	режим работы устанавливается юридическим лицом самостоятельно	125319, Россия, г. Москва, ул. Черняховского, д. 4А, этаж А1, помещение №III, комната №3	Аптека готовых лекарственных форм
601	ЗАО "ЭРКАФАРМ"	123100, г. Москва, Шмитовский проезд, д. 10/7	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
602	ЗАО "ЭРКАФАРМ"	109444, г. Москва, ул. Ферганская, д. 21	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
603	ЗАО "ЭРКАФАРМ"	0, г. Москва, Московский метрополитен, станция м. "Речной вокзал", южный вестибюль	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный киоск
604	ЗАО "ЭРКАФАРМ"	, г. Москва, станция метро "ВДНХ" (поверхность северного вестибюля)	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
605	ЗАО "ЭРКАФАРМ"	129327, г. Москва, ул. Менжинского, д. 27	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
606	ЗАО "ЭРКАФАРМ"	121374, г. Москва, ул. Красных Зорь, д.21	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптека готовых лекарственных форм
607	ЗАО "ЭРКАФАРМ"	117198, г. Москва, ул. Машела Саморы, д. 8, корп. 2	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
608	ЗАО "ЭРКАФАРМ"	127410, г. Москва, ул. Инженерная, д. 3	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
609	ЗАО "ЭРКАФАРМ"	117403, г. Москва, ул. Булатниковская, д. 2А	8-495-788-11-00	режим работы устанавливается юридическим лицом самостоятельно	107005, Россия, г. Москва, ул. Бакунинская, 14	Аптечный пункт
610	ООО "ДЕЛЬТА М"	109386, Москва, ул. Краснодонская, д. 7/1, стр. 1	8-909-975-35-55	режим работы устанавливается юридическим лицом самостоятельно	111123, Россия, г. Москва, ш. Энтузиастов, д. 5	Аптечный пункт
611	ООО "ФАРМАСИЕЛЬ"	105120, г. Москва, ул. Земляной вал, д. 53, стр. 2	8-495-917-11-49	режим работы устанавливается юридическим лицом самостоятельно	105120, Россия, г. Москва, ул. Земляной вал, д. 53	Аптека готовых лекарственных форм
612	ООО "ФармаГрупп"	111625, г. Москва, ул. Рудневка, д. 15	8-499-721-82-58	режим работы устанавливается юридическим лицом самостоятельно	111625, Россия, г. Москва, ул. Рудневка, д. 15	Аптека готовых лекарственных форм
613	ООО "Ассорти-МЕД"	129110, г. Москва, ул. Щепкина, д. 60/2, стр. 1	8-495-730-52-55	режим работы устанавливается юридическим лицом самостоятельно	129110, Россия, г. Москва, ул. Щепкина, д. 60/2, стр. 1	Аптечный пункт
614	ООО "Мёбиус"	121471, г. Москва, Можайское шоссе, дом 25	8-495-444-20-72	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптека готовых лекарственных форм
615	ООО "Мёбиус"	115193, г. Москва, ул. Кожуховская 6-я, д. 24	8-495-444-20-72	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптечный пункт
616	ООО "Мёбиус"	129334, г. Москва, ул. Радужная, д. 14, корп. 1	8-495-444-20-72	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптечный пункт
617	ООО "Мёбиус"	105264, г. Москва, ул. Парковая 9-я, д. 43/26	8-495-444-20-72	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптека готовых лекарственных форм
618	ООО "Мёбиус"	121351, г. Москва, ул. Молодогвардейская, д.25, корп.1	8-495-444-20-72	режим работы устанавливается юридическим лицом самостоятельно	121471, Россия, г. Москва, Можайское шоссе, д.17, корп.1	Аптечный пункт
619	ООО "Славянка-фарм"	111555, г. Москва, ул. Молостовых,д.1 Б, стр.1	8-495-300-43-30	режим работы устанавливается юридическим лицом самостоятельно	111555, Россия, г. Москва, ул. Молостовых, д.1 Б, стр.1	Аптека готовых лекарственных форм
620	ООО "Славянка-фарм"	123100, г. Москва, пр. Шмитовский, д.19	8-495-300-43-30	режим работы устанавливается юридическим лицом самостоятельно	111555, Россия, г. Москва, ул. Молостовых, д.1 Б, стр.1	Аптечный пункт
621	ООО "Первый аптекарь"	119501, г. Москва, ул. Веерная, д.30, корпус 2, 1-й этаж, помещение № XX, комнаты 1-7	8-495-720-83-75	режим работы устанавливается юридическим лицом самостоятельно	119331, Россия, г. Москва, просп. Вернадского, д.29	Аптечный пункт
622	ООО "АПТЕКА-А.в.е"	105037, г. Москва, пл. Измайловская, д. 1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
623	ООО "АПТЕКА-А.в.е"	117335, г. Москва, ул. Гарибальди, д.23	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
624	ООО "АПТЕКА-А.в.е"	121615, г. Москва, Рублевское шоссе, д.83, корп.1	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптечный пункт
625	ООО "АПТЕКА-А.в.е"	105203, г. Москва, ул. Парковая 13-я, д. 4	8-495-781-99-14	режим работы устанавливается юридическим лицом самостоятельно	115093, Россия, г. Москва, ул. Большая Серпуховская, д. 44, офис 19	Аптека готовых лекарственных форм
626	ООО Абикон	127273, г. Москва, пр. Якушкина, д.1	8-499-722-13-45	режим работы устанавливается юридическим лицом самостоятельно	127486, Россия, г. Москва, Бескудниковский бульвар,д.57, корп.1	Аптечный пункт
627	ООО Абикон	123022, г. Москва, ул. Заморенова, д.41	8-499-722-13-45	режим работы устанавливается юридическим лицом самостоятельно	127486, Россия, г. Москва, Бескудниковский бульвар,д.57, корп.1	Аптека готовых лекарственных форм
628	ЗАО "Группа компаний "Медси"	123001, г. Москва, Благовещенский переулок, д.2/16, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптечный пункт
629	ЗАО "Группа компаний "Медси"	123056, г. Москва, Грузинский пер., д.3А	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский переулок, д. 3 А	Аптечный пункт
630	ЗАО "Группа компаний "Медси"	109240, г. Москва, ул. Солянка, д.12, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптека готовых лекарственных форм
631	ЗАО "Группа компаний "Медси"	123001, г. Москва, Благовещенский переулок, д.2/16, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптека производственная
632	ЗАО "Группа компаний "Медси"	123001, г. Москва, Благовещенский переулок, д.6, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптека готовых лекарственных форм
633	ЗАО "Группа компаний "Медси"	109240, г. Москва, ул. Солянка, д.12, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптечный пункт
634	ЗАО "Группа компаний "Медси"	123001, г. Москва, Благовещенский переулок, д.6, стр.1	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптечный пункт
635	ЗАО "Группа компаний "Медси"	123056, г. Москва, пер. Грузинский, д. 3А	8-495-941-27-50	режим работы устанавливается юридическим лицом самостоятельно	123056, Россия, г. Москва, Грузинский пер., д.3А	Аптека готовых лекарственных форм
