"0_UIDNFTN";"1_Название";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Ведомство";"1_Телефон";"1_Сайт";"1_Электронная почта";"1_Административный округ";"1_Район";"0_TIP_ZONY"
"14091";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 23";"16756,9239999997";"-1212,76029999927";"67273";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14092";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 24";"16587,1524";"-1409,85960000008";"67108";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14093";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 27, корпус 3";"16920,1184999999";"-1291,24239999987";"67355";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14094";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 3";"16144,3724999996";"-197,771099999547";"67485";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14095";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 31, корпус 1";"16992,4519999996";"-1605,88599999994";"67413";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14096";"Дворовая площадка";"Дворовая площадка";"улица Братиславская, дом 34, корпус 2";"16824,7855000002";"-1842,82699999958";"67107";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14097";"Дворовая площадка";"Дворовая площадка";"улица Братская, дом 17, корпус 2";"18366,4001000002";"9136,17479999922";"2772";;;;;"Муниципалитет";"(499) 785-79-50";"munnovogireevo.ru";;"ВАО";"Новогиреево";"дворовые спортивные площадки"
"14098";"Дворовая площадка";"Дворовая площадка";"улица Братская, дом 25, корпус 1";"18730,0251000002";"9302,19989999942";"2781";;;;;"Муниципалитет";"(499) 785-79-50";"munnovogireevo.ru";;"ВАО";"Новогиреево";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14099";"Дворовая площадка";"Дворовая площадка";"улица Булатниковская, дом 11, корпус 1";"9225,89439999964";"-9654,49220000021";"2968";;;;;"Муниципалитет";"(495) 385-18-87";"m-bz.ru";;"ЮАО";"Бирюлёво Западное";"дворовые спортивные площадки"
"14100";"Дворовая площадка";"Дворовая площадка";"улица Булатниковская, дом 3, корпус 2";"9941,48620000016";"-9771,64440000057";"2953";;;;;"Муниципалитет";"(495) 385-18-87";"m-bz.ru";;"ЮАО";"Бирюлёво Западное";"дворовые спортивные площадки"
"14101";"Дворовая площадка";"Дворовая площадка";"улица Булатниковская, дом 5, корпус 3";"9712,01090000011";"-9776,80509999953";"2958";;;;;"Муниципалитет";"(495) 385-18-87";"m-bz.ru";;"ЮАО";"Бирюлёво Западное";"дворовые спортивные площадки"
"14102";"Дворовая площадка";"Дворовая площадка";"улица Бусиновская Горка, дом 11, корпус 3";"-467,234899999574";"24173,1348000001";"3019";;;;;"Муниципалитет";"(495) 488-99-89";;;"САО";"Западное Дегунино";"дворовые спортивные площадки"
"14131";"Дворовая площадка";"Дворовая площадка";"улица Веерная, дом 42/1";"-804,121500000358";"5203,51799999923";"3523";;;;;"Муниципалитет";"(495) 430-67-60";"ochacovo-matv.ru";;"ЗАО";"Очаково-Матвеевское";"дворовые спортивные площадки"
"14132";"Дворовая площадка";"Дворовая площадка";"улица Велозаводская, дом 3/2";"10448,3662999999";"5616,3387000002";"3533";;;;;"Муниципалитет";"(495) 958-98-64";;;"ЮВАО";"Южнопортовый";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14133";"Дворовая площадка";"Дворовая площадка";"улица Велозаводская, дом 6А";"10477,3300000001";"4980,1763000004";"3535";;;;;"Муниципалитет";"(495) 633-97-48";"danilovskoe.org";"Sodnl@uao.mos.ru";"ЮАО";"Даниловский";"дворовые спортивные площадки"
"14134";"Дворовая площадка";"Дворовая площадка";"улица Вельяминовская, дом 6";"14041,7517999997";"12639,8608999997";"3538";;;;;"Муниципалитет";"(499) 785-02-91";;;"ВАО";"Соколиная гора";"дворовые спортивные площадки"
"14135";"Дворовая площадка";"Дворовая площадка";"улица Веневская, дом 1";"2944,35659999959";"-13190,3331000004";"51729";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"14136";"Дворовая площадка";"Дворовая площадка";"улица Веневская, дом 21";"3365,67239999957";"-13696,2956000008";"51773";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"14137";"Дворовая площадка";"Дворовая площадка";"улица Веневская, дом 25";"3431,97439999972";"-13828,8877000008";"51797";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14138";"Дворовая площадка";"Дворовая площадка";"улица Веневская, дом 7";"3044,30620000046";"-13375,1243999992";"70052";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"14139";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 1";"15471,4160000002";"-327,808399999514";"15182";;;;;"Муниципалитет";"(495) 654-23-80";;;"ЮВАО";"Люблино";"дворовые спортивные площадки"
"14140";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 17, корпус 2";"15792,3136";"53,5921999998391";"3694";;;;;"Муниципалитет";"(495) 654-23-80";;;"ЮВАО";"Люблино";"дворовые спортивные площадки"
"14141";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 19, корпус 2";"15881,858";"70,0638999994844";"3696";;;;;"Муниципалитет";"(495) 654-23-80";;;"ЮВАО";"Люблино";"дворовые спортивные площадки"
"14142";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 36, корпус 2";"16676,6529999999";"27,3299000002444";"67486";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14143";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 42, корпус 1";"17525,8022999996";"-227,309200000018";"67556";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14144";"Дворовая площадка";"Дворовая площадка";"улица Верхние Поля, дом 8";"15540,0521";"-460,756799999624";"67478";;;;;"Муниципалитет";"(495) 658-63-93";"marino-mncpl.ru";"info@marino-mncp.ru";"ЮВАО";"Марьино";"дворовые спортивные площадки"
"14145";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Красносельская, дом 10";"10235,7751000002";"13011,9451000001";"11649";;;;;"Муниципалитет";"(499) 264-65-54";"krasncom.ru";"ur_krasnosel@cao.mos.ru";"ЦАО";"Красносельский";"дворовые спортивные площадки"
"14146";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Красносельская, дом 15";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 264-65-54";"krasncom.ru";"ur_krasnosel@cao.mos.ru";"ЦАО";"Красносельский";"дворовые спортивные площадки"
"14147";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Масловка, дом 7";"4223,7061999999";"13974,5058999993";"13929";;;;;"Муниципалитет";"(499) 747-71-55";"aer.sao.mos.ru";;"САО";"Аэропорт";"дворовые спортивные площадки"
"14148";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Первомайская, дом 46/33";"19181,8866999997";"14754,0101999994";"19246";;;;;"Муниципалитет";"(499) 165-99-83";"izmaylovo-vao.ru";;"ВАО";"Измайлово";"дворовые спортивные площадки"
"14149";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Первомайская, дом 6, корпус 5";"17998,2055000002";"14678,6066999994";"19231";;;;;"Муниципалитет";"(499) 165-99-83";"izmaylovo-vao.ru";;"ВАО";"Измайлово";"дворовые спортивные площадки"
"14150";"Дворовая площадка";"Дворовая площадка";"улица Верхняя Сыромятническая, дом 2";"10075,8000999996";"9738,95590000041";"25397";;;;;"Муниципалитет";"(499) 764-23-48 (499) 707-24-79";"tag-mun.ru sportcentrmsk.ru";;"ЦАО";"Таганский";"дворовые спортивные площадки"
"14151";"Дворовая площадка";"Дворовая площадка";"улица Верхоянская, дом 2";"10816,8377";"21230,5364999995";"3704";;;;;"Муниципалитет";"(495) 471-57-39";"babush.ru";"info@babush.ru";"СВАО";"Бабушкинский";"дворовые спортивные площадки"
"14152";"Дворовая площадка";"Дворовая площадка";"улица Весенняя, дом 14";"965,194199999794";"23065,7808999997";"3741";;;;;"Муниципалитет";"(495) 488-99-89";;;"САО";"Западное Дегунино";"дворовые спортивные площадки"
"14153";"Дворовая площадка";"Дворовая площадка";"улица Вешних Вод, дом 2, корпус 1";"12467,3664999995";"21284,2747000009";"62027";;;;;"Муниципалитет";"(499) 182-99-64";"mun-yar.ucoz.ru";"mun-yar@ya.ru";"СВАО";"Ярославский";"дворовые спортивные площадки"
"14154";"Дворовая площадка";"Дворовая площадка";"улица Вешних Вод, дом 2, корпус 2";"12563,5263";"21213,6170000006";"63289";;;;;"Муниципалитет";"(499) 182-99-63";"mun-yar.ucoz.ru";;"СВАО";"Ярославский";"дворовые спортивные площадки"
"14155";"Дворовая площадка";"Дворовая площадка";"улица Вешняковская, дом 1, корпус 1";"20173,5126999998";"8106,15660000034";"3769";;;;;"Муниципалитет";"(495) 770-09-44";"veshnyaki.su";;"ВАО";"Вешняки";"дворовые спортивные площадки"
"14156";"Дворовая площадка";"Дворовая площадка";"улица Вешняковская, дом 26, корпус 2";"20208,0242999997";"5808,51689999923";"3807";;;;;"Муниципалитет";"(495) 770-09-44";"veshnyaki.su";;"ВАО";"Вешняки";"дворовые спортивные площадки"
"14157";"Дворовая площадка";"Дворовая площадка";"улица Вешняковская, дом 27, корпус 2";"20854,2625000002";"6376,48699999973";"3809";;;;;"Муниципалитет";"(495) 770-09-44";"veshnyaki.su";;"ВАО";"Вешняки";"дворовые спортивные площадки"
"14158";"Дворовая площадка";"Дворовая площадка";"улица Вешняковская, дом 33";"20592,0926000001";"6183,27119999938";"3817";;;;;"Муниципалитет";"(495) 770-09-44";"veshnyaki.su";;"ВАО";"Вешняки";"дворовые спортивные площадки"
"14159";"Дворовая площадка";"Дворовая площадка";"улица Вешняковская, дом 37";"20470,5502000004";"5952,57359999977";"3819";;;;;"Муниципалитет";"(495) 770-09-44";"veshnyaki.su";;"ВАО";"Вешняки";"дворовые спортивные площадки"
"13894";"Дворовая площадка";"Дворовая площадка";"улица Академика Глушко, дом 10, корпус 2";"4368,53010000009";"-11292,7185999993";"70157";;;;;"Муниципалитет";"(495) 713-53-57";"ms-butovo.ru";;"ЮЗАО";"Северное Бутово";"дворовые спортивные площадки"
"13895";"Дворовая площадка";"Дворовая площадка";"улица Академика Глушко, дом 14, корпус 2";"4189,57100000046";"-11214,7601999994";"70152";;;;;"Муниципалитет";"(495) 713-53-57";"ms-butovo.ru";;"ЮЗАО";"Северное Бутово";"дворовые спортивные площадки"
"13896";"Дворовая площадка";"Дворовая площадка";"улица Академика Ильюшина, дом 3";"2588,66110000014";"15226,1358000003";"8796";;;;;"Муниципалитет";"(499) 747-71-55";"aer.sao.mos.ru";;"САО";"Аэропорт";"дворовые спортивные площадки"
"13897";"Дворовая площадка";"Дворовая площадка";"улица Академика Капицы, дом 20";"1724,30850000028";"-4570,9868999999";"9239";;;;;"Муниципалитет";"(495) 429-92-90";"mospoisk.ru";"municknk@com2com.ru";"ЮЗАО";"Коньково";"дворовые спортивные площадки"
"13898";"Дворовая площадка";"Дворовая площадка";"улица Академика Капицы, дом 30, корпус 1";"1361,79430000018";"-4492,51689999923";"9244";;;;;"Муниципалитет";"(495) 429-92-90";"mospoisk.ru";"municknk@com2com.ru";"ЮЗАО";"Коньково";"дворовые спортивные площадки"
"13899";"Дворовая площадка";"Дворовая площадка";"улица Академика Капицы, дом 34/121";"1201,91959999967";"-4313,72330000065";"9248";;;;;"Муниципалитет";"(495) 429-92-90";"mospoisk.ru";"municknk@com2com.ru";"ЮЗАО";"Коньково";"дворовые спортивные площадки"
"13900";"Дворовая площадка";"Дворовая площадка";"улица Академика Комарова, дом 1";"6294,95799999963";"18117,3761";"10554";;;;;"Муниципалитет";"(495) 619-35-27 (495) 619-34-86";"mncp-marfino.ru";"municipalitet-marfino@mail.ru";"СВАО";"Марфино";"дворовые спортивные площадки"
"13901";"Дворовая площадка";"Дворовая площадка";"улица Академика Комарова, дом 1В";"6296,28569999989";"17992,5127000008";"10557";;;;;"Муниципалитет";"(495) 619-35-27 (495) 619-34-86";"mncp-marfino.ru";"municipalitet-marfino@mail.ru";"СВАО";"Марфино";"дворовые спортивные площадки"
"13902";"Дворовая площадка";"Дворовая площадка";"улица Академика Комарова, дом 5Б";"6012,79279999994";"17998,1566000003";"10562";;;;;"Муниципалитет";"(495) 619-35-27 (495) 619-34-86";"mncp-marfino.ru";"municipalitet-marfino@mail.ru";"СВАО";"Марфино";"дворовые спортивные площадки"
"13903";"Дворовая площадка";"Дворовая площадка";"улица Академика Королева, дом 28, корпус 2";"6270,07010000013";"17388,6745999996";"11059";;;;;"Муниципалитет";"(495) 619-35-27 (495) 619-34-86";"mncp-marfino.ru";"municipalitet-marfino@mail.ru";"СВАО";"Марфино";"дворовые спортивные площадки"
"13904";"Дворовая площадка";"Дворовая площадка";"улица Академика Королева, дом 5";"8211,16260000039";"17140,0913999993";"11041";;;;;"Муниципалитет";"(495) 615-96-60";"mun.ostnet.ru";"munorg@ostankino.msk.ru";"СВАО";"Останкинский";"дворовые спортивные площадки"
"13905";"Дворовая площадка";"Дворовая площадка";"улица Академика Миллионщикова, дом 25";"9489,92459999956";"15,4791000001132";"14403";;;;;"Муниципалитет";"(499) 612-98-13";"n-sadovniki.ru";;"ЮАО";"Нагатино-Садовники";"дворовые спортивные площадки"
"13906";"Дворовая площадка";"Дворовая площадка";"улица Академика Миллионщикова, дом 31";"9350,47269999981";"-322,92159999907";"14405";;;;;"Муниципалитет";"(499) 612-98-13";"n-sadovniki.ru";;"ЮАО";"Нагатино-Садовники";"дворовые спортивные площадки"
"13907";"Дворовая площадка";"Дворовая площадка";"улица Академика Миллионщикова, дом 33";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 612-98-13";"n-sadovniki.ru";;"ЮАО";"Нагатино-Садовники";"дворовые спортивные площадки"
"13908";"Дворовая площадка";"Дворовая площадка";"улица Академика Миллионщикова, дом 7, корпус 1";"9655,76649999991";"564,399900000542";"14390";;;;;"Муниципалитет";"(499) 612-98-13";"n-sadovniki.ru";;"ЮАО";"Нагатино-Садовники";"дворовые спортивные площадки"
"13266";"Дворовая площадка";"Дворовая площадка";"Стрельбищенский переулок, дом 10";"2582,42850000039";"10204,7963999994";"24864";;;;;"Муниципалитет";"(499) 259-08-10 (495) 707-24-79";"presnya.cao.mos.ru sportcentrmsk.ru";"bazhenoff@inbox.ru";"ЦАО";"Пресненский";"дворовые спортивные площадки"
"13267";"Дворовая площадка";"Дворовая площадка";"Строгинский бульвар, дом 4";"-6360,13499999978";"15283,3361000009";"73793";;;;;"Муниципалитет";;;;"СЗАО";"Строгино";"дворовые спортивные площадки"
"13268";"Дворовая площадка";"Дворовая площадка";"Строгинский бульвар, дом 7";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";;;;"СЗАО";"Строгино";"дворовые спортивные площадки"
"13272";"Дворовая площадка";"Дворовая площадка";"Студеный проезд, дом 12";"10073,7359999996";"25101,8881000001";"230171";;;;;"Муниципалитет";"(499) 476-52-31";"smedvedkovo.ru";"sportidosug-otdel@yandex.ru ";"СВАО";"Северное Медведково";"дворовые спортивные площадки"
"13273";"Дворовая площадка";"Дворовая площадка";"Студеный проезд, дом 38, корпус 1";"10916,1047";"25067,6907000002";"25012";;;;;"Муниципалитет";"(499) 476-52-31";"smedvedkovo.ru";"sportidosug-otdel@yandex.ru ";"СВАО";"Северное Медведково";"дворовые спортивные площадки"
"13945";"Дворовая площадка";"Дворовая площадка";"улица Асеева, дом 8";"2047,9896999998";"15640,5461999997";"991";;;;;"Муниципалитет";"(499) 747-71-55";"aer.sao.mos.ru";;"САО";"Аэропорт";"дворовые спортивные площадки"
"13946";"Дворовая площадка";"Дворовая площадка";"улица Астрадамская, дом 6";"4137,52529999986";"16348,6170000006";"3";;;;;"Муниципалитет";"(499) 760-77-03";"timmun.ru";"tim@timmun.ru";"САО";"Тимирязевский";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"13947";"Дворовая площадка";"Дворовая площадка";"улица Аэродромная, дом 4, строение 1";"-4077,35309999995";"19825,8342000004";"1024";;;;;"Муниципалитет";"(495) 949-48-09";"u-tushino.ru";;"СЗАО";"Южное Тушино";"дворовые спортивные площадки"
"13948";"Дворовая площадка";"Дворовая площадка";"улица Багрицкого, дом 22";"-3922,3945000004";"5733,85889999941";"1150";;;;;"Муниципалитет";"(495) 446-57-83";"mozhayskoe.ru";;"ЗАО";"Можайский";"дворовые спортивные площадки"
"13949";"Дворовая площадка";"Дворовая площадка";"улица Бажова, дом 13, корпус 1";"10333,8565999996";"18894,6440999992";"1176";;;;;"Муниципалитет";"(499) 181-24-07";"rostokino.info";"info@rostokino.info";"СВАО";"Ростокино";"дворовые спортивные площадки"
"13950";"Дворовая площадка";"Дворовая площадка";"улица Бажова, дом 15, корпус 2";"10363,0522999996";"19041,3432999998";"1179";;;;;"Муниципалитет";"(499) 181-24-07";"rostokino.info";"info@rostokino.info";"СВАО";"Ростокино";"дворовые спортивные площадки"
"13951";"Дворовая площадка";"Дворовая площадка";"улица Базовская, дом 22";"1073,81419999991";"23768,3510999996";"1191";;;;;"Муниципалитет";"(495) 488-99-89";;;"САО";"Западное Дегунино";"дворовые спортивные площадки"
"13952";"Дворовая площадка";"Дворовая площадка";"улица Бакинская, дом 14";"9964,41860000044";"-4769,55680000037";"1279";;;;;"Муниципалитет";"(495) 321-48-33";"mcaric.ru";;"ЮАО";"Царицыно";"дворовые спортивные площадки"
"13953";"Дворовая площадка";"Дворовая площадка";"улица Бакинская, дом 19";"10084,6457000002";"-5240,79319999926";"1282";;;;;"Муниципалитет";"(495) 321-48-33";"mcaric.ru";;"ЮАО";"Царицыно";"дворовые спортивные площадки"
"13955";"Дворовая площадка";"Дворовая площадка";"улица Бакунинская, дом 23/41";"11653,5250000004";"12104,2674000002";"83054";;;;;"Муниципалитет";"(499) 263-27-53";"basman.ru";;"ЦАО";"Басманный";"дворовые спортивные площадки"
"13956";"Дворовая площадка";"Дворовая площадка";"улица Барвихинская, дом 16";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(495) 446-57-83";"mozhayskoe.ru";;"ЗАО";"Можайский";"дворовые спортивные площадки"
"13957";"Дворовая площадка";"Дворовая площадка";"улица Барвихинская, дом 8, корпус 2";"-6880,23450000025";"5537,17899999954";"2236";;;;;"Муниципалитет";"(495) 446-57-83";"mozhayskoe.ru";;"ЗАО";"Можайский";"дворовые спортивные площадки"
"13958";"Дворовая площадка";"Дворовая площадка";"улица Барклая, дом 7/1";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";;;;"ЗАО";"Филёвский парк";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"13959";"Дворовая площадка";"Дворовая площадка";"улица Барклая, дома 16, корпус 1-корпус 2";"-91,42949999962";"8756,92119999975";"1462";;;;;"Муниципалитет";;;;"ЗАО";"Филёвский парк";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"13960";"Дворовая площадка";"Дворовая площадка";"улица Бартеневская, дом 41";"1503,15160000045";"-13351,0499000009";"69216";;;;;"Муниципалитет";"(499) 232-85-24";"south-butovo.ru";;"ЮЗАО";"Южное Бутово";"дворовые спортивные площадки"
"13858";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 12";"4761,31469999999";"25588,3502999991";"42";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13859";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 18";"4796,54609999992";"26224,2361999992";"46";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13860";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 2";"4762,14329999965";"25051,0878999997";"28";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13861";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 8";"4803,59260000009";"25350,2960999999";"63037";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13862";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 9 корпус 1, п.13";"4608,83939999994";"26284,5438999999";"38";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13863";"Дворовая площадка";"Дворовая площадка";"улица Абрамцевская, дом 9, корпус 1, п.3-4";"4608,83939999994";"26284,5438999999";"38";;;;;"Муниципалитет";"(499) 908-86-47 (495) 601-27-89";"msu-lianozovo.ru";"vmolianozovo@yandex.ru";"СВАО";"Лианозово";"дворовые спортивные площадки"
"13864";"Дворовая площадка";"Дворовая площадка";"улица Авангардная, дом 8, корпус 1";"-494,589200000279";"19882,9135999996";"63";;;;;"Муниципалитет";"(495) 456-06-81 (499) 747-05-27            ";"nashe-golovino.ru";;"САО";"Головинский";"дворовые спортивные площадки"
"13865";"Дворовая площадка";"Дворовая площадка";"улица Авиаконструктора Миля, дом 4, корпус 1";"22154,7980000004";"2166,93659999967";"67123";;;;;"Муниципалитет";"(495) 657-60-59";"vihyno.org";;"ЮВАО";"Выхино-Жулебино";"дворовые спортивные площадки"
"13866";"Дворовая площадка";"Дворовая площадка";"улица Авиамоторная, дом 25";"13753,5459000003";"10176,4623000007";"101";;;;;"Муниципалитет";"(495) 361-30-71 (495) 361-17-84";"lefmun.ru";;"ЮВАО";"Лефортово";"дворовые спортивные площадки"
"14046";"Дворовая площадка";"Дворовая площадка";"улица Большая Полянка, дом 28";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(495) 951-88-74 (495) 707-24-79";"yakimanka-info.ru sportcentrmsk.ru";;"ЦАО";"Якиманка";"дворовые спортивные площадки"
"14047";"Дворовая площадка";"Дворовая площадка";"улица Большая Полянка, дом 3/9";"7445,28149999958";"8269,67650000006";"20503";;;;;"Муниципалитет";"(495) 951-88-74 (495) 707-24-79";"yakimanka-info.ru sportcentrmsk.ru";;"ЦАО";"Якиманка";"дворовые спортивные площадки"
"14048";"Дворовая площадка";"Дворовая площадка";"улица Большая Полянка, дом 30";"7584,53110000025";"7477,62120000087";"20513";;;;;"Муниципалитет";"(495) 951-88-74 (495) 707-24-79";"yakimanka-info.ru sportcentrmsk.ru";;"ЦАО";"Якиманка";"дворовые спортивные площадки"
"14049";"Дворовая площадка";"Дворовая площадка";"улица Большая Почтовая, дом 1/33";"11870,9749999996";"11876,2496000007";"20682";;;;;"Муниципалитет";"(499) 263-27-53";"basman.ru";;"ЦАО";"Басманный";"дворовые спортивные площадки"
"14050";"Дворовая площадка";"Дворовая площадка";"улица Большая Почтовая, дом 2/4";"11925,8625999996";"11834,2100000009";"20683";;;;;"Муниципалитет";"(499) 263-27-53";"basman.ru";;"ЦАО";"Басманный";"дворовые спортивные площадки"
"14051";"Дворовая площадка";"Дворовая площадка";"улица Большая Серпуховская, дом 58";"8040,47900000028";"5923,77449999936";"23471";;;;;"Муниципалитет";"(495) 633-97-48";"danilovskoe.org";"Sodnl@uao.mos.ru";"ЮАО";"Даниловский";"дворовые спортивные площадки"
"14052";"Дворовая площадка";"Дворовая площадка";"улица Большая Спасская, дом 31";"9159,35819999967";"12194,7127";"24472";;;;;"Муниципалитет";"(499) 264-65-54";"krasncom.ru";"ur_krasnosel@cao.mos.ru";"ЦАО";"Красносельский";"дворовые спортивные площадки"
"14053";"Дворовая площадка";"Дворовая площадка";"улица Большая Факельная, дом 24";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";"(499) 764-23-48 (495) 707-24-79";"tag-mun.ru sportcentrmsk.ru";;"ЦАО";"Таганский";"дворовые спортивные площадки"
"14054";"Дворовая площадка";"Дворовая площадка";"улица Большая Филевская, дом 13/7";"14986,8376000002";"11933,9192999993";;;;;;"Муниципалитет";;;;"ЗАО";"Филёвский парк";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14055";"Дворовая площадка";"Дворовая площадка";"улица Большая Черемушкинская, дом 15, корпус 3";"5966,55009999964";"1940,7313000001";"28448";;;;;"Муниципалитет";"(499) 122-55-21";"mun-kotlovka.ru";"info@mun-kotlovka.ru";"ЮЗАО";"Котловка";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"14056";"Дворовая площадка";"Дворовая площадка";"улица Большая Черемушкинская, дом 2, корпус 1";"6197,42030000035";"2718,72409999929";"28424";;;;;"Муниципалитет";"(499) 125-91-92";"akadem.uzaomos.ru";"Akadem@uzao.mos.ru ";"ЮЗАО";"Академический";"открытые ледовые катки на месте спортивных площадок (сезонные)"
"16677";"НОУ ""Школа спортивного мастерства- Кунг Фу Дао Дэ""";"НОУ ""Школа спортивного мастерства- Кунг Фу Дао Дэ""";"улица Бориса Галушкина, дом 25";"10555,3081";"17175,2609000001";"5175";;;;;"Муниципалитет";"(495) 682-69-38";"alekseevsky-mncpt.ru";"mncpt@alekseevsky-mncpt.ru";"СВАО";"Алексеевский";"физкультурно-оздоровительные комплексы"
"16681";"НОУ Спортивно-оздоровительный центр ""Лидер""";"НОУ Спортивно-оздоровительный центр ""Лидер""";"Ленинский проспект, дом 78";"2348,26989999972";"1705,54279999994";"12908";;;;;"частная";"(499) 132-55-41 8 (903) 166-12-18";;"minaev_sport@list.ru";"ЮЗАО";"Ломоносовский";"досуговые центры"
"16682";"НОУ Спортивно-оздоровительный центр ""Лидер""";"НОУ Спортивно-оздоровительный центр ""Лидер""";"Ленинский проспект, дом 89";"2348,26989999972";"1705,54279999994";;;;;;"частная";"(499) 132-55-41 8 (903) 166-12-18";;"minaev_sport@list.ru";"ЮЗАО";"Ломоносовский";"досуговые центры"
"17140";"Спортивно-оздоровительный комплекс ""Звезда""";"Спортивно-оздоровительный комплекс ""Звезда""";"улица Большая Филевская, дом 20";"-34,504300000146";"9082,50229999982";"3201439";;;;;"Федеральная";"499 148-28-91, 499 148-67-74, 499 148-63-45, Факс: 499 142-00-01";"www.sokzvezda.ru";"sokzvezda@mail.ru";"ЗАО";"Филёвский парк";"физкультурно-оздоровительные комплексы"
