0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Муниципальный район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
126;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени А.А.Алябьева»                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств имени А.А.Алябьева»                                                                                                                                                                                                 ;121087, г.Москва, ул. Большая Филевская, д.6                                                                                                                                                                                                                  ;725,486975;9520,170048;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Филевский парк                                                                                                                                                                                                                                                ;121087, г.Москва, ул. Большая Филевская, д.6                                                                                                                                                                                                                  ;(499) 148-27-57                                                                                                                                                                                                                                               ;(499) 148-27-57                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;alyabyev-cmsm@rambler.ru                                                                                                                                                                                                                                      
127;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени Ю.С.Саульского»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская школа искусств имени Ю.С.Саульского»                                                                                                                                                                                               ;121357, г.Москва, ул. Козлова, д.48                                                                                                                                                                                                                           ;-3177,81425;5539,286765;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Можайский                                                                                                                                                                                                                                                     ;121357, г.Москва, ул. Козлова, д.48                                                                                                                                                                                                                           ;(495) 443-66-14, (495) 443-61-76                                                                                                                                                                                                                              ;(495) 443-61-76                                                                                                                                                                                                                                               ;dshi-saylskogo.ru                                                                                                                                                                                                                                             ;shkolasaulskogo@mail.ru                                                                                                                                                                                                                                       
133;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени Франца Шуберта»                                                                                                            ;ГБОУ ДОД г.Москвы «Детская школа искусств имени Франца Шуберта»                                                                                                                                                                                               ;119454, г.Москва, ул. Лобачевского, д.66б                                                                                                                                                                                                                     ;-164,4755;1129,730012;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Проспект Вернадского                                                                                                                                                                                                                                          ;119454, г.Москва, ул. Лобачевского, д.66б                                                                                                                                                                                                                     ;(495) 432-77-49                                                                                                                                                                                                                                               ;(495) 431-04-87                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;goudmsh45@yandex.ru                                                                                                                                                                                                                                           
137;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств №86»                                                                                                                             ;ГБОУ ДОД г.Москвы «Детская школа искусств №86»                                                                                                                                                                                                                ;119601, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.20 корп.1                                                                                                                                                                                          ;-2203,631193;414,6518472;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Раменки                                                                                                                                                                                                                                                       ;119601, г.Москва, Мичуринский пр-т, Олимпийская деревня, д.20 корп.1                                                                                                                                                                                          ;(495) 735-64-71, (495) 735-65-94                                                                                                                                                                                                                              ;(495) 735-64-71                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;7356594@mail.ru                                                                                                                                                                                                                                               
155;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени И.Ф.Стравинского»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская школа искусств имени И.Ф.Стравинского»                                                                                                                                                                                             ;125430, г.Москва, ул. Митинская, д.48 корп.2                                                                                                                                                                                                                  ;-8787,1874;20482,18199;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Митино                                                                                                                                                                                                                                                        ;125430, г.Москва, ул. Митинская, д.48 корп.2                                                                                                                                                                                                                  ;(495) 752-43-01                                                                                                                                                                                                                                               ;(495) 752-31-00                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshi13@mail.ru                                                                                                                                                                                                                                                
156;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени И.Ф.Стравинского»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская школа искусств имени И.Ф.Стравинского»                                                                                                                                                                                             ;125310, г.Москва, Пятницкое ш., д.40                                                                                                                                                                                                                          ;-8666,46645;20969,09725;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Митино                                                                                                                                                                                                                                                        ;125430, г.Москва, ул. Митинская, д.48 корп.2                                                                                                                                                                                                                  ;(495) 752-43-01                                                                                                                                                                                                                                               ;(495) 752-31-00                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshi13@mail.ru                                                                                                                                                                                                                                                
157;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств «Надежда»                                                                                                                        ;ГБОУ ДОД г.Москвы «Детская школа искусств «Надежда»                                                                                                                                                                                                           ;123182, г.Москва, ул. Академика Курчатова, д.23/13                                                                                                                                                                                                            ;-1328,48765;15528,2744;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Северо-Западный АО                                                                                                                                                                                                                                            ;Щукино                                                                                                                                                                                                                                                        ;123182, г.Москва, ул. Академика Курчатова, д.23/13                                                                                                                                                                                                            ;(495) 942-40-27                                                                                                                                                                                                                                               ;(495) 942-40-27                                                                                                                                                                                                                                               ;dshinadezhda.ru                                                                                                                                                                                                                                               ;dshi4nadezhda@yandex.ru                                                                                                                                                                                                                                       
158;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств имени С.П.Дягилева»                                                                                                              ;ГБОУ ДОД г.Москвы «Детская школа искусств имени С.П.Дягилева»                                                                                                                                                                                                 ;124617, г.Москва, Зеленоград, корп.1453                                                                                                                                                                                                                       ;-21243,46189;35405,56055;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Зеленоградский АО                                                                                                                                                                                                                                             ;Крюково                                                                                                                                                                                                                                                       ;124617, г.Москва, Зеленоград, корп.1453                                                                                                                                                                                                                       ;(499) 717-51-77                                                                                                                                                                                                                                               ;(499) 717-51-77                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;diaghiIevartschooI@narod.ru                                                                                                                                                                                                                                   
166;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская школа искусств город Московский»                                                                                                                ;ГБОУ ДОД г.Москвы «Детская школа искусств город Московский»                                                                                                                                                                                                   ;142784, г.Москва, Ленинский р-н, г.г.Московский, м-н 3, д.8                                                                                                                                                                                                   ;37,346974;55,595318;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Московкий                                                                                                                                                                                                                                                     ;142784, г.Москва, Ленинский р-н, г.г.Москвасковский, м-н 3, д.8                                                                                                                                                                                               ;(499) 558-06-70                                                                                                                                                                                                                                               ;(499) 558-06-70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;moskovskiy-dshi@mail.ru                                                                                                                                                                                                                                       
167;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Воскресенская детская школа искусств»                                                                                                                   ;ГБОУ ДОД г.Москвы «Воскресенская детская школа искусств»                                                                                                                                                                                                      ;142791, г.Москва, Ленинский р-н, пос. Воскресенское, д.28                                                                                                                                                                                                     ;37,444168;55,529774;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Воскресенское                                                                                                                                                                                                                                                 ;142791, г.Москва, Ленинский р-н, пос. Воскресенское, д.28                                                                                                                                                                                                     ;(495) 659-49-11                                                                                                                                                                                                                                               ;(495) 659-49-11                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshivoskresensk@cumail.ru                                                                                                                                                                                                                                     
168;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Ватутинская детская школа искусств им. Д.Б. Кабалевского»                                                                                               ;ГБОУ ДОД г.Москвы «Ватутинская детская школа искусств им. Д.Б. Кабалевского»                                                                                                                                                                                  ;142793, г.Москва, Ленинский р-н, пос. Ватутинки-1, д.43-а                                                                                                                                                                                                     ;37,324994;55,50035;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Десеновское                                                                                                                                                                                                                                                   ;142793, г.Москва, Ленинский р-н, пос. Ватутинки-1, д.43-а                                                                                                                                                                                                     ;(498) 540-65-36                                                                                                                                                                                                                                               ;(926) 386-31-24                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dshikabalevskogo@cumail.ru                                                                                                                                                                                                                                    
169;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Кокошкинская детская школа искусств»                                                                                                                    ;ГБОУ ДОД г.Москвы «Кокошкинская детская школа искусств»                                                                                                                                                                                                       ;143390, г.Москва, Наро-Фоминский р-н, пос. Кокошкино, ул. Дачная, д.7а                                                                                                                                                                                        ;37,16297;55,598022;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Новомосковкий АО                                                                                                                                                                                                                                              ;Кокошкино                                                                                                                                                                                                                                                     ;143390, г.Москва, Наро-Фоминский р-н, пос. Кокошкино, ул. Дачная, д.7а                                                                                                                                                                                        ;(495) 347-99-64                                                                                                                                                                                                                                               ;(495) 347-99-64, (968) 836-67-78                                                                                                                                                                                                                              ;дши8.рф                                                                                                                                                                                                                                                       ;dshi-8@rambler.ru                                                                                                                                                                                                                                             
