0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;0_POINT_X;0_POINT_Y
601;Городская поликлиника № 46 филиал № 1;109544, город Москва, Рабочая улица, дом 34;ЦАО;Карелина Тамара Ивановна;(495) 678-74-01;11760,6604;8322,9834
600;Городская поликлиника № 46 филиал № 2;109316, город Москва, Иерусалимская улица, дом 4;ЦАО;Лихачева Наталья Николаевна;(495) 676-41-86;11175,6796;7358,0491
589;Городская поликлиника № 46 филиал № 3;109004, город Москва, Воронцовская улица, дом 14/14;ЦАО;Кузнецов Валерий Алексеевич;(495) 911-21-67;9953,6164;7898,7614
846;Городская поликлиника № 49;117588, город Москва, Тарусская улица, дом 6;ЮЗАО;Байдакова Татьяна Валентиновна;(495) 425-68-11;2294,0458;-6277,1482
592;Городская поликлиника № 129;105005, город Москва, Ладожская улица, дом 4/6;ЦАО;Мороз Ивисталина Васильевна;(499) 263-04-29;11511,9501;11632,7437
836;Городская поликлиника № 141;117624, город Москва, 2-ая Мелитопольская улица, дом 13, корпус 1;ЮЗАО;Сафарян Сергей Левони;(495) 712-63-63;4985,0818;-14468,1686
838;Городская поликлиника № 163;117216, город Москва, Коктебельская улица, дом 6;ЮЗАО;Сафарян Сергей Левони;(495) 711-11-63;5237,2465;-11015,0954
16;Городская поликлиника № 175;105568, город Москва, Челябинская улица, дом 16;ВАО;Соколова Мария Валерьяновна;(495) 300-72-50;20754,8569;12246,6851
542;Городская поликлиника № 180 филиал № 3;125310, город Москва, Пятницкое шоссе, дом 29, корпус 3;СЗАО;Чемерис Александр Николаевич;(495) 751-25-72;-8398,5101;20422,1673
768;Городская поликлиника № 19 филиал № 1;109052, город Москва, Верхняя Хохловка улица, дом 2;ЮВАО;Кадохова Светлана Слангериевна;(495) 678-02-48;13647,7866;7399,6458
18;Городская поликлиника № 191 филиал № 3;105043, город Москва, Парковая 7-я улица, дом 8/61;ВАО;Антоненко Владимир Петрович;(499) 367-61-18;18627,5633;14267,8596
295;Городская поликлиника № 195 филиал № 3;121355, город Москва,  улица, дом;ЗАО;Алексеев Александр Генрихович;(499) 141-31-60;-4794,3161;7479,3494
356;Городская поликлиника № 201;124575, город Зеленоград, Каштановая аллея, дом 6, корпус 1;ЗелАО;Михайличенко Павел Николаевич;(499) 731-13-83;-16357,1438;35397,7784
355;Городская поликлиника № 201 филиал № 1;124498, город Зеленоград, Каштановая аллея, дом 6, корпус 1;ЗелАО;Маркина Елена Владимировна;(499) 736-02-38;-16345,2652;35400,3404
357;Городская поликлиника № 201 филиал № 2;124617, город Зеленоград, Каштановая аллея, дом 6, корпус 1;ЗелАО;Крылов Сергей Владимирович;(499) 717-02-55;-16328,9613;35405,4645
762;Городская поликлиника № 19 филиал № 3;109559, город Москва, Краснодарская улица, дом 63;ЮВАО;Кочин Геннадий Павлович;(495) 358-33-81;17191,275;1123,1536
682;Городская поликлиника № 67 филиал № 3;115407, город Москва, Затонная улица, дом 11, корпус 2;ЮАО;Токарева Татьяна Васильевна;(499) 614-59-37;11880,8719;1330,8385
843;Городская поликлиника № 22;117218, город Москва, Кедрова улица, дом 24;ЮЗАО;Вершинина Лилия Геннадьевна;(495) 718-80-11;4928,85;1646,7326
847;Городская поликлиника № 53;117449, город Москва, Дмитрия Ульянова улица, дом 25;ЮЗАО;Сакиева Роза Темуркановна;(499) 126-48-84;5127,3761;2128,8648
302;Городская поликлиника № 209;119607, город Москва, Раменки улица, дом 29;ЗАО;Мочалов Владимир Иванович;(495) 931-11-22;-448,3735;2434,6553
1025;Городская поликлиника № 109;109548, город Москва, Гурьянова улица, дом 4, корпус 3;ЮВАО;Урюпин Алексей Алексеевич;(495) 715-79-54;13939,5722;2792,5058
775;Городская поликлиника № 9 филиал № 1;109439, город Москва, Есенинский бульвар, дом 9, корпус 1;ЮВАО;Туляева Нигора Абдукадыровна;(499) 175-65-33;17682,925;3837,8746
764;Городская поликлиника № 23 филиал № 1;109145, город Москва, Жулебинский бульвар, дом 8;ЮВАО;Евдаков Валерьян Алексеевич;(495) 705-28-00;22001,7603;3638,2809
309;Городская поликлиника № 8;119602, город Москва, Мичуринский проспект, дом 16;ЗАО;Очиенг Лейла Джоновна;(495) 437-46-56;479,0235;3939,9106
