0_Код;1_Название;1_Адрес;1_Телефон;1_Режим работы;0_Доп.компания;0_Тип;0_Тип Выходного;0_Доп информация
5282;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 68;127018, город Москва, Бирюлевская улица, дом 31, корпус 1;(495)343-35-55;ПН-ПТ 08.00-20.00. СБ-ВС 10.00-18.00;нет информации;Аптека;10542,9518;-8381,6234
4412;ООО АРЕЛИЗ - 1;117461, город Москва, Голубинская улица, дом 24, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2523,0269;-7920,9344
4671;ООО Дедушка и Ко - 1;115404, город Москва, Бирюлевская улица, дом 22;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10307,735;-7844,2058
1002;ОАО Торговая сеть АПТЕЧКА - 246;129515, город Москва, Каширское шоссе, дом 142, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14180,3953;-7733,8692
745;ООО Гермесус-Групп;125424, город Москва, Волоколамское шоссе, дом 110;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-4532,0129;17797,8622
2965;ООО РЭДБЕРН;125424, город Москва, Волоколамский проезд, дом 3, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-4145,2387;17775,6862
3971;ООО Фармамед - 12;127055, город Москва, Красностуденческий проезд, дом 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4481,2451;17649,3204
3095;ООО Внешэкспо 1;129594, город Москва, Бориса Галушкина улица, дом 9;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;9832,0654;17560,9591
676;ООО АПТЕКА-А.в.е - 27;115093, город Москва, Коптевская улица, дом 16, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1266,919;18036,1681
4587;ООО Компания А и В;125171, город Москва, Матроса Железняка Бульвар, дом 13;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1666,4803;18087,4018
3328;ООО Трейд Юнион;121357, город Москва, Академика Комарова улица, дом 1А;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6357,1014;18071,8178
3995;ООО ЭКО-Содействие;129301, город Москва, Мира Проспект, дом 184, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9523,3021;17943,196
539;ЗАО ЭРКАФАРМ - 25;107005, город Москва, Ленинградское шоссе, дом 44;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-660,5466;18407,7539
1984;ООО Голден Роуз;125239, город Москва, Коптевский Бульвар, дом 17;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1511,1418;18295,1331
984;ОАО Торговая сеть АПТЕЧКА - 228;129515, город Москва, Ленинградское шоссе, дом 46;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-741,9918;18565,3354
4590;ООО Здравмир;125239, город Москва, Коптевская улица, дом 75;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1350,1674;18566,7584
702;ООО АПТЕКА-А.в.е - 53;115093, город Москва, Матроса Железняка Бульвар, дом 27;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1936,824;18760,6884
5093;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 10;127018, город Москва, Ленинский Проспект, дом 86;(495)343-35-55;ПН-ПТ 08.00-22.00. СБ 10.00-20.00. ВС 10.00-19.00;нет информации;Аптека;1892,8492;1147,5314
2368;ООО Здоровые Люди Москва - 3;119002, город Москва, Ленинский Проспект, дом 89/2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2091,6928;1136,3838
404;ЗАО Аптеки 36.6 - 70;111250, город Москва, Вавилова улица, дом 86;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;2694,2864;1104,0573
2583;ООО Фармсоюз - 1;123308, город Москва, Нахимовский Проспект, дом 38;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4326,5567;1158,9578
3044;ООО НЕО-ФАРМ - 2;117335, город Москва, Нагатинская улица, дом 28;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9996,6657;1168,6309
4910;ООО Вита-С;109382, город Москва, Краснодарская улица, дом 4/117;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;15182,4352;1049,881
3661;ООО Здоровый стиль - 1;105005, город Москва, Краснодарская улица, дом 14;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15536,163;1135,8767
3268;ООО Бадди - 1;109652, город Москва, Армавирская улица, дом 3;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15932,9438;1130,9319
3344;ООО Авест - 2;105064, город Москва, Краснодарская улица, дом 51, корпус 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16792,2123;1148,3892
3573;ЗАО ТОРГОВАЯ КОМПАНИЯ КАПРИЗ-М;119048, город Москва, Краснодарская улица, дом 57, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16920,675;1098,8782
928;ОАО Торговая сеть АПТЕЧКА - 172;129515, город Москва, Нагатинская улица, дом 13, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8947,1263;1443,385
2881;ООО РИНТА+;129278, город Москва, Андропова Проспект, дом 28;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10341,6217;1455,9349
2789;ООО Аккорд - 3;125167, город Москва, Крупской улица, дом 4, корпус 3;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1985,2508;1797,0408
2669;ООО Пегас;125363, город Москва, Новокузнецкая улица, дом 18, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8332,8327;7800,0729
3837;ООО Аптечная сеть Знахарь - 7;121359, город Москва, Кусковская улица, дом 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16658,0366;8003,2483
4852;ООО Володарка;115172, город Москва, Гончарная улица, дом 38;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9551,325;8271,3155
464;ЗАО Аптеки 36.6 - 130;111250, город Москва, Таганская улица, дом 1/2, строение 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;9990,108;8295,4716
4651;ООО Аптека на Новочеремушкинской;117447, город Москва, Новочеремушкинская улица, дом 11, корпус 3;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;5436,0715;2092,7832
3109;ООО ФАРМАДЕНТ - 6;109444, город Москва, Ленинский Проспект, дом 73/8;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;3103,3525;2408,2534
830;ОАО Торговая сеть АПТЕЧКА - 74;129515, город Москва, Вавилова улица, дом 55/7;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4075,24;2769,1551
3131;ООО Здоровый стиль;105005, город Москва, Гурьянова улица, дом 3;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14111,787;2765,1973
39;Аптечный пункт. Государственное бюджетное учреждение здравоохранения города Москвы Городская поликлиника № 67 ДЗМ;127473, город Москва, Варшавское шоссе, дом 2;(499)404-92-70;"Пн 08:00 - 20:00; Вт 08:00 - 20:00; Ср 08:00 - 20:00; Чт 08:00 - 20:00; Пт 08:00 - 20:00; Сб 09:00 - 18:00; Вс 09:00 - 16:00";"ЗАО ""Вилард""";Аптечный пункт;7608,7019;3743,2594
1029;ОАО Торговая сеть АПТЕЧКА - 273;129515, город Москва, Ленинский Проспект, дом 39/1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5318,725;4508,3239
5013;ООО Галамед;129085, город Москва, 6-я Кожуховская улица, дом 13;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10980,2656;4484,0823
484;ООО Аптеки Скажите А - 1;125319, город Москва, Домодедовская улица, дом 42;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13552,719;-7199,2755
5395;Общество с ограниченной ответственностью Ригла - 78;115201, город Москва, Елецкая улица, дом 20;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;14781,7993;-6743,9463
1650;ООО Авиафарм - 5;111539, город Москва, Гурьевский проезд, дом 19, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15975,6578;-6710,2634
3706;ООО Профи-Фарм - 1;125171, город Москва, Красного Маяка улица, дом 4, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6369,4753;-6102,8051
423;ЗАО Аптеки 36.6 - 89;111250, город Москва, Красного Маяка улица, дом 6;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6234,8184;-6070,1021
2509;ООО Салют;115551, город Москва, Каширское шоссе, дом 106;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13671,7329;-6126,4215
498;ООО Аптеки Скажите А - 15;125319, город Москва, Кировоградская улица, дом 22;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6702,2593;-5756,4801
4399;ООО ФАРММА - 1;125363, город Москва, Бехтерева улица, дом 41, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9330,0201;-5388,572
768;ОАО Торговая сеть АПТЕЧКА - 12;129515, город Москва, Днепропетровская улица, дом 3, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;6738,9416;-5053,0878
4639;ООО Элион - 3;109012, город Москва, Бакинская улица, дом 20;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9966,904;-4967,765
3129;ООО ПОЛАРТ-ФАРМ - 2;127238, город Москва, Кировоградская улица, дом 9, корпус 2;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;7103,8544;-4872,2591
4822;ООО Авангард - 2;111539, город Москва, Ключевая улица, дом 16/29;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16519,0101;-3572,8469
2385;ООО НИВА-ВП+ - 1;119633, город Москва, Боровское шоссе, дом 33;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-8631,1132;-2797,9582
637;ООО Мёбиус - 4;121471, город Москва, Кожуховская 6-я улица, дом 24;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11364,387;4395,6673
3151;ООО Сиан;107392, город Москва, Волгоградский проспект, дом 119/22;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16735,1948;4423,9798
3045;ООО ИНТЕРМАИР;105066, город Москва, Волгоградский Проспект, дом 121/35;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16936,7317;4377,9507
4597;ООО Азалия;125315, город Москва, Автозаводская улица, дом 6;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10234,413;4737,1043
5031;ООО ЗЕМ фарм - 2;119530, город Москва, Велозаводская улица, дом 9;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10614,5184;5022,3163
5131;ГУП Столичные аптеки - 47;125239, город Москва, Волжский Бульвар, дом 16, корпус 1;(499)404-92-70;пн-пт 8.00-20.00. сб-вс выходной;нет информации;Аптека;15455,4217;5046,2646
3147;ООО НАСТ;109088, город Москва, Жигулевская улица, дом 4, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;16501,205;5047,9057
294;ООО Радуга Здоровья;109387, город Москва, Зеленодольская улица, дом 22/14;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;17519,6412;5098,0202
4290;ООО Дентамед;117463, город Москва, Лестева улица, дом 20;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7030,7044;5333,9031
2990;ООО НАТАЛЛИ ЛГ - 2;103051, город Москва, Люсиновская улица, дом 68;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;7771,8501;5425,8443
5124;ГУП Столичные аптеки - 43;125239, город Москва, 12-я Новокузьминская улица, дом 4, корпус 1;(499)404-92-70;"Пн-Пт 08.00-20.00; Сб. 10.00-18.00. Вс. - выходной";нет информации;Аптека;17867,175;5470,0768
3313;ООО СОРТС-Говорова;121596, город Москва, Говорова улица, дом 8, корпус 3;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-6307,214;5721,6525
4682;ЗАО Конка - 5;121433, город Москва, Мосфильмовская улица, дом 11, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1432,4748;5689,9321
382;ЗАО Аптеки 36.6 - 48;111250, город Москва, Ленинский Проспект, дом 16;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;6127,1;5750,1949
1211;ООО 03 АПТЕКА - 40;105066, город Москва, Гришина улица, дом 5;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-4996,3141;6030,2752
3246;ООО Дина-Фарм;117588, город Москва, Мосфильмовская улица, дом 22;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;1666,4628;6037,5349
1904;ООО Соцздрав;115230, город Москва, Маршала Неделина улица, дом 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-6084,0827;6297,9012
3104;ЗАО Айпара и Компания - 6;117513, город Москва, Багрицкого улица, дом 3, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-3839,3134;6342,5671
5209;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 48;127018, город Москва, Комсомольский Проспект, дом 30;(499)616-22-11;круглосуточно;нет информации;Аптека;5042,355;6485,651
310;ООО САМСОН-ФАРМА - 4;127486, город Москва, Люсиновская улица, дом 12;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;7741,5636;6381,9397
5065;ГУП Столичные аптеки - 8;125239, город Москва, Дербеневская набережная, дом 1/2;(495)343-35-55;пн-пт 8.00-20.00. сб-вс - выходной;нет информации;отсутствует;9764,2125;6737,8858
1030;ОАО Торговая сеть АПТЕЧКА - 274;129515, город Москва, Валовая улица, дом 8/18;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8375,5916;7112,1445
4012;ООО Городская Аптека № 2 - 2;125009, город Москва, Михайлова улица, дом 5;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;16586,0728;7024,9796
2327;ООО Лучик Здоровья;109428, город Москва, Зарайская улица, дом 26;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;17060,114;7017,6144
2794;ООО Макар-Фарм;115088, город Москва, Нижегородская улица, дом 70, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;13286,8125;7403,8038
2228;ИП Кононенко Любовь Николаевна - 2;117420, город Москва, Кастанаевская улица, дом 42, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-1493,3246;7558,8299
4287;ООО Полином;127276, город Москва, Грекова улица, дом 10;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10279,8683;24683,2703
3008;ИП Борисков Андрей Иванович;121354, город Москва, Абрамцевская улица, дом 4, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4894,74;25184,9517
4157;ООО ДИАЛАЙТЕН;127560, город Москва, Коненкова улица, дом 14;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7210,0902;25235,8494
2400;ООО ФАРМАЦЕВТИКА - 2;107113, город Москва, Лескова улица, дом 26;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7213,9811;25305,9743
2732;ООО ФЛОРА;123481, город Москва, Клязьминская улица, дом 36;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1989,6995;25594,8872
3043;ООО НЕО-ФАРМ - 1;117335, город Москва, Красноармейская улица, дом 24;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2767,9985;14931,2222
4438;ООО АланФарн;127287, город Москва, 4-йВятский переулок, дом 20;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4505,9953;14895,3265
3965;ООО Фармамед - 6;127055, город Москва, Ленинградский Проспект, дом 66;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1735,8538;15113,7954
3402;ООО Ясная Аптека;107176, город Москва, Богородский Вал улица, дом 6, корпус 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;12938,47;15094,5019
2692;ООО ВИЛМАФАРМ;129090, город Москва, Ленинградский Проспект, дом 74, корпус 6;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1175,9271;15534,6222
5334;Общество с ограниченной ответственностью Ригла - 17;115201, город Москва, Бутырская улица, дом 97;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;5096,2452;15649,3492
3407;ООО Солнышко Северное;125499, город Москва, Бутырская улица, дом 84;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;5305,9907;15472,1123
795;ОАО Торговая сеть АПТЕЧКА - 39;129515, город Москва, Мира Проспект, дом 112;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8736,5001;15476,2671
3239;ООО Вектор здоровья;107076, город Москва, Краснобогатырская улица, дом 79;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;13209,2169;15417,8411
914;ОАО Торговая сеть АПТЕЧКА - 158;129515, город Москва, Авиаторов улица, дом 18;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-6183,6878;-2488,192
5130;ГУП Столичные аптеки - 46;125239, город Москва, Академика Волгина улица, дом 25, корпус 1;(495)343-35-55;пн-пт 8.00-21.00. сб 10.00-18.00. вс-выходной;нет информации;Аптека;755,3796;-2477,0915
4570;ООО АнриФарм;117342, город Москва, Бутлерова улица, дом 24;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2529,982;-2151,7295
2850;ООО Фарм-Форум;115211, город Москва, Новочеркасский Бульвар, дом 31;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;14884,7947;-2063,265
755;ООО Юнона;127051, город Москва, Новочеркасский Бульвар, дом 51;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15189,1798;-2055,4273
2660;ООО Солнышко Южное;125499, город Москва, Каширское шоссе, дом 26, корпус 2;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;9438,0813;-1489,3137
4472;ООО Фарм-центр - 1;109382, город Москва, Варшавское шоссе, дом 81, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7681,4631;-1170,9052
3150;ООО Альвиона;115093, город Москва, Варшавское шоссе, дом 75, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;7674,611;-895,4893
1089;ООО Витим и Ко - 20;115201, город Москва, Азовская улица, дом 3;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;6763,3932;-520,5092
4082;ООО ФАРМАСК;119425, город Москва, Академика Миллионщикова улица, дом 7, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9655,7665;564,3999
3416;ООО АЛЬБИОН групп;115487, город Москва, Андропова Проспект, дом 38;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;10280,9533;800,0056
3309;ООО Лайфарм;109382, город Москва, Краснодонская улица, дом 39;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;15813,06;850,0492
628;ООО Изотекс;129090, город Москва, Летчика Бабушкина улица, дом 15;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;10991,9653;21896,2994
3771;ИП Чибисова Наталья Николаевна;127591, город Москва, Лобненская улица, дом 6;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;2466,2469;24879,978
1736;ООО Салус - 2;0, город Москва, Коненкова улица, дом 19;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный киоск;7023,9276;25198,4034
2565;ООО Эдельвейс;115088, город Москва, Лескова улица, дом 22;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;6989,0465;25499,4279
711;ООО АПТЕКА-А.в.е - 62;115093, город Москва, Брянская улица, дом 2;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4140,1475;8653,0279
708;ООО АПТЕКА-А.в.е - 59;115093, город Москва, Большая Дорогомиловская улица, дом 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;4087,8458;8742,0885
4588;ООО Альбосс;111539, город Москва, Новокосинская улица, дом 49;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;23764,1749;8668,4495
5271;ГУП Столичные аптеки - 142;125239, город Москва, 1-я Владимирская улица, дом 47;(499)404-92-70;Круглосуточно;нет информации;Аптека;17850,6301;8902,6756
2815;ООО Моя Аптека;119285, город Москва, 2-ая Владимирская улица, дом 38/18;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;17959,3239;9315,9513
4894;ООО Флория-В;109125, город Москва, Зеленый Проспект, дом 56;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;19880,084;9369,9921
4895;ООО Флория-В - 1;109125, город Москва, Зеленый Проспект, дом 60/35;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;20076,5655;9311,8803
5229;ГУП Столичные аптеки - 113;125239, город Москва, Молостовых улица, дом 21/34;(495)343-35-55;"Пн-Пт 08.00-20.00; Суб. 10.00-18.00. Вс. - выходной";нет информации;Аптека;20986,9383;9322,0048
1177;ООО 03 АПТЕКА - 6;105066, город Москва, Авиационная улица, дом 67, корпус 1;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-2754,0803;15842,5843
723;ООО АПТЕКА-А.в.е - 74;115093, город Москва, Волоколамское шоссе, дом 14;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-269,0043;15874,3936
3951;ООО Гронингем - 5;127254, город Москва, Дмитровский проезд, дом 8;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;4727,0752;15820,6615
5076;ГУП Столичные аптеки - 18;125239, город Москва, Вучетича улица, дом 22;(499)616-22-11;"Пн-Пт 08.00-20.00; Сб. 10.00-18.00. Вс. - выходной";нет информации;Аптека;3753,5801;16114,5143
3625;ООО СТОЛИЦА ЗДОРОВЬЯ;129090, город Москва, Костякова улица, дом 6/5;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;4693,0242;16112,3552
323;ООО САМСОН-ФАРМА - 17;127486, город Москва, Костякова улица, дом 15;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;4452,7463;16523,7435
213;Аптечный пункт. Филиал № 4 Государственное бюджетное учреждениеЗ города Москвы «Городская поликлиника № 12 ДЗМ»;127473, город Москва, Гончарова улица, дом 6;(499)616-22-11;отсутствует;"ЗАО ""Вилард""";Аптечный пункт;5781,4786;16534,337
4719;ООО ТГ Трейд;123592, город Москва, Исаковского улица, дом 6, корпус 1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;-6134,1694;16848,9705
620;ООО Трэйд универсал;105023, город Москва, З. и А. Космодемьянских улица, дом 10;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;726,3043;17069,8326
3160;ООО Альфа -холдинг;129301, город Москва, Бориса Галушкина улица, дом 10;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;9706,2429;17518,4197
3778;ООО Фирма ЛОКК;125239, город Москва, Коптевская улица, дом 8;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1214,9564;17857,7503
416;ЗАО Аптеки 36.6 - 82;111250, город Москва, Новопетровская улица, дом 16;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека;1536,9378;17837,5425
3012;ООО Шитонфарм;107065, город Москва, Курганская улица, дом 4;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;19836,5018;18121,815
859;ОАО Торговая сеть АПТЕЧКА - 103;129515, город Москва, Бауманская улица, дом 58А;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;11314,8285;11269,4068
4985;ООО МИЦАР-Н - 14;109145, город Москва, Буденного Проспект, дом 29/1;(495)343-35-55;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптека готовых лек-ных форм;14582,6;11288,4882
2918;ООО Мистраль-Фарма;107113, город Москва, 5-я Магистральная улица, дом 10;(499)616-22-11;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;1764,559;11737,7633
3875;ООО Торговый дом Пресса для Всех-2000;129272, город Москва, Большая Сухаревская площадь, дом 16/18, строение 1;(499)404-92-70;режим работы устанавливается юридическим лицом самостоятельно;нет информации;Аптечный пункт;8722,1;11637,0679
5138;Государственное бюджетное учреждениеЗ ЦЛО и КК ДЗ г. Москвы - 26;127018, город Москва, Ладожская улица, дом 10;(499)616-22-11;ПН-ПТ 08.00-20.00. СБ 10.00-18.00. ВС-выходной;нет информации;Аптека;11657,882;11623,9464
