1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
43;Гнесинский на Поварской                                                                                                                                                                                                                                       ;Гнесинский на Поварской                                                                                                                                                                                                                                       ;Поварская, 38                                                                                                                                                                                                                                                 ;5810,4704;9928,624456;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691 38 55                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
44;Культурный центр МГУ                                                                                                                                                                                                                                          ;Культурный центр МГУ                                                                                                                                                                                                                                          ;Воробьевы Горы, Главное здание МГУ                                                                                                                                                                                                                            ;2043,261115;3996,288151;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 939 10 59, 939 44 76                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
45;На Кисловке                                                                                                                                                                                                                                                   ;На Кисловке                                                                                                                                                                                                                                                   ;Б.Кисловский пер., 4, стр. 2                                                                                                                                                                                                                                  ;6780,33675;9679,049329;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 691 00 92                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
46;ДК РГУНГ им. Губкина                                                                                                                                                                                                                                          ;ДК РГУНГ им. Губкина                                                                                                                                                                                                                                          ;Ленинский просп., 65/4                                                                                                                                                                                                                                        ;3701,423;2671,794977;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 233 92 25                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
47;Дворец культуры МГТУ им. Баумана                                                                                                                                                                                                                              ;Дворец культуры МГТУ им. Баумана                                                                                                                                                                                                                              ;Рубцовская наб., 2/18                                                                                                                                                                                                                                         ;12168,7069;11652,32862;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 263 62 61                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
48;Концертный зал Международного университета                                                                                                                                                                                                                    ;Концертный зал Международного университета                                                                                                                                                                                                                    ;Ленинградский просп., 17                                                                                                                                                                                                                                      ;4525,1014;12792,85943;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 946 10 49                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
49;Оркестрион                                                                                                                                                                                                                                                    ;Оркестрион                                                                                                                                                                                                                                                    ;Гарибальди, 19                                                                                                                                                                                                                                                ;3246,869395;625,6934646;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 504 07 85, (499) 128 19 20, 128 17 82                                                                                                                                                                                                                   ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
50;Дворец на Яузе                                                                                                                                                                                                                                                ;Дворец на Яузе                                                                                                                                                                                                                                                ;пл. Журавлева, 1                                                                                                                                                                                                                                              ;12975,3001;13042,55843;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 558 02 08, (495) 645 22 45                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
51;Академия хорового искусства                                                                                                                                                                                                                                   ;Академия хорового искусства                                                                                                                                                                                                                                   ;Фестивальная, 2                                                                                                                                                                                                                                               ;-898,780675;21083,18657;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 459 62 74                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
52;Академический                                                                                                                                                                                                                                                 ;Академический                                                                                                                                                                                                                                                 ;Ленинский просп., 32а                                                                                                                                                                                                                                         ;5005,9751;4810,569822;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 930 20 14                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
53;ДК Метростроя                                                                                                                                                                                                                                                 ;ДК Метростроя                                                                                                                                                                                                                                                 ;Костомаровский пер., 3, стр. 1                                                                                                                                                                                                                                ;10502,35356;9420,607825;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 916 07 13                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
54;Magic Center                                                                                                                                                                                                                                                  ;Magic Center                                                                                                                                                                                                                                                  ;5-й Лучевой просек, 7, стр. 2, КВЦ«Сокольники»                                                                                                                                                                                                                ;10917,71684;14845,7574;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 268 76 82                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
55;МДМ                                                                                                                                                                                                                                                           ;МДМ                                                                                                                                                                                                                                                           ;Комсомольский просп., 28                                                                                                                                                                                                                                      ;5114,87;6667,623818;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 788 46 46                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
