0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
6840;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1233                                                                                                        ;ГБОУ СОШ № 1233                                                                                                                                                                                                                                               ;119019 Большой Афанасьевский переулок, д. 27, стр. 1                                                                                                                                                                                                          ;6177,6657;9080,028274;4301347;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа с углубленным изучением отдельных предметов                                                                                                                                                                                 ;(495) 691-72-03                                                                                                                                                                                                                                               ;http://schu1233.cao.mskobr.ru                                                                                                                                                                                                                                 ;Центральное окружное управление образования                                                                                                                                                                                                                   
6870;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1685                                                                                                                                                                   ;ГБОУ ЦО № 1685                                                                                                                                                                                                                                                ;109240 г.Москва, Берниковская набер., д.12, стр.1                                                                                                                                                                                                             ;9611,3751;9109,145189;2130771;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;"(495) 915-05-60; (495) 915-36-68                                                                                                                                                                                                                              ";http://centre1685.ru                                                                                                                                                                                                                                          ;Центральное окружное управление образования                                                                                                                                                                                                                   
5441;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1490                                                                                                                                                                   ;ГБОУ ЦО № 1490                                                                                                                                                                                                                                                ;127253 г. Москва, ул. Псковская, дом 12, корпус 3                                                                                                                                                                                                             ;3495,52325;26317,31142;21190;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;400-76-00                                                                                                                                                                                                                                                     ;http://www.co1490.svao.mskobr.ru                                                                                                                                                                                                                              ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
6553;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Школа здоровья"" № 1858                                                                                                                                                  ";ГБОУ ЦО № 1858                                                                                                                                                                                                                                                ;109649, г. Москва, Капотня, 5-й квартал, дом 29                                                                                                                                                                                                               ;18787,325;-4088,397584;2700038;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;"Центр образования ""Школа Здоровья""                                                                                                                                                                                                                            ";(495) 355-84-47                                                                                                                                                                                                                                               ;http://co1858.ru                                                                                                                                                                                                                                              ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
5436;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1488                                                                                                                                                                   ;ГБОУ ЦО № 1488                                                                                                                                                                                                                                                ;119415  г.Москва, Ленинский проспект, д.132                                                                                                                                                                                                                   ;698,0651;-12,54976396;2111661;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;432-87-62                                                                                                                                                                                                                                                     ;http://co1488.mskzapad.ru                                                                                                                                                                                                                                     ;Западное окружное управление образования                                                                                                                                                                                                                      
5442;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1491                                                                                                                                                                   ;ГБОУ ЦО № 1491                                                                                                                                                                                                                                                ;127562, город Москва, улица  Каргопольская, дом 13, корпус 2                                                                                                                                                                                                  ;5789,334175;22026,14289;2103771;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(499) 903-77-32                                                                                                                                                                                                                                               ;http://co1491.svao.mskobr.ru                                                                                                                                                                                                                                  ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
6381;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 475                                                                                                                                                    ;ГБОУ СОШ № 475                                                                                                                                                                                                                                                ;109390, г. Москва, ул. Люблинская, д. 45                                                                                                                                                                                                                      ;14935,1898;3125,470133;2129872;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(499) 178-60-88                                                                                                                                                                                                                                               ;http://schuv475.mskobr.ru                                                                                                                                                                                                                                     ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6440;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 5                                                                                                                                                      ;ГБОУ СОШ № 5                                                                                                                                                                                                                                                  ;117638, г. Москва, улица Сивашская, дом 2, корпус 1                                                                                                                                                                                                           ;6763,379;-720,6279769;2800276;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(499) 317-90-81                                                                                                                                                                                                                                               ;http://shkola5.ucoz.org                                                                                                                                                                                                                                       ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6528;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1421                                                                                                                                                                   ;ГБОУ ЦО № 1421                                                                                                                                                                                                                                                ;109117, г. Москва, Васильцовский стан, д. 4                                                                                                                                                                                                                   ;16021,3595;5176,444156;2707720;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;(499) 501-09-18                                                                                                                                                                                                                                               ;http://co1421.uvao.mskobr.ru                                                                                                                                                                                                                                  ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6534;Государственное бюджетное образовательное учреждение города Москвы   центр образования № 1423                                                                                                                                                                 ;ГБОУ ЦО № 1423                                                                                                                                                                                                                                                ;109451, г. Москва, Перервинский бульвар, д.5, корп. 3                                                                                                                                                                                                         ;16944,31773;-337,3977274;2706115;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;658-58-88                                                                                                                                                                                                                                                     ;http://www.co1423.uvao.mskobr.ru                                                                                                                                                                                                                              ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6658;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 86 имени М.Е. Катукова                                                                                                                                 ;ГБОУ СОШ № 86                                                                                                                                                                                                                                                 ;123592, г. Москва, ул. Маршала Катукова, д. 12, к. 3                                                                                                                                                                                                          ;-5993,7782;15618,56398;2114740;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа                                                                                                                                                                                                                             ;(495) 750-00-47                                                                                                                                                                                                                                               ;http://schsz86.mskobr.ru/                                                                                                                                                                                                                                     ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
6706;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1863                                                                                                                                                                   ;ГБОУ ЦО № 1863                                                                                                                                                                                                                                                ;117042, г. Москва, улица Поляны, дом 31А                                                                                                                                                                                                                      ;3289,740735;-12995,45704;2134410;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Центр образования                                                                                                                                                                                                                                             ;716-80-45                                                                                                                                                                                                                                                     ;http://www.center1863.msk.ru                                                                                                                                                                                                                                  ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6858;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331                                                                                             ;ГБОУ СОШ № 1331                                                                                                                                                                                                                                               ;121002 г.Москва, Сивцев Вражек пер., д.18                                                                                                                                                                                                                     ;37,594482;55,748143;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Общеобразовательное учреждение                                                                                                                                                                                                                                ;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования                                                                                                                                                                     ;"(499) 978-97-58; (499) 973-56-55; (499) 978-70-58                                                                                                                                                                                                             ";http://www.school1331.ru                                                                                                                                                                                                                                      ;Центральное окружное управление образования                                                                                                                                                                                                                   
