0_OBJECTID;0_ UIDNFTN;Название;0_ LABEL;Адрес;0_ X;0_ Y;Телефон;Режим работы
79;103;Управление социальной защиты населения района Очаково-Матвеевское, ЗАО;Управление социальной защиты населения района Очаково-Матвеевское, ЗАО г. Москва, ул. Б.Очаковская, д. 22;г. Москва, ул. Б.Очаковская, д. 22;-2663,9365;1747,282328;(495) 437-55-14, (495) 437-82-38;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
80;104;Управление социальной защиты населения района Проспект Вернадского, ЗАО;Управление социальной защиты населения района Проспект Вернадского, ЗАО г. Москва, ул. Удальцова, дом 4;г. Москва, ул. Удальцова, дом 4;1216,983628;658,3766175;(499) 133-77-45, (499) 131-77-95;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
81;105;Управление социальной защиты населения района Раменки, ЗАО;Управление социальной защиты населения района Раменки, ЗАО г. Москва, ул. Раменки, д. 6, корп. 2;г. Москва, ул. Раменки, д. 6, корп. 2;-359,6836138;2904,47532;(495) 932-78-91, (495) 932-86-81;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
82;106;Управление социальной защиты населения района Солнцево, ЗАО;Управление социальной защиты населения района Солнцево, ЗАО г. Москва, ул. Богданова, д. 54;г. Москва, ул. Богданова, д. 54;-6637,48675;-2004,29729;(495) 435-23-66, (495) 439-41-01;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
83;107;Управление социальной защиты населения района Тропарево-Никулино, ЗАО;Управление социальной защиты населения района Тропарево-Никулино, ЗАО г. Москва, Ленинский пр-т, д. 156;г. Москва, Ленинский пр-т, д. 156;-724,91485;-1623,499909;(495) 433-64-00, (495) 434-05-94;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
84;108;Управление социальной защиты населения района Фили-Давыдково, ЗАО;Управление социальной защиты населения района Фили-Давыдково, ЗАО г. Москва, ул. Большая Филевская, д. 57, стр. 1;г. Москва, ул. Большая Филевская, д. 57, стр. 1;-2019,395625;7970,018353;(499) 146-00-77, (499) 146-33-00;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
85;109;Управление социальной защиты населения Северо-Западного административного округа г. Москвы;Управление социальной защиты населения Северо-Западного административного округа г. Москвы г. Москва, ул. Маршала Бирюзова, д. 10, корп. 1;г. Москва, ул. Маршала Бирюзова, д. 10, корп. 1;-185,6203;14020,38859;(499) 195-95-09, (499) 943-27-93;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
86;110;Управление социальной защиты населения района Митино, СЗАО;Управление социальной защиты населения района Митино, СЗАО г. Москва, Пятницкое шоссе, д. 7;г. Москва, Пятницкое шоссе, д. 7;-7041,34085;18987,11023;(495) 751-01-91, (495) 751-01-91;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
87;111;Управление социальной защиты населения района Покровско-Стрешнево, СЗАО;Управление социальной защиты населения района Покровско-Стрешнево, СЗАО г. Москва, ул. Свободы, д. 8/4, стр. 1;г. Москва, ул. Свободы, д. 8/4, стр. 1;-2778,115;17930,84906;(495) 491-82-24, 491-82-24;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
88;112;Управление социальной защиты населения района Северное Тушино, СЗАО;Управление социальной защиты населения района Северное Тушино, СЗАО г. Москва, бульв. Яна Райниса, д. 17;г. Москва, бульв. Яна Райниса, д. 17;-4244,500475;20291,67402;(495) 948-92-72, 949-17-18;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
89;113;Управление социальной защиты населения района Строгино, СЗАО;Управление социальной защиты населения района Строгино, СЗАО г. Москва, Строгинский бульвар, д. 2, корп. 2;г. Москва, Строгинский бульвар, д. 2, корп. 2;-6421,4831;15317,42965;(495) 758-93-33;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
90;114;Управление социальной защиты населения района Хорошево-Мневники, СЗАО;Управление социальной защиты населения района Хорошево-Мневники, СЗАО г. Москва, бульв. Генерала Карбышева, д. 14;г. Москва, бульв. Генерала Карбышева, д. 14;-1686,361925;12583,12525;(495) 197-72-59, 199-25-66;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
91;115;Управление социальной защиты населения района Щукино, СЗАО;Управление социальной защиты населения района Щукино, СЗАО г. Москва, ул. Живописная, д. 48;г. Москва, ул. Живописная, д. 48;-2953,537103;14906,77586; (495) 193-65-01;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
92;116;Управление социальной защиты населения района Южное Тушино, СЗАО;Управление социальной защиты населения района Южное Тушино, СЗАО г. Москва, бульв. Яна Райниса, д. 17;г. Москва, бульв. Яна Райниса, д. 17;-4244,500475;20291,67402;(495) 948-96-88;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
93;117;Управление социальной защиты населения района Куркино, СЗАО;Управление социальной защиты населения района Куркино, СЗАО г. Москва, Соловьиная роща, д. 10;г. Москва, Соловьиная роща, д. 10;-6134,9596;25122,66859;(499) 401-90-07, (499) 401-90-87;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
94;118;Управление социальной защиты населения Зеленоградского административного округа г. Москвы;Управление социальной защиты населения Зеленоградского административного округа г. Москвы г. Москва, Зеленоград, корп. 1821;г. Москва, Зеленоград, корп. 1821;-20705,30397;35182,9428;(499) 717-01-19;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
95;119;Управление социальной защиты населения района Матушкино-Савелки, ЗелАО;Управление социальной защиты населения района Матушкино-Савелки, ЗелАО г. Зеленоград, корп. 313;г. Зеленоград, корп. 313;-17721,4215;37099,69187;(495) 735-16-67, (499) 762-44-21;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
96;120;Управление социальной защиты населения района Крюково, ЗелАО;Управление социальной защиты населения района Крюково, ЗелАО г. Зеленоград, корп. 1818 а;г. Зеленоград, корп. 1818 а;-19586,4543;36733,19492;(499) 733-02-93, (499) 733-58-01;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
97;121;Управление социальной защиты населения Панфиловского района, ЗелАО;Управление социальной защиты населения Панфиловского района, ЗелАО г. Москва, г. Зеленоград, корп. 830;г. Москва, г. Зеленоград, корп. 830;-19828,33865;35046,52943;(499) 729-81-51, (499) 729-81-71;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
98;122;Управление социальной защиты населения Троицкого и Новомосковского административных округов г. Москвы;Управление социальной защиты населения Троицкого и Новомосковского административных округов г. Москвы г. Москва, ул.Брусилова, д.17;г. Москва, ул.Брусилова, д.17;5384,982375;-18381,81729;(499) 234-07-80, (499) 234-07-75;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
99;123;Щербинское управление социальной защиты населения, ТиНАО;Щербинское управление социальной защиты населения, ТиНАО г. Москва, ул. Маршала Савицкого, д. 26, корп. 1;г. Москва, ул. Маршала Савицкого, д. 26, корп. 1;6098,40365;-18124,3321;(499) 234-37-10, (499) 234-38-70;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
100;124;Вороновское управление социальной защиты населения, ТиНАО;Вороновское управление социальной защиты населения, ТиНАО Московская обл. г. Подольск, ул. Маштакова д.12;Московская обл. г. Подольск, ул. Маштакова д.12;37,524201;55,431973;(4967) 66-33-19, (4967) 66-33-13;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
101;125;Московское Управление социальной защиты населения, ТиНАО;Московское Управление социальной защиты населения, ТиНАО г. Москва, Московский, мкр.3, стр. 2А;г. Москва, Московский, мкр.3, стр. 2А;37,343123;55,596656;(495) 276-23-61, (495) 276-23-65;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
102;126;Троицкое Управление социальной защиты населения, ТиНАО;Троицкое Управление социальной защиты населения, ТиНАО г. Москва, г. Троицк, Октябрьский проспект д.11;г. Москва, г. Троицк, Октябрьский проспект д.11;37,295131;55,476616;(4967) 51-00-25, (4967) 51-23-72;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
103;51;Управление социальной защиты населения района Преображенское, ВАО;Управление социальной защиты населения района Преображенское, ВАО г. Москва, ул. Стромынка, д. 21 стр. 1;г. Москва, ул. Стромынка, д. 21 стр. 1;12614,72015;14253,66441;(499) 269-10-64, (499) 269-81-90;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
104;52;Управление социальной защиты населения района Северное Измайлово, ВАО;Управление социальной защиты населения района Северное Измайлово, ВАО г. Москва, ул. 3-я Парковая, д. 44 Б;г. Москва, ул. 3-я Парковая, д. 44 Б;17985,9328;15340,6529;(499) 164-77-24, (499) 164-84-79;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
105;53;Управление социальной защиты населения района Соколиная гора, ВАО;Управление социальной защиты населения района Соколиная гора, ВАО г. Москва, Измайловское шоссе, д. 15;г. Москва, Измайловское шоссе, д. 15;14262,99315;12562,70284;(495) 366-07-77, (495) 366-04-10;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
106;54;Управление социальной защиты населения района Сокольники, ВАО;Управление социальной защиты населения района Сокольники, ВАО г. Москва, 2-й Полевой пер., д. 2;г. Москва, 2-й Полевой пер., д. 2;11482,17505;13917,41624;(499) 268-69-34, (499) 268-06-48;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
107;55;Управление социальной защиты населения района Восточный, ВАО;Управление социальной защиты населения района Восточный, ВАО г. Москва, ул. 9 Мая, д. 14 а;г. Москва, ул. 9 Мая, д. 14 а;23173,05439;16717,02525;(499) 780-17-40, (499) 780-55-14;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
108;56;Управление социальной защиты населения Юго-Восточного административного округа г. Москвы;Управление социальной защиты населения Юго-Восточного административного округа г. Москвы г. Москва, ул. Люблинская, д. 159;г. Москва, ул. Люблинская, д. 159;15462,91515;-1490,956035;345-74-01, 345-78-00;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
109;57;Управление социальной защиты населения Нижегородского района, ЮВАО;Управление социальной защиты населения Нижегородского района, ЮВАО г. Москва, Рязанский пр-т, д. 31;г. Москва, Рязанский пр-т, д. 31;15771,1126;7044,734497;657-19-48, 657-19-23, 657-19-47;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
110;58;Управление социальной защиты населения района Выхино-Жулебино, ЮВАО;Управление социальной защиты населения района Выхино-Жулебино, ЮВАО г. Москва, Рязанский пр-т, д. 64, корп. 2;г. Москва, Рязанский пр-т, д. 64, корп. 2;19197,56185;5252,314102;(495) 919-33-61, (499) 784-67-76;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
111;59;Управление социальной защиты населения района Кузьминки, ЮВАО;Управление социальной защиты населения района Кузьминки, ЮВАО г. Москва, Волгоградский пр-т, д. 96, корп. 3;г. Москва, Волгоградский пр-т, д. 96, корп. 3;17254,3742;4066,078046;(499) 172-93-01, (499) 172-93-31;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
112;60;Управление социальной защиты населения района Лефортово, ЮВАО;Управление социальной защиты населения района Лефортово, ЮВАО г. Москва, ул. Красноказарменная, д. 19;г. Москва, ул. Красноказарменная, д. 19;13322,3876;9694,490364;(495) 362-57-04, (495) 361-12-40;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
113;61;Управление социальной защиты населения района Люблино, ЮВАО;Управление социальной защиты населения района Люблино, ЮВАО г. Москва, пр-т 40 лет Октября, д. 20;г. Москва, пр-т 40 лет Октября, д. 20;15544,69335;1074,37701;(495) 351-66-77, (495) 351-48-24;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
114;62;Управление социальной защиты населения района Марьино, ЮВАО;Управление социальной защиты населения района Марьино, ЮВАО г. Москва, ул. Братиславская, д. 21, корп. 1;г. Москва, ул. Братиславская, д. 21, корп. 1;16654,02475;-1061,26766;(495) 654-96-90, (495) 654-96-91;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
115;63;Управление социальной защиты населения района Печатники, ЮВАО;Управление социальной защиты населения района Печатники, ЮВАО г. Москва, ул. Гурьянова, д. 77;г. Москва, ул. Гурьянова, д. 77;13782,30289;994,9868256;(495) 354-78-41, (499) 746-49-61;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
116;64;Управление социальной защиты населения района Текстильщики, ЮВАО;Управление социальной защиты населения района Текстильщики, ЮВАО г. Москва, 7-я ул. Текстильщиков, д. 2/20;г. Москва, 7-я ул. Текстильщиков, д. 2/20;15601,60065;3614,672473;(499) 176-57-01, (499) 176-88-06;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
117;65;Управление социальной защиты населения Рязанского района, ЮВАО;Управление социальной защиты населения Рязанского района, ЮВАО г. Москва, Рязанский пр-т, д. 77/2;г. Москва, Рязанский пр-т, д. 77/2;18649,8035;5642,453104;(495) 371-98-02, (495) 371-96-91;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
118;66;Управление социальной защиты населения Южнопортового района, ЮВАО;Управление социальной защиты населения Южнопортового района, ЮВАО г. Москвы, ул. Велозаводская, д. 11/1;г. Москвы, ул. Велозаводская, д. 11/1;10657,03595;4926,322032;(495) 600-84-63, (495) 600-84-62;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
119;67;Управление социальной защиты населения Южного административного округа г. Москвы;Управление социальной защиты населения Южного административного округа г. Москвы г. Москва, 1-й Кожуховский пр-д., д.3;г. Москва, 1-й Кожуховский пр-д., д.3;10070,08815;4275,868123;(495) 675-61-73, (495) 675-54-24, (495) 675-52-62;пн-чт 08.00-17.00, пт 08.00-15.45, перерыв 12.45-13.30
120;68;Управление социальной защиты населения Донского района, ЮАО;Управление социальной защиты населения Донского района, ЮАО г. Москва, Загородное шоссе, дом 4, корп. 2;г. Москва, Загородное шоссе, дом 4, корп. 2;6896,454043;3103,357557;(495) 954-22-06, (495) 633-01-84;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
121;69;Управление социальной защиты населения Даниловского района, ЮАО;Управление социальной защиты населения Даниловского района, ЮАО г. Москва, 1-й Кожуховский пр-д., д.3;г. Москва, 1-й Кожуховский пр-д., д.3;10070,08815;4275,868123;(495) 675-20-72, (495) 675-29-16;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
122;70;Управление социальной защиты населения Нагорного района, ЮАО;Управление социальной защиты населения Нагорного района, ЮАО г. Москва, Варшавское шоссе, дом 74, корп. 3;г. Москва, Варшавское шоссе, дом 74, корп. 3;7561,075;-1341,274755;(499) 723-19-54, (499) 794-00-36;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
123;71;Управление социальной защиты населения района Бирюлево Восточное, ЮАО;Управление социальной защиты населения района Бирюлево Восточное, ЮАО г. Москва, Михневский проезд, дом 6, корп. 1;г. Москва, Михневский проезд, дом 6, корп. 1;10762,5554;-10117,6071;(495) 328-85-84, (495) 328-85-84;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
124;72;Управление социальной защиты населения района Бирюлево Западное, ЮАО;Управление социальной защиты населения района Бирюлево Западное, ЮАО г. Москва, Харьковский проезд, дом 7, корп. 3;г. Москва, Харьковский проезд, дом 7, корп. 3;9008,040625;-8383,231423;384-58-11, 385-16-66;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
125;73;Управление социальной защиты населения района Братеево, ЮАО;Управление социальной защиты населения района Братеево, ЮАО г. Москва, ул. Ключевая, дом 22, корп. 1;г. Москва, ул. Ключевая, дом 22, корп. 1;16641,4665;-3812,847832;(495) 342-90-52, (495) 342-71-72;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
126;74;Управление социальной защиты населения района Москворечье-Сабурово, ЮАО;Управление социальной защиты населения района Москворечье-Сабурово, ЮАО г. Москва, ул. Кантемировская, дом 29, корп. 1;г. Москва, ул. Кантемировская, дом 29, корп. 1;10621,45993;-3312,233492;(499) 320-53-00, (499) 320-53-22;пн 11.00-20.00, ср 09.00-18.00, пт 09.00-16.45, перерыв 13.45-14.30
