1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почтаl
242;Библиотека №14 семейного чтения                                                                                                                                                                                                                               ;Библиотека №14 семейного чтения                                                                                                                                                                                                                               ;109202, г.Москва, Орехово-Зуевский пр-д, д.22                                                                                                                                                                                                                 ;16253,71481;7244,34207;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
243;Библиотека №15 семейного чтения                                                                                                                                                                                                                               ;Библиотека №15 семейного чтения                                                                                                                                                                                                                               ;109145, г.Москва, ул. Привольная, д.21                                                                                                                                                                                                                        ;21755,348;3512,555825;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
244;Детская библиотека №16                                                                                                                                                                                                                                        ;Детская библиотека №16                                                                                                                                                                                                                                        ;109507, г.Москва, Ферганский пр-д, д.3 корп.3                                                                                                                                                                                                                 ;20614,61586;3281,496387;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
245;Детская библиотека №77                                                                                                                                                                                                                                        ;Детская библиотека №77                                                                                                                                                                                                                                        ;109428, г.Москва, ул. Шатурская, д.49 корп.1                                                                                                                                                                                                                  ;17355,51302;6690,279207;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
246;Детская библиотека №79                                                                                                                                                                                                                                        ;Детская библиотека №79                                                                                                                                                                                                                                        ;109428, г.Москва, ул. 3-я Институтская, д.15                                                                                                                                                                                                                  ;17955,45796;6255,160583;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
247;Библиотека №84                                                                                                                                                                                                                                                ;Библиотека №84                                                                                                                                                                                                                                                ;109125, г.Москва, Волгоградский пр-т, д.91                                                                                                                                                                                                                    ;15790,18952;4612,396794;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
248;Детская библиотека №121                                                                                                                                                                                                                                       ;Детская библиотека №121                                                                                                                                                                                                                                       ;109444, г.Москва, ул. Ташкентская, д.18 корп.1                                                                                                                                                                                                                ;19762,275;3948,956471;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
249;Библиотека №131                                                                                                                                                                                                                                               ;Библиотека №131                                                                                                                                                                                                                                               ;109202, г.Москва, Перовское ш., д.16/2                                                                                                                                                                                                                        ;15904,1251;7670,593352;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
250;Детская библиотека №132                                                                                                                                                                                                                                       ;Детская библиотека №132                                                                                                                                                                                                                                       ;109457, г.Москва, ул. Жигулевская, д.6 корп.2                                                                                                                                                                                                                 ;16422,41855;4976,732743;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
251;Библиотека №142                                                                                                                                                                                                                                               ;Библиотека №142                                                                                                                                                                                                                                               ;109378, г.Москва, ул. Федора Полетаева, д.28                                                                                                                                                                                                                  ;17930,3251;4653,864342;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
252;Библиотека №143                                                                                                                                                                                                                                               ;Библиотека №143                                                                                                                                                                                                                                               ;109456, г.Москва, ул. Яснополянская, д.3 корп.2                                                                                                                                                                                                               ;18150,75;6238,581557;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
253;Библиотека №19                                                                                                                                                                                                                                                ;Библиотека №19                                                                                                                                                                                                                                                ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;17346,77962;6738,831734;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
254;Библиотека №210 семейного чтения                                                                                                                                                                                                                              ;Библиотека №210 семейного чтения                                                                                                                                                                                                                              ;111674, г.Москва, ул. 2-я Вольская, д.20                                                                                                                                                                                                                      ;26589,44291;2210,056123;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Юго-Восточный АО                                                                                                                                                                                                                                              ;Рязанский                                                                                                                                                                                                                                                     ;109428, г.Москва, ул. Зарайская, д.56а                                                                                                                                                                                                                        ;(499) 170-84-10                                                                                                                                                                                                                                               ;(499) 170-84-10                                                                                                                                                                                                                                               ;biblios.ru                                                                                                                                                                                                                                                    ;cb194@yandex.ru                                                                                                                                                                                                                                               
