0_ID;1_Полное наименование;1_Краткое наименование;1_Номер;1_Тип учреждения;1_Вид учреждения;0_INN;0_OGRN;0_KPP;0_Учредитель;0_Тип собственности;1_Организационно-правовая форма;1_Подчинение;0_Директор;1_Юридический адрес;1_Телефон;1_Адрес электронной почты;1_Сайт учреждения
9027; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 523; ГБОУ детский сад № 523; 523; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7728163846; 31.07.1997; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Козлова Светлана Ивановна; 117485, г. Москва, улица Бутлерова, дом 10А;8(495)336-66-44; gou523@gmail.com; http://dskuz523.mskobr.ru/
9028; Государственное бюджетное образовательное учреждение города Москвы детский сад № 543; ГБОУ детский сад № 543; 543; Дошкольное образовательное учреждение; Детский сад; 7728228998; 012346303; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Мухина Людмила Николаевна; 117246, г.Москва, улица Херсонская, дом 17 А;331-61-00;" dou543@ou.mosuzedu.ru; gouds543@mosuzedu.ru";" http://dsuz543.mskobr.ru; http://dou543.ou.mosuzedu.ru"
9029; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 549; ГБОУ детский сад № 549; 549; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7736044480; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Михайлова Галина Юрьевна; 117393, город Москва, улица Академика Пилюгина, дом 14Б;4959363033; gou549@mosuzedu.ru;" http://ds549.ru, http://dskuz549.mskobr.ru/; http://dou549.ou.mosuzedu.ru"
9030; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 557; ГБОУ детский сад № 557; 557; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7727190029; —; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Иванова Ирина Максимовна; 117209, г. Москва, Перекопская улица, дом 7, корпус 2;(499)122-91-71; gouds557@mosuzedu.ru;" http://www.gou557.ra-art.ru; www.dskuz557.mskobr.ru"
9032; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 602; ГБОУ детский сад № 602; 602; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7727190011; —; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Савинова Светлана Семеновна; 117209, Москва, ул. Перекопская, д. 7, к. 1;(499) 122-91-70; gou602@inbox.ru;" http://dou602.ou.mosuzedu.ru; http://www.dou602.narod.ru/"
9033; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 688; ГБОУ детский сад №688; 688; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728025116; 793835; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Романычева Людмила Брониславовна; 117342, г. Москва, ул. Бутлерова, д. 26 а;333-41-93; detsad688@mail.ru; http://dskuz688.mskobr.ru
9034; Государственное бюджетное образовательное учреждение города Москвы детский сад № 689; ГБОУ детский сад №689; 689; Дошкольное образовательное учреждение; Детский сад; 7728229920; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Власова Ирина Васильевна; 117342, г. Москва, ул.Введенского, 11 А;(495)333-25-16; dou689@ou.mosuzedu.ru;" http://dsuz689.mskobr.ru; http://dou689.ou.mosuzedu.ru"
9035; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 710; ГБОУ детский сад № 710; 710; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7727212508; 77№011977616; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Екамасова Наталия Михайловна; 117209, г. Москва, улица Перекопская, дом 12, корпус 2;(499) 122-70-69; dou710@mosuzedu.ru; dskuz710.mskobr.ru
9036; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 727; ГБОУ детский сад № 727; 727; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728106397; 77No5111082; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Курочкина Галина Андреевна;" 117279, Москва, ул. Профсоюзная, д. 93 ""В""";(495)420-83-11; detsad727@rambler.ru; http://dskuz727.mskobr.ru
9037; Государственное бюджетное образовательное учреждение города Москвы детский сад № 730; ГБОУ детский сад № 730; 730; Дошкольное образовательное учреждение; Детский сад; 7728073688; серия 77 No 001431747; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Мамедова Татьяна Викторовна; 117437, г. Москва, ул. Островитянова, д. 23А;(495)335-95-79; dou730@ou.mosuzedu.ru;" http://dsuz730.mskobr.ru; http://dou730.ou.mosuzedu.ru"
9038; Государственное бюджетное образовательное учреждение города Москвы детский сад № 747; ГБОУ детский сад № 747; 747; Дошкольное образовательное учреждение; Детский сад; 7728272387; 002.088.000; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Сюткина Нина Ивановна; 117485, г.Москва, ул.Профсоюзная, 88А;#Н/Д; detsksad@rambler.ru; http://dsuz747.mskobr.ru
9039; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 750; ГБОУ детский сад № 750; 750; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7727189993; 2077763650358; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Никулина Анастасия Андреевна; 117209, г. Москва, Болотниковская ул., дом 52А;(499) 121-54-10;" dou750@ou.mosuzedu.ru; kinder750@mail.ru";" http://dou750.ou.mosuzedu.ru; http://detsad750.ru"
9040; Государственное бюджетное образовательное учреждение города Москвы детский сад № 767; ГБОУ детский сад № 767; 767; Дошкольное образовательное учреждение; Детский сад; 7728047896; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Антоненко Любовь Федоровна; 117342, г. Москва, улица Островитянова, дом 45 А;336-39-22; detsad767@mail.ru;" http://ds767.ru; http://dsuz767.mskobr.ru"
9041; Государственное бюджетное образовательное учреждение города Москвы детский сад № 768; ГБОУ детский сад № 768; 768; Дошкольное образовательное учреждение; Детский сад; 7727189986; серия 77 No 002869257; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Шевкаленко Жанна Евгениевна; 117452, г. Москва, ул. Азовская, дом 27;(499) 619-66-47; detsad768@mail.ru;" dsuz768.mskobr.ru; http://www.detsad768.ru"
9042; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 775; ГБОУ детский сад № 775; 775; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7727198476; 77 НН 289024; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Серова Татьяна Сергеевна; 117447, г.Москва, ул. Большая Черемушкинская, дом 14А;126-69-70; ds775@inbox.ru;" http://dou775.ou.mosuzedu.ru; http://www.detsad775.ru/"
9043; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 790; ГБОУ детский сад № 790; 790; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7728233405; 1027739711966; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Миланович Людмила Григорьевна;" ""117321, г.Москва, ул.Профсоюзная, д.130 """"Б""""""";(495)338-48-00; dou790@mosuzedu.ru; http://dsouz790.mskobr.ru
9044; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 791; ГБОУ детский сад № 791; 791; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7728233395; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Балакина Надежда Владимировна; 117321, Москва, ул.Профсоюзная, д.130 А;8(495)338-70-55;" dou791@ou.mosuzedu.ru; gou791@gmail.com";" http://www.ds791.ru; http://dou791.ou.mosuzedu.ru"
9045; Государственное бюджетное образовательное учреждение города Москвы детский сад № 792; ГБОУ детский сад №792; 792; Дошкольное образовательное учреждение; Детский сад; 7728008978; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Петренко Анна Владимировна; 117321, г. Москва, ул. Профсоюзная, дом 140 Б;(495) 338-66-11; dou792@mosuzedu.ru;" http://gou792.ru; http://dsuz792.mskobr.ru"
9047; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 795; ГБОУ детский сад №795; 795; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7728085683; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Ефимова Ирина Юрьевна; 117465, город Москва, улица Профсоюзная, дом 156, корпус 4;(495) 337-18-88; gou795@yandex.ru; http://dskuz795.mskobr.ru
9048; Государственное бюджетное образовательное учреждение города Москвы детский сад № 796; ГБОУ детский сад № 796; 796; Дошкольное образовательное учреждение; Детский сад; 7728165240; 006977813; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Зайцева Ольга Александровна; 117321, г.Москва, улица Профсоюзная, дом 152А;8-495-338-27-00; DOU796@mail.ru;" http://dsuz796.mskobr.ru; http://www.ds796.ru"
9049; Государственное бюджетное образовательное учреждение города Москвы детский сад № 920; ГБОУ детский сад № 920; 920; Дошкольное образовательное учреждение; Детский сад; 7728230073; 074.125; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Михалицина Елена Леонидовна; 117465, город Москва, улица Теплый Стан, дом 11 А;8(495)3378352; dou920@mail.ru;" dsuz920.mskobr.ru; http://dou920.ou.mosuzedu.ru"
9050; Государственное бюджетное образовательное учреждение города Москвы детский сад № 942; ГБОУ детский сад № 942; 942; Дошкольное образовательное учреждение; Детский сад; 7736211405; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Семенова Ирина Сергеевна; 119313, г.Москва, ул.Гарибальди, д. 4а;134-45-03; dou942@ou.mosuzedu.ru;" http://ds942.ru; http://dou942.ou.mosuzedu.ru"
9051; Государственное бюджетное образовательное учреждение города Москвы детский сад № 958; ГБОУ детский сад № 958; 958; Дошкольное образовательное учреждение; Детский сад; 7728083206; 077.541; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Майдык Ольга Константиновна; 117513, г.Москва, Ленинский проспект, дом 131, корпус 3;8 (495) 438-21-88; ds958@mosuzedu.ru;" http://ds958@mosuzedu.ru; http://detsad958.ucoz.ru"
9052; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 974; ГБОУ детский сад №974; 974; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728084802; 002.036.043; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Гаврилычева Наталья Анатольевна; 117513, г.Москва, Ленинский проспект, дом № 125, корпус 3;0; natasha-detsad@mail.ru;" http://dskuz974.mskobr.ru/; http://www.detsad974.ru"
9053; Государственное бюджетное образовательное учреждение города Москвы детский сад № 975; ГБОУ детский сад № 975; 975; Дошкольное образовательное учреждение; Детский сад; 7728229705; 071.214; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Макаренкова Ольга Викторовна; 117465, г.Москва, улица Теплый Стан, дом 5А;338-49-66; dou975@ou.mosuzedu.ru;" http://dou975.ou.mosuzedu.ru; http://detsad975.ru/"
9054; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 980; ГБОУ детский сад № 980; 980; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7728089381; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Борисова Надежда Георгиевна; 117133, г.Москва, ул. Тёплый Стан, дом 12А;(495) 339-32-00;" dou980@ou.mosuzedu.ru; detisad980@mail.ru";" http://dou980.ou.mosuzedu.ru; http://dsouz980.mskobr.ru/; http:// www.detisad980.ru"
9055; Государственное бюджетное образовательное учреждение города Москвы детский сад № 982; ГБОУ детский сад № 982; 982; Дошкольное образовательное учреждение; Детский сад; 7727190741; серия 77 No002869994; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Акопова Гаянэ Яковлевна; 117209, г.Москва, Перекопская ул., дом 32;331-69-21; doukinder982@yandex.ru; http://doukinder982.narod.ru/
9056; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 983; ГБОУ детский сад № 983; 983; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7728090115; Серия 77 No 006909358; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Юсипова Флюра Искандеровна; 117574, Москва, Новоясеневский проспект, дом 16, корпус 3;422-01-88;" dou983@ou.mosuzedu.ru; flura-usipova@rambler.ru";" www.ds983.ru; http://dskuz983.mskobr.ru/"
9057; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1004; ГБОУ детский сад №1004; 1004; Дошкольное образовательное учреждение; Детский сад; 7728000859; 093.858; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Романова Клавдия Александровна;" ""117133, г. Москва, ул. Академика Варги, дом 2 """"б""""""";8(495)339-57-67; ds1004@mail.ru;" http://www.ds1004.ru/; http://ds1004.ru"
9059; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1050; ГБОУ детский сад № 1050; 1050; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7728083710; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Варлен Нина Витальевна; 117133, г.Москва, ул. Академика Варги, д. 28Б;495-339-39-66; detsad1050@mail.ru;" http://www.ds1050.ru; http://dou1050.ou.mosuzedu.ru"
9060; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1051; ГБОУ детский сад № 1051; 1051; Дошкольное образовательное учреждение; Детский сад; 7728090193; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Назарова Елена Юрьевна; 117574, г. Москва, ул. Голубинская, дом 7, корпус 3;/495/422-20-95; Detskiysad1051@yandex.ru;" http://dsuz1051.mskobr.ru; http://detsad1051.ru"
9061; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1052; ГБОУ детский сад № 1052; 1052; Дошкольное образовательное учреждение; Детский сад; 7728090517; 007880374; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Куликова Валентина Александровна; 117574, г.Москва, Новоясеневский проспект, дом 12, корпус 4;423-36-00; gou1052@mail.ru;" http://gou1052sad.ucoz.ru; http://dou1052.ou.mosuzedu.ru"
9062; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1068; ГБОУ детский сад № 1068; 1068; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7727189954; 012727831; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Чуракова Любовь Ивановна; 117418, г.Москва, улица Цюрупы, дом 11, корпус 2;331-67-11; dou1068@mosuzedu.ru;" http://dskuz1068.mskobr.ru; http://detsad1068.mosuzedu.ru/"
9063; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1070; ГБОУ детский сад № 1070; 1070; Дошкольное образовательное учреждение; Детский сад; 7728168555; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Степанова Валентина Ивановна; 117463, г.Москва, Новоясеневский проспект, дом 38, корпус 3;8-495-425-86-33; detsad1070@mail.ru;" http://реченька.рф/; http://dsuz1070.mskobr.ru/"
9066; Государственное бюджетное образовательное учреждение города Москвы детский сад с этнокультурным (еврейским) компонентом образования № 1136; ГБОУ детский сад № 1136; 1136; Дошкольное образовательное учреждение; Детский сад с этнокультурным (национальным) компонентом образования; 7736203186; 1037739119175; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Муравлева Татьяна Ивановна; 119296, г.Москва, Ломоносовский проспект, дом № 18;939-07-82; ds-1136@yandex.ru;" http://www.ez-chaim1136.ru; http://ds-1136yandex.ru"
9067; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1165; ГБОУ детский сад № 1165; 1165; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728020661; 77 No 007313127; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Завражина Ольга Михайловна; 117335, г. Москва, ул. Профсоюзная, дом 38, корп. 2;#Н/Д; dou1165@ou.mosuzedu.ru;" http://www.sad1165.ru; http://dou1165.ou.mosuzedu.ru"
9068; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1181; ГБОУ детский сад № 1181; 1181; Дошкольное образовательное учреждение; Детский сад; 7728230130; —; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Плахотная Алла Владимировна; 117463, г.Москва, улица Голубинская, дом 24, корпус 2;8 (495) 425-03-16; gou1181@mail.ru; http://www.dsuz1181.mskobr.ru
9069; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1204; ГБОУ детский сад № 1204; 1204; Дошкольное образовательное учреждение; Детский сад; 7727201190; 002.044.724; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Самсонова Ирина Игоревна; 117036, Москва, улица Кедрова, дом 13, корпус 1;125-19-25; detsad1204@mail.ru;" http://ds1204.ru; http://dsuz1204mskobr.ru"
9071; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1209; ГБОУ детский сад № 1209; 1209; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728090429; 076.702; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Шутая Надежда Георгиевна; 117593, г.Москва, улица Айвазовского, дом 6, корпус 2;495-425-33-33; gou1209@mosuzedu.ru;" http://ds1209.ru; http://dskvuz1209.mskobr.ru/"
9072; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1210; ГБОУ детский сад № 1210; 1210; Дошкольное образовательное учреждение; Детский сад; 7728026342; 1037739153858; 772801001; Департамент образования г.Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Андреева Виктория Николаевна; 117261, г.Москва, ул. Генерала Тюленева, дом 25, корп. 2;(495) 339-88-44; dou1210@mosuzedu.ru;" http://www.sad1210.ru; http://dskvuz1210.mskobr.ru; http://dou1210.ou.mosuzedu.ru"
9073; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1213; ГБОУ детский сад № 1213; 1213; Дошкольное образовательное учреждение; Детский сад; 7728085250; 007967154; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Марченкова Светлана Николаевна; 117513, Москва, ул. Академика Бакулева, дом 4А;438-66-44; dou1213@ou.mosuzedu.ru;" http://dou1213.ou.mosuzedu.ru; dsuz1213.mskobr.ru"
9075; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1221; ГБОУ детский сад № 1221; 1221; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7728090299; 065.337; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Федоровская Ольга Михайловна; 117593, г.Москва, Новоясеневский проспект, дом 19, корпус 3;8(495)426-97-11; folga1221@mail.ru;" http://www.sad1221.ru; http://dskvuz1221.mskobr.ru"
9077; Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1231; ГБОУ детский сад № 1231; 1231; Дошкольное образовательное учреждение; Детский сад компенсирующего вида; 7736209981; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Смирнова Ольга Игоревна; 119333, г. Москва, ул. Фотиевой, д.12;137-06-76; dou1231@mosuzedu.ru; http://dou1231.ou.mosuzedu.ru
9078; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1249; ГБОУ детский сад № 1249; 1249; Дошкольное образовательное учреждение; Детский сад; 7728235152; 77 007003177; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Большакова Татьяна Владимировна; 117588, г.Москва, Новоясеневский проспект, дом 15, корпус 2;425-88-44; dou1249@mosuzedu.ru; http://dsuz1249.mskobr.ru
9079; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1260; ГБОУ детский сад № 1260; 1260; Дошкольное образовательное учреждение; Детский сад; 7736194164; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Тюрина Марина Кузьминична; 119296, г.Москва, ул. Молодежная, дом 3 А;930-62-30; dou1260@mosuzedu.ru;" http://vshkole.info/school/list/476; http://dsuz1260.mskobr.ru/"
9080; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1276; ГБОУ детский сад №1276; 1276; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7736107852; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Масич Галина Николаевна; 119311, г. Москва, ул. Строителей, д. 17А;930-09-90;" gou_493@mail.ru; dou1276@ou.mosuzedu.ru";" http://dou1276.ou.mosuzedu.ru; http://www.detsad1276.h19.ru"
9081; Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1279; ГБОУ детский сад №1279; 1279; Дошкольное образовательное учреждение; Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей; 7727002148; 417; 772701001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Юдина Марина Владимировна; 117418, г. Москва, улица Цюрупы, дом 15, корпус 1;4953313885; gouds1279@mosuzedu.ru;" http://dsovp1279.mskobr.ru; http://ds1279.ru"
9082; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1280; ГБОУ детский сад №1280; 1280; Дошкольное образовательное учреждение; Детский сад; 7728167939; 068.961; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Голубенкова Валентина Виловна; 117463, г. Москва, ул. Инессы Арманд, дом 9А;8(495)422-23-22; gou1280@mosuzedu.ru;" dsuz1280.mskobr.ru; http://dou1280.ou.mosuzedu.ru"
9083; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1335; ГБОУ детский сад №1335; 1335; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7736216210; —; 773601001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Сабирова Татьяна Ивановна; 117296, г.Москва, Ломоносовский проспект, дом 6, корпус 1;8-499-134-43-58;" dou1335@ou.mosuzedu.ru; dskv-1335@yandex.ru";" www.dskvuz1335.mskobr.ru; http://dou1335.ou.mosuzedu.ru"
9084; Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1345; ГБОУ детский сад № 1345; 1345; Дошкольное образовательное учреждение; Детский сад комбинированного вида; 7728096090; 072.766; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Романова Елена Ефимовна; 117463, Москва, улица Голубинская, дом 31, корпус 2;421-59-22; romanova1345@yandex.ru;" http://dou1345.ou.mosuzedu.ru; http://dskvuz1345.mskobr.ru"
9085; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1376; ГБОУ детский сад № 1376; 1376; Дошкольное образовательное учреждение; Детский сад; 7728097150; 000.130-У; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Кочубей Николай Анатольевич; 117593, Москва, ул. Айвазовского, дом 6, корпус 3;(495) 426-08-11; ds1376@mail.ru;" http://www.ds1376.ru; http://www.dsuz1376.mskobr.ru"
9086; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1379; ГБОУ детский сад № 1379; 1379; Дошкольное образовательное учреждение; Детский сад; 7728091736; 77 № 007217413; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Мельникова Елена Николаевна; 117588, Москва, Новоясеневский проспект, д.3, к.2;426-19-11;" dou1379@ou.mosuzedu.ru; gou1379@mosuzedu.ru";" http://dsuz1379.mskobr.ru; http://dou1379.ou.mosuzedu.ru; http://www.ds1379.ru"
9087; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1380; ГБОУ детский сад № 1380; 1380; Дошкольное образовательное учреждение; Детский сад; 7728084785; 075.513; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Латыпова Александра Ивановна; 117465, г. Москва, ул. Теплый Стан, д.15, корп.10;339-64-12; dou1380@ou.mosuzedu.ru;" http://dou1380.ou.mosuzedu.ru; http://dsuz1380.mskobr.ru"
9090; Государственное бюджетное образовательное учреждение города Москвы детский сад № 1392; ГБОУ детский сад № 1392; 1392; Дошкольное образовательное учреждение; Детский сад; 7728071828; 1037739129295; 772801001; Департамент образования г. Москвы; Государственное; Бюджетное; Юго-Западное окружное управление образования; Солонченко Светлана Геннадьевна; 117437, г. Москва, улица Миклухо-Маклая, дом 18А;330-78-38; dou1392@ou.mosuzedu.ru;" http://dou1392.ou.mosuzedu.ru; http://dou237.ou.mosuzedu.ru; http://cvetik1392.narod.ru; http://dou237.ou.mosuzedu.ru"
