0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_ui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
185;Кинотеатр «Kinostar New York»                                                                                                                                                                                                                                 ;Кинотеатр «Kinostar New York»                                                                                                                                                                                                                                 ;14-й км МКАД, пересечение с ул. Верхние Поля, развилка «Белая Дача», ТРК «Мега»                                                                                                                                                                               ;37,846676;55,658728;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 662 16 06, 644 41 11                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
186;Кинотеатр «Люксор (Балашиха)»                                                                                                                                                                                                                                 ;Кинотеатр «Люксор (Балашиха)»                                                                                                                                                                                                                                 ;г.Балашиха, просп. Ленина, 25                                                                                                                                                                                                                                 ;37,938534;55,797827;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 604 42 04, 926 03 50 
                                                                                                                                                                                                                                  ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
187;Кинотеатр «Светофор (Люберцы)»                                                                                                                                                                                                                                ;Кинотеатр «Светофор (Люберцы)»                                                                                                                                                                                                                                ;г.Люберцы, Побратимов, 7, «Светофор»                                                                                                                                                                                                                          ;37,896532;55,692137;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(498) 602 82 70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
188;Кинотеатр «5D Стерео»                                                                                                                                                                                                                                         ;Кинотеатр «5D Стерео»                                                                                                                                                                                                                                         ;просп. Мира, 119, ВВЦ, павильон 9                                                                                                                                                                                                                             ;37,629832;55,827095;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 729 26 52, 720 00 55
                                                                                                                                                                                                                                   ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
189;Кинотеатр «Каро Фильм Южное Бутово»                                                                                                                                                                                                                           ;Кинотеатр «Каро Фильм Южное Бутово»                                                                                                                                                                                                                           ;Веневская, 6, ТЦ «Витте-молл»                                                                                                                                                                                                                                 ;37,543275;55,54797;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 545 05 05                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
190;Кинотеатр «Киноклуб Мастер-клас»                                                                                                                                                                                                                              ;Кинотеатр «Киноклуб Мастер-клас»                                                                                                                                                                                                                              ;Лубянский пр., 3/5, музей Маяковского                                                                                                                                                                                                                         ;37,629803;55,75951;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
191;Кинотеатр «Час кино Алтуфьево»                                                                                                                                                                                                                                ;Кинотеатр «Час кино Алтуфьево»                                                                                                                                                                                                                                ;87-й км МКАД, «Час пик»                                                                                                                                                                                                                                       ;37,629422;55,898557;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 580 22 25                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
192;Кинотеатр «Бульвар»                                                                                                                                                                                                                                           ;Кинотеатр «Бульвар»                                                                                                                                                                                                                                           ;б-р Дмитрия Донского, 1, ТЦ «Северное Сияние»                                                                                                                                                                                                                 ;37,580155;55,574973;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 647 49 49                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
193;Кинотеатр «Киноклуб Документальная среда»                                                                                                                                                                                                                     ;Кинотеатр «Киноклуб Документальная среда»                                                                                                                                                                                                                     ;Каретный Ряд, 5/10                                                                                                                                                                                                                                            ;37,608545;55,772719;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
194;Кинотеатр «Kinostar De Lux (Химки)»                                                                                                                                                                                                                           ;Кинотеатр «Kinostar De Lux (Химки)»                                                                                                                                                                                                                           ;г.Химки, микрорайон 8, стр. 1, 24-й км Ленинградского ш., «Мега»                                                                                                                                                                                              ;37,396025;55,911142;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"(495) 775 44 77, 981 37 89 
                                                                                                                                                                                                                                  ";                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
195;Кинотеатр «Синема Парк De Lux Метрополи»                                                                                                                                                                                                                      ;Кинотеатр «Синема Парк De Lux Метрополи»                                                                                                                                                                                                                      ;Ленинградское ш., 16, «Метрополис»                                                                                                                                                                                                                            ;37,497879;55,823458;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 789 96 85, 644 41 11                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
196;Кинотеатр «Щелково (Щелково)»                                                                                                                                                                                                                                 ;Кинотеатр «Щелково (Щелково)»                                                                                                                                                                                                                                 ;г.Щелково, Пролетарский просп., 10, «Щелково»                                                                                                                                                                                                                 ;37,997093;55,916967;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(496) 569 23 33, 562 14 66                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
197;Кинотеатр «Под открытым небом»                                                                                                                                                                                                                                ;Кинотеатр «Под открытым небом»                                                                                                                                                                                                                                ;Осташковское ш., 59, «Бородино»                                                                                                                                                                                                                               ;37,666063;55,921486;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 905 502 55 19                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
