№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Официальный сайт	Адрес электронной почты	Округ	Район	Тип объекта
1161	Дворовая площадка	улица Бирюлевская, дом 47, корпус 1	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
1162	Дворовая площадка	улица Бирюлевская, дом 49, корпус 1	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
1163	Дворовая площадка	улица Бирюлевская, дом 56	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
1164	Дворовая площадка	улица Бирюлевская, дом 58, корпус 2	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
1165	Дворовая площадка	улица Бакинская, дом 19	Муниципалитет	(495) 321-48-33	mcaric.ru	-	ЮАО	Царицыно	дворовые спортивные площадки
1166	Дворовая площадка	улица Бакунинская, дом 23/41	Муниципалитет	(499) 263-27-53	basman.ru	-	ЦАО	Басманный	дворовые спортивные площадки
1167	Дворовая площадка	улица Барвихинская, дом 16	Муниципалитет	(495) 446-57-83	mozhayskoe.ru	-	ЗАО	Можайский	дворовые спортивные площадки
1168	Дворовая площадка	улица Барвихинская, дом 8, корпус 2	Муниципалитет	(495) 446-57-83	mozhayskoe.ru	-	ЗАО	Можайский	дворовые спортивные площадки
1169	Дворовая площадка	улица Барклая, дом 7/1	Муниципалитет	-	-	-	ЗАО	Филёвский парк	открытые ледовые катки на месте спортивных площадок (сезонные)
1170	Дворовая площадка	улица Барклая, дома 16, корпус 1-корпус 2	Муниципалитет	-	-	-	ЗАО	Филёвский парк	открытые ледовые катки на месте спортивных площадок (сезонные)
1171	Дворовая площадка	улица Бартеневская, дом 41	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
1172	Дворовая площадка	улица Бартеневская, дом 57	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
1173	Дворовая площадка	улица Барышиха, дом 17	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1174	Дворовая площадка	улица Барышиха, дом 30	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1175	Дворовая площадка	улица Барышиха, дом 33	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1176	Дворовая площадка	улица Барышиха, дом 33, корпус 1	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1177	Дворовая площадка	улица Барышиха, дом 4	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1178	Дворовая площадка	улица Барышиха, дом 46	Муниципалитет	(495) 752-89-53	mo.allmitino.ru	7528953@mail.ru	СЗАО	Митино	дворовые спортивные площадки
1179	Дворовая площадка	улица Батюнинская, дом 2/2	Муниципалитет	(499) 786-19-30	-	-	ЮВАО	Печатники	дворовые спортивные площадки
1180	Дворовая площадка	улица Василия Петушкова, дом 15	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
1181	Дворовая площадка	улица Василия Петушкова, дом 17	Муниципалитет	(495) 949-48-09	u-tushino.ru	-	СЗАО	Южное Тушино	дворовые спортивные площадки
1182	Дворовая площадка	улица Васильцовский Стан, дом 5, корпус 1	Муниципалитет	(499) 746-09-96	mo-ryazanskoe.ru	-	ЮВАО	Рязанский	открытые ледовые катки на месте спортивных площадок (сезонные)
1183	Дворовая площадка	улица Васильцовский Стан, дом 7, корпус 1	Муниципалитет	(499) 746-09-96	mo-ryazanskoe.ru	-	ЮВАО	Рязанский	открытые ледовые катки на месте спортивных площадок (сезонные)
1184	Дворовая площадка	улица Ватутина, дом 13, корпус 2	Муниципалитет	(499) 144-57-88	filidvmunic.ru	-	ЗАО	Фили-Давыдково	дворовые спортивные площадки
1185	Дворовая площадка	улица Ватутина, дом 2/10, корпус 2	Муниципалитет	(499) 144-57-88	filidvmunic.ru	-	ЗАО	Фили-Давыдково	дворовые спортивные площадки
1186	Дворовая площадка	улица Беломорская, дом 10, корпус 3	Муниципалитет	(495) 456-01-01	lev.sao.mos.ru	-	САО	Левобережный	открытые ледовые катки на месте спортивных площадок (сезонные)
1187	Дворовая площадка	улица Беломорская, дом 14, корпус 1	Муниципалитет	(495) 456-01-01	lev.sao.mos.ru	-	САО	Левобережный	дворовые спортивные площадки
1188	Дворовая площадка	улица Беломорская, дом 26	Муниципалитет	(495) 456-01-01	lev.sao.mos.ru	-	САО	Левобережный	дворовые спортивные площадки
1189	Дворовая площадка	улица Беломорская, дом 9	Муниципалитет	(495) 456-01-01	lev.sao.mos.ru	-	САО	Левобережный	дворовые спортивные площадки
1190	Дворовая площадка	улица Белореченская, дом 13, корпус 2	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1191	Дворовая площадка	улица Белореченская, дом 15	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1192	Дворовая площадка	улица Белореченская, дом 23	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1193	Дворовая площадка	улица Белореченская, дом 5	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
1194	Дворовая площадка	улица Бирюлевская, дом 58, корпус 3	Муниципалитет	-	-	-	ЮАО	Бирюлёво Восточное	дворовые спортивные площадки
1195	Дворовая площадка	улица Бобруйская, дом 20	Муниципалитет	-	-	-	ЗАО	Кунцево	дворовые спортивные площадки
1196	Дворовая площадка	улица Богданова, дом 48	Муниципалитет	(495) 439-00-01	munsolncevo.ru	-	ЗАО	Солнцево	дворовые спортивные площадки
1197	Дворовая площадка	улица Богородский Вал, дом 6	Муниципалитет	(495) 168-60-77	-	-	ВАО	Преображенское	открытые ледовые катки на месте спортивных площадок (сезонные)
1198	Дворовая площадка	улица Боженко, дом 9	Муниципалитет	-	-	-	ЗАО	Кунцево	открытые ледовые катки на месте спортивных площадок (сезонные)
1199	Дворовая площадка	улица Бойцовая, дом 14Б	Муниципалитет	(495) 603-27-01	mu-bogorodskoe.ru	-	ВАО	Богородское	дворовые спортивные площадки
1200	Дворовая площадка	улица Бойцовая, дом 17, корпус 3	Муниципалитет	(495) 603-27-01	-	-	ВАО	Богородское	дворовые спортивные площадки
1201	Дворовая площадка	улица Бойцовая, дом 22Б	Муниципалитет	(495) 603-27-01	mu-bogorodskoe.ru	-	ВАО	Богородское	дворовые спортивные площадки
1202	Дворовая площадка	улица Болотниковская улица, дом 1, корпус 2	Муниципалитет	(499) 723-15-81	mo-nagornoe.ru	-	ЮАО	Нагорный	дворовые спортивные площадки
1203	Дворовая площадка	улица Болотниковская улица, дом 3, корпус 8	Муниципалитет	(499) 723-15-81	mo-nagornoe.ru	-	ЮАО	Нагорный	дворовые спортивные площадки
1204	Дворовая площадка	улица Болотниковская улица, дом 3, корпуса 6-7	Муниципалитет	(499) 723-15-81	mo-nagornoe.ru	-	ЮАО	Нагорный	дворовые спортивные площадки
1205	Дворовая площадка	улица Болотниковская, дом 33, корпус 2	Муниципалитет	(499) 122-13-20	munzuzino.ru	info.zuzino@mail.ru	ЮЗАО	Зюзино	открытые ледовые катки на месте спортивных площадок (сезонные)
1206	Дворовая площадка	улица Болотниковская, дом 42, корпус 3	Муниципалитет	(499) 122-13-20	munzuzino.ru	info.zuzino@mail.ru	ЮЗАО	Зюзино	дворовые спортивные площадки
1207	Дворовая площадка	улица Болотниковская, дом 45, корпус 2	Муниципалитет	(499) 122-13-20	munzuzino.ru	info.zuzino@mail.ru	ЮЗАО	Зюзино	открытые ледовые катки на месте спортивных площадок (сезонные)
1208	Дворовая площадка	улица Болотниковская, дом 6Б	Муниципалитет	(499) 723-15-81	mo-nagornoe.ru	-	ЮАО	Нагорный	дворовые спортивные площадки
1209	Дворовая площадка	улица Большая Академическая, дом 4	Муниципалитет	(495) 601-44-83	vmo-koptevo.ru	-	САО	Коптево	дворовые спортивные площадки
1210	Дворовая площадка	улица Большая Бронная, дом 7	Муниципалитет	(499) 259-08-10 (499) 707-24-79	presnya.cao.mos.ru sportcentrmsk.ru	bazhenoff@inbox.ru	ЦАО	Пресненский	дворовые спортивные площадки
1211	Дворовая площадка	улица Большая Грузинская, дом 39	Муниципалитет	(499) 259-08-10 (499) 707-24-79	presnya.cao.mos.ru sportcentrmsk.ru	bazhenoff@inbox.ru	ЦАО	Пресненский	дворовые спортивные площадки
1212	Дворовая площадка	улица Большая Грузинская, дом 63	Муниципалитет	(499) 259-08-10 (499) 707-24-79	presnya.cao.mos.ru sportcentrmsk.ru	bazhenoff@inbox.ru	ЦАО	Пресненский	дворовые спортивные площадки
1213	Дворовая площадка	улица Большая Косинская, дом 16, корпус 2	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
1214	Дворовая площадка	улица Большая Косинская, дом 165А	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
1215	Дворовая площадка	улица Большая Косинская, дом 24	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	дворовые спортивные площадки
1216	Дворовая площадка	улица Большая Косинская, дом 5	Муниципалитет	(495) 700-00-43	-	-	ВАО	Косино-Ухтомский	открытые ледовые катки на месте спортивных площадок (сезонные)
1217	Дворовая площадка	улица Большая Марфинская, дом 1, корпус 4	Муниципалитет	(495) 619-35-27 (495) 619-34-86	mncp-marfino.ru	municipalitet-marfino@mail.ru	СВАО	Марфино	дворовые спортивные площадки
1218	Дворовая площадка	улица Большая Набережная, дом 1, корпус 1	Муниципалитет	(495) 490-68-59	pkstr.ru	-	СЗАО	Покровское-Стрешнево	дворовые спортивные площадки
1219	Дворовая площадка	улица Большая Набережная, дом 13	Муниципалитет	(495) 490-68-59	pkstr.ru	-	СЗАО	Покровское-Стрешнево	дворовые спортивные площадки
1220	Дворовая площадка	улица Большая Остроумовская, дом 10	Муниципалитет	(495) 603-31-92	mu-sokolniki.ru	-	ВАО	Сокольники	дворовые спортивные площадки
1221	Дворовая площадка	улица Большая Очаковская, дом 17	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1222	Дворовая площадка	улица Большая Очаковская, дом 20	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1223	Дворовая площадка	улица Большая Очаковская, дом 45/2	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	открытые ледовые катки на месте спортивных площадок (сезонные)
1224	Дворовая площадка	улица Большая Полянка, дом 28	Муниципалитет	(495) 951-88-74 (495) 707-24-79	yakimanka-info.ru sportcentrmsk.ru	-	ЦАО	Якиманка	дворовые спортивные площадки
1225	Дворовая площадка	улица Большая Полянка, дом 3/9	Муниципалитет	(495) 951-88-74 (495) 707-24-79	yakimanka-info.ru sportcentrmsk.ru	-	ЦАО	Якиманка	дворовые спортивные площадки
1226	Дворовая площадка	улица Большая Полянка, дом 30	Муниципалитет	(495) 951-88-74 (495) 707-24-79	yakimanka-info.ru sportcentrmsk.ru	-	ЦАО	Якиманка	дворовые спортивные площадки
1227	Дворовая площадка	улица Большая Почтовая, дом 1/33	Муниципалитет	(499) 263-27-53	basman.ru	-	ЦАО	Басманный	дворовые спортивные площадки
1228	Дворовая площадка	улица Большая Почтовая, дом 2/4	Муниципалитет	(499) 263-27-53	basman.ru	-	ЦАО	Басманный	дворовые спортивные площадки
1229	Дворовая площадка	улица Большая Серпуховская, дом 58	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
1230	Дворовая площадка	улица Большая Спасская, дом 31	Муниципалитет	(499) 264-65-54	krasncom.ru	ur_krasnosel@cao.mos.ru	ЦАО	Красносельский	дворовые спортивные площадки
1231	Дворовая площадка	улица Большая Факельная, дом 24	Муниципалитет	(499) 764-23-48 (495) 707-24-79	tag-mun.ru sportcentrmsk.ru	-	ЦАО	Таганский	дворовые спортивные площадки
1232	Дворовая площадка	улица Большая Филевская, дом 13/7	Муниципалитет	-	-	-	ЗАО	Филёвский парк	открытые ледовые катки на месте спортивных площадок (сезонные)
1233	Дворовая площадка	улица Большая Черемушкинская, дом 15, корпус 3	Муниципалитет	(499) 122-55-21	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	открытые ледовые катки на месте спортивных площадок (сезонные)
1234	Дворовая площадка	улица Большая Черемушкинская, дом 2, корпус 1	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
1235	Дворовая площадка	улица Большая Черемушкинская, дом 2, корпус 5	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	дворовые спортивные площадки
1236	Дворовая площадка	улица Большая Черемушкинская, дом 20, корпус 3	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	дворовые спортивные площадки
1237	Дворовая площадка	улица Большая Черемушкинская, дом 40, корпус 3	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
1238	Дворовая площадка	улица Большая Черемушкинская, дом 9, корпус 2	Муниципалитет	(499) 122-55-21	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	дворовые спортивные площадки
1239	Дворовая площадка	улица Большая Черкизовская, дом 22, корпус 6	Муниципалитет	(495) 168-60-77	-	-	ВАО	Преображенское	дворовые спортивные площадки
1240	Дворовая площадка	улица Большая Черкизовская, дом 9	Муниципалитет	(495) 168-60-77	-	-	ВАО	Преображенское	открытые ледовые катки на месте спортивных площадок (сезонные)
1241	Дворовая площадка	улица Большая Якиманка, дом 19	Муниципалитет	(495) 951-88-74 (495) 707-24-79	yakimanka-info.ru sportcentrmsk.ru	-	ЦАО	Якиманка	дворовые спортивные площадки
1242	Дворовая площадка	улица Ватутина, дома 12, корпус 1-корпус 2	Муниципалитет	-	-	-	ЗАО	Фили-Давыдково	дворовые спортивные площадки
1243	Дворовая площадка	улица Введенского, дом 10, корпус 2	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
1244	Дворовая площадка	улица Введенского, дом 13, корпус 4	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
1245	Дворовая площадка	улица Введенского, дом 24, корпус 2	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
1246	Дворовая площадка	улица Введенского, дом 31, корпус 2	Муниципалитет	(495) 429-92-90	mospoisk.ru	municknk@com2com.ru	ЮЗАО	Коньково	дворовые спортивные площадки
1247	Дворовая площадка	улица Веерная, дом 1/1	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1248	Дворовая площадка	улица Веерная, дом 14А	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	открытые ледовые катки на месте спортивных площадок (сезонные)
1249	Дворовая площадка	улица Веерная, дом 28/1	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1250	Дворовая площадка	улица Веерная, дом 40/5	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1251	Дворовая площадка	улица Веерная, дом 42/1	Муниципалитет	(495) 430-67-60	ochacovo-matv.ru	-	ЗАО	Очаково-Матвеевское	дворовые спортивные площадки
1252	Дворовая площадка	улица Велозаводская, дом 3/2	Муниципалитет	(495) 958-98-64	-	-	ЮВАО	Южнопортовый	открытые ледовые катки на месте спортивных площадок (сезонные)
1253	Дворовая площадка	улица Велозаводская, дом 6А	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
1254	Дворовая площадка	улица Вельяминовская, дом 6	Муниципалитет	(499) 785-02-91	-	-	ВАО	Соколиная гора	дворовые спортивные площадки
1255	Дворовая площадка	улица Веневская, дом 1	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
1256	Дворовая площадка	улица Веневская, дом 21	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
1257	Дворовая площадка	улица Вильнюсская, дом 4	Муниципалитет	(495) 427-86-77	yasenevo.uzaomos.ru	municipal@yasenevo.ru	ЮЗАО	Ясенево	открытые ледовые катки на месте спортивных площадок (сезонные)
1258	Дворовая площадка	улица Вильнюсская, дом 5	Муниципалитет	(495) 427-86-77	yasenevo.uzaomos.ru	municipal@yasenevo.ru	ЮЗАО	Ясенево	открытые ледовые катки на месте спортивных площадок (сезонные)
1259	Дворовая площадка	улица Винницкая, дом 3	Муниципалитет	(495) 932-76-08	ramenki.su	-	ЗАО	Раменки	дворовые спортивные площадки
1260	Дворовая площадка	улица Винокурова, дом 10, корпус 2	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	дворовые спортивные площадки
1261	Дворовая площадка	улица Винокурова, дом 12, корпус 2	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	дворовые спортивные площадки
1262	Дворовая площадка	улица Винокурова, дом 12, корпус 5	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
1263	Дворовая площадка	улица Винокурова, дом 24, корпус 4	Муниципалитет	(499) 122-55-21	mun-kotlovka.ru	info@mun-kotlovka.ru	ЮЗАО	Котловка	дворовые спортивные площадки
1264	Дворовая площадка	улица Борисовские пруды, дом 34, корпус 1	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1265	Дворовая площадка	улица Борисовские Пруды, дом 44	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1266	Дворовая площадка	улица Борисовские Пруды, дом 46, корпус 2	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1267	Дворовая площадка	улица Ботаническая, дом 1	Муниципалитет	(495) 619-35-27 (495) 619-34-86	mncp-marfino.ru	municipalitet-marfino@mail.ru	СВАО	Марфино	дворовые спортивные площадки
1268	Дворовая площадка	улица Ботаническая, дом 14А	Муниципалитет	(495) 619-35-27 (495) 619-34-86	mncp-marfino.ru	municipalitet-marfino@mail.ru	СВАО	Марфино	дворовые спортивные площадки
1269	Дворовая площадка	улица Ботаническая, дом 33, корпус 6	Муниципалитет	(495) 619-35-27 (495) 619-34-86	mncp-marfino.ru	municipalitet-marfino@mail.ru	СВАО	Марфино	дворовые спортивные площадки
1270	Дворовая площадка	улица Братеевская, дом 10, корпус 4	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1271	Дворовая площадка	улица Братеевская, дом 16, корпус 6	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1272	Дворовая площадка	улица Братеевская, дом 18, корпус 5	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1273	Дворовая площадка	улица Братеевская, дом 21, корпус 1	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1274	Дворовая площадка	улица Братеевская, дом 25, корпус 3	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1275	Дворовая площадка	улица Братеевская, дом 27, корпус 1	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1276	Дворовая площадка	улица Братеевская, дом 33, корпус 2	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1277	Дворовая площадка	улица Братеевская, дом 35, корпус 3	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1278	Дворовая площадка	улица Братеевская, дом 39/12	Муниципалитет	-	-	-	ЮАО	Братеево	дворовые спортивные площадки
1279	Дворовая площадка	улица Братиславская, дом 11	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1280	Дворовая площадка	улица Братиславская, дом 13, корпус 1	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1281	Дворовая площадка	улица Братиславская, дом 18, корпус 1	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1282	Дворовая площадка	улица Братиславская, дом 19, корпус 2	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1283	Дворовая площадка	улица Братиславская, дом 23	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1284	Дворовая площадка	улица Братиславская, дом 24	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	открытые ледовые катки на месте спортивных площадок (сезонные)
1285	Дворовая площадка	улица Братиславская, дом 27, корпус 3	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1286	Дворовая площадка	улица Братиславская, дом 3	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1287	Дворовая площадка	улица Братиславская, дом 31, корпус 1	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1288	Дворовая площадка	улица Братиславская, дом 34, корпус 2	Муниципалитет	(495) 658-63-93	marino-mncpl.ru	info@marino-mncp.ru	ЮВАО	Марьино	дворовые спортивные площадки
1289	Дворовая площадка	улица Братская, дом 17, корпус 2	Муниципалитет	(499) 785-79-50	munnovogireevo.ru	-	ВАО	Новогиреево	дворовые спортивные площадки
1290	Дворовая площадка	улица Братская, дом 25, корпус 1	Муниципалитет	(499) 785-79-50	munnovogireevo.ru	-	ВАО	Новогиреево	открытые ледовые катки на месте спортивных площадок (сезонные)
1291	Дворовая площадка	улица Булатниковская, дом 11, корпус 1	Муниципалитет	(495) 385-18-87	m-bz.ru	-	ЮАО	Бирюлёво Западное	дворовые спортивные площадки
1292	Дворовая площадка	улица Булатниковская, дом 3, корпус 2	Муниципалитет	(495) 385-18-87	m-bz.ru	-	ЮАО	Бирюлёво Западное	дворовые спортивные площадки
1293	Дворовая площадка	улица Булатниковская, дом 5, корпус 3	Муниципалитет	(495) 385-18-87	m-bz.ru	-	ЮАО	Бирюлёво Западное	дворовые спортивные площадки
1294	Дворовая площадка	улица Бусиновская Горка, дом 11, корпус 3	Муниципалитет	(495) 488-99-89	-	-	САО	Западное Дегунино	дворовые спортивные площадки
1295	Дворовая площадка	улица Бутырская, дом 3	Муниципалитет	(495) 656-41-47	sav.sao.mos.ru	-	САО	Савеловский	дворовые спортивные площадки
1296	Дворовая площадка	улица Бутырская, дом 86Б	Муниципалитет	(495) 618-05-69 (495) 618-22-56	butyrskoe.ru	butyrskoe@yandex.ru	СВАО	Бутырский	дворовые спортивные площадки
1297	Дворовая площадка	улица Бутырский Вал, дом 52	Муниципалитет	(499) 250-38-84 (499) 707-24-79	-	-	ЦАО	Тверской	дворовые спортивные площадки
1298	Дворовая площадка	улица Вавилова, дом 17	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	дворовые спортивные площадки
1299	Дворовая площадка	улица Вавилова, дом 35, корпус 1	Муниципалитет	(499) 125-91-92	akadem.uzaomos.ru	Akadem@uzao.mos.ru	ЮЗАО	Академический	открытые ледовые катки на месте спортивных площадок (сезонные)
1300	Дворовая площадка	улица Вавилова, дом 52, корпус 2	Муниципалитет	(495) 651-27-45	gagarinskoe.com	info@gagarinskoe.com	ЮЗАО	Гагаринский	дворовые спортивные площадки
1301	Дворовая площадка	улица Вавилова, дом 6	Муниципалитет	(499) 127-26-67	mo-donskoy.ru	mdonskoy@uao.mos.ru	ЮАО	Донской	дворовые спортивные площадки
1302	Дворовая площадка	улица Вавилова, дом 60, корпус 2	Муниципалитет	(495) 651-27-45	gagarinskoe.com	info@gagarinskoe.com	ЮЗАО	Гагаринский	дворовые спортивные площадки
1303	Дворовая площадка	улица Вавилова, дом 81	Муниципалитет	(499) 783-84-23	lomonosov.uzaomos.ru	-	ЮЗАО	Ломоносовский	дворовые спортивные площадки
1304	Дворовая площадка	улица Вавилова, дом 91, корпус 2	Муниципалитет	(499) 783-84-23	lomonosov.uzaomos.ru	-	ЮЗАО	Ломоносовский	дворовые спортивные площадки
1305	Дворовая площадка	улица Вагоноремонтная, дом 13	Муниципалитет	(495) 486-70-96	dmitrovsky.ru	-	САО	Дмитровский	дворовые спортивные площадки
1306	Дворовая площадка	улица Валовая, дом 10	Муниципалитет	(495) 620-28-15	zmsk.ru	-	ЦАО	Замоскворечье	дворовые спортивные площадки
1307	Дворовая площадка	улица Василисы Кожиной, дома 14, корпус 6-корпус 7	Муниципалитет	-	-	-	ЗАО	Филёвский парк	открытые ледовые катки на месте спортивных площадок (сезонные)
1308	Дворовая площадка	улица Воронцово поле, дом 16	Муниципалитет	(499) 764-23-48 (499) 707-24-79	tag-mun.ru sportcentrmsk.ru	-	ЦАО	Таганский	дворовые спортивные площадки
1309	Дворовая площадка	улица Воротынская, дом 10	Муниципалитет	(495) 648-02-69	kurkino-vmo.ru	munkurkino@mail.ru	СЗАО	Куркино	открытые ледовые катки на месте спортивных площадок (сезонные)
1310	Дворовая площадка	улица Воротынская, дом 16	Муниципалитет	(495) 648-02-69	kurkino-vmo.ru	munkurkino@mail.ru	СЗАО	Куркино	дворовые спортивные площадки
1311	Дворовая площадка	улица Восточная, дом 1/1	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
1312	Дворовая площадка	улица Восточная, дом 2	Муниципалитет	(495) 633-97-48	danilovskoe.org	Sodnl@uao.mos.ru	ЮАО	Даниловский	дворовые спортивные площадки
1313	Дворовая площадка	улица Вострухина, дом 7	Муниципалитет	(499) 746-09-96	mo-ryazanskoe.ru	-	ЮВАО	Рязанский	открытые ледовые катки на месте спортивных площадок (сезонные)
1314	Дворовая площадка	улица Веневская, дом 25	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	открытые ледовые катки на месте спортивных площадок (сезонные)
1315	Дворовая площадка	улица Веневская, дом 7	Муниципалитет	(499) 232-85-24	south-butovo.ru	-	ЮЗАО	Южное Бутово	дворовые спортивные площадки
1316	Дворовая площадка	улица Верхние Поля, дом 1	Муниципалитет	(495) 654-23-80	-	-	ЮВАО	Люблино	дворовые спортивные площадки
