0_Номер строки;1_Номер маршрута;1_Наименование маршрута;1_Трасса следования маршрута;1_Количество ТС;1_Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы, рабочие/выходные, начало;1_Режим работы, рабочие/выходные, окончание;1_Наименование перевозчика;0_Координаты Х;0_Координаты Y;0_Состояние подписи
595;Б/Н; мкр.Салтыковский (Мирской пр-д-ул.Суздальская) - м.Новогиреево;Новогиреево-прям. напр. :,Свободный проспект,Вешняковская улица,улица Старый Гай,Кетчерская улица,Московская Кольцевая Автодорогаобр. напр. ::;5;Не регламентируется;Не регламентируется;7,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 20";ООО БАЛАШИХА-ЭКСПРЕСС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
599;Б/Н;Белев(Тульская обл.)-Москва;Теплый Стан АС-прям. напр. :обр. напр. :: г Белев,г Москва;3;Не регламентируется;Не регламентируется;315;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .13:50 06:50 21:00отпр.14:50 08:55 21:15";"день нед.: 1,2,3,4,5,6,7; приб. .13:50 06:50 21:00отпр.14:50 08:55 21:15";ООО ПЕРЕВОЗЧИК Белев;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
600;Б/Н;Курчатов(Курская обл)-Москва (ч/з Железногорск);Новоясеневская-прям. напр. :,Новоясеневский тупик,Новоясеневский проспект,улица Паустовского,проезд Карамзина,МКАД, 33-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;635;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .06:30отпр.21:00";"день нед.: 1,2,3,4,5,6,7; приб. .06:30отпр.21:00";ООО ЭСКУЛАП;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
604;Б/Н;Дербент(Республика Дагестан)-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 27-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;1982;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .02:08отпр.14:00";"день нед.: 1,2,3,4,5,6,7; приб. .02:08отпр.14:00";"ООО АВТОДИАГНОСТИКА ЮГ-ТРАНС""""";;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
605;Б/Н;Моршанск(Тамбовская обл.)-Москва;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 10-й километробр. напр. ::;2;Не регламентируется;Не регламентируется;450;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .16:40 06:10отпр.20:00 11:45";"день нед.: 1,2,3,4,5,6,7; приб. .16:40 06:10отпр.20:00 11:45";ООО МОРШАНСКОЕ АТП;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
609;Б/Н;Алексин-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 33-й километробр. напр. :: г Москва,г Алексин;3;Не регламентируется;Не регламентируется;177;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .16:30 12:35 08:30отпр.18:35 13:30 10:40";"день нед.: 1,2,3,4,5,6,7; приб. .16:30 12:35 08:30отпр.18:35 13:30 10:40";ООО МЕЖДУГОРОДНАЯ ТРАНСПОРТНАЯ КОМПАНИЯ-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
610;Б/Н;Суворов (Тульская обл)-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 33-й километробр. напр. :: г Суворов,г Москва;3;Не регламентируется;Не регламентируется;255;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .19:00 14:20 11:05отпр.19:30 15:30 12:35";"день нед.: 1,2,3,4,5,6,7; приб. .19:00 14:20 11:05отпр.19:30 15:30 12:35";ООО МЕЖДУГОРОДНАЯ ТРАНСПОРТНАЯ КОМПАНИЯ-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
614;Б/Н;Москва-Казань;Щелковский АВ-прям. напр. :,Щёлковское шоссе,МКАД, 1-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;830;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .10:50отпр.17:30";"день нед.: 1,2,3,4,5,6,7; приб. .10:50отпр.17:30";ООО СПЛАЙН-ТРАНС,ОАО КАЗАНСКОЕ ПАТП №1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
615;Б/Н;Плавск(Тульская обл)-Москва;Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 33-й километробр. напр. ::;1;Не регламентируется;Не регламентируется;267;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .06:30отпр.10:00";"день нед.: 1,2,3,4,5,6,7; приб. .06:30отпр.10:00";ИП БУЛЫКИНА Н.В.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
619;Б/Н;Курилово (Калужская обл.)-Москва;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 41-й километробр. напр. ::;5;Не регламентируется;Не регламентируется;109;М3 класс II, класс III, ЭК не ниже Евро 2;день нед.: 1,2,3,4,5,6,7 приб. . 20:55 17:40 14:25 10:10 07:25 отпр. 21:20 19:00 16:25 10:55 07:40;день нед.: 1,2,3,4,5,6,7 приб. . 20:55 17:40 14:25 10:10 07:25 отпр. 21:20 19:00 16:25 10:55 07:40;ООО ТРАНСАВТОКАЛУГА;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
620;Б/Н;Поворино (Воронежская обл)-Москва;Красногвардейская-прям. напр. :обр. напр. ::;1;Не регламентируется;Не регламентируется;800;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .08:30отпр.19:40";"день нед.: 1,2,3,4,5,6,7; приб. .08:30отпр.19:40";ИП МАКАРОВ А.Н.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
624;Б/Н;Белгород-Москва;РЖД-Трансфер Юг-прям. напр. :,1-й Котляковский переулок,Котляковская улица,улица Москворечье,Проектируемый проезд N 3888,Каширское шоссе,МКАД, 33-й километробр. напр. :: г Белгород,г Обоянь,г Курск,г Орел,г Плавск,г Москва;1;Не регламентируется;Не регламентируется;715;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .07:00отпр.20:40";"день нед.: 1,2,3,4,5,6,7; приб. .07:00отпр.20:40";ИП СВИНАРЕВА И.А.,ИП ФЕДОТОВА Е.П.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
625;Б/Н;Москва - Жуков (мкр.Протва) Калужская обл.;Теплый Стан АС-прям. напр. :,Новоясеневский проспект,Профсоюзная улица,МКАД, 41-й километробр. напр. :: г Москва,г Жуков;3;Не регламентируется;Не регламентируется;112;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .07:00 22:15 14:35отпр.20:30 17:30 09:20";"день нед.: 1,2,3,4,5,6,7; приб. .07:00 22:15 14:35отпр.20:30 17:30 09:20";ИП НАЗАРОВ С.Г.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
629;Б/Н;"932 г.Балашиха (ТК Сирень Балашихи"")- Москва (Комсомольская площадь)""";Комсомольская (кольцевая)-прям. напр. :,шоссе Энтузиастов,Малый Купавенский проезд,Челябинская улица,Большой Купавенский проезд,16-я Парковая улица,Щёлковское шоссе,Большая Черкизовская улица,Преображенская улица,улица Стромынка,Русаковская улица,Краснопрудная улицаобр. напр. :,Краснопрудная улица,Русаковская улица,улица Стромынка,Преображенская улица,Большая Черкизовская улица,Щёлковское шоссе,16-я Парковая улица,Большой Купавенский проезд,шоссе Энтузиастов:;18;Не регламентируется;Не регламентируется;21,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 216";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 216";ООО ЭКСПРЕССАВТОТУР;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
630;Б/Н;Старица (Тверская обл)-Москва;Тушинская-прям. напр. :,проезд Стратонавтов,Волоколамское шоссеобр. напр. :: г Старица,г Волоколамск,г Москва;2;Не регламентируется;Не регламентируется;218,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,75,6,7; приб. .14:00 20:15 отпр. 10:20 16:15";"день нед.: 1,2,3,4,5,6,75,6,7; приб. .14:00 20:15 отпр. 10:20 16:15";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
634;Б/Н;Тула-Москва;5 м/р Северное Бутово-прям. напр. :,Старобитцевская улица,Коктебельская улица,Варшавское шоссеобр. напр. :: г Тула,г Москва;8;Не регламентируется;Не регламентируется;185;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .16:30 15:30 14:30 12:30 10:30 09:30 08:00 06:30 отпр.20:00 19:00 18:00 16:00 14:00 13:00 11:30 10:00";"день нед.: 1,2,3,4,5,6,7; приб. .16:30 15:30 14:30 12:30 10:30 09:30 08:00 06:30 отпр.20:00 19:00 18:00 16:00 14:00 13:00 11:30 10:00";ИП ХУДЯКОВА О.В.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
635;Б/Н;Москва-Ростов-на-Дону;Новоясеневская-прям. напр. :,Новоясеневский тупик,Новоясеневский проспект,улица Паустовского,проезд Карамзина,МКАД, 24-й километробр. напр. :: г Москва,г Воронеж,г Миллерово,г Каменск-Шахтинский,г Шахты,г Новочеркасск,г Ростов-на-Дону;2;Не регламентируется;Не регламентируется;1060;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .13:20 03:00 отпр.09:30 18:40";"день нед.: 1,2,3,4,5,6,7; приб. .13:20 03:00 отпр.09:30 18:40";ООО АВТОТРАНСЮГ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
639;Б/Н;9 м/р Кожухово - ст.Люберцы - ул.Некрасовская;-прям. напр. :,Лухмановская улица,улица Рудневка,Святоозерская улица,Лухмановская улица,Красковская улица,2-я Вольская улица,1-я Вольская улицаобр. напр. ::;5;Не регламентируется;Не регламентируется;18,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 58";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 58";ООО ММТ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
645;Б/Н;г.Люберцы (мкр. Красная горка)- Москва (м.Черкизовская);Черкизовская-прям. напр. :обр. напр. ::;12;Не регламентируется;Не регламентируется;23,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
655;Б/Н;Аэропорт Шереметьево-1- Москва (м.Речной Вокзал);Речной вокзал-прям. напр. :обр. напр. ::;15;Не регламентируется;Не регламентируется;24,7;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 240";ООО МАРШРУТТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
34;1047;ст.Подольск-Москва(д/о Плесково);"прям. напр. : ст.Подольск-Москва(д/о Плесково)
обр. напр. : Москва(д/о Плесково) - ст.Подольск";1;Не регламентируется;Не регламентируется;33,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 12";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 12";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
39;1053;п.Дунино-Уборы;"прям. напр. : п.Дунино-Уборы
обр. напр. : Уборы - п.Дунино";1;Не регламентируется;Не регламентируется;19,4;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 14";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 14";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
44;110;"Балашиха-2 (Санаторий Поляна"") - м.Новогиреево""";Новогиреево-прям. напр. :,шоссе Энтузиастов,улица Сталеваров,Зелёный проспект,Свободный проспект,шоссе Энтузиастовобр. напр. ::;31;Не регламентируется;Не регламентируется;20,6;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,56,7; кол-во рейсов: 310150";"день нед.: 1,2,3,4,56,7; кол-во рейсов: 310150";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
49;128;Зеленоград(ст.Крюково) - Поварово (МО);-прям. напр. :,город Зеленоград,Панфиловский проспект,Ленинградское шоссеобр. напр. ::;5;Не регламентируется;Не регламентируется;20;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 21";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 21";ООО АВТО-ВОЯЖ (ОАО ГРУППА АВТОЛАЙН);;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
54;144;Островцы (Тепличный комбинат) (МО) - Москва (ст.м.Выхино);Выхино-прям. напр. :,улица Хлобыстова,Рязанский проспект,Новорязанское шоссеобр. напр. ::;18;Не регламентируется;Не регламентируется;19,1;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 126";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 126";ООО СТАФФТРАНС-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
59;177;Москва (ст.м.Медведково)-ст.Мытищи;Медведково-прям. напр. :,улица Грекова,Широкая улица,Осташковская улица,проезд Шокальского,улица Грековаобр. напр. ::;10;Не регламентируется;Не регламентируется;11,9;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 140";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 140";ООО АВТОЛАЙН-МЫТИЩИ;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
61;18;Москва (м. Бульвар Дмитрия Донского) – Бутовский полигон;"прям. напр. : Москва (м. Бульвар Дмитрия Донского) – Бутовский полигон
обр. напр. : Бутовский полигон - Москва (м. Бульвар Дмитрия Донского)";1;Не регламентируется;Не регламентируется;10,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 30";ГУП МОСГОРТРАНС;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
66;210;Красногорск (платф. Красногорская) – Москва (м. Тушинская);Тушинская-прям. напр. :,проезд Стратонавтов,Волоколамское шоссеобр. напр. ::;4;Не регламентируется;Не регламентируется;11;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 80";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 80";ООО КРАСНОГОРСК-АВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
71;26;ст.Химки - Красногорск (пл.Маяковского);-прям. напр. :,Путилковское шоссе,1-й Митинский переулок,Новотушинский проезд,Трикотажный проезд,Волоколамское шоссеобр. напр. :,Волоколамское шоссе,Новотушинский проезд,1-й Митинский переулок,Путилковское шоссе:;3;Не регламентируется;Не регламентируется;17,5;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 44";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 44";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
76;28;ст.Химки - Химки (Больница № 119);"прям. напр. : ст.Химки - Химки (Больница № 119)
обр. напр. : Химки (Больница № 119) - ст.Химки";2;Не регламентируется;Не регламентируется;12,8;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 34";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 34";ГУП МО МОСТРАНСАВТО;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
78;280;ст.Люберцы(Московская обл.)-Москва (ст.м.Выхино);Выхино-прям. напр. :,Лермонтовский проспект,Рязанский проспект,улица Хлобыстоваобр. напр. :,улица Хлобыстова,Рязанский проспект,Лермонтовский проспект:;7;Не регламентируется;Не регламентируется;7,3;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 70";"день нед.: 1,2,3,4,5,6,7; кол-во рейсов: 70";ООО СТАФФТРАНС-1;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
80;283;Богородцк(Тульской обл.)-Москва(Красногвардейская);Красногвардейская-прям. напр. :,Ореховый бульвар,Ясеневая улица,Каширское шоссе,МКАД, 24-й километробр. напр. :: г Богородицк;9;Не регламентируется;Не регламентируется;230;М3 класс II, класс III, ЭК не ниже Евро 2;"день нед.: 1,2,3,4,5,6,7; приб. .21:00 19:00 17:00 15:00 13:00 10:00 09:00 08:00 06:30 отпр. 22:00 21:00 19:00 18:00 15:00 13:00 11:00 09:00 08:00";"день нед.: 1,2,3,4,5,6,7; приб. .21:00 19:00 17:00 15:00 13:00 10:00 09:00 08:00 06:30 отпр. 22:00 21:00 19:00 18:00 15:00 13:00 11:00 09:00 08:00";ООО ТУЛЬСКАЯ ТРАНСПОРТНАЯ КОМПАНИЯ,ИП ГРИГОРЬЕВА Е.В.;;;Запись подписана 16:23:55 28.03.2013 OID.1.2.840.113549.1.9.2=MSKS21, CN=ООО «ФОРС - Центр разработки», O=ООО «ФОРС - Центр разработки», L=Москва, ST=77 г. Москва, C=RU, EMAILADDRESS=apilipenko@fors.ru, OID.1.2.643.3.131.1.1=007702270040, OID.1.2.643.100.1=1027700404830
