0_Код;1_Название;1_Краткое наименование;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон руководителя;1_Факс;1_Доп информация;0_Мощность;0_Детское население;0_MODDATE;0_MODUSER;0_Признак закрытого ЛПУ;0_Причина закрытия;0_Главное ЛПУ;0_Должность руководителя;0_Дата закрытия;0_Дата повторного открытия после закрытия;0_X;0_Y
82;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 60  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 60  Департамента здравоохранения города Москвы;107207, Москва, ул. Байкальская, д.28;ВАО;Почуева Светлана Сергеевна;466-2855;466-2701;с 01.11.2012г. присоединяется к «ДГП № 122»;320;12010;;;;;;;;;19091,7845;16693,128
83;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 61  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 61  Департамента здравоохранения города Москвы;109432, 2-й Южнопортовый проезд, д. 25, кор.1;ЮВАО;Гафыкина Вера Ивановна;679-4603;958-8840;амбулаторный центр;320;9200;;;;;;;;;11899,0447;3986,422
84;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 62  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 62  Департамента здравоохранения города Москвы;117433, Москва, ул. Азовская, д. 20,кор.2;ЮЗАО;Курочкина Людмила Сергеевна;318-7255;318-7255;с 01.11.2012г. присоединяется к «ДГП № 69»;320;8469;;;;;;;;;6208,6499;-1289,9819
85;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 63  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 63  Департамента здравоохранения  города Москвы;117353, Москва, ул. Профсоюзная, д.52;ЮЗАО;Каленов Сергей Евгеньевич;8-499-128-6822;8-499-128-6822;с 01.11.2012г. присоединяется к «ДГП № 10»;320;10621;;;;;;;;;3622,0257;612,8051
86;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 64 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 64 Департамента здравоохранения города Москвы;121596, Москва, ул. Толбухина, д.14;ЗАО;и.о. Харькова Наталья Львовна;448-0424;448-0474;с 01.11.2012г. присоединяется к «ДГП № 30»;320;7760;;;;;;;;;-6121,8387;6271,0974
87;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 65  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 65  Департамента здравоохранения  города Москвы;107258,Москва, бульвар маршала Рокоссовского, д.35;ВАО;Гаврикова Ольга Вениаминовна;8-499-160-3211;8-499-781-4031;с 01.11.2012г. присоединяется к «ДГП № 28»;320;16579;;;;;;;;;13466,7681;16706,5327
20;Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 217  Департамента здравоохранения города Москвы»; Городская поликлиника № 217  Департамента здравоохранения города Москвы;119027, Москва, ул. Насосная, д.1а;ЗАО; Абраамян Буден Анушаванович;436-7538;436-7538;с 15.09.2012г. присоединяется к «ГП № 212»;-;3310;;;;;;;;;-12570,7022;-5795,9529
90;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 68  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 68  Департамента здравоохранения  города Москвы;127591, Москва, ул. Дубнинская, д.40, к.3;САО;Бартош Ольга Александровна;(495) 485-5065;(495) 485-5065;с 01.11.2012г. присоединяется к «ДГП № 86»;320;12408;;;;;;;;;3973,8681;24747,873
91;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 69  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 69  Департамента здравоохранения  города Москвы;117186, Москва, ул. Нагорная, д. 38,кор.1;ЮЗАО;и.о. Федулова Елена Юрьевна;8-499-127-4693;8-499-127-4693;амбулаторный центр;263;8423;;;;;;;;;5967,2206;492,8152
92;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 70  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 70  Департамента здравоохранения города Москвы;113208, Москва, ул. Чертановская,д.14а;ЮАО;Веклич Анна Витальевна;311-7354;311-7354;с 01.11.2012г. присоединяется к «ДГП № 129»;320;9535;;;;;;;;;6228,6695;-4211,3935
93;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 71  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 71  Департамента здравоохранения города Москвы;127521, Москва, 9-й проезд Марьиной Рощи, д.6;СВАО;Шилова Людмила Юрьевна;(495) 618-7324;(495) 618-7324; 01.11.2012г. присоединяется к «ДГП № 99»;320;14683;;;;;;;;;7256,0614;14989,0813
94;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 72  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 72  Департамента здравоохранения  города Москвы;117447, Москва, ул. Винокурова, д.14;ЮЗАО;Иразиева Заира Самуиловна;8-499-126-3870;8-499-126-7774;с 01.11.2012г. присоединяется к «ДГП № 69»;320;11000;;;;;;;;;5818,5343;2179,4845
95;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 73 Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 73 Департамента здравоохранения  города Москвы;121552, Москва, ул. Ярцевская, д.25,кор.2;ЗАО;и.о. Хмель Лариса Вячеславовна;8-499-140-0407;8-499-140-0407;с 01.11.2012г. присоединяется к «ДГП № 130»;320;13500;;;;;;;;;-5353,7761;8341,6271
96;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 74  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 74  Департамента здравоохранения города Москвы;123182, Москва, Новощукинская ул., д.10;СЗАО;и.о. Патрикеева Елена Борисовна;8-499-193-54-82;8-499-193-8114;с 01.11.2012г. присоединяется к «ДГП № 58»;320;9000;;;;;;;;;-2650,8531;15502,5902
97;Государственное учреждение здравоохранения города Москвы Детская городская поликлиника № 75 Управления здравоохранения  Северо-Восточного АО города Москвы; Детская городская поликлиника № 75 Управления здравоохранения  Северо-Восточного АО города Москвы;127221, Москва, ул. Полярная, д. 24;СВАО;Янковская Галина Михайловна;(495) 473-1476;(495) 473-1476;с 01.11.2012г. присоединяется к «ДГП № 110»;320;15447;;;;;;;;;8829,9037;23800,7772
98;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 76  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 76  Департамента здравоохранения  города Москвы;125239, Москва, Коптевский бульвар, д.18,к.1;САО;Шишкова Ирина Валентиновна;(499) 154-5335;(499) 154-5335;с 01.11.2012г. присоединяется к «ДГП № 15»;320;12535;;;;;;;;;1607,8827;18483,9175
99;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 77  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 77  Департамента здравоохранения города Москвы;127474, Москва, Рогачевкий пер., д.3;САО;Голикова Наталья Владиславовна;(495) 489-0365;(495) 489-0365;с 01.11.2012г. присоединяется к «ДГП № 15»;320;11901;;;;;;;;;3348,9502;22430,9293
100;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 78  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 78  Департамента здравоохранения города Москвы;125480, Москва, бульвар Яна Райниса, д.4, кор.6;СЗАО;Недопекин Павел Михайлович;495-6044;496-1283;с 01.11.2012г. присоединяется к «ДГП № 140»;320;11700;;;;;;;;;-4239,548;20567,5665
101;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 79  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 79  Департамента здравоохранения  города Москвы;127486, Москва, ул. Дегунинская, д.8а;САО;Швецова Тамара Николаевна;(495) 489-4224;(495) 489-4224;с 01.11.2012г. присоединяется к «ДГП № 86»;320;10094;;;;;;;;;2542,5574;22078,7905
102;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 80  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 80  Департамента здравоохранения  города Москвы;117921, Москва, ул. Новаторов, д.7;ЮЗАО;и.о.Ломоносова Ольга Михайловна;936-4011;936-3636;с 01.11.2012г. присоединяется к «ДГП № 10»;320;8091;;;;;;;;;1807,8651;-323,9262
103;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 81  Департамента здравоохранения   города Москвы»; Детская городская поликлиника № 81  Департамента здравоохранения   города Москвы;117485, Москва, ул. Миклухо-Маклая, д.29,кор.3;ЮЗАО;Гилилова Елена Моисеевна;330-36511;336-6588;амбулаторный центр;320;10522;;;;;;;;;1228,6025;-2075,9192
104;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 82  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 82  Департамента здравоохранения города Москвы;115516, Москва, ул. Тимуровская, д.3;ЮАО;и.о.Прохошина Лидия Степановна;325-0066;325-0066;с 01.11.2012г. присоединяется к «ДГП № 23»;320;9282;;;;;;;;;10402,4923;-4582,4328
105;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 83 Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 83 Департамента здравоохранения  города Москвы;105523, Москва, Щелковское шоссе, д.82, к.2;ВАО; Панагриева Оксана Вячеславовна;468-7528;468-7528;с 01.11.2012г. присоединяется к «ДГП № 122»;320;14511;;;;;;;;;19820,7135;15958,3545
107;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 85  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 85  Департамента здравоохранения города Москвы;107076, Москва, ул. Матросская тишина, д.14;ВАО;Герасимчук  Гунча Амальгендыевна;8-499-268-0057;8-499-268-8921;с 01.11.2012г. присоединяется к «ДГП № 52»;320;8658;;;;;;;;;12329,6565;13676,2122
106;Государственное  бюджетное учреждение здравоохранения города Москвы Детская городская поликлиника № 84   Департамента здравоохранения города Москвы»; Детская городская поликлиника № 84   Департамента здравоохранения города Москвы;124482, г. Зеленоград, корпус 348-А;ЗЕЛЕНОГРАД;Кудряшева Галина Петровна;535-2779;535-0936;с 01.11.2012г. присоединяется к «ДГП № 105»;320;6350;;;;;;;;;-17013,9825;36520,0294
108;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 86  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 86  Департамента здравоохранения города Москвы;125412, Москва, Коровинское шоссе, д.36а;САО;Уханова Галина Юрьевна;(495) 486-5752;(495) 486-5753;амбулаторный центр;520;13960;;;;;;;;;1250,8153;24541,6577
109;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 87  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 87  Департамента здравоохранения города Москвы;125414, Москва, ул. Петрозаводская, д.26а;САО; и.о.Палюсова Наталья Николаевна;(495) 451-4568;(495) 451-4014;с 01.11.2012г. присоединяется к «ДГП № 133»;320;9750;;;;;;;;;-399,7372;22422,0487
110;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 88  Департамента здравоохранения города Москвы; Детская городская поликлиника № 88  Департамента здравоохранения города Москвы;119361, Москва, Большая Очаковская ул., д.38а;ЗАО;Степанова Ирина Валерьевна;430-1077;430-0538;с 01.11.2012г. присоединяется к «ДГП № 131»;320;9110;;;;;;;;;-3130,1657;1299,5349
111;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 89  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 89  Департамента здравоохранения города Москвы;121357, Москва, ул. Артамонова, д.6;ЗАО;Жарких Олег Владимирович;445-0033;445-0033;с 01.11.2012г. присоединяется к «ДГП № 30»;320;11900;;;;;;;;;-2480,46;5840,6861
112;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 90   Департамента здравоохранения города Москвы»; Детская городская поликлиника № 90   Департамента здравоохранения города Москвы;124305,г. Зеленоград, корпус 225-А;ЗЕЛЕНОГРАД;Воронова Софья Борисовна;8-499-735-8549;8-499-734-2877;с 01.11.2012г. присоединяется к «ДГП № 105»;320;6300;;;;;;;;;-18302,2212;37312,9781
113;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 91  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 91  Департамента здравоохранения города Москвы;115516, Москва, ул. академи-ка Миллионщикова, д.22;ЮАО;Левитский Максим Вячеславович;8-499-612-0320;8-499-612-0320;амбулаторнный центр;480;6738;;;;;;;;;9220,5383;-357,1433
47;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 24  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 24  Департамента здравоохранения города Москвы;127322, Москва, ул. Яблочкова, д.33;СВАО;Фоменко Ирина Алексеевна;(495) 610-8956;(495) 639-6131;с 01.11.2012г. присоединяется к «ДГП № 110»;320;11412;;;;;;;;;5040,442;17578,2118
48;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 26  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 26  Департамента здравоохранения города Москвы;127572, Москва, ул. Новгородская, д.23а;СВАО;Рыжова Елена Григорьевна;(499) 200-0777;(499) 200-0777;с 01.11.2012г. присоединяется к «ДГП № 125»;320;14875;;;;;;;;;4972,8187;26149,6796
49;Филиал Государственного бюджетного учреждения здравоохранения города Москвы «Детская городская поликлиника № 26  Департамента здравоохранения города Москвы»;Филиал Государственного бюджетного учреждения здравоохранения города Москвы Детская городская поликлиника № 26  Департамента здравоохранения города Москвы;ул. Новгородская, д.23А;СВАО;Пестряк Игорь Юрьевич;(499) 500-79-57;(499) 500-79-56;с 01.11.2012г. присоединяется к «ДГП № 125»;;;;;;;;;;;4972,8187;26149,6796
50;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 27  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 27  Департамента здравоохранения города Москвы;123317, Москва, ул. Антонова-Овсеенко, д.8;ЦАО;Соколова Надежда Ильинична;(499) 259-8001;(499) 256-0961;с 01.11.2012г. присоединяется к «ДГП № 32»;320;10400;;;;;;;;;2377,0925;10119,4417
51;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 28 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 28 Департамента здравоохранения города Москвы;107392,Москва, ул. Халтуринская. д.7а;ВАО;Плюснина Ирина Петровна;8-499-168-9215;8-499-168-9215; амбулаторный центр;320;11569;;;;;;;;;14373,4891;14825,0159
52;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 29  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 29  Департамента здравоохранения города Москвы;107241, Москва, ул. Амурская. д.62а;ВАО;Кулага Наталья Николаевна;462-0696;462-0696;с 01.11.2012г. присоединяется к «ДГП № 122»;320;10800;;;;;;;;;18348,9674;16211,1446
170;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 149  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 149  Департамента здравоохранения города Москвы;117042, Москва, ул. Бартеневская, д.61;ЮЗАО;Володина Лариса Алексеевна;714-0618;715-2111;с 01.11.2012г. присоединяется к «ДГП № 118»;480;14400;;;;;;;;;1118,0942;-13552,5403
171;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 150  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 150  Департамента здравоохранения города Москвы;109451, Москва, ул. Братиславская, д.1;ЮВАО;Ключникова Ирина Викторовна;658-4159;658-4227;амбулаторный центр;300;10200;;;;;;;;;16052,4027;-80,8816
4;Московский научно-практический центр  медицинской реабилитации, восстановительной и спортивной  медицины Департамента здравоохранения города Москвы - Городская больница № 10;Филиал № 2 МНПЦ медицинской реабилитации, восстановления и спортивной медицины;111674, Москва,   р-н  Некрасовка,  ул.2-я Вольская, д.19;ЮВАО;Корышев Валерий  Иосифович;(495) 706-49-62;(495) 706-49-65;отсутствует;-;3000;;;;;;;;;27058,5367;2053,6968
9;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская поликлиника № 83  Департамента здравоохранения города Москвы»; Городская поликлиника № 83  Департамента здравоохранения города Москвы;121500, Москва, ул. Советская, д.2, стр.1;ЗАО; Красненкова Инна Вадимовна;(499) 727-1228;(499) 727-1228;С 15.09.2012г. присоединяется к «ГП № 195»;-;1500;;;;;;;;;-9118,0762;13044,4511
115;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 93  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 93  Департамента здравоохранения города Москвы;109388, Москва, ул. Полбина, д. 50;ЮВАО;Жданова Тамара Семёновна;353-1205;353-1211;с 01.11.2012г. присоединяется к «ДГП № 61»;320;11600;;;;;;;;;14378,6264;1214,9058
116;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 94  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 94  Департамента здравоохранения города Москвы;125362, г. Москва, ул. Вишневая, д.20;СЗАО;Якимова Анна Ивановна;491-4146;491-4551;амбулаторный центр;699;13500;;;;;;;;;-3106,7759;18572,2645
114;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 92  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 92  Департамента здравоохранения города Москвы;113534, Москва, ул. Чертановская, д. 62,стр.2;ЮАО;Жигаев Иван Николаевич;387-2194;386-0744;с 01.11.2012г. присоединяется к «ДГП № 98»;320;9839;;;;;;;;;5595,3014;-7591,2691
117;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 95  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 95  Департамента здравоохранения города Москвы;111555,Москва, ул. Молостовых, дом.7,кор.1;ВАО;Румянцева Елена Павловна;300-2012;300-2012;с 01.11.2012г. присоединяется к «ДГП № 120»;320;10345;;;;;;;;;21032,6732;10500,666
118;Государственное бюджетное  учреждение здравоохранения города Москвы «Детская городская поликлиника № 96  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 96  Департамента здравоохранения города Москвы;129346, Москва, 1-я Напрудная ул., д.17;СВАО;Филиппова Людмила Ивановна;(495) 474-2822;(495) 474-3033;с 01.11.2012г. присоединяется к «ДГП № 11»;320;17628;;;;;;;;;12148,4557;23784,6339
119;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 97  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 97  Департамента здравоохранения города Москвы;117321, Москва, ул. Профсоюзная, д.154, к.5;ЮЗАО;Айрапетян Арам Суренович;338-5600;338-2611;с 01.11.2012г. присоединяется к «ДГП № 81»;320;11403;;;;;;;;;160,8841;-4892,6158
120;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 98  Департамента здравоохранения   города Москвы»; Детская городская поликлиника № 98  Департамента здравоохранения   города Москвы;113535, Москва, ул. Дорожная, д.26;ЮАО;Титова Алла Анатольевна;382-8301;382-8301;амбулаторный центр;480;10474;;;;;;;;;7615,2364;-7711,529
88;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 66  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 66  Департамента здравоохранения города Москвы;115404, Москва, ул. Шипиловская.д.23,к.1;ЮАО;.Макарова Елена Викторовна;393-9754;393-9754;с 01.11.2012г. присоединяется к «ДГП № 12»;320;10253;;;;;;;;;13916,453;-5013,1521
89;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 67  Департамента здравоохранения города Москвы»;Детская городская поликлиника № 67  Департамента здравоохранения города Москвы;197330, Москва, Мосфильмовская ул., д.27а;ЗАО;Ерцева Нина Владимировна;8-499-143-2841;8-499-143-2810;с 01.11.2012г. присоединяется к «ДГП № 131»;320;10300;;;;;;;;;988,6247;5082,2162
141;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 119  Департамента здравоохранения города Москвы; Детская городская поликлиника № 119  Департамента здравоохранения города Москвы;119526, Москва, проспект Вернадского, д.101,кор.4;ЗАО;Медведева Елена Игоревна;434-5411;434-5411;с 01.11.2012г. присоединяется к «ДГП № 131»;320;15200;;;;;;;;;-561,4802;-314,0735
142;Государственное бюджетное учреждение здравоохранения города Москвы Детская городская поликлиника № 120 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 120 Департамента здравоохранения города Москвы;111625, г. Москва, ул. Святоозерская, д.10;ВАО;Леонова Ирина Владимировна;8-499-721-3038;8-499-721-8023;амбулаторный центр;250;17497;;;;;;;;;24316,4815;5276,2244
143;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 122 Департамента здравоохранения города Москвы;105077, Москва, Измайловский бульвар, д. 61;ВАО;Брагин Александр Игоревич;468-3250;465-6105;амбулаторный центр;320;12519;;;;;;;;;19655,2026;14563,6903
144;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 123  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 123  Департамента здравоохранения города Москвы;115142, Москва, Коломенская набережная, д.14,к.2;ЮАО;и.о. Смирнова Назакат Назаровна;8-499-615-2485;8-499-615-2485;с 01.11.2012г. присоединяется к «ДГП № 91»;480;8937;;;;;;;;;12811,3254;1317,54
145;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 124  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 124  Департамента здравоохранения  города Москвы;119620, Москва, ул. Авиаторов, д.22;ЗАО;Притыко Денис Андреевич;934-1751;934-1751; с 01.09.2012г. присоединяется к МНПЦ мед. помощи детям с пороками развития черепно-лицевой области и врожденными заболеваниями нервной системы;320;21800;;;;;;;;;-5868,798;-2629,7047
146;Государственное бюджетное учреждение здравоохранения города Москвы   « Детская городская поликлиника № 125  Департамента здравоохранения   города Москвы»;Детская городская поликлиника № 125  Департамента здравоохранения   города Москвы;127549, Москва, ул. Костромская, д.14;СВАО;Васильева Татьяна Михайловна; (499) 901-1926;(499) 901-1989;амбулаторный центр;320;16126;;;;;;;;;6222,8594;24300,7986
147;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 126  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 126  Департамента здравоохранения  города Москвы;129344, Москва, ул. Печорская, д.10, корп.1;СВАО;Клименко Татьяна Яковлевна;(495) 471-2211;(495) 471-2155;с 01.11.2012г. присоединяется к «ДГП № 11»;348;19582;;;;;;;;;10564,4569;21965,9813
148;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 127  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 127  Департамента здравоохранения  города Москвы;115408, Москва, ул. Алма-Атинская, д.6,к.1;ЮАО;Минюшин Алексей Юрьевич;342-0191;341-3551;с 01.11.2012г. присоединяется к «ДГП № 145»;480;10005;;;;;;;;;17041,4043;-2850,6272
149;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 128  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 128  Департамента здравоохранения города Москвы;121609, Москва, Осенний бульвар, д. 19;ЗАО;Фесюк Ольга Свиридовна;413-6015;415-8224;с 01.11.2012г. присоединяется к «ДГП № 130»;320;7900;;;;;;;;;-5792,2191;10627,0347
150;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 129  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 129  Департамента здравоохранения города Москвы;113525, Москва, ул. Чертановская, д.28а;ЮАО;и.о. Рогова Елена Сергеевна;315-0733;315-0733;амбулаторный центр;480;10956;;;;;;;;;5945,815;-5172,8466
151;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 130  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 130  Департамента здравоохранения города Москвы;121609, Москва, ул. Крылатские холмы, д.5;ЗАО;Лимонджян Эдуард Хачикович;413-9674;413-9674;амбулаторный центр;320;8320;;;;;;;;;-4681,8002;9061,2192
69;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 47  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 47  Департамента здравоохранения  города Москвы;119501,Москва, ул. Веерная, д.36, корп.1;ЗАО;и.о. Бисюкова Марина Павловна;441-7466;441-7466;с 01.11.2012г. присоединяется к «ДГП № 30»;320;8500;;;;;;;;;-1185,0714;5094,3264
70;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 48  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 48  Департамента здравоохранения города Москвы;109263, Москва, ул. Артюхиной, д.27, к.3;ЮВАО;Коршикова Лидия Васильевна;8-499-179-5882;8-499-179-5882;амбулаторный центр;320;8600;;;;;;;;;15308,7372;3036,2715
156;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 135 Департамента здравоохранения города Москвы»; Детская городская поликлиника № 135 Департамента здравоохранения города Москвы;109125, Москва, ул. Саратовская, д. 14/1;ЮВАО;и.о.Чхаидзе Росудан Александровна;8-499-177-6777;8-499-177-6777;с 01.11.2012г. присоединяется к «ДГП № 48»;279;10000;;;;;;;;;22889,2173;7602,2093
157;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 136  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 136  Департамента здравоохранения города Москвы;109369, Москва, Новочеркасский бульвар, д.35;ЮВАО;Смоленцева Тамара Львовна;348-2192;348-4100;с 01.11.2012г. присоединяется к «ДГП № 148»;320;7800;;;;;;;;;14845,9735;-1899,0293
158;Государственное  бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 137  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 137  Департамента здравоохранения города Москвы;111672, Москва, ул. Новокосинская, д.36а;ВАО;Михайлевская Любовь Анатольевна;702-3389;702-3389;с 01.11.2012г. присоединяется к «ДГП № 120»;320;8693;;;;;;;;;23278,6458;8396,742
159;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 138  Департамента здравоохранения  города Москвы»; Детская городская поликлиника № 138  Департамента здравоохранения  города Москвы;117042, Москва, ул. Скобелевская, д.2;ЮЗАО;Панферова Ольга Олеговна;716-7072;716-07072;с 01.11.2012г. присоединяется к «ДГП № 118»;320;16009;;;;;;;;;3488,2515;-12873,1674
160;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 139  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 139  Департамента здравоохранения города Москвы;121099, Москва, Проточный пер., д.3/5;ЦАО;Панкова Тамара Борисовна;(499) 241-3937;(499) 241-3937;с 01.11.2012г. присоединяется к «ДГП № 38»;340;4100;;;;;;;;;5213,1424;9252,0146
161;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 140  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 140  Департамента здравоохранения города Москвы;125430, Москва, ул. Митинская, д.34;СЗАО;Хабутия Зоя Алексеевна.;751-0303;751-0303;амбулаторный центр;320;13200;;;;;;;;;-8370,6476;19892,7162
162;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 141  Департамента здравоохранения города Москвы»; Детская городская поликлиника № 141  Департамента здравоохранения города Москвы;125368, Москва, Ангелов переулок, д.9/1;СЗАО;Шумак Лилия Леонидовна;753-5211;753-5210;с 01.11.2012г. присоединяется к «ДГП № 140»;320;15700;;;;;;;;;-9498,458;20476,6974
