№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Телефон	Факс	Сайт	Электронная почта
134	Государственное бюджетное учреждение культуры города Москвы «Театрально-культурный центр имени Всеволода Мейерхольда»	127055, г.Москва, ул. Новослободская, д.23	Центральный АО	Тверской	127055, г.Москва, ул. Новослободская, д.23	(495) 363-10-46, (495) 363-10-41, (495) 363-10-44, (495) 363-10-84	(495) 363-10-41	meyerhold.ru	meyerhold.403@gmail.com
135	Государственное бюджетное учреждение культуры города Москвы «Московский музыкальный театр «Геликон-опера под руководством Дмитрия Бертмана»	119019, г.Москва, ул. Новый Арбат, д.11 стр.2	Центральный АО	Пресненский	125009, г.Москва, ул. Большая Никитская, д.19/16	(495) 690-36-32, (495) 690-09-71, (495) 691-85-70, (495) 691-51-30	(495) 690-09-71	helikon.ru	plicik@mail.ru
136	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Тень»	127018, г.Москва, ул. Октябрьская, д.5	Северо-Восточный АО	Марьина Роща	127018, г.Москва, ул. Октябрьская, д.5	(495) 681-15-16, (495) 681-35-90	(495) 681-35-90	tttttttttt.ru	tenjtenjtenj@gmail.com
137	Государственное бюджетное учреждение культуры города Москвы «Театриум на Серпуховке под руководством Терезы Дуровой»	115093, г.Москва, ул. Павловская, д.6	Южный АО	Даниловский	115093, г.Москва, ул. Павловская, д.6	(495) 237-16-89, (495) 954-50-10	(495) 954-50-10	durova.ru	mail@durova.ru
138	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр на Перовской»	111394, г.Москва, ул. Перовская, д.75	Восточный АО	Новогиреево	111394, г.Москва, ул. Перовская, д.75	(495) 370-38-00, (495) 370-61-00	(495) 370-38-00, (495) 370-61-00	teatr-perovo.ru	teatrperovo@mail.ru
139	Государственное бюджетное учреждение культуры города Москвы «Дирекция проекта «Открытая сцена»	121069, г.Москва, ул. Поварская, д.18	Центральный АО	Арбат	121069, г.Москва, ул. Поварская, д.20	(495) 691-44-43, (495) 697-31-74, (495) 691-41-15	(495) 697-31-74, (495) 691-41-15	o-stage.ru	info@o-stage.ru
140	Государственное бюджетное учреждение культуры города Москвы «Дирекция проекта «Открытая сцена»	121069, г.Москва, ул. Поварская, д.20	Центральный АО	Арбат	121069, г.Москва, ул. Поварская, д.20	(495) 691-44-43, (495) 697-31-74, (495) 691-41-15	(495) 697-31-74, (495) 691-41-15	o-stage.ru	info@o-stage.ru
141	Государственное бюджетное учреждение культуры города Москвы «Театр на Покровке»	105062, г.Москва, ул. Покровка, д.50/2 стр.1	Центральный АО	Басманный	105062, г.Москва, ул. Покровка, д.50/2 стр.1	(495) 917-25-44, (495) 917-02-04	(495) 917-02-04	napokrovke.ru	contact@napokrovke.ru
142	Государственное бюджетное учреждение культуры города Москвы «Московский новый драматический театр»	129347, г.Москва, ул. Проходчиков, д.2	Северо-Восточный АО	Ярославский	129347, г.Москва, ул. Проходчиков, д.2	(495) 182-03-56, (499) 182-03-56, 8-(499) 182-03-38	(495) 182-03-38	newteatr.ru	ndteatr@mail.ru
143	Государственное бюджетное учреждение культуры города Москвы «Русский духовный театр «Глас»	115184, г.Москва, ул. Пятницкая, д.60	Центральный АО	Замоскворечье	115184, г.Москва, ул. Малая Ордынка, д.30/6 стр.1	(495) 959-17-40	(495) 959-17-40	teatrglas.ru	teatrglas@yandex.ru
144	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Сопричастность»	105005, г.Москва, ул. Радио, д.2 стр.2	Центральный АО	Басманный	105005, г.Москва, ул. Радио, д.2 стр.2	(499) 265-33-68, (499) 632-11-28, (499) 263-07-41, (499) 263-07-42	(499) 263-07-41	soprichastnost.ru	teatr1990@yandex.ru
145	Государственное бюджетное учреждение культуры города Москвы «Московский государственный историко-этнографический театр»	129327, г.Москва, ул. Рудневой, д.3	Северо-Восточный АО	Бабушкинский	129327, г.Москва, ул. Рудневой, д.3	(495) 184-17-11, (495) 184-17-22, (495) 184-00-83	(495) 184-17-22	mgiet.ru	mgiet@mgiet.ru
146	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр художественной публицистики»	107140, г.Москва, ул. Русаковская, д.8	Центральный АО	Красносельский	107140, г.Москва, ул. Русаковская, д.8 стр.3	(499) 264-60-31	(499) 264-60-31	teatrthp.ru	teatr-thp@yandex.ru
147	Государственное бюджетное учреждение культуры города Москвы «Московский молодежный экспериментальный театр под руководством Вячеслава Спесивцева»	127254, г.Москва, ул. Руставели, д.19	Северо-Восточный АО	Бутырский	127254, г.Москва, ул. Руставели, д.19	(495) 618-23-32, (495) 618-19-35	(495) 618-23-32	molodezhnyj.ru	zavlit2004@list.ru
148	Государственное бюджетное учреждение культуры города Москвы «Московский театр «На досках»	123001, г.Москва, ул. Садовая-Кудринская, д.22	Центральный АО	Тверской	103051, г.Москва, 2-й Колобовский пер., д.9/2 стр.4	(495) 691-54-72, (495) 691-53-65	(495) 691-54-72	kurginyan.ru	nadoskah@ecc.ru
149	Государственное бюджетное учреждение культуры города Москвы «Московский государственный музыкальный театр фольклора «Русская песня»	107078, г.Москва, ул. Садовая-Черногрязская, д.5/9 стр.2	Центральный АО	Басманный	107078, г.Москва, ул. Садовая-Черногрязская, д.5/9 стр.2	(499) 975-36-89,(499) 975-54-09, (499) 975-68-89	(499) 975-68-89	babkina.ru	teatr-ruspesnia@mail.ru
150	Государственное бюджетное учреждение культуры города Москвы «Московский театр кукол»	105066, г.Москва, ул. Спартаковкая, д.26/30	Центральный АО	Басманный	105066, г.Москва, ул. Спартаковкая, д.26/30	(499) 261-94-24, (499) 261-34-42	(499) 261-34-42	teatrkukol.ru	teatrkukol@list.ru
151	Государственное бюджетное учреждение культуры города Москвы «Московский театр кукол «Жар-птица»	107014, г.Москва, ул. Стромынка, д.3	Восточный АО	Сокольники	107014, г.Москва, ул. Стромынка, д.3	(495) 268-58-26, (499) 268-16-27, (495) 603-32-42	(495) 268-58-26	teatr-zhar-ptis.ru	teatr-kykol@bk.ru
152	Государственное бюджетное учреждение культуры города Москвы «Театр Романа Виктюка»	107014, г.Москва, ул. Стромынка, д.6	Восточный АО	Сокольники	107014, г.Москва, ул. Стромынка, д.6	(499) 268-06-69, (499) 268-36-35	(499) 268-36-35	teatrviktuka.ru	2686538@mail.ru
153	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени К.С.Станиславского»	125009, г.Москва, ул. Тверская, д.23	Центральный АО	Тверской	125009, г.Москва, ул. Тверская, д.23	(495) 699-44-36, (495) 699-39-75	(495) 699-39-75	teatr-stanislavsky.ru  	2411576@mail.ru
154	Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени М.Н.Ермоловой»	125009, г.Москва, ул. Тверская, д.5/6	Центральный АО	Тверской	125009, г.Москва, ул. Тверская, д.5/6	(495) 629-06-79	(495) 629-06-79	ermolova.theatre.ru	info-ermolova@mail.ru
155	Государственное бюджетное учреждение культуры города Москвы «Детский музыкальный театр юного актера»	127006, г.Москва, ул.Малый Дмитровка, д.8 стр.4	Центральный АО	Тверской	127006, г.Москва, ул.Малый Дмитровка, д.8 стр.4	(495) 699-71-26	(495) 699-71-26	сайт в разработке	ta-ko-ma@yandex.ru
156	Государственное бюджетное учреждение культуры города Москвы «Театр «Школа драматического искусства»	107045, г.Москва, ул.Сретенка, д.19	Центральный АО	Мещанский	107045, г.Москва, ул.Сретенка, д.19/27	(495) 632-92-55, (495) 632-99-55	(495) 632-92-55	sdart.ru	theatre@sdart.ru
157	Государственное бюджетное учреждение культуры города Москвы «Московский театр «ЕТ СЕТЕRA» под руководством Александра Калягина»	101000, г.Москва, Фролов пер., д.2	Центральный АО	Красносельский	101000, г.Москва, Фролов пер., д.2	(495) 625-06-40, (495) 625-07-51	(495) 625-06-40	et-cetera.ru	etc-theatre@mail.ru
158	Государственное бюджетное учреждение культуры города Москвы «Московский театр «Современник»	101000, г.Москва, Чистопрудный б-р, д.19 стр.1	Центральный АО	Басманный	101000, г.Москва, Чистопрудный б-р, д.19 стр.1	(495) 621-25-43, (495) 621-66-29	(495) 625-52-20	sovremennik.ru	nadezhdina@sovremennik.ru
159	Лианозовский театр	Абрамцевская, 9, корп. 1				(499) 908 01 13			
160	Арт-турне	Ниж.Таганский туп., 3, Дом Высоцкого на Таганке				(495) 507 15 64, 8 903 004 65 65			
161	Россия	Пушкинская пл., 2				(495) 788 46 46			
162	Театр-студия «Чайка»	просп. Буденного, 14				(499) 785 89 12, 785 89 76			
163	Созвездие	Новосибирская, 11				(495) 466 97 95, 8 926 823 41 10			
164	Театр сказки «Аквамарин»	Ивана Франко, 14, КРЦ «Кунцево»				(495) 792 30 72			
165	Вернадского, 13	просп. Вернадского, 13				(495) 930 75 77, 930 81 77, 8 916 131 66 64			
166	Театр народной музыки и песни «Золотое кольцо»	Тимирязевская, 17а				(495) 611 48 00 (касса)			
167	Камерный музыкальный театр им. Бориса Покровского	Никольская, 17				(495) 606 01 08, 620 13 26			
168	Драм-Антре	Б.Лубянка, 13/16, клуб «Жесть»				(495) 518 02 85			
169	Буфф	Лесная, 59, стр. 1				(499) 250 15 10			
170	Тихий омут	Дениса Давыдова, 3				8 916 501 70 48, 8 903 251 43 75, 8 903 683 21 39			
171	Малая драматическая труппа	Сумской пр., 6а				(495) 311 11 53			
172	Театр им. Островского	Волгоградский просп., 121				(499) 175 33 39			
173	ТОТ	Севастопольский просп., 61				(495) 135 09 43			
174	Дом актера	Арбат, 35				(495) 241 11 51			
175	Свободный театр Нины Чусовой	просп. Вернадского, 9/10				(499) 131 71 11			
176	Цирк Никулина на Цветном бульваре	Цветной б-р, 13				(495) 625 89 70, 621 14 03			
177	Театр-студия «Откровение»	Островитянова, 15/1				(495) 330 14 22, 330 51 83			
178	Театральная компания Евгения Миронова	Петровский пер., 3				(495) 510 02 60			
179	Областной камерный театр	Волгоградский просп., 121				(495) 953 15 69, 951 26 08			
180	Сатирикон	ул. Шереметьевская, д.8				(495) 689 78 44, 689 78 85, 602 65 83, 689 78 36			
181	Театральный центр «Арт-вояж»	Мельникова, 7, в здании ДК ГПЗ				(495) 628 34 21			
182	Театр киноактера	Поварская, 33				(495) 690 28 11			
183	Кураж	Земляной Вал, 33, ТРЦ «Атриум»				(495) 970 14 76, 970 15 51 (доб. 6301, 6302), 504 73 24, 8 916 397 08 86			
184	Мел	Декабристов, 2/2				(495) 907 21 27, (495) 907 67 19			
185	Амадей	Спиридоновка, 4, Музей-квартира А.Н.Толстого				(495) 690 09 56			
186	Эксперимент	Ленинградский просп., 47, КЗ «Столица»				(495) 649 13 01, 8 903 170 35 67			
187	Цирк-шапито «Инантеп»	Братеевская, 4б				(495) 342 59 28			
188	Триумф	Александра Невского, 4, Дворец творчества «На Миуссах»				(495) 231 02 25			
189	Театр-студия «Отражение»	Кулаков пер., 9а				(495) 728 99 01			
190	Детский театр-студия «Сценка»	Обручева, 24				(495) 735 01 26			
191	Театр литературной импровизации	Верхоянская, 6, корп. 1				8 903 500 23 61			
192	Мастерская театральных ремесел п/р Андрея Щукина	Б.Гнездниковский пер., 10, театр «ГИТИС»				(495) 629 86 61, (499) 241 64 61			
193	Театр-студия им. Штейна	Восточная, 4, корп. 1, Культурный центр ЗИЛ				(495) 675 16 36			
194	Школа-студия актерского мастерства НИУ ВШЭ	Мясницкая, 20, цокольный этаж				(495) 624 17 49			
195	Живая сказка	Макаренко, 4, стр. 1, центр творческих инициатив «Перспектива»				(495) 625 18 04, 625 33 19			
196	Грим Масса	улица Петровка 20/1				(495) 625 24 58			
197	Театр Школы-студии МХАТ им. Чехова	Камергерский переулок д.3а, стр.2				(495) 692 41 67 (касса), 629 86 56			
198	Театральная студия «Новый факультет»	Стромынский пер., 5, в здании ДК РГСУ				8 926 567 29 37, 8 916 171 14 09			
199	Город N (не функционирует)	улица Петровские линии, д.1				8 (903) 123-63-70			
200	Театр песни «Собеседник»	просп. Мира, 119, ВВЦ, павильон 62 «Республика Песни»				8 905 785 35 50			
201	Фэст	МО, г.Мытищи, улица Щербакова, д.6а				(495) 586 22 99, 586 07 77			
202	Кремлевский балет	Кремль				(495) 620 77 27			
203	Театр-студия оперы РАМ им. Гнесиных	Малый Ржевский переулок, д.1				(495) 290 67 37			
204	Театр кукол «Огниво»	МО, г.Мытищи, улица Шараповская, д.4 корп.1				(495) 586 05 06, 583 36 70			
205	Дельфинарий	просп. Мира, 119, ВВЦ				(495) 796 88 26			
206	Стрела	МО, г.Жуковский, ул.Кирова, д.3				(495) 556 57 72			
207	Театр живой анимации	Поварская улица 50/53, стр.2				(495) 785 61 95			
208	Серпуховский музыкально-драматический театр	МО, г.Серпухов, ул.Чехова, д.58/27				(4967) 72 19 94, 72 14 31			
209	Цирк «Радуга»	Флотская, 5а, парк «Дружба»				(499) 458-94-41, (495 708-66-88			
210	Наш дом	МО, г.Химки, ул. Маяковского, д.22				(495) 573 80 47			
211	Событие	Варшавское ш., д.38				8 (499) 408-60-75, 8 (926) 804-51-01			
212	Театр 31	улица Бойцовая, д.22 стр.1				8 915 470 70 55			
213	Московская драматическая группа	Паустовского, 2/34				(495) 425 80 00, 712 40 03			
214	Без вывески	Зои и Александра Космодемьянских, 31, корп. 2				(495) 159 98 83			
215	Хореографический ансамбль «Березка» им. Надеждиной	Леонтьевский пер., 7, стр. 1б				(495) 690 18 40			
216	Театр-студия «Галерка»	Бахрушина, д.17, стр.1				8 919 767 34 03 (заказ билетов)			
217	Союз театральных деятелей РФ	Страстной б-р, 10				(495) 650 28 46			
218	Мастерская движения «Кроме слов»	Ниж.Таганский туп., 3				8 905 744 64 22			
219	Бу...	Б.Садовая, 10, Дом Булгакова, 1 этаж, вход в арку				(495) 970 06 19			
220	Театрально-концертное агентство «Рим»	Новослободская, 23, Центр им. Мейерхольда, 3 таж				(495) 744 01 09			
221	Мастер	Б.Никитская, 35, офис 1				(495) 755 31 76			
222	МХАТ им. Горького	Тверской б-р, 22				(495) 697 87 73 (касса), 697 62 22 (справки)			
223	Детский театр «Тик-Так»	Красная Пресня, 4а				(495) 255 57 63			
224	Театр-77	Ленинский просп., 77				(499) 132 88 00			
225	Театр эмоциональной драмы	Библиотечная, 23				(495) 678 52 96			
226	Еврейский театр Zay Gezunt	М.Пироговская, 5				(495) 246 90 90			
227	Русский балет	Волгоградский просп., 121				(495) 379 43 24, 175 33 39 (касса)			
228	Я сам артист	Севастопольский просп., 5, корп. 3				(495) 123 03 11			
229	Театр-группа «Поиск предмета»	Смоленская-Сенная площадь д.27, стр.7				8 906 719 21 70			
230	Польский театр п/р Евгения Лавренчука	Стромынка, 6				(499) 268 00 71			
231	Прямой эфир	Александра Солженицына, 9а				8 915 491 64 26, 8 926 111 46 01			
232	Театр юных москвичей	Косыгина, 17				(495) 939 88 59			
233	Театральная студия «Арт-стиль»	Библиотечная, 23				(495) 784 30 80			
234	Ибрус	Дружинниковская, 15, стр. 1, Киноцентр на Красной Пресне				(499) 255 94 98, 255 90 60			
235	Студенческий театр ИСИ	Новозаводская, 27а				(495) 749 83 80, 749 83 80			
236	Твой театр	Б.Полянка, 50/1				8 909 976 94 07			
237	Театр, которого нет	улица Щепкина, д.47 стр.2				8 916 661 05 00			
