0_Код;1_Название;1_Адрес;1_Административный округ по территориальной принадлежности;1_Руководитель;1_Телефон;1_Факс;1_Доп информация;0_X;0_Y
30;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская клиническая больница № 53 Департамента здравоохранения города Москвы»;109432, Москва, ул Трофимова, д. 26;ЮВАО;Аракелов Сергей Эрнестович;(495) 958-9559;(495) 958-9434;ОТСУТСТВУЕТ;11402,2083;3912,935
31;Государственное  бюджетное учреждение здравоохранения города Москвы  «Городская  клиническая больница № 54   Департамента здравоохранения города Москвы»;107370, Москва, Шитова набережная, д.72;ВАО;Нахаев Виктор Иванович;(499) 168-3328;(499) 168-3328;ОТСУТСТВУЕТ;14567,5899;15588,0143
32;Государственное учреждение здравоохранения города Москвы  Городская  клиническая больница № 55   Департамента здравоохранения города Москвы;117152, Москва, Загородное шоссе, д.18-а;ЮАО;Куликова Олеся Евгеньевна;(495) 952-9022;(495) 952-8722;ОТСУТСТВУЕТ;6461,7547;3268,9403
40;Государственное учреждение здравоохранения города Москвы  Городская онкологическая больница № 62  Департамента здравоохранения города Москвы;143423, Московская область, Красногорский район, п/о Степановское;Московская область, Красногорский район;Махсон Анатолий Нахимович;(495) 536-01-01;(495) 536-0110;ОТСУТСТВУЕТ;-21909,8018;11856,6028
61;Государственное  казенное  учреждение здравоохранения города Москвы «Туберкулезная больница № 6  Департамента здравоохранения города Москвы»;141034, Московская область, Мытищинский район,  п. Здравница, ул.Дубки, д.7;Московская область, Мытищинский район;Самохин Александр Яковлевич;(495) 586-81-40;(495) 586-8140;ОТСУТСТВУЕТ;14547,5963;32365,3375
63;Государственное  казенное   учреждение здравоохранения города Москвы «Туберкулёзная больница № 11    Департамента здравоохранения города Москвы»;141506, Московская область, г. Солнечногорск,  ул. Рабухина, д.7;Московская область, г. Солнечногорск;Алексеева Лариса Петровна;(495) 994-1257;(495) 994-1257;ОТСУТСТВУЕТ;-34189,3738;58112,1011
48;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 72  Департамента здравоохранения города Москвы»;121552, Москва, ул. Оршанская, д. 16;ЗАО;Заборский Владимир Марьянович;(499) 140-5554;(499) 140-5554;С 01.09.2012г. – присоединяется  Родильный дом   № 2;-5894,5061;8519,1704
4;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская клиническая больница № 4  Департамента здравоохранения города Москвы»;115093, Москва, ул. Павловская, д.25; ЮАО;Алексеев Михаил Сергеевич;(499) 235-0443;(495) 952-6940;ОТСУТСТВУЕТ;8212,5824;5266,4043
5;Государственное  бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница № 7    Департамента здравоохранения города Москвы»;115446, Москва, Коломенский проезд, д.4;ЮАО;Бадма-Гаряев Мерген Сергеевич;(499) 782-30-70;(499) 782-3192;ОТСУТСТВУЕТ;9048,7791;-411,249
6;Государственное бюджетное  учреждение здравоохранения города Москвы «Городская больница № 8   Департамента здравоохранения города Москвы»;127287, Москва, 4-й Вятский пер., д.39              ;САО;Дуленков Андрей Борисович;(495) 613-4509;(495) 613-4359;С 01.09.2012г. – присоединяется  Родильный дом № 6 им. А.А.Абрикосовой;4480,2428;14749,856
7;Государственное  бюджетное  учреждение здравоохранения города Москвы  «Городская больница № 9   Департамента здравоохранения города Москвы»;105173, Москва, ул. Западная, д.2;ЮАО;Дрошнев Вячеслав Михайлович;(499) 780-5117;(499) 780-5111;ОТСУТСТВУЕТ;22554,5139;16904,274
8;Государственное учреждение здравоохранения города Москвы Городская клиническая больница № 11 Департамента здравоохранения города Москвы;127018, Москва, ул. Двинцев, д.6;СВАО;Бойко Алексей Николаевич;(495) 689-5135;(495) 689-5135;ОТСУТСТВУЕТ;6542,0626;14088,8603
