0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Электронная почта;0_moddate;0_moduser
3;Городской отдел жилищных субсидий района Красносельский                                                                                                                                                                                                       ;Городской отдел жилищных субсидий района Красносельский                                                                                                                                                                                                       ;2-ой Новый пер., д. 3-5                                                                                                                                                                                                                                       ;10749,04323;12589,29589;0;                                                                                                                                                                                                                                                              ;2-ой Новый пер.                                                                                                                                                                                                                                               ;41338;                                                                                                                                                                                                                                                              ;(499)264-42-23                                                                                                                                                                                                                                                ;138@cao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
4;Городской отдел жилищных субсидий района Мещанский                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Мещанский                                                                                                                                                                                                            ;Ботанический пер., д. 7                                                                                                                                                                                                                                       ;8759,03181;12402,4111;0;                                                                                                                                                                                                                                                              ;Ботанический пер.                                                                                                                                                                                                                                             ;7;                                                                                                                                                                                                                                                              ;(495)680-80-49                                                                                                                                                                                                                                                ;74@cao.subsident.ru                                                                                                                                                                                                                                           ;41298;opens\egipuser                                                                                      
5;Городской отдел жилищных субсидий района Пресненский                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Пресненский                                                                                                                                                                                                          ;ул. 1905 года, д. 19                                                                                                                                                                                                                                          ;3789,43145;11098,97451;0;                                                                                                                                                                                                                                                              ;ул. 1905 года                                                                                                                                                                                                                                                 ;19;                                                                                                                                                                                                                                                              ;(499)253-34-55                                                                                                                                                                                                                                                ;135@cao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
6;Городской отдел жилищных субсидий района Таганский                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Таганский                                                                                                                                                                                                            ;ул. Воронцовская, д.21, стр.1                                                                                                                                                                                                                                 ;10124,5201;7786,433124;0;                                                                                                                                                                                                                                                              ;ул. Воронцовская                                                                                                                                                                                                                                              ;21;стр.1                                                                                                                                                                                                                                                         ;(495)912-23-66                                                                                                                                                                                                                                                ;79@cao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
7;Городской отдел жилищных субсидий района Тверской                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Тверской                                                                                                                                                                                                             ;ул. Долгоруковская, д. 33, стр. 3                                                                                                                                                                                                                             ;6432,594267;12302,18297;0;                                                                                                                                                                                                                                                              ;ул. Долгоруковская                                                                                                                                                                                                                                            ;33;стр.3                                                                                                                                                                                                                                                         ;(499)972-08-05                                                                                                                                                                                                                                                ;47@cao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
8;Городской отдел жилищных субсидий района Хамовники                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Хамовники                                                                                                                                                                                                            ;ул. Ефремова, д.13                                                                                                                                                                                                                                            ;4784,073831;6398,723949;0;                                                                                                                                                                                                                                                              ;ул. Ефремова                                                                                                                                                                                                                                                  ;13;                                                                                                                                                                                                                                                              ;(499)766-87-69                                                                                                                                                                                                                                                ;93@cao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
9;Городской отдел жилищных субсидий района Якиманка                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Якиманка                                                                                                                                                                                                             ;ул. Донская, д.7 стр. 1                                                                                                                                                                                                                                       ;6977,528888;6491,267359;0;                                                                                                                                                                                                                                                              ;ул. Донская                                                                                                                                                                                                                                                   ;7;стр.1                                                                                                                                                                                                                                                         ;(495)959-81-95                                                                                                                                                                                                                                                ;43@cao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
10;Окружной отдел Западного Административного Округа Кунцево                                                                                                                                                                                                     ;Окружной отдел Западного Административного Округа Кунцево                                                                                                                                                                                                     ;ул. Маршала Неделина, д. 40                                                                                                                                                                                                                                   ;-4778,7815;6578,740633;0;                                                                                                                                                                                                                                                              ;ул. Маршала Неделина                                                                                                                                                                                                                                          ;40;                                                                                                                                                                                                                                                              ;(499)940-18-30                                                                                                                                                                                                                                                ;86@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
11;Городской отдел жилищных субсидий района Внуково                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Внуково                                                                                                                                                                                                              ;ул. Спортивная (пос.Внуково), д. 3А                                                                                                                                                                                                                           ;-12523,10758;-6198,498611;0;                                                                                                                                                                                                                                                              ;ул. Спортивная (пос.Внуково)                                                                                                                                                                                                                                  ;3А                                                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;(495)436-76-69                                                                                                                                                                                                                                                ;54@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
14;Городской отдел жилищных субсидий района Дорогомилово                                                                                                                                                                                                         ;Городской отдел жилищных субсидий района Дорогомилово                                                                                                                                                                                                         ;Кутузовский пр-т,. д. 33                                                                                                                                                                                                                                      ;2641,3626;8191,718953;0;                                                                                                                                                                                                                                                              ;Кутузовский пр-т                                                                                                                                                                                                                                              ;33;                                                                                                                                                                                                                                                              ;(499)249-46-49                                                                                                                                                                                                                                                ;60@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
15;Городской отдел жилищных субсидий района Крылатское                                                                                                                                                                                                           ;Городской отдел жилищных субсидий района Крылатское                                                                                                                                                                                                           ;Осенний б-р, д.12, кор.3                                                                                                                                                                                                                                      ;-5514,434379;10221,26738;0;                                                                                                                                                                                                                                                              ;Осенний б-р                                                                                                                                                                                                                                                   ;12;кор.3                                                                                                                                                                                                                                                         ;(495)415-94-69                                                                                                                                                                                                                                                ;89@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
16;Городской отдел жилищных субсидий района Матвеевское                                                                                                                                                                                                          ;Городской отдел жилищных субсидий района Матвеевское                                                                                                                                                                                                          ;Веерная ул.,  д. 1, кор. 7                                                                                                                                                                                                                                    ;-1172,806372;4334,987158;0;                                                                                                                                                                                                                                                              ;Веерная ул.                                                                                                                                                                                                                                                   ;1;кор.7                                                                                                                                                                                                                                                         ;(499)726-07-99                                                                                                                                                                                                                                                ;104@zao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
17;Городской отдел жилищных субсидий района Можайский                                                                                                                                                                                                            ;Городской отдел жилищных субсидий района Можайский                                                                                                                                                                                                            ;ул. Маршала Неделина, д. 40                                                                                                                                                                                                                                   ;-4778,7815;6578,740633;0;                                                                                                                                                                                                                                                              ;ул. Маршала Неделина                                                                                                                                                                                                                                          ;40;                                                                                                                                                                                                                                                              ;(499)940-18-30                                                                                                                                                                                                                                                ;92@zao.subsident.ru                                                                                                                                                                                                                                           ;0;                                                                                                    
76;Городской отдел жилищных субсидий района Перово                                                                                                                                                                                                               ;Городской отдел жилищных субсидий района Перово                                                                                                                                                                                                               ;Зелёный пр-т, д. 8                                                                                                                                                                                                                                            ;-19261,34869;-7091,653498;0;                                                                                                                                                                                                                                                              ;Зелёный пр-т                                                                                                                                                                                                                                                  ;8;                                                                                                                                                                                                                                                              ;(495)368-61-10                                                                                                                                                                                                                                                ;130@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
77;Городской отдел жилищных субсидий района Северное Измайлово                                                                                                                                                                                                   ;Городской отдел жилищных субсидий района Северное Измайлово                                                                                                                                                                                                   ;ул. 7-я Парковая,  д. 7                                                                                                                                                                                                                                       ;18507,72461;14341,99198;0;                                                                                                                                                                                                                                                              ;ул. 7-я Парковая                                                                                                                                                                                                                                              ;7;                                                                                                                                                                                                                                                              ;(499)166-16-09                                                                                                                                                                                                                                                ;116@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
78;Городской отдел жилищных субсидий района Соколиная гора                                                                                                                                                                                                       ;Городской отдел жилищных субсидий района Соколиная гора                                                                                                                                                                                                       ;ул. Большая Семеновская, д.23А                                                                                                                                                                                                                                ;13127,33617;12886,92923;0;                                                                                                                                                                                                                                                              ;ул. Большая Семеновская                                                                                                                                                                                                                                       ;23А                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(499)940-17-12                                                                                                                                                                                                                                                ;129@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
79;Городской отдел жилищных субсидий района Кожухово                                                                                                                                                                                                             ;Городской отдел жилищных субсидий района Кожухово                                                                                                                                                                                                             ;ул. Святоозерская, д. 15                                                                                                                                                                                                                                      ;24852,87913;5348,140112;0;                                                                                                                                                                                                                                                              ;ул. Святоозерская                                                                                                                                                                                                                                             ;15;                                                                                                                                                                                                                                                              ;(499)721-86-03                                                                                                                                                                                                                                                ;143@vao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
80;Окружной отдел Юго-Восточного Административного Округа Люблино                                                                                                                                                                                                ;Окружной отдел Юго-Восточного Административного Округа Люблино                                                                                                                                                                                                ;Краснодонская ул., д. 18/18                                                                                                                                                                                                                                   ;15749,11075;1125,526217;0;                                                                                                                                                                                                                                                              ;Краснодонская ул.                                                                                                                                                                                                                                             ;18/18                                                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;(495)358-91-92                                                                                                                                                                                                                                                ;63@uvao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
81;Городской отдел жилищных субсидий района Выхино-Жулебино                                                                                                                                                                                                      ;Городской отдел жилищных субсидий района Выхино-Жулебино                                                                                                                                                                                                      ;Самаркандский б-р, кв-л 134а, кор.2                                                                                                                                                                                                                           ;20700,8913;4216,851118;0;                                                                                                                                                                                                                                                              ;Самаркандский б-р                                                                                                                                                                                                                                             ;134А                                                                                                                                                                                                                                                          ;кор.2                                                                                                                                                                                                                                                         ;(495)377-20-57                                                                                                                                                                                                                                                ;27@uvao.subsident.ru                                                                                                                                                                                                                                          ;0;                                                                                                    
82;Городской отдел жилищных субсидий района Капотня                                                                                                                                                                                                              ;Городской отдел жилищных субсидий района Капотня                                                                                                                                                                                                              ;Капотня, 2 кв., д. 1                                                                                                                                                                                                                                          ;18795,03723;-3019,531345;0;                                                                                                                                                                                                                                                              ;Капотня, 2 кв.                                                                                                                                                                                                                                                ;1;                                                                                                                                                                                                                                                              ;(495)355-16-70                                                                                                                                                                                                                                                ;128@uvao.subsident.ru                                                                                                                                                                                                                                         ;0;                                                                                                    
