0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
146;Детский театр «Тик-Так»                                                                                                                                                                                                                                       ;Детский театр «Тик-Так»                                                                                                                                                                                                                                       ;Красная Пресня, 4а                                                                                                                                                                                                                                            ;4868,869141;10543,94695;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 255 57 63                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
147;Театр-77                                                                                                                                                                                                                                                      ;Театр-77                                                                                                                                                                                                                                                      ;Ленинский просп., 77                                                                                                                                                                                                                                          ;2853,50875;2106,080733;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 132 88 00                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
148;Театр эмоциональной драмы                                                                                                                                                                                                                                     ;Театр эмоциональной драмы                                                                                                                                                                                                                                     ;Библиотечная, 23                                                                                                                                                                                                                                              ;11117,0751;8676,781807;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 678 52 96                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
149;Еврейский театр Zay Gezunt                                                                                                                                                                                                                                    ;Еврейский театр Zay Gezunt                                                                                                                                                                                                                                    ;М.Пироговская, 5                                                                                                                                                                                                                                              ;4722,893197;7097,638624;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 246 90 90                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
150;Русский балет                                                                                                                                                                                                                                                 ;Русский балет                                                                                                                                                                                                                                                 ;Волгоградский просп., 121                                                                                                                                                                                                                                     ;16902,25;4609,154762;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 379 43 24, 175 33 39 (касса)                                                                                                                                                                                                                            ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
151;Я сам артист                                                                                                                                                                                                                                                  ;Я сам артист                                                                                                                                                                                                                                                  ;Севастопольский просп., 5, корп. 3                                                                                                                                                                                                                            ;7216,709553;2688,852399;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 123 03 11                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
152;Театр-группа «Поиск предмета»                                                                                                                                                                                                                                 ;Театр-группа «Поиск предмета»                                                                                                                                                                                                                                 ;Смоленская-Сенная пл., 27/29, стр. 7                                                                                                                                                                                                                          ;5228,585025;8662,386467;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 906 719 21 70                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
153;Польский театр п/р Евгения Лавренчука                                                                                                                                                                                                                         ;Польский театр п/р Евгения Лавренчука                                                                                                                                                                                                                         ;Стромынка, 6                                                                                                                                                                                                                                                  ;11858,11125;13846,3956;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 268 00 71                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
154;Прямой эфир                                                                                                                                                                                                                                                   ;Прямой эфир                                                                                                                                                                                                                                                   ;Александра Солженицына, 9а                                                                                                                                                                                                                                    ;9943,473859;8473,655277;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8 915 491 64 26, 8 926 111 46 01                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
155;Театр юных москвичей                                                                                                                                                                                                                                          ;Театр юных москвичей                                                                                                                                                                                                                                          ;Косыгина, 17                                                                                                                                                                                                                                                  ;3725,262235;3989,858374;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 939 88 59                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
156;Театральная студия «Арт-стиль»                                                                                                                                                                                                                                ;Театральная студия «Арт-стиль»                                                                                                                                                                                                                                ;Библиотечная, 23                                                                                                                                                                                                                                              ;11117,0751;8676,781807;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 784 30 80                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
157;Ибрус                                                                                                                                                                                                                                                         ;Ибрус                                                                                                                                                                                                                                                         ;Дружинниковская, 15, стр. 1, Киноцентр на Красной Пресне                                                                                                                                                                                                      ;4814,981792;10320,30109;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 255 94 98, 255 90 60                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
158;Студенческий театр ИСИ                                                                                                                                                                                                                                        ;Студенческий театр ИСИ                                                                                                                                                                                                                                        ;Новозаводская, 27а                                                                                                                                                                                                                                            ;-12,7072;9276,516575;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 749 83 80, 749 83 80                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
