0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Электронная почта
66;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Л.Н.Власенко»                                                                                                           ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Л.Н.Власенко»                                                                                                                                                                                              ;105187, г.Москва, Измайловское ш., д.57                                                                                                                                                                                                                       ;15143,526;12732,81929;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Соколиная Гора                                                                                                                                                                                                                                                ;105187, г.Москва, Измайловское ш., д.57                                                                                                                                                                                                                       ;(495) 365-36-30                                                                                                                                                                                                                                               ;(495) 365-36-30                                                                                                                                                                                                                                               ;dmsh-vlasenko.narod.ru                                                                                                                                                                                                                                        ;vlasenco@list.ru                                                                                                                                                                                                                                              
67;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №79»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №79»                                                                                                                                                                                                             ;111538, г.Москва, ул. Косинская, д.10а                                                                                                                                                                                                                        ;21163,09918;6394,889939;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Вешняки                                                                                                                                                                                                                                                       ;111538, г.Москва, ул. Косинская, д.10а                                                                                                                                                                                                                        ;(495) 375-00-30                                                                                                                                                                                                                                               ;(495) 375-00-30                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dms79_08@mail.ru                                                                                                                                                                                                                                              
68;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №99»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №99»                                                                                                                                                                                                             ;111401, г.Москва, ул. 1-я Владимирская, д.29 корп.1                                                                                                                                                                                                           ;17592,73628;9602,522664;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Перово                                                                                                                                                                                                                                                        ;111401, г.Москва, ул.1-я Владимирская, д.29 корп.1                                                                                                                                                                                                            ;(495) 672-8477                                                                                                                                                                                                                                                ;(495) 672-8477                                                                                                                                                                                                                                                ;dmsh99.narod.ru                                                                                                                                                                                                                                               ;dmsh99-dmsh99@rambler.ru                                                                                                                                                                                                                                      
69;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.И.Сафонова»                                                                                                           ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени В.И.Сафонова»                                                                                                                                                                                              ;105203, г.Москва, ул. Первомайская, д.128/9                                                                                                                                                                                                                   ;20358,6871;14116,80261;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Восточное Измайлово                                                                                                                                                                                                                                           ;105203, г.Москва, ул. Первомайская, д.128/9                                                                                                                                                                                                                   ;(495) 465-47-64                                                                                                                                                                                                                                               ;(495) 465-47-64                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;fonofas87@mail.ru                                                                                                                                                                                                                                             
74;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени П.И.Юргенсона»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени П.И.Юргенсона»                                                                                                                                                                                             ;107113, г.Москва, ул. Русаковская, д.23а                                                                                                                                                                                                                      ;11092,33018;13245,8412;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Сокольники                                                                                                                                                                                                                                                    ;107113, г.Москва, ул. Русаковская, д.23а                                                                                                                                                                                                                      ;(499) 264-06-38                                                                                                                                                                                                                                               ;(499) 264-06-29                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmshjurg@mail.ru                                                                                                                                                                                                                                              
75;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Йозефа Гайдна»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Йозефа Гайдна»                                                                                                                                                                                             ;111672, г.Москва, ул. Новокосинская, д.26                                                                                                                                                                                                                     ;22906,87376;8284,327604;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Новокосино                                                                                                                                                                                                                                                    ;111672, г.Москва, ул. Новокосинская, д.26                                                                                                                                                                                                                     ;(495) 702-77-21, (495) 700-03-02                                                                                                                                                                                                                              ;(495) 702-77-21                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;haydn.dmsh@mail.ru                                                                                                                                                                                                                                            
76;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Йозефа Гайдна»                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Йозефа Гайдна»                                                                                                                                                                                             ;111621, г.Москва, ул. Оренбургская, д.3а                                                                                                                                                                                                                      ;22583,21253;5364,986516;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Новокосино                                                                                                                                                                                                                                                    ;111672, г.Москва, ул. Новокосинская, д.26                                                                                                                                                                                                                     ;(495) 702-77-21, (495) 700-03-02                                                                                                                                                                                                                              ;(495) 702-77-21                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;haydn.dmsh@mail.ru                                                                                                                                                                                                                                            
77;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Ф.Гедике»                                                                                                             ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени А.Ф.Гедике»                                                                                                                                                                                                ;107370, г.Москва, ул. Бойцовая, д.14                                                                                                                                                                                                                          ;13904,7376;16160,84328;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Богородское                                                                                                                                                                                                                                                   ;107370, г.Москва, ул. Бойцовая, д.14 корп.7а                                                                                                                                                                                                                  ;(495) 160-07-13                                                                                                                                                                                                                                               ;(495) 160-76-40, (495) 160-30-03                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;dmshgedike@mail.ru                                                                                                                                                                                                                                            
78;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №59»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №59»                                                                                                                                                                                                             ;105173, г.Москва, ул. Западная, д.7                                                                                                                                                                                                                           ;23124,00008;16501,80429;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Поселок Восточный                                                                                                                                                                                                                                             ;105173, г.Москва, ул. Западная, д.7                                                                                                                                                                                                                           ;(499) 780-95-64                                                                                                                                                                                                                                               ;(499) 780-95-64                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;info@muzkult.ru                                                                                                                                                                                                                                               
79;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Д.Д.Шостаковича»                                                                                                        ;ГБОУ ДОД г.Москвы «Детская музыкальная школа имени Д.Д.Шостаковича»                                                                                                                                                                                           ;111402, г.Москва, аллея Жемчуговой, д.1б                                                                                                                                                                                                                      ;19996,35;7397,065278;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Вешняки                                                                                                                                                                                                                                                       ;111402, г.Москвы, Аллея Жемчуговой, д.1б                                                                                                                                                                                                                      ;(495) 375-10-40, (495) 375-09-07                                                                                                                                                                                                                              ;(495) 375-13-60                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;dmshddsh@mail.ru                                                                                                                                                                                                                                              
80;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №68 Р.К.Щедрина»                                                                                                              ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №68 Р.К.Щедрина»                                                                                                                                                                                                 ;105122, г.Москва, Сиреневый б-р, д.4                                                                                                                                                                                                                          ;16430,73924;14960,18666;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Северное Измайлово                                                                                                                                                                                                                                            ;105122, г.Москва, Сиреневый б-р, д.4                                                                                                                                                                                                                          ;(499) 164-32-52                                                                                                                                                                                                                                               ;(499) 164-32-52                                                                                                                                                                                                                                               ;dmsh68.ucoz.ru                                                                                                                                                                                                                                                ;info@dmsh68.ru                                                                                                                                                                                                                                                
82;Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №82»                                                                                                                          ;ГБОУ ДОД г.Москвы «Детская музыкальная школа №82»                                                                                                                                                                                                             ;107241, г.Москва, Щелковское ш., д.29А                                                                                                                                                                                                                        ;17581,0875;16034,98422;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Восточный АО                                                                                                                                                                                                                                                  ;Гольяново                                                                                                                                                                                                                                                     ;107241, г.Москва, Щелковское ш., д.29 стр.А                                                                                                                                                                                                                   ;(495) 462-59-48, (495) 462-28-70                                                                                                                                                                                                                              ;(495) 462-28-70                                                                                                                                                                                                                                               ;dms82.ru                                                                                                                                                                                                                                                      ;2music@list.ru                                                                                                                                                                                                                                                
