0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Адрес электронной почты;1_Режим работы;0_moddate;0_moduser
63;Государственное казенное учреждение инженерная служба района Люблино                                                                                                                                                                                          ;ГКУ ИС района Люблино                                                                                                                                                                                                                                         ;г.Москва, пр-т 40 лет Октября, д.11                                                                                                                                                                                                                           ;15569,87582;1429,802739;0;                                                                                                                                                                                                                                                              ;проспект 40 лет Октября                                                                                                                                                                                                                                       ;11;                                                                                                                                                                                                                                                              ;(495)981-39-27                                                                                                                                                                                                                                                ;"l_guis.99@inbox.ru
                                                                                                                                                                                                                                           ";пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
64;Государственное казенное учреждение инженерная служба района Выхино                                                                                                                                                                                           ;ГКУ ИС района Выхино                                                                                                                                                                                                                                          ;г.Москва, ул.Ташкентская, д.21, корп.1                                                                                                                                                                                                                        ;19849,15003;3838,224317;0;                                                                                                                                                                                                                                                              ;Ташкентская                                                                                                                                                                                                                                                   ;21;1;(495) 377-82-92                                                                                                                                                                                                                                               ;gu_isvixino@mail.ru                                                                                                                                                                                                                                           ;пн.-пт. 09.00-20.00, без перерывов, сб. 09.00-17.00,  вс.-выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
65;Государственное казенное учреждение инженерная служба района Жулебино                                                                                                                                                                                         ;ГКУ ИС района Жулебино                                                                                                                                                                                                                                        ;ул. Маршала Полубоярова, дом 14                                                                                                                                                                                                                               ;22911,89704;2148,049352;0;                                                                                                                                                                                                                                                              ;Маршала Полубоярова                                                                                                                                                                                                                                           ;14;                                                                                                                                                                                                                                                              ;(495)705-04-75                                                                                                                                                                                                                                                ;guis-julebino@mail.ru                                                                                                                                                                                                                                         ;вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
66;Государственное казенное учреждение инженерная служба района Капотня                                                                                                                                                                                          ;ГКУ Ис района Капотня                                                                                                                                                                                                                                         ;г.Москва, Капотня, 2-й кв-л, д.4                                                                                                                                                                                                                              ;18862,4113;-2960,74432;0;                                                                                                                                                                                                                                                              ;2-й квартал Капотня                                                                                                                                                                                                                                           ;4;                                                                                                                                                                                                                                                              ;kap_blag@mail.ru                                                                                                                                                                                                                                              ;(495)355-75-92                                                                                                                                                                                                                                                ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
67;Государственное казенное учреждение инженерная служба района Кузьминки                                                                                                                                                                                        ;ГКУ ИС района Кузьминки                                                                                                                                                                                                                                       ;г.Москва, ул.Юных Ленинцев, д.47, корп.3                                                                                                                                                                                                                      ;16259,60672;3986,254203;0;                                                                                                                                                                                                                                                              ;Юных Ленинцев                                                                                                                                                                                                                                                 ;47;3;(495)379-86-36                                                                                                                                                                                                                                                ;kuz_guis@mail.ru                                                                                                                                                                                                                                              ;пн.-пт. 08.00-20.00, без перерыва, сб. 08.00-16.00, вс.-выходной                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    
68;Государственное казенное учреждение инженерная служба района Текстильщики                                                                                                                                                                                     ;ГКУ ИС района Текстильщики                                                                                                                                                                                                                                    ;улица 8-я Текстильщиков, дом 7-В                                                                                                                                                                                                                              ;15387,60848;4273,29145;0;                                                                                                                                                                                                                                                              ;улица 8-я Текстильщиков                                                                                                                                                                                                                                       ;7-В                                                                                                                                                                                                                                                           ;                                                                                                                                                                                                                                                              ;(499)178-18-78                                                                                                                                                                                                                                                ;"gu_istektil@mail.ru
                                                                                                                                                                                                                                          ";пн.-пт. 09.00-20.00, без перерыва, сб. 09.00-17.00,  вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
69;Государственное казенное учреждение инженерная служба района Марьино                                                                                                                                                                                          ;ГКУ ИС района Марьино                                                                                                                                                                                                                                         ;Новочеркасский бульвар, дом 57                                                                                                                                                                                                                                ;15198,072;-1893,906633;0;                                                                                                                                                                                                                                                              ;Новочеркасский бульвар                                                                                                                                                                                                                                        ;57;                                                                                                                                                                                                                                                              ;(495)349-72-31                                                                                                                                                                                                                                                ;uc_marino@mail.ru                                                                                                                                                                                                                                             ;вт.-пт. 08.00-20.00, без перерыва, сб. 09.00-15.45,  вс,пн.-выходной                                                                                                                                                                                          ;12:00:00 AM;                                                                                                    
70;Государственное казенное учреждение инженерная служба района Южнопортовый                                                                                                                                                                                     ;ГКУ ИС района Южнопортовый                                                                                                                                                                                                                                    ;улица Шарикоподшипниковская, дом 24                                                                                                                                                                                                                           ;11122,48125;5655,255144;0;                                                                                                                                                                                                                                                              ;улица Шарикоподшипниковская                                                                                                                                                                                                                                   ;24;                                                                                                                                                                                                                                                              ;(495)675-06-00                                                                                                                                                                                                                                                ;GUISW@yandex.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, без перерывов, сб. 08.00-15.00, вс.-выходной                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
71;Государственное казенное учреждение инженерная служба района Хорошево-Мневники                                                                                                                                                                                ;ГКУ ИС района Хорошево-Мневники                                                                                                                                                                                                                               ;проспект Маршала Жукова, дом 22, корпус 4                                                                                                                                                                                                                     ;-883,5357787;12286,64178;0;                                                                                                                                                                                                                                                              ;проспект Маршала Жукова                                                                                                                                                                                                                                       ;22;4;8(499)728-38-30                                                                                                                                                                                                                                               ;ackulova@szao.asueirc.ru                                                                                                                                                                                                                                      ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
72;Государственное казенное учреждение инженерная служба района Щукино                                                                                                                                                                                           ;ГКУ ИС района Щукино                                                                                                                                                                                                                                          ;ул.Маршала Соколовского, д.2                                                                                                                                                                                                                                  ;-341,7912;14377,64523;0;                                                                                                                                                                                                                                                              ;ул. Маршала Соколовского                                                                                                                                                                                                                                      ;2;                                                                                                                                                                                                                                                              ;8(499)194-05-10                                                                                                                                                                                                                                               ;kpy_shukino@szao.asueirc.ru                                                                                                                                                                                                                                   ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;12:00:00 AM;                                                                                                    
114;Государственное казенное учреждение инженерная служба Даниловского района                                                                                                                                                                                     ;ГКУ ИС Даниловского района                                                                                                                                                                                                                                    ;г.Москва, 3-й Павловский пер. д.10                                                                                                                                                                                                                            ;8255,598081;5765,782611;0;                                                                                                                                                                                                                                                              ;Павловский                                                                                                                                                                                                                                                    ;10;                                                                                                                                                                                                                                                              ;958 17 93                                                                                                                                                                                                                                                     ;eirc254@rambler.ru                                                                                                                                                                                                                                            ;пн.-пт. 08.00-20.00, сб. 08.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
117;Государственное казенное учреждение инженерная служба района Бирюлёво Восточное                                                                                                                                                                               ;ГКУ ИС района Бирюлёво Восточное                                                                                                                                                                                                                              ;г.Москва, ул.Липецкая д.17 к.1                                                                                                                                                                                                                                ;11826,7874;-9659,513182;0;                                                                                                                                                                                                                                                              ;Липецкая                                                                                                                                                                                                                                                      ;17;1;(495)328-94-44                                                                                                                                                                                                                                                ;b.vostochnoe@yandex.ru                                                                                                                                                                                                                                        ;пн.-пт. 09.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
118;Государственное казенное учреждение инженерная служба района Бирюлево Западное                                                                                                                                                                                ;ГКУ ИС района Бирюлево Западное                                                                                                                                                                                                                               ;г.Москва, ул.Медынская д.1 к.2                                                                                                                                                                                                                                ;9555,736562;-9491,493636;0;                                                                                                                                                                                                                                                              ;Медынская                                                                                                                                                                                                                                                     ;1;2;(495) 383-22-29                                                                                                                                                                                                                                               ;guis-bz@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
119;Государственное казенное учреждение инженерная служба района Нагатинский затон                                                                                                                                                                                ;ГКУ ИС района Нагатинский затон                                                                                                                                                                                                                               ;г.Москва, ул.Судостроительная, д.49, корп.3                                                                                                                                                                                                                   ;12080,25588;2348,565403;0;                                                                                                                                                                                                                                                              ;Судостроительная                                                                                                                                                                                                                                              ;49;3;(499) 617-21-11                                                                                                                                                                                                                                               ;guic-nz@yandex.ru                                                                                                                                                                                                                                             ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
73;Государственное казенное учреждение инженерная служба района Строгино                                                                                                                                                                                         ;ГКУ ИС района Строгино                                                                                                                                                                                                                                        ;ул. Маршала Катукова, д.9, корп.3                                                                                                                                                                                                                             ;-5872,297704;16127,26575;0;                                                                                                                                                                                                                                                              ;ул. Маршала Катукова                                                                                                                                                                                                                                          ;9;корп.3                                                                                                                                                                                                                                                        ;8(495)757-51-46                                                                                                                                                                                                                                               ;gkuis.strogino@mail.ru                                                                                                                                                                                                                                        ;пн.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    
74;Государственное казенное учреждение инженерная служба района Северное Тушино                                                                                                                                                                                  ;ГКУ ИС района Северное Тушино                                                                                                                                                                                                                                 ;ул.Героев Панфиловцев, д.3, стр.1                                                                                                                                                                                                                             ;-3836,996532;20816,30712;0;                                                                                                                                                                                                                                                              ;ул.Героев Панфиловцев                                                                                                                                                                                                                                         ;3;стр. 1                                                                                                                                                                                                                                                        ;8(495)496-33-89                                                                                                                                                                                                                                               ;guis.st@mail.ru                                                                                                                                                                                                                                               ;пн.-пт. 08.00-20.00 (перерыв 13.00-14.00) , сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                     ;12:00:00 AM;                                                                                                    
75;Государственное казенное учреждение инженерная служба района Покровское-Стрешнево                                                                                                                                                                             ;ГКУ ИС района Покровское-Стрешнево                                                                                                                                                                                                                            ;ул. Малая Набережная, д. 15, стр. 2                                                                                                                                                                                                                           ;-3065,398912;18623,48888;0;                                                                                                                                                                                                                                                              ;ул. Малая Набережная                                                                                                                                                                                                                                          ;15;стр.2                                                                                                                                                                                                                                                         ;8(495)490-61-88                                                                                                                                                                                                                                               ;guispokrovka@yandex.ru                                                                                                                                                                                                                                        ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;25.01.2013;opens\fedinaon                                                                                      
76;Государственное казенное учреждение инженерная служба района Южное Тушино                                                                                                                                                                                     ;ГКУ ИС района Южное Тушино                                                                                                                                                                                                                                    ;ул. Свободы, д.42                                                                                                                                                                                                                                             ;-2682,80155;19851,35325;0;                                                                                                                                                                                                                                                              ;ул. Свободы                                                                                                                                                                                                                                                   ;42;                                                                                                                                                                                                                                                              ;(499) 492-11-12                                                                                                                                                                                                                                               ;guis.tushino@yandex.ru                                                                                                                                                                                                                                        ;пн.-технический день, вт.-пт. 08.00-20.00, сб. 09.00-15.00, без перерыва, вс. - выходной                                                                                                                                                                      ;25.01.2013;opens\fedinaon                                                                                      
