0_Код;1_Название;1_Адрес;0_Признак закрытого ЛПУ;0_Полное наименование согласно документам;1_Краткое наименование;0_Причина закрытия;0_Дата закрытия;0_Дата повторного открытия после закрытия;1_Административный округ по территориальной принадлежности;0_Главное ЛПУ;1_Руководитель;0_Пол руководителя;1_Должность руководителя;1_Телефон руководителя;1_Общий телефон;0_факс;0_Часы работы;1_Рабочие дни;1_Выходные дни;0_Тип Выходного;0_Доп информация;0_X;0_Y
2066;Молочная кухня. Крекшино;поселок Крекшино, амбулатория , дом; ;Молочная кухня. Крекшино;Молочная кухня. Крекшино; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-24716,1491;-7578,238
2067;Щербинская больница. Молочная кухня;город Щербинка, Вокзальная улица, дом 8; ;Щербинская больница. Молочная кухня;Щербинская больница.; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;4315,6296;-17850,2328
2068;Амбулатория Мосрентген. Молочная кухня;поселок Мосрентген, амбулатория , дом; ;Амбулатория Мосрентген. Молочная кухня;Амбулатория Мосрентген; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-1609,249;-5897,7293
2069;Внуковская больница. Молочная кухня;деревня Абабурово, Маяковского улица, дом 1; ;Внуковская больница. Молочная кухня;Внуковская больница; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-14366,4452;-4037,8669
2070;Коммунарская больница. Молочная кухня;поселок Коммунарка, амбулатория , дом; ;Коммунарская больница. Молочная кухня;Коммунарская больница; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-948,1862;-11230,9968
2071;Молочная кухня;поселок Воскресенское,  , дом 28; ;Молочная кухня;Молочная кухня; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;26368,0949;18327,2236
2072;Марьинская амбулатория. Молочная кухня;поселок Марьино, амбулатория , дом; ;Марьинская амбулатория. Молочная кухня;Марьинская амбулатория; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;27974,5557;16348,5334
2073;Ватутинская амбулатория. Молочная кухня;поселок Ватутинки 1, амбулатория , дом; ;Ватутинская амбулатория. Молочная кухня;Ватутинская амбулатория; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-5897,5889;-13565,2379
2074;Больница Кузнечики. Молочная кухня. Ерино;поселок Знамя Труда,  , дом 5а; ;Больница Кузнечики. Молочная кухня. Ерино;Больница Кузнечики. Молочная кухня. Ерино; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-1542,1675;-24385,0409
2075;Больница Кузнечики. Молочная кухня. Фабрика 1 мая;поселок Ерино,  , дом 1а; ;Больница Кузнечики. Молочная кухня. Фабрика 1 мая;Больница Кузнечики. Молочная кухня. Фабрика 1 мая; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;3162,7824;-24187,5992
2076;Больница Кузнечики. Молочная кухня. Остафьево;поселок Фабрика 1 мая,  , дом 6; ;Больница Кузнечики. Молочная кухня. Остафьево;Больница Кузнечики. Молочная кухня. Остафьево; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;114,7763;-19898,6948
2077;Больница Кузнечики. Молочная кухня. Шишкин Лес;поселок Остафьево,  , дом , корпус 29; ;Больница Кузнечики. Молочная кухня. Шишкин Лес;Больница Кузнечики. Молочная кухня. Шишкин Лес; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-890,6424;-18397,1813
2078;Молочная кухня. Щапово;поселок Шишкин Лес,  , дом , корпус 32; ;Молочная кухня. Щапово;Молочная кухня. Щапово; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-25073,6074;-20040,2471
2079;Молочная кухня. Красная Пахра;поселок Щапово, амбулатория , дом 49; ;Молочная кухня. Красная Пахра;Молочная кухня. Красная Пахра; ;;;ТНАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;344,2234;-24670,3377
2015;Детская городская поликлиника № 76 Молочная кухня;город Москва, Черепановых проезд, дом 44; ;Детская городская поликлиника № 76 Молочная кухня;ДГП № 76 Молочная кухня; ;;; ; ;Золотова Валентина Григорьевна;женский;Главный врач;(499) 154-31-98;(499) 154-31-98;(495) 154-53-35;00.00-00.00;пн-пт;сб/вс;выходной; ;2197,6751;19545,3888
404;Детская городская поликлиника № 37 Молочная кухня;город Москва, Флотская улица, дом 44; ;Детская городская поликлиника № 37 Молочная кухня;ДГП № 37 Молочная кухня; ;;;САО; ;Розыева Айна Отсутствует;женский;Главный врач;(495) 458-14-39;(495) 458-14-39;(495) 455-88-66;00.00-00.00;пн-пт;сб/вс;выходной; ;82,3432;20714,0297
413;Детская городская поликлиника № 87 Молочная кухня;город Москва, Петрозаводская улица, дом 9, корпус 2; ;Детская городская поликлиника № 87 Молочная кухня;ДГП № 87 Молочная кухня; ;;;САО; ;Шуйдина Ольга Николаевна;женский;Главный врач;(499) 457-81-28;(499) 457-81-28;(495) 451-45-68;00.00-00.00;пн-пт;сб/вс;выходной; ;-222,9417;22051,3043
2016;Детская городская поликлиника № 77 Молочная кухня;город Москва, Бескудниковский бульвар, дом 19, корпус 1; ;Детская городская поликлиника № 77 Молочная кухня;ДГП № 77 Молочная кухня; ;;; ; ;Кузеванова Галина Константиновна;женский;Главный врач;(495) 488-14-85;(495) 488-14-85;(499) 489-03-65;00.00-00.00;пн-пт;сб/вс;выходной; ;3638,6077;22116,244
400;Детская городская поликлиника № 133 Молочная кухня;город Москва, Ленинградское шоссе, дом 122; ;Детская городская поликлиника № 133 Молочная кухня;ДГП № 133 Молочная кухня; ;;;САО; ;Семина Нина Михайловна;женский;Главный врач;(495) 450-67-77;(495) 450-67-77;(495) 457-32-71;00.00-00.00;пн-пт;сб/вс;выходной; ;-2198,1517;22372,0519
411;Детская городская поликлиника № 79 Молочная кухня;город Москва, Коровинское шоссе, дом 20, корпус 1; ;Детская городская поликлиника № 79 Молочная кухня;ДГП № 79 Молочная кухня; ;;;САО; ;Вдовина Елена Викторовна;женский;Главный врач;(495) 484-35-01;(495) 484-35-01;(495) 489-42-24;00.00-00.00;пн-пт;сб/вс;выходной; ;1528,7954;23666,5449
412;Детская городская поликлиника № 86 Молочная кухня;город Москва, Учинская улица, дом 3, корпус 1; ;Детская городская поликлиника № 86 Молочная кухня;ДГП № 86 Молочная кухня; ;;;САО; ;Уханова Галина Юрьевна;женский;Главный врач;(495) 486-57-52;(495) 486-57-52;(495) 486-57-52;00.00-00.00;пн-пт;сб/вс;выходной; ;2377,1233;24079,0652
408;Детская городская поликлиника № 68 Молочная кухня;город Москва, Дубнинская улица, дом 40, корпус 3; ;Детская городская поликлиника № 68 Молочная кухня;ДГП № 68 Молочная кухня; ;;;САО; ;Иванова Наталья Игоревна;женский;Главный врач;(495) 485-31-01;(495) 485-31-01;(495) 485-50-65;00.00-00.00;пн-пт;сб/вс;выходной; ;3985,455;24753,7036
360;ДГП № 54 Молочная кухня;город Москва, Зеленоград , дом , корпус 1410; ;Детская городская поликлиника № 54 Молочная кухня;ДГП № 54; ;;;ЗелАО; ;Агамалиева Лилия Фазиловна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-21938,589;35623,3833
2037;Детская городская поликлиника № 146 Молочная кухня;город Москва, Цимлянская , дом 22; ;Детская городская поликлиника № 146 Молочная кухня;ДГП № 146 Молочная кухня; ;;; ; ;Биркина Л. В.;женский;Главный врач;(495) 770-71-51;(495) 770-71-51;(495) 770-68-75;00.00-00.00;пн-пт;сб/вс;выходной; ;17083,8965;380,6895
322;ДГП № 57 Молочная кухня;город Москва, Лобачевского улица, дом 74; ;Детская городская поликлиника № 57 Молочная кухня;ДГП № 57; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-423,7032;897,6427
860;ДГП № 134. Молочная кухня;город Москва, Академика Пилюгина улица, дом 26, корпус 5; ;Детская городская поликлиника № 134. Молочная кухня;ДГП № 134; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;2170,585;791,8008
2062;Детская городская поликлиника № 123 Молочная кухня;город Москва, Коломенская улица, дом 23, корпус 2; ;Детская городская поликлиника № 123 Молочная кухня;ДГП № 123 Молочная кухня; ;;; ; ;Быкова Лидия Ивановна;женский;Главный врач;(495) 615-24-85;(495) 615-24-85;(499) 615-24-85;00.00-00.00;пн-пт;сб/вс;выходной; ;12215,3918;1086,792
326;ДГП № 88 Молочная кухня;город Москва, Очаковская Большая улица, дом 38а; ;Детская городская поликлиника№ 88 Молочная кухня;ДГП № 88; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-3139,8387;1287,8561
1024;ДГП № 151. Молочная кухня;город Москва, Брусилова улица, дом 17, корпус 1; ;Детская городская поликлиника № 151. Молочная кухня;ДГП № 151; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5384,6575;-18277,0764
862;ДГП № 149. Молочная кухня;город Москва, Бартеневская улица, дом 61; ;Детская городская поликлиника № 149. Молочная кухня;ДГП № 149; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1118,0942;-13552,5403
861;ДГП № 138. Молочная кухня;город Москва, Виневская улица, дом 3а; ;Детская городская поликлиника № 138. Молочная кухня;ДГП № 138; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;2983,364;-13237,9249
2059;Детская городская поликлиника № 108 Молочная кухня;город Москва, Татищева улица, дом 15, корпус 1; ;Детская городская поликлиника № 108 Молочная кухня;ДГП № 108 Молочная кухня; ;;; ; ;Перфилова Елена Васильевна;женский;Главный врач;(495) 952-87-10;(495) 952-87-10;(405) 952-87-10;00.00-00.00;пн-пт;сб/вс;выходной; ;7442,36;5184,8507
323;ДГП № 64 Молочная кухня;город Москва, Гришина улица, дом 25; ;Детская городская поликлиника № 64 Молочная кухня;ДГП № 64; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-5281,8973;6507,2242
42;Детская городская поликлиника № 21 Молочная кухня;город Москва, Вешняковская улица, дом 12ж; ;Детская городская поликлиника № 21 Молочная кухня;ДГП № 21 Молочная кухня; ;;;ВАО; ;Лазарова Татьяна Тимофеевна;женский;Главный врач;(495) 375-30-40;(495) 375-30-40;(495) 375-67-70;00.00-00.00;пн-пт;сб/вс;выходной; ;20235,6907;7592,1578
402;Детская городская поликлиника № 19 Молочная кухня;город Москва, Б.Коптевский проезд, дом 14, корпус 4; ;Детская городская поликлиника № 19 Молочная кухня;ДГП № 19 Молочная кухня; ;;;САО; ;Куликова Тамара Васильевна;женский;Главный врач;(499) 152-22-14;(499) 152-22-14;(499) 152-01-79;00.00-00.00;пн-пт;сб/вс;выходной; ;2555,9633;15953,3513
48;Детская городская поликлиника № 65 Молочная кухня;город Москва, Маршала Рокоссовского бульвар, дом 30; ;Детская городская поликлиника № 65 Молочная кухня;ДГП № 65 Молочная кухня; ;;;ВАО; ;Гаврикова Ольга Вениаминовна;женский;Главный врач;(495) 160-32-11;(495) 160-32-11;(499) 781-40-31;00.00-00.00;пн-пт;сб/вс;выходной; ;13716,2916;16670,5892
2014;Детская городская поликлиника № 45 Молочная кухня;город Москва, Клары Цеткин улица, дом 11, корпус 2; ;Детская городская поликлиника № 45 Молочная кухня;ДГП № 45 Молочная кухня; ;;; ; ;Кадочников Иван Сергеевич;мужской;Главный врач;(495) 450-67-77;(495) 450-67-77;(499) 159-66-10;00.00-00.00;пн-пт;сб/вс;выходной; ;1138,9261;16953,4939
6;Городская больница № 9 Молочная кухня;город Москва, Западная улица, дом 2; ;Городская больница № 9 Молочная кухня;ГБ № 9 Молочная кухня; ;;;ВАО; ;Дрошнев Вячеслав Михайлович;мужской;Главный врач;(495) 780-51-17;(495) 780-51-17;(495) 780-51-17;00.00-00.00;пн-пт;сб/вс;выходной; ;22554,5138;16904,2741
44;Детская городская поликлиника № 29 Молочная кухня;город Москва, Амурская улица, дом 62а; ;Детская городская поликлиника № 29 Молочная кухня;ДГП № 29 Молочная кухня; ;;;ВАО; ;Кулага Наталья Николаевна;женский;Главный врач;(495) 462-06-96;(495) 462-06-96;(495) 462-05-39;00.00-00.00;пн-пт;сб/вс;выходной; ;18348,9674;16211,1446
47;Детская городская поликлиника № 60 Молочная кухня;город Москва, Байкальская улица, дом 39; ;Детская городская поликлиника № 60 Молочная кухня;ДГП № 60 Молочная кухня; ;;;ВАО; ;Почуева Светлана Сергеевна;женский;Главный врач;(495) 466-28-55;(495) 466-28-55;(495) 467-14-01;00.00-00.00;пн-пт;сб/вс;выходной; ;19887,0501;16826,0699
859;ДГП № 118. Молочная кухня;город Москва, Коктебельская улица, дом 4а; ;Детская городская поликлиника № 118. Молочная кухня;ДГП № 118; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5427,3767;-11265,6573
844;ГП № 221. Молочная кухня;город Москва, Ратная улица, дом 8а; ;Городская поликлиника № 221. Молочная кухня;ГП № 221; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5353,9309;-10402,0668
2060;Детская городская поликлиника № 116 Молочная кухня;город Москва, Михневский проезд, дом 4; ;Детская городская поликлиника № 116 Молочная кухня;ДГП № 116 Молочная кухня; ;;; ; ;Устабасиди Ольга Ивановна;женский;Главный врач;(495) 385-39-54;(495) 385-39-54;(495) 385-39-04;00.00-00.00;пн-пт;сб/вс;выходной; ;10678,9097;-9931,3498
2045;Детская городская поликлиника № 3 Молочная кухня;город Москва, Харьковская улица, дом 3, корпус 1; ;Детская городская поликлиника № 3 Молочная кухня;ДГП № 3 Молочная кухня; ;;; ; ;Кучерова Виктория Николаевна;женский;Главный врач;(495) 383-14-47;(495) 383-14-47;(495) 385-06-98;00.00-00.00;пн-пт;сб/вс;выходной; ;9569,3212;-8979,6327
2055;Детская городская поликлиника № 92 Молочная кухня;город Москва, Чертановская улица, дом 51, корпус 1; ;Детская городская поликлиника № 92 Молочная кухня;ДГП № 92 Молочная кухня; ;;; ; ;Жигаев Иван Николаевич;мужской;Главный врач;(495) 387-21-94;(495) 387-21-94;(495) 387-21-94;00.00-00.00;пн-пт;сб/вс;выходной; ;5816,3894;-7123,4934
2058;Детская городская поликлиника № 107 Молочная кухня;город Москва, Генерала Белова улица, дом 57; ;Детская городская поликлиника № 107 Молочная кухня;ДГП № 107 Молочная кухня; ;;; ; ;Тахтаганова Галина Александровна;женский;Главный врач;(495) 399-50-69;(495) 399-50-69;(495) 399-50-71;00.00-00.00;пн-пт;сб/вс;выходной; ;14438,6854;-7078,42
2056;Детская городская поликлиника № 98 Молочная кухня;город Москва, Подольских курсантов улица, дом 4, корпус 1; ;Детская городская поликлиника № 98 Молочная кухня;ДГП № 98 Молочная кухня; ;;; ; ;Титова Алла Анатольевна;женский;Главный врач;(495) 382-83-01;(495) 382-83-01;(493) 382-83-01;00.00-00.00;пн-пт;сб/вс;выходной; ;7177,0858;-6492,6721
713;ДГП № 129 Молочная кухня;город Москва, Красного Маяка улица, дом 6; ;Детская городская поликлиника № 129 Молочная кухня;ДГП № 129; ;;;ЮАО; ;Савинов Игорь Евгеньевич;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;6234,8184;-6070,1021
319;ДГП № 47 Молочная кухня;город Москва, Нежинская улица, дом 13, корпус 1; ;Детская городская поликлиника № 47 Молочная кухня;ДГП № 47; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-1682,1166;4335,4127
2028;Детская городская поликлиника № 101 Молочная кухня;город Москва, Крутицкий Вал улица, дом 3; ;Детская городская поликлиника № 101 Молочная кухня;ДГП № 101 Молочная кухня; ;;; ; ;Золотавин С. В.;мужской;Главный врач;(495) 676-11-02;(495) 676-11-02;(495) 676-11-02;00.00-00.00;пн-пт;сб/вс;выходной; ;10463,1381;6981,6756
401;Детская городская поликлиника № 15 Молочная кухня;город Москва, Тимирязевская улица, дом 6; ;Детская городская поликлиника № 15 Молочная кухня;ДГП № 15 Молочная кухня; ;;;САО; ;Панина Варвара Митрофановна;женский;Главный врач;(495) 611-58-38;(495) 611-58-38;(495) 976-97-55;00.00-00.00;пн-пт;сб/вс;выходной; ;4503,5276;15923,0673
2053;Детская городская поликлиника № 82 Молочная кухня;город Москва, Кавказский бульвар, дом 41, корпус 1; ;Детская городская поликлиника № 82 Молочная кухня;ДГП № 82 Молочная кухня; ;;; ; ;Паюсова Наталья Николаевна;женский;Главный врач;(495) 325-00-66;(495) 325-00-66;(495) 327-03-15;00.00-00.00;пн-пт;сб/вс;выходной; ;9637,8383;-4388,4696
841;Городская поликлиника № 205. Молочная кухня;город Москва, Профсоюзная улица, дом 111а; ;Городская поликлиника № 205. Молочная кухня;ГП № 205; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1529,0537;-3936,4403
715;ДГП № 2 Молочная кухня;город Москва, Северное Чертаново район, дом , корпус 805; ;Городская поликлиника № 2 Молочная кухня;ДГП № 2; ;;;ЮАО; ;Захаров Виталий Владиславович;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5971,9075;-3755,4728
712;ДГП № 127 Молочная кухня;город Москва, Братеевская улица, дом 16, корпус 3; ;Детская городская поликлиника № 127 Молочная кухня;ДГП № 127; ;;;ЮАО; ;Минюшин Алексей Юрьевич;мужской;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;16912,979;-3711,6347
714;ДГП № 145 Молочная кухня;город Москва, Борисовские Пруды улица, дом 10, корпус 3; ;Детская городская поликлиника № 145 Молочная кухня;ДГП № 145; ;;;ЮАО; ;Глотова Надежда Дмитриевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;15279,5645;-3606,131
317;ДГП № 144. Молочная кухня;город Москва, Скульптора Мухиной улица, дом 14, корпус 1; ;Детская городская поликлиника № 144. Молочная кухня;ДГП № 144; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-10036,772;-3065,6147
2041;Городская больница № 49 детское отделение Молочная кухня;город Москва, Капотня  3-й квартал улица, дом 27; ;Городская больница № 49 детское отделение Молочная кухня;ГБ № 49  детское отделение Молочная кухня; ;;; ; ;Леков Р. М.;мужской;Главный врач;(495) 355-15-47;(495) 355-15-47;(495) 355-36-38;00.00-00.00;пн-пт;сб/вс;выходной; ;19187,6181;-3254,5729
316;ДГП № 132. Молочная кухня;город Москва, Новопеределкинская улица, дом 11; ;Детская городская поликлиника № 132. Молочная кухня;ДГП № 132; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-8426,2356;-2931,0537
537;ГП № 151. Молочная кухня;город Москва, Ленинский проспект, дом 135, корпус 2; ;Городская поликлиника № 151. Молочная кухня;ГП № 151; ;;;СЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-1303,8484;-2764,6493
2049;Детская городская поликлиника № 23 Молочная кухня;город Москва, Кошкина улица, дом 10, корпус 1; ;Детская городская поликлиника № 23 Молочная кухня;ДГП № 23 Молочная кухня; ;;; ; ;Ковалёва Елена Алексанровна;женский;Главный врач;(495) 320-46-84;(495) 320-46-84;(495) 320-45-22;00.00-00.00;пн-пт;сб/вс;выходной; ;10858,6408;-2946,5139
312;ДГП № 124 Молочная кухня;город Москва, Авиаторов улица, дом 16; ;Детская городская поликлиника № 124 Молочная кухня;ДГП № 124; ;;;ДЗ; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-6224,1333;-2406,7235
865;ДГП № 81. Молочная кухня;город Москва, Профсоюзная улица, дом 104/47; ;Детская городская поликлиника № 81. Молочная кухня;ДГП № 81; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1693,4416;-2601,7285
2034;Детская городская поликлиника № 136 Молочная кухня;город Москва, Батайский проезд, дом 55; ;Детская городская поликлиника № 136 Молочная кухня;ДГП № 136 Молочная кухня; ;;; ; ;Смоленцева Т. Л.;женский;Главный врач;(495) 348-21-92;(495) 348-21-92;(495) 348-21-92;00.00-00.00;пн-пт;сб/вс;выходной; ;15239,5214;-2554,088
2044;Детская городская поликлиника № 2 Молочная кухня;город Москва, Варшавское шоссе, дом 80; ;Детская городская поликлиника № 2 Молочная кухня;ДГП № 2 Молочная кухня; ;;; ; ;Бучнева Наталия Николаевна;женский;Главный врач;(495) 619-11-17;(495) 619-11-17;(499) 619-11-17;00.00-00.00;пн-пт;сб/вс;выходной; ;7593,3298;-1611,7391
2021;Городская поликлиника № 36 детское отделение. Молочная кухня;город Москва, Новомарьинская улица, дом 5; ;Городская поликлиника № 36 детское отделение. Молочная кухня;ГП № 36 детское отделение. Молочная кухня; ;;; ; ;Киреев С. А.;мужской;Главный врач;(495) 658-58-71;(495) 658-58-71;(495) 658-58-71;00.00-00.00;пн-пт;сб/вс;выходной; ;15762,1001;-1671,0692
867;ДГП № 62. Молочная кухня;город Москва, Азовская улица, дом 20, корпус 2; ;Детская городская поликлиника № 62. Молочная кухня;ДГП № 62; ;;;ЮЗАО; ;Курочкина Людмила Сергеевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;6207,6952;-1289,8535
311;ДГП № 119 Молочная кухня;город Москва, Вернадского проспект, дом 101, корпус 4; ;Детская городская поликлиника № 119 Молочная кухня;ДГП № 119; ;;;ЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;-561,4802;-314,0735
871;ДГП № 80. Молочная кухня;город Москва, Новаторов улица, дом 7; ;Детская городская поликлиника № 80. Молочная кухня;ДГП № 80; ;;;ЮЗАО; ;Отсутствует;женский;Отсутствует;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;1808,7724;-325,0354
866;ДГП № 69. Молочная кухня;город Москва, Нагорная улица, дом 38, корпус 1; ;Детская городская поликлиника № 69. Молочная кухня;ДГП № 69; ;;;ЮЗАО; ;Бондаренко Елена Юрьевна;женский;Главный врач;(000) 000-00-00;(000) 000-00-00;(000) 000-00-00;00.00-00.00;пн-пт;сб/вс;выходной; ;5967,2206;492,8152
