0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;1_Факс;1_Сайт;1_Адрес электронной почты
162;Музей русской иконы                                                                                                                                                                                                                                           ;Музей русской иконы                                                                                                                                                                                                                                           ;Гончарная ул., д.3, стр.1                                                                                                                                                                                                                                     ;9378,8124;8007,250624;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Таганский                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;www.russikona.ru                                                                                                                                                                                                                                              ;russikons@yandex.ru                                                                                                                                                                                                                                           
163;"Музей спорта ""Лужники"", ОАО                                                                                                                                                                                                                                   ";"Музей спорта ""Лужники"", ОАО                                                                                                                                                                                                                                   ";"Олимпийский комплекс ""Лужники"", частный,
Лужники , 24 (Большая спортивная арена).
                                                                                                                                                                            ";3490,884009;5423,117935;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Хамовники                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;(495) 780-0808, экс.бюро (495) 637-0061495-780-67-67: 495-780-67-75                                                                                                                                                                                           ;495-780-6768                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;museum@luzhniki.ru                                                                                                                                                                                                                                            
164;Фотогалерея им. братьев Люмьер                                                                                                                                                                                                                                ;Фотогалерея им. братьев Люмьер                                                                                                                                                                                                                                ;"Болотная наб., д.3, стр.1
Фабрика «Красный Октябрь»
                                                                                                                                                                                                          ";7024,711961;8109,135966;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Якиманка                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;8(499)230-38-68                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
165;Центр современной культуры «ГАРАЖ»                                                                                                                                                                                                                            ;Центр современной культуры «ГАРАЖ»                                                                                                                                                                                                                            ;Крымский вал ул., д.9, стр.45, Парк культуры им.Горького, пионерский пруд                                                                                                                                                                                     ;6466,35985;7336,243501;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Якиманка                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;(495)645-05-20(495)645-05-10                                                                                                                                                                                                                                  ;(495)645-05-11                                                                                                                                                                                                                                                ;www.garageccc.com                                                                                                                                                                                                                                             ;welcome@ garageccc.com                                                                                                                                                                                                                                        
166;Центр творческих индустрий (ЦТИ) «ПRОЕКТ_FАБRИКА»                                                                                                                                                                                                             ;Центр творческих индустрий (ЦТИ) «ПRОЕКТ_FАБRИКА»                                                                                                                                                                                                             ;Переведеновский пер., д.18                                                                                                                                                                                                                                    ;12011,88936;12554,10789;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ЦАО                                                                                                                                                                                                                                                           ;Басманный                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;(499) 265-3926                                                                                                                                                                                                                                                ;                                                                                                                                                                                                                                                              ;www.proektfabrika.ru                                                                                                                                                                                                                                          ;space@proektfabrika.ru                                                                                                                                                                                                                                        
167;Музей шахмат                                                                                                                                                                                                                                                  ;Музей шахмат                                                                                                                                                                                                                                                  ;Гоголевский бул., 14                                                                                                                                                                                                                                          ;6425,325909;9024,202699;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Хамовники                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;291-44-29                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              
168;Музей истории Тушинского машиностроительного завода, ведомств.                                                                                                                                                                                                ;Музей истории Тушинского машиностроительного завода, ведомств.                                                                                                                                                                                                ;ул. Свободы, 35.                                                                                                                                                                                                                                              ;-2867,549532;19396,46051;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;Южное Тушино                                                                                                                                                                                                                                                  ;                                                                                                                                                                                                                                                              ;(495) 493-3047+7 (495) 221-52-36, +7(499)493-50-53                                                                                                                                                                                                            ;"(495) 497-4825, (499) 497-53-51
                                                                                                                                                                                                                              ";                                                                                                                                                                                                                                                              ;recep@oao-tmz.ru                                                                                                                                                                                                                                              
169;Мемориальный дом-музей академика И.В.Курчатова                                                                                                                                                                                                                ;Мемориальный дом-музей академика И.В.Курчатова                                                                                                                                                                                                                ;Пл.Курчатова, д.1                                                                                                                                                                                                                                             ;-1465,43305;14841,23318;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;Щукино                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;ra@kiae.ru                                                                                                                                                                                                                                                    
170;Музей истории Российского химико-технологического университета им. Д.И.Менделеева                                                                                                                                                                             ;Музей истории Российского химико-технологического университета им. Д.И.Менделеева                                                                                                                                                                             ;ул.Героев панфиловцев, 20                                                                                                                                                                                                                                     ;-5177,8054;21312,09374;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;Северное Тушино                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;(495) 495-40-63 доб.50-408-903-747-85-59                                                                                                                                                                                                                      ;499-609-29-64                                                                                                                                                                                                                                                 ;                                                                                                                                                                                                                                                              ;mendel@muctr.ru                                                                                                                                                                                                                                               
171;"Музей ""Самоцветы""                                                                                                                                                                                                                                             ";"Музей ""Самоцветы""                                                                                                                                                                                                                                             ";ул. Народного ополчения, 29, корп.1                                                                                                                                                                                                                           ;-1159,135932;12753,43872;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СЗАО                                                                                                                                                                                                                                                          ;Хорошово-Мневники                                                                                                                                                                                                                                             ;                                                                                                                                                                                                                                                              ;(499) 197-54-01, 192-40-19                                                                                                                                                                                                                                    ;                                                                                                                                                                                                                                                              ;www.gemmuseum.ru                                                                                                                                                                                                                                              ;gemmuseum@mail.ru                                                                                                                                                                                                                                             
172;Музей истории Московского государственного университета путей сообщения                                                                                                                                                                                       ;Музей истории Московского государственного университета путей сообщения                                                                                                                                                                                       ;Лазоревый пр-д, д.12                                                                                                                                                                                                                                          ;8400,694948;20391,02364;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Свиблово                                                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;muzey-mchs@yandex.ru                                                                                                                                                                                                                                          
173;Главный Ботанический сад им.Н.В.Цицина РАН                                                                                                                                                                                                                    ;Главный Ботанический сад им.Н.В.Цицина РАН                                                                                                                                                                                                                    ;Ул.Ботаническая, д.4                                                                                                                                                                                                                                          ;6118,823849;18808,54622;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Марфино                                                                                                                                                                                                                                                       ;                                                                                                                                                                                                                                                              ;(495)977-91-45219-53-68(495)977-90-44 977-80-27                                                                                                                                                                                                               ;(495)977-91-72                                                                                                                                                                                                                                                ;www.hortus.ru                                                                                                                                                                                                                                                 ;lander@aha.ru                                                                                                                                                                                                                                                 
174;"Музей занимательных наук ""Экспериментаниум""                                                                                                                                                                                                                   ";"Музей занимательных наук ""Экспериментаниум""                                                                                                                                                                                                                   ";ул. Бутырская, 46/2                                                                                                                                                                                                                                           ;5407,10025;14778,12606;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;СВАО                                                                                                                                                                                                                                                          ;Бутырский                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;(495) 789-36-58, (910) 476-50-82                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;www.experimentanium.ru                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                              
