1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Административный округ;1_Район;1_Юридический адрес;1_Телефон;0_fax;0_site;0_email
145;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Дом культуры «Солнцево»                                                                                                                                                          ;Дом культуры «Солнцево»                                                                                                                                                                                                                                       ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;-6516,9475;-1826,545631;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
146;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Дельта»                                                                                                                                                                    ;Клуб «Дельта»                                                                                                                                                                                                                                                 ;119620, г.Москва, ул. Богданова, д.54                                                                                                                                                                                                                         ;-6637,48675;-2004,29729;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
147;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Орион»                                                                                                                                                                     ;Клуб «Орион»                                                                                                                                                                                                                                                  ;119618, г.Москва, ул. Главмосстроя, д.9 корп.3                                                                                                                                                                                                                ;-5815,66265;-1247,446188;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
148;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Орион»                                                                                                                                                                     ;Клуб «Орион»                                                                                                                                                                                                                                                  ;119618, г.Москва, ул. Главмосстроя, д.9                                                                                                                                                                                                                       ;-5815,66265;-1247,446188;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
149;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Вернисаж»                                                                                                                                                                  ;Клуб «Вернисаж»                                                                                                                                                                                                                                               ;119620, г.Москва, Солнцевский пр-т, д.17/1                                                                                                                                                                                                                    ;-5617,09455;-2103,205172;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
150;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Сатурн»                                                                                                                                                                    ;Клуб «Сатурн»                                                                                                                                                                                                                                                 ;119620, г.Москва, ул. Авиаторов, д.16 корп.1                                                                                                                                                                                                                  ;-6192,805809;-2351,254503;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
151;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Хозяюшка»                                                                                                                                                                  ;Клуб «Хозяюшка»                                                                                                                                                                                                                                               ;119619, г.Москва, Боровский пр-д, д.10                                                                                                                                                                                                                        ;-6885,791371;-1355,272555;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
152;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Солнечный»                                                                                                                                                                 ;Клуб «Солнечный»                                                                                                                                                                                                                                              ;119619, г.Москва, ул. Производственная, д.7                                                                                                                                                                                                                   ;-7133,2971;-1981,057539;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
153;Государственное бюджетное учреждение культуры города Москвы «ТКС «Солнцево». Клуб «Аккорд»                                                                                                                                                                    ;Клуб «Аккорд»                                                                                                                                                                                                                                                 ;119620, г.Москва, Солнцевский пр-т, д.5                                                                                                                                                                                                                       ;-6285,744409;-1739,703837;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Солнцево                                                                                                                                                                                                                                                      ;119620, г.Москва, ул. Богданова, д.50                                                                                                                                                                                                                         ;(495) 934-20-00, (495) 439-69-00                                                                                                                                                                                                                              ;(495) 934-20-00, (495) 439-02-00                                                                                                                                                                                                                              ;tks-solntsevo.ru                                                                                                                                                                                                                                              ;tks-sol@mail.ru                                                                                                                                                                                                                                               
154;Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Внуково»                                                                                                                                                                           ;ГБУК г.Москвы «Дом культуры «Внуково»                                                                                                                                                                                                                         ;119027, г.Москва, ул. Большая Внуковская, д.6                                                                                                                                                                                                                 ;-12804,64335;-5955,311817;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Внуково                                                                                                                                                                                                                                                       ;119027, г.Москва, ул. Большая Внуковская, д.6                                                                                                                                                                                                                 ;(495) 736-23-81                                                                                                                                                                                                                                               ;(495) 736-23-74                                                                                                                                                                                                                                               ;dkvnukovo.ru                                                                                                                                                                                                                                                  ;info@dkvnukovo.ru                                                                                                                                                                                                                                             
155;Государственное бюджетное учреждение культуры города Москвы «Клуб «Развитие»                                                                                                                                                                                  ;ГБУК г.Москвы «Клуб «Развитие»                                                                                                                                                                                                                                ;121351, г.Москва, ул. Боженко, д.14 корп.4                                                                                                                                                                                                                    ;-5691,2089;7324,919214;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Кунцево                                                                                                                                                                                                                                                       ;121351, г.Москва, ул. Боженко, д.14 корп.4                                                                                                                                                                                                                    ;(495) 417-45-53                                                                                                                                                                                                                                               ;(495) 417-42-28                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;nmczaouk@mail.ru                                                                                                                                                                                                                                              
156;Государственное бюджетное учреждение культуры города Москвы «Клуб «Развитие»                                                                                                                                                                                  ;ГБУК г.Москвы «Клуб «Развитие»                                                                                                                                                                                                                                ;121351, г.Москва, ул. Боженко, д.9                                                                                                                                                                                                                            ;-5845,743897;7272,004368;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Западный АО                                                                                                                                                                                                                                                   ;Кунцево                                                                                                                                                                                                                                                       ;121351, г.Москва, ул. Боженко, д.14 корп.4                                                                                                                                                                                                                    ;(495) 417-45-53                                                                                                                                                                                                                                               ;(495) 417-42-28                                                                                                                                                                                                                                               ;                                                                                                                                                                                                                                                              ;nmczaouk@mail.ru                                                                                                                                                                                                                                              
