№ строки	Название	Адрес	Административный округ	Район	Юридический адрес	Контактный телефон	Факс	Сайт	Адрес электронной почты
78	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №74»	115404, г.Москва, ул. Элеваторная, д.6 корп.4	Южный АО	Бирюлево Восточное	115404, г.Москва, ул. Элеваторная, д.6 корп.4	(495) 327-90-00, (495) 327-90-44	(495) 327-90-00	dmsh74.msk.muzkult.ru	dmsh@mail.ru
79	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Новикова»	115088, г.Москва, ул. Симоновский вал, д.12а	Южный АО	Даниловский	115088, г.Москва, ул. Симоновский вал, д.12а	(495) 674-56-97, (495) 674-56-92	(495) 674-56-97	сайт в разработке	irmazur@yandex.ru
80	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №42»	127287, г.Москва, Петровско-Разумовский пр-д., д.16 корп.2	Северный АО	Савеловский	127287, г.Москва, Петровско-Разумовский пр-д., д.16 корп.2	(495) 685-76-14	(495) 685-76-14	dmsh42.msk.muzkult.ru	detmuz42@mail.ru
81	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Д.Артоболевской»	127434, г.Москва, ул. Ивановская, д.14	Северный АО	Тимирязевский	127434, г.Москва, ул. Ивановская, д.14	(499) 977-16-29	(499) 977-16-29	uksao.ru	dmsh43@mail.ru
82	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.И.Хачатуряна»	125502, г.Москва, ул. Фестивальная, д.61б	Северный АО	Ховрино	125502, г.Москва, ул. Фестивальная, д.61б	(495) 455-77-44	(495) 455-77-76, (495) 455-77-44	dmsh46.narod.ru	dmsh46@mail.ru
83	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №62 Н.А.Петрова»	125080, г.Москва, Волоколамское ш., д.12/1	Северный АО	Сокол	125080, г.Москва, Волоколамское ш., д.12/1	(499) 158-14-16	(499) 158-14-16	uksao.ru	dmsh-62-petrov@mail.ru
84	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №98»	125413, г.Москва, Кронштадтский б-р, д.49а	Северный АО	Головинский	125413, г.Москва, Кронштадтский б-р, д.49а	(495) 454-04-36	(495) 454-04-36	uksao.ru	dmsh98@yandex.ru
85	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Г.Ф.Генделя»	125635, г.Москва, ул. Базовская, д.16	Северный АО	Западное Дегунино	125635, г.Москва, ул. Базовская, д.16	(499) 906-81-22, (499) 906-81-11	(499) 906-81-11	http://dmsh63.msk.muzkult.ru/	dmsh-hendel@yandex.ru
86	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкально-хоровая школа №106»	127411, г.Москва, ул. Долгопрудная, д.10а	Северный АО	Дмитровский	127411, г.Москва, ул. Долгопрудная, д.10а	(495) 485-25-73, (495) 485-25-74	(495) 485-25-71	uksao.ru	vdokhnovenie@bk.ru
87	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Г.В.Свиридова»	129336, г.Москва, ул. Стартовая, д.10	Северо-Восточный АО	Лосиноостровский	129336, г.Москва, ул. Стартовая, д.10	(495) 475-81-55, (495) 475-71-42, (495) 474-94-33	(495) 474-94-33	http://www.sviridovschoolmuseum.narod.ru/	sviridovschool@rambler.ru
88	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная (хоровая) школа «Весна»	129642, г.Москва, пр-д Дежнева, д.3	Северо-Восточный АО	Южное Медведково	127254, г.Москва, ул. Руставели, д.3/12 стр.2	(495) 186-73-31, (495) 186-73-35	(495) 186-73-35	http://www.vesna-choir.ru	vesna@nline.ru
89	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №66»	127254, г.Москва, ул. Гончарова, д.15а	Северо-Восточный АО	Бутырский	127254, г.Москва, ул. Руставели, д.13/12 корп.2	(495) 619-59-54, (495) 619-20-35	(495) 619-59-54	dmsh66.msk.muzkult.ru	4745707@list.ru
90	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Я.В.Флиера»	123098, г.Москва, ул. Маршала Новикова, д.16	Северо-Западный АО	Щукино	123098, г.Москва, ул. Маршала Новикова, д.16	(499) 193-44-48	(499) 193-44-89	http://dmsh-fliera.msk.muzkult.ru/	dmshflier16@mail.ru
91	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Л.Н.Оборина»	125362, г.Москва, ул. Долгова, д.12	Северо-Западный АО	Покровское-Стрешнево	125373, г.Москва, Походный пр-д, вл.3 корп. В	(495) 491-14-03	(495) 491-14-03	dmshoborina.ru	dmsh17oborina@mail.ru
92	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.В.Андреева»	123103, г.Москва, ул. Живописная, д.1	Северо-Западный АО	Хорошево-Мневники	123103, г.Москва, ул. Живописная, д.1	(495) 942-05-52	(495) 942-05-52	http://dmsh-andreeva.msk.muzkult.ru/	tdsimonova@list.ru
93	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.С.Голованова»	123308, г.Москва, ул. Мневники, д.7 корп.1	Северо-Западный АО	Хорошево-Мневники	123308, г.Москва, ул. Мневники, д.7 корп.1	(499) 191-68-00	(499) 946-26-30	camerafestival.ru	music51@mail.ru
94	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени С.М.Майкапара»	123181, г.Москва, ул. Маршала Катукова, д.19 корп.3	Северо-Западный АО	Строгино	123181, г.Москва, ул. Маршала Катукова, д.19 корп.3	(495) 750-07-17	(495) 757-42-64	maykapar.ru	msm_school@mail.ru
95	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Т.А.Докшицера»	123592, г.Москва, Неманский пр-д, д.7 корп.2	Северо-Западный АО	Строгино	123592, г.Москва, ул. Маршала Катукова, д.2 корп.4	(495) 756-50-09	(495) 756-50-09	www.dokmusic.ru	dmsh95@yandex.ru
96	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Т.А.Докшицера»	123181, г.Москва, Неманский пр-д, д.5 корп.2	Северо-Западный АО	Строгино	123592, г.Москва, ул. Маршала Катукова, д.2 корп.4	(495) 756-50-09	(495) 756-50-09	www.dokmusic.ru	dmsh95@yandex.ru
97	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №8 имени А.И.Островского»	119313, г.Москва, ул. Гарибальди, д.8 корп.1	Юго-Западный АО	Ломоносовский	119313, г.Москва, ул. Гарибальди, д.8 корп.1	(499) 131-70-59	(499) 131-70-59	dms8.ru	dms-8@yandex.ru
98	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени Н.Я.Мясковского»	117638, г.Москва, ул. Азовская, д.2 корп.2	Юго-Западный АО	Зюзино	117638, г.Москва, ул. Азовская, д.2 корп.2	(499) 610-19-65, (499) 317-44-09	(499) 317-44-09, (499) 610-19-65	сайт в разработке	marina-dms44@mail.ru
99	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.Б.Гольденвейзера»	117485, г.Москва, ул. Академика Волгина, д.17а	Юго-Западный АО	Коньково	117485, г.Москва, ул. Академика Волгина, д.17а	(495) 336-66-01	(495) 336-66-01	goldenveizer.ru	goldenmuz@mcn.ru
100	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени А.М.Иванова-Крамского»	117133, г.Москва, ул. Академика Виноградова, д.7	Юго-Западный АО	Теплый Стан	117133, г.Москва, ул. Академика Виноградова, д.7	(495) 338-04-00	(495) 338-19-44	dmsofi-k.my1.ru	ik_school@bk.ru
101	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа имени В.П.Соловьева-Седого»	117420, г.Москва, ул. Новочеремушкинская, д.64 корп.3	Юго-Западный АО	Черемушки	117420, г.Москва, ул. Новочеремушкинская, д.64 корп.6	(495) 331-17-39	(495) 331-17-39	dmsh-ss.ru	khal-dyl@mail.ru
102	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №71»	124460, г.Москва, Зеленоград, Панфиловский пр-т, д.24	Зеленоградский АО	Панфиловский	124460, г.Москва, Зеленоград, Панфиловский пр-т, д.24	(499) 731-63-15	(499) 731-63-15, (499) 731-72-40	dmsh71.msk.muzkult.ru	dmsh71@gmail.com
103	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Первомайская детская музыкальная школа»	143396, г.Москва, Наро-Фоминский р-н, пос. Птичное, Центральная ул., д.101	Троицкий АО	Первомайское	143396, г.Москва, Наро-Фоминский р-н, пос. Птичное, Центральная ул., д.101	(495) 345-73-73	(495) 345-73-73	сайт в разработке	muzshkola-4@mail.ru
104	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Киевская детская музыкальная школа»	143381, г.Москва, Наро-Фоминский р-н, пос. Киевский, д.17, кв.75	Троицкий АО	Киевский	143381, г.Москва, Наро-Фоминский р-н, пос. Киевский, д.17, кв.75	(495) 346-30-76	(929) 628-66-05	сайт в разработке	dmsh10@mail.ru
105	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Ново-федоровская музыкальная школа»	143340, г.Москва, Наро-Фоминский р-н, пос. Яковлевское, д.1	Троицкий АО	Новофедоровское	143340, г.Москва, Наро-Фоминский р-н, пос. Яквлевское, д.1	(495) 342-02-18,    (495) 342-03-43	(906) 753-93-08	сайт в разработке	yulyanab@gmail.com
106	Государственное бюджетное образовательное учреждение дополнительного образования детей города Москвы «Детская музыкальная школа №101»	105173, г.Москва, пос. Акулово, д.18	Восточный АО	Восточное Измайлово	105173, г.Москва, пос. Акулово, д.18	(495) 617-63-85	(495) 617-63-85	muz-shkola101.narod.ru/page664.html	musicschool101@mail.ru
107	Государственное бюджетное образовательное учреждение города Москвы детская музыкально-хоровая школа "Радость"	125008 Михалковская улица, д. 22	Северный АО	Коптево		(499) 154-35-20			
