№ строки	Наименование объекта	Адрес	Муниципальный район и административный округ	Судебный район	Судья	Телефон	Факс	Адрес электронной почты
141	Судебный участок №132	109377 ул. Зеленодольская д.4	Район Выхино-Жулебино ЮВАО	Кузьминский	Андреянова (Каменецкая) Мария Сергеевна	(499)722-63-89	(495)379-60-06	mirsud132@ums-mos.ru
142	Судебный участок №164	125362 ул. Циолковского, д.4	Район Южное Тушино СЗАО	Тушинский	не назначен	(495)490-69-32	(495)490-13-67	mirsud164@ums-mos.ru
143	Судебный участок №165	125362 ул. Циолковского, д.4	Район Северное Тушино СЗАО	Тушинский	не назначен	(495)490-31-03	(495)490-31-34	mirsud165@ums-mos.ru
144	Судебный участок №166	125362 ул. Циолковского, д.4	Район Северное Тушино СЗАО	Тушинский	Скобинова Анна Валерьевна	(495)490-69-30	(495)490-31-54	mirsud166@ums-mos.ru
145	Судебный участок №167	125362 ул. Циолковского, д.4	Район Северное Тушино СЗАО	Тушинский	Голубева Елена Александровна	(495)490-31-06	(495)490-31-26	mirsud167@ums-mos.ru
146	Судебный участок №168	125362 ул. Циолковского, д.4	Район Северное Тушино СЗАО	Тушинский	Пильганова Елена Александровна	(495)490-28-20	(495)490-26-49	mirsud168@ums-mos.ru
147	Судебный участок №169	125362 ул. Циолковского, д.4	Район Северное Тушино СЗАО	Тушинский	Худенко Константин Иванович	(495)490-31-33	(495)490-31-28	mirsud169@ums-mos.ru
148	Судебный участок №170	125466 ул. Родионовская, д.11	Район Куркино СЗАО	Тушинский	не назначен	(499)501-22-02	(499)501-24-40	mirsud170@ums-mos.ru
149	Судебный участок №171	125466 ул. Родионовская, д.11	Район Куркино СЗАО	Тушинский	Горнеев Иван Николаевич	(499)501-21-81	(499)501-21 -90	mirsud171@ums-mos.ru
150	Судебный участок №172	125430 ул. Митинская, д.26	Район Митино СЗАО	Тушинский	Брунеллер Наталья Гарифзяновна	(495)753-33-35	(495)754-70-45	mirsud172@ums-mos.ru
151	Судебный участок №173	125222 ул. Генерала Белобородова, д.37	Район Митино СЗАО	Тушинский	не назначен	(495)505-97-54	(495)505-97-56	mirsud173@ums-mos.ru
152	Судебный участок №174	125430 ул. Митинская, д.26	Район Митино СЗАО	Тушинский	не назначен	(495)754-71-45	(495)754-70-85	mirsud174@ums-mos.ru
153	Судебный участок №175	125222 ул. Генерала Белобородова, д.37	Район Митино СЗАО	Тушинский	Герасимова Гульнара Фазыловна	(495)505-97-51	(495)505-97-52	mirsud175@ums-mos.ru
154	Судебный участок №176	125222 ул. Генерала Белобородова, д.37	Район Митино СЗАО	Тушинский	Набатова Наталия Борисовна	(495)505-97-48	(495)505-97-49	mirsud176@ums-mos.ru
155	Судебный участок №177	119192 Мичуринский пр-т, д.17, к.1	Район Раменки ЗАО	Никулинский	Копненкова Мария Васильевна	(495)932-96-85	(495)932-96-76	mirsud177@ums-mos.ru
156	Судебный участок №178	119192 Мичуринский пр-т, д.17, к.1	Район Раменки ЗАО	Никулинский	Некрасова Ирина Сергеевна	(495)932-96-82	(495)932-96-75	mirsud178@ums-mos.ru
157	Судебный участок №179	119192 Мичуринский пр-т, д.17, к.1	Район Раменки ЗАО	Никулинский	Борисов Евгений Владимирович	(495)932-96-88	(495)932-96-87	mirsud179@ums-mos.ru
158	Судебный участок №180	119192 Мичуринский пр-т, д.17, к.1	Район Раменки ЗАО	Никулинский	Баширов Игорь Николаевич	(495)932-96-81	(495)932-96-79	mirsud180@ums-mos.ru
159	Судебный участок №181	119454 пр-т Вернадского, д.62А, стр.1	Район Пр-т Вернадского ЗАО	Никулинский	Юдина Ирина Валерьевна	(499)431-86-95	(495)932-96-79	mirsud181@ums-mos.ru
160	Судебный участок №182	119454 пр-т Вернадского, д.62А, стр.1	Район Пр-т Вернадского ЗАО	Никулинский	Куропов Андрей Николаевич	(499)431-75-14	(499)431-91-98	mirsud182@ums-mos.ru
161	Судебный участок №183	121357 ул. Верейская, д.21	Район Очаково-Матвеевское ЗАО	Никулинский	Кондрашева Евгения Валерьевна	(495)440-11-18	(495)440-10-91	mirsud183@ums-mos.ru
162	Судебный участок №184	121357 ул. Верейская, д.21	Район Очаково-Матвеевское ЗАО	Никулинский	Сметанкина Татьяна Матвеевна	(495)440-67-56	(495)440-62-43	mirsud184@ums-mos.ru
163	Судебный участок №185	121357 ул. Верейская, д.21	Район Очаково-Матвеевское ЗАО	Никулинский	Семенов Артур Евгеньевич	(495)444-57-30	(495)443-84-30	mirsud185@ums-mos.ru
164	Судебный участок №186	121357 ул. Верейская, д.21	Район Тропарёво-Никулино ЗАО	Никулинский	Максимов Михаил Константинович	(495)440-09-30	(495)440-08-96	mirsud186@ums-mos.ru
165	Судебный участок №188	119602 ул. Никулинская, д.6, корп.1	Район Тропарёво-Никулино ЗАО	Никулинский	Улитина Татьяна Юрьевна	(495)735-63-36	(495)735-64-46	mirsud188@ums-mos.ru
166	Судебный участок №189	117602 ул. Академика Анохина, д.46, к.3	Район Тропарёво-Никулино ЗАО	Никулинский	не назначен	(495)735-78-10	(495)735-78-09	mirsud189@ums-mos.ru
167	Судебный участок №190	121357 ул. Верейская, д.21	Район Фили-Давыдково ЗАО	Дорогомиловский	Бунина Марина Юрьевна	(495)440-09-40	(495)443-21-66	mirsud190@ums-mos.ru
168	Судебный участок №191	121357 ул. Верейская, д.21	Район Фили-Давыдково ЗАО	Дорогомиловский	Купцова Наталия Юрьевна	(495)443-71-35	(495)443-64-17	mirsud191@ums-mos.ru
169	Судебный участок №192	121357 ул. Верейская, д.21	Район Фили-Давыдково ЗАО	Дорогомиловский	Головацкая Алла Александровна	(495)444-85-01	(495)443-63-31	mirsud192@ums-mos.ru
170	Судебный участок №193	121357 ул. Верейская, д.21	Район Фили-Давыдково ЗАО	Дорогомиловский	Амшаринский Сергей Николаевич	(495)443-61-64	(495)443-62-46	mirsud193@ums-mos.ru
171	Судебный участок №89	127273 ул. Отрадная, д.18Б	Алтуфьевский район СВАО	Бутырский	Ефремов Анатолий Сергеевич	(499)204-99-81	(499)904-96-02	mirsud89@ums-mos.ru
172	Судебный участок №90	127562 Алтуфьевское ш., д. 8А	Район Отрадное СВАО	Бутырский	Лукашин Игорь Алексеевич	(499)903-84-67	(499)903-84-68	mirsud90@ums-mos.ru
173	Судебный участок №91	127273 ул. Отрадная, д.18Б	Район Отрадное СВАО	Бутырский	Ефимова Ирина Алексеевна	(499)904-97-63	(499)904-97-81	mirsud91@ums-mos.ru
174	Судебный участок №92	127273 ул. Отрадная, д.18Б	Район Отрадное СВАО	Бутырский	Захарова Оксана Григорьевна	(499)904-94-07	(499)904-94-45	mirsud92@ums-mos.ru
175	Судебный участок №93	127273 ул. Отрадная, д.18Б	Район Отрадное СВАО	Бутырский	Крылова Анастасия Александровна	(499)204-70-02	(499)904-94-74	mirsud93@ums-mos.ru
176	Судебный участок №94	127273 ул. Отрадная, д.18Б	Район Отрадное СВАО	Бутырский	Мартьянова Кира Леонидовна	(499)904-94-05	(499)904-96-28	mirsud94@ums-mos.ru
177	Судебный участок №95	127273 ул. Отрадная, д.18Б	Район Отрадное СВАО	Бутырский	Лисовицкий Сергей Павлович	(499)904-98-00	(499)204-40-07	mirsud95@ums-mos.ru
178	Судебный участок №96	127273 ул. Отрадная, д.18Б	Район Марфино СВАО	Останкинский	Леднева Юлия Викторовна	(499)904-97-16	(499)204-82-86	mirsud96@ums-mos.ru
179	Судебный участок №97	127254 ул. Гончарова, д.1/6	Бутырский район СВАО	Останкинский	Тулуков Юрий Викторович	(495)610-86-65	(495)610-70-76	mirsud97@ums-mos.ru
180	Судебный участок №98	127254 ул. Гончарова, д.1/6	Бутырский район СВАО	Останкинский	Борисова Светлана Владимировна	(495)610-61-69	(495)639-28-06	mirsud98@ums-mos.ru
181	Судебный участок №99	117149 ул. Азовская, д.13 ;	Район Зюзино ЮЗАО	Зюзинский	Белолипецкая Анжелика Юрьевна	(495)318-52-33	(495)318-52-33	mirsud99@ums-mos.ru
182	Судебный участок №100	115162  Мытная, д.46/2, стр. 3	Район Якиманка ЦАО	Замоскворецкий	не назначен	(499)236-24-58	(499)236-71-43	mirsud100@ums-mos.ru
183	Судебный участок №101	109028 Подколокольный пер., д.4, стр.7	Район Замоскворечье ЦАО	Замоскворецкий	Лепенцова Ольга Михайловна	(495)917-74-93	(495)917-91-81	mirsud101@ums-mos.ru
184	Судебный участок №102	115184 Пятницкая, д.53/18, стр.1	Район Замоскворечье ЦАО	Замоскворецкий	Ломазов Семен Борисович	(495)953-32-52	(495)953-31-44	mirsud102@ums-mos.ru
185	Судебный участок №103	117623 ул. Старонародная, д.2	Район Южное Бутово ЮЗАО	Зюзинский	не назначен	(495)712-66-72	(495)712-53-90	mirsud103@ums-mos.ru
186	Судебный участок №214	119421 ул. Новаторов, д.16, корп.4	Ломоносовский район ЮЗАО	Гагаринский	Неудахин Дмитрий Викторович	(495)735-83-33	(495)735-83-33	mirsud214@ums-mos.ru
187	Судебный участок №215	119421 ул. Новаторов, д.16, корп.4	Ломоносовский район ЮЗАО	Гагаринский	Тихонова (Рябикина) Екатерина Викторовна	(495)735-82-33	(495)735-83-66	mirsud215@ums-mos.ru
188	Судебный участок №216	117218 ул. Б.Черёмушкинская, д.36, корп.3	Гагаринский район ЮЗАО	Гагаринский	не назначен	(499)124-32-74	(499)124-08-32	mirsud216@ums-mos.ru
189	Судебный участок №217	117218 ул. Б.Черёмушкинская, д.36, корп.3	Гагаринский район ЮЗАО	Гагаринский	не назначен	(499)124-15-95	(499)124-31-74	mirsud217@ums-mos.ru
190	Судебный участок №219	117149 ул. Азовская, д.13	Академический район ЮЗАО	Гагаринский	Рождественская Оксана Павловна	(495)318-52-01	(495)318-50-11	mirsud219@ums-mos.ru
191	Судебный участок №220	117149 ул. Азовская, д.13	Академический район ЮЗАО	Гагаринский	Перова Светлана Юрьевна	(495)318-61-14	(495)318-53-38	mirsud220@ums-mos.ru
192	Судебный участок №221	117292, г. Москва, Нахимовский пр-т, д.56	Академический район ЮЗАО	Гагаринский	Николаева Ольга Алексеевна	(495)718-94-50	(495)718-97-39	mirsud221@ums-mos.ru
193	Судебный участок №222	117149 ул. Азовская, д.13	Академический район ЮЗАО	Гагаринский	не назначен	(495)318-56-50	(495)318-54-07	mirsud222@ums-mos.ru
194	Судебный участок №223	115574 ул. Бирюлёвская, д.48, корп.2	Район Чертаново Южное ЮАО	Чертановский	Ильинская Татьяна Александровна	(495)327-70-32	(495)327-70-72	mirsud223@ums-mos.ru
195	Судебный участок №224	115547 ул. Бирюлёвская, д.48, корп.2	Район Чертаново Южное ЮАО	Чертановский	Панферова Маргарита Валерьевна	(495)327-99-80	(495)327-14-21	mirsud224@ums-mos.ru
196	Судебный участок №225	115547 ул. Бирюлёвская, д.48, корп.2	Район Чертаново Южное ЮАО	Чертановский	не назначен	(495)327-75-56	(495)327-05-28	mirsud225@ums-mos.ru
197	Судебный участок №226	115547 ул. Бирюлёвская, д.48, корп.2	Район Чертаново Южное ЮАО	Чертановский	Пугачева Елена Анатольевна	(495)327-76-30	(495)327-85-80	mirsud226@ums-mos.ru
198	Судебный участок №227	115547 ул. Бирюлёвская, д.48, корп.2	Район Чертаново Южное ЮАО	Чертановский	не назначен	(495)327-76-54	(495)327-83-28	mirsud227@ums-mos.ru
199	Судебный участок №228	117570 ул. Красного Маяка, д.13Б	Район Чертаново Центральное ЮАО	Чертановский	Седых Екатерина Анатольевна	(495)389-24-90	(495)389-25-44	mirsud228@ums-mos.ru
200	Судебный участок №244	115280 ул. Автозаводская, д.17, корп. 2	Донской район ЮАО	Симоновский	Музалёва Арина Владимировна	(495)675-30-24	(495)675-33-08	mirsud244@ums-mos.ru
201	Судебный участок №245	115280 ул. Автозаводская, д.17, корп. 2	Донской район ЮАО	Симоновский	Кондратьева Светлана Владимировна	(499)764-19-40	(495)675-41-53	mirsud245@ums-mos.ru
202	Судебный участок №246	115280 ул. Автозаводская, д.17, корп. 2	Даниловский район ЮАО	Симоновский	Симонова Лариса Владимировна	(499)764-19-54	(495)675-45-38	mirsud246@ums-mos.ru
203	Судебный участок №247	115280 ул. Автозаводская, д.17, корп. 2	Даниловский район ЮАО	Симоновский	не назначен	(499)764-19-57	(499)764-19-51	mirsud247@ums-mos.ru
204	Судебный участок №248	115280 ул. Автозаводская, д.17, корп. 2	Даниловский район ЮАО	Симоновский	Лекомцев Александр Владимирович	(495)675-60-80	(495)675-46-44	mirsud248@ums-mos.ru
205	Судебный участок №249	109387 ул.  Кубанская, д.23	Район Текстильщики ЮВАО	Кузьминский	не назначен	(495)350-07-00	(495)350-34-30	mirsud249@ums-mos.ru
206	Судебный участок №250	109387 ул. Кубанская, д.23	Район Текстильщики ЮВАО	Кузьминский	Оксман Юлия Сабитовна	(495)350-17-43	(495)350-11-01	mirsud250@ums-mos.ru
207	Судебный участок №251	109377 ул. Зеленодольская, д.4	Район Текстильщики ЮВАО	Кузьминский	Говорушкин Дмитрий Иванович	(499)784-94-41	(499)784-94-41	mirsud251@ums-mos.ru
208	Судебный участок №252	109548 ул. Шоссейная, д.9	Район Печатники ЮВАО	Люблинский	не назначен	(495)354-30-03	(495)354-57-11	mirsud252@ums-mos.ru
209	Судебный участок №253	109548 ул. Шоссейная, д.9	Район Печатники ЮВАО	Люблинский	Панченко Наталья Александровна	(495)354-19-51	(495)354-03-79	mirsud253@ums-mos.ru
210	Судебный участок №254	109548 ул. Шоссейная, д.9	Район Печатники ЮВАО	Люблинский	Максимовских Наталья Юрьевна	(495)354-55-57	(495)354-93-48	mirsud254@ums-mos.ru
211	Судебный участок №255	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	Ермаков Владимир Иванович	(495)349-02-51	(495)349-71-41	mirsud255@ums-mos.ru
212	Судебный участок №256	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	Зотько Анна Робертовна	(499)722-35-32	(495)349-04-91	mirsud256@ums-mos.ru
213	Судебный участок №257	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	Лихман Юлия Александровна	(499)722-35-34	(495)349-92-71	mirsud257@ums-mos.ru
214	Судебный участок №258	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	Приданникова Наталья Владимировна	(495)349-02-11	(495)349-94-00	mirsud258@ums-mos.ru
215	Судебный участок №259	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	Караева Лаура Шаликоевна	(499)722-35-37	(495)349-01-13	mirsud259@ums-mos.ru
216	Судебный участок №260	109651 Новочеркасский  б-р, д.5, стр.3	Район Марьино ЮВАО	Люблинский	не назначен	(495)349-02-92	(495)356-46-36	mirsud260@ums-mos.ru
217	Судебный участок №261	109387 ул. Кубанская, д.23	Район Люблино ЮВАО	Люблинский	Агеева Татьяна Григорьевна	(495)350-40-00	(495)350-16-74	mirsud261@ums-mos.ru
218	Судебный участок №262	109386 ул. Краснодарская, д.27/13	Район Люблино ЮВАО	Люблинский	не назначен	(495)358-56-32	(499)784-02-10	mirsud262@ums-mos.ru
219	Судебный участок №263	109386 ул. Краснодарская, д.27/13	Район Люблино ЮВАО	Люблинский	не назначен	(495)358-55-91	(495)358-33-76	mirsud263@ums-mos.ru
220	Судебный участок №264	109386 ул. Краснодарская, д.27/13	Район Люблино ЮВАО	Люблинский	Федорищева Наталья Владимировна	(495)358-86-93	(495)358-33-51	mirsud264@ums-mos.ru
221	Судебный участок №265	109386 ул. Краснодарская, д.27/13	Район Люблино ЮВАО	Люблинский	Плясова Татьяна Анатольевна	(495)358-20-34	(495)358-41-74	mirsud265@ums-mos.ru
222	Судебный участок №266	109429 3-й квартал Капотни, д.25	Район Капотня ЮВАО	Люблинский	не назначен	(495)355-53-51	(495)355-85-44	mirsud266@ums-mos.ru
223	Судебный участок №267	115432 ул. 5-я Кожуховская,д.12	Южнопортовый район ЮВАО	Лефортовский	Борохова Василиса Ивановна	(495)679-48-03	(495)679-48-77	mirsud267@ums-mos.ru
224	Судебный участок №298	105118 ул. Буракова, д.13	Район Соколиная гора ВАО	Измайловский	Дьячкова Виктория Александровна	(495)366-05-23	(495)366-02-27	mirsud298@ums-mos.ru
225	Судебный участок №299	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Измайлово ВАО	Измайловский	не назначен	(495)965-45-97	(495)965-47-75	mirsud299@ums-mos.ru
226	Судебный участок №300	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Измайлово ВАО	Измайловский	Дудкова Юлия Павловна	(495)965-19-82	(495)965-33-03	mirsud300@ums-mos.ru
227	Судебный участок №301	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Измайлово ВАО	Измайловский	Широкова Надежда Михайловна	(495)965-42-29	(495)465-01-70	mirsud301@ums-mos.ru
228	Судебный участок №229	117570 ул. Красного Маяка, д.13Б	Район Чертаново Центральное ЮАО	Чертановский	Булаева Лариса Александровна	(495)389-24-77	(495)389-22-11	mirsud229@ums-mos.ru
229	Судебный участок №230	117570 ул. Красного Маяка, д.13Б	Район Чертаново Центральное ЮАО	Чертановский	Силаева Марина Викторовна	(495)389-24-81	(495)389-22-33	mirsud230@ums-mos.ru
230	Судебный участок №231	117570 ул. Красного Маяка, д.13Б	Район Чертаново Центральное ЮАО	Чертановский	не назначен	(495)389-25-55	(495)389-25-45	mirsud231@ums-mos.ru
231	Судебный участок №232	117570 ул. Красного Маяка, д.13Б	Район Чертаново Северное ЮАО	Чертановский	Колесник Вера Николаевна	(495)389-02-00	(495)389-22-63	mirsud232@ums-mos.ru
232	Судебный участок №233	117570 ул. Красного Маяка, д.13Б	Район Чертаново Северное ЮАО	Чертановский	Ермишина Ирина Александровна	(495)389-16-63	(495)389-24-22	mirsud233@ums-mos.ru
233	Судебный участок №234	117546 ул. Медынская, д.14Б	Район Чертаново Северное ЮАО	Чертановский	Пичугин Игорь Сергеевич	(495)385-78-91	(495)385-78-83	mirsud234@ums-mos.ru
234	Судебный участок №235	117556 ул. Болотниковская, д.5, корп.2	Нагорный район ЮАО	Чертановский	Рудакова Юлия Геннадьевна	(499)317-33-77	(499)317-33-90	mirsud235@ums-mos.ru
235	Судебный участок №236	117556 ул. Болотниковская, д.5, корп.2	Нагорный район ЮАО	Чертановский	Перов Виктор Александрович	(499)794-35-63	(499)317-33-54	mirsud236@ums-mos.ru
236	Судебный участок №237	117546 ул. Медынская, д.14Б	Район Бирюлёво Западное ЮАО	Чертановский	Безлепкина Ольга Александровна	(495)385-78-81	(495)385-78-86	mirsud237@ums-mos.ru
237	Судебный участок №239	117546 ул. Медынская, д.14Б	Район Бирюлёво Западное ЮАО	Чертановский	Пономарева Нина Александровна	(495)385-48-94	(495)385-78-89	mirsud239@ums-mos.ru
238	Судебный участок №240	115280 ул. Автозаводская, д.17, корп. 2	Район Нагатинский затон ЮАО	Симоновский	не назначен	(499)764-19-27	(495)675-24-94	mirsud240@ums-mos.ru
239	Судебный участок №238	117546 ул. Медынская, д.14Б	Район Бирюлёво Западное ЮАО	Чертановский	Корсак Ирина Владимировна	(495)385-78-88	(495)385-78-84	mirsud238@ums-mos.ru
240	Судебный участок №242	115280 ул. Автозаводская, д.17, корп. 2	Район Нагатинский затон ЮАО	Симоновский	не назначен	(499)764-19-37	(495)675-30-23	mirsud242@ums-mos.ru
241	Судебный участок №243	115280 ул. Автозаводская, д.17, корп. 2	Район Нагатинский затон ЮАО	Симоновский	Луценко Валентина Ивановна	(495)675-29-45	(495)675-43-53	mirsud243@ums-mos.ru
242	Судебный участок №269	115432 ул. 5-я Кожуховская,д.12	Нижегородский район ЮВАО	Лефортовский	не назначен	(495)679-74-05	(495)679-48-65	mirsud269@ums-mos.ru
243	Судебный участок №270	115432 ул. 5-я Кожуховская, д.12	Нижегородский район  ЮВАО	Лефортовский	Кофанова Светлана Александровна	(495)679-48-45	(495)679-48-62	mirsud270@ums-mos.ru
244	Судебный участок №271	111024 Перовский пр-д, д. 7	Район Лефортово ЮВАО	Лефортовский	Игонина Ольга Леонидовна	(495)362-46-51	(495)362-46-82	mirsud271@ums-mos.ru
245	Судебный участок №272	111024 Перовский пр-д, д. 7	Район Лефортово ЮВАО	Лефортовский	Щукина Ирина Александровна	(495)361-67-56	(495)361-70-36	mirsud272@ums-mos.ru
246	Судебный участок №273	111024 ул. Авиамоторная, д.49/1	Район Лефортово ЮВАО	Лефортовский	Федотов Дмитрий Игоревич	(495)362-32-62	(495)361-18-86	mirsud273@ums-mos.ru
247	Судебный участок №274	111394 ул. Перовская, д.57	Район Косино-Ухтомский	Перовский	не назначен	(495)368-22-76	(495)368-90-76	mirsud274@ums-mos.ru
248	Судебный участок №278	111394 ул. Перовская, д.57	Район Вешняки ВАО	Перовский	Тарасова (Лободина) Юлия Николаевна	(495)368-71-63	(495)368-72-65	mirsud278@ums-mos.ru
249	Судебный участок №279	111394 ул. Перовская, д.57	Район Вешняки ВАО	Перовский	Смыкова Ирина Валерьевна	(495)368-33-36	(495)368-10-98	mirsud279@ums-mos.ru
250	Судебный участок №280	111394 ул. Перовская, д.57	Район Вешняки ВАО	Перовский	Трофимович Лилия Юрьевна	(495)368-46-34	(495)368-52-30	mirsud280@ums-mos.ru
251	Судебный участок №281	111394 ул. Перовская, д.57	Район Вешняки ВАО	Перовский	Крючков Дмитрий Константинович	(495)368-73-21	(495)368-66-68	mirsud281@ums-mos.ru
252	Судебный участок №282	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Ивановское ВАО	Перовский	не назначен	(495)465-47-25	(495)465-61-21	mirsud282@ums-mos.ru
253	Судебный участок №283	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Ивановское ВАО	Перовский	Козлов Андрей Александрович	(495)465-69-66	(495)465-68-68	mirsud283@ums-mos.ru
254	Судебный участок №284	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Ивановское ВАО	Перовский	Рыбак Ирина Александровна	(495)965-41-39	(495)965-11-96	mirsud284@ums-mos.ru
255	Судебный участок №285	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Ивановское ВАО	Перовский	Степанова Наталья Львовна	(495)965-89-65	(495)965-88-97	mirsud285@ums-mos.ru
256	Судебный участок №286	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Ивановское ВАО	Перовский	Колобашкина Ирина Викторовна	(495)465-05-24	(495)465-74-85	mirsud286@ums-mos.ru
257	Судебный участок №287	111394 ул. Перовская, д.57	Район Новогиреево ВАО	Перовский	Комаров Павел Дмитриевич	(495)368-82-39	(495)368-86-80	mirsud287@ums-mos.ru
258	Судебный участок №288	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Новогиреево ВАО	Перовский	Яковлева Ольга Николаевна	(495)465-12-18	(495)465-26-95	mirsud288@ums-mos.ru
259	Судебный участок №289	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Новогиреево ВАО	Перовский	Ваньянц Лилит Гариковна	(495)465-45-92	(495)465-33-20	mirsud289@ums-mos.ru
260	Судебный участок №291	105118 ул. Буракова, д.13	Район Перово ВАО	Перовский	Степанов Дмитрий Георгиевич	(499)748-98-97	(495)366-54-79	mirsud291@ums-mos.ru
261	Судебный участок №292	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Перово ВАО	Перовский	Минаева Мария Михайловна	(495)965-80-10	(495)465-77-13	mirsud292@ums-mos.ru
262	Судебный участок №293	111394 ул. Перовская, д.57	Район Перово ВАО	Перовский	Сафонова Елена Александровна	(495)368-73-55	(495)368-73-59	mirsud293@ums-mos.ru
263	Судебный участок №294	105203 ул. 15-я Парковая, д.6/75, стр.1	Район Перово ВАО	Перовский	Почтов Алексей Федорович	(495)965-71-92	(495)965-29-01	mirsud294@ums-mos.ru
264	Судебный участок №295	107589 ул. Хабаровская, д.9   (и.о. с/у 303)	Район Восточный ВАО	Измайловский	Модестова-Хорст Светлана Владимировна	(495)770-90-85	(495)770-89-71	mirsud295@ums-mos.ru
265	Судебный участок №296	107150 3-й проезд Подбельского,  д.22, корп.3	Район Соколиная гора ВАО	Измайловский	Афанасьева Светлана Валерьевна	(499)780-43-79	(499)780-40-67	mirsud296@ums-mos.ru
266	Судебный участок №297	107014 ул. Гастелло, д.41	Район Соколиная гора ВАО	Измайловский	Арифулина София Гафяровна	(499)748-02-26	(499)269-03-92	mirsud297@ums-mos.ru
267	Судебный участок №194	121357 ул. Верейская, д.21	Можайский район ЗАО	Кунцевский	Морозова Ирина Вячеславовна	(495)440-09-62	(495)440-09-69	mirsud194@ums-mos.ru
268	Судебный участок №195	121357 ул. Верейская, д.21	Можайский район ЗАО	Кунцевский	Жалыбина Елена Георгиевна	(495)440-76-20	(495)443-54-23	mirsud195@ums-mos.ru
269	Судебный участок №196	121357 ул. Верейская, д.21	Можайский район ЗАО	Кунцевский	не назначен	(495)440-09-39	(495)443-76-98	mirsud196@ums-mos.ru
270	Судебный участок №197	121357 ул. Верейская, д.21	Можайский Район ЗАО	Кунцевский	Найдёнова Ирина Алексеевна	(495)443-59-18	(495)443-59-26	mirsud197@ums-mos.ru
271	Судебный участок №198	121351 ул. Бобруйская, д.4, корп.1	Район Кунцево ЗАО	Кунцевский	Астахов Сергей Николаевич	(499)140-52-57	(499)140-52-26	mirsud198@ums-mos.ru
272	Судебный участок №199	121351 ул. Бобруйская, д.4, корп.1	Район Кунцево ЗАО	Кунцевский	Хромова (Воронина) Ольга Александровна	(499)140-52-64	(499)140-43-81	mirsud199@ums-mos.ru
273	Судебный участок №200	121108 ул. Кастанаевская, д.51, корп.1	Район Кунцево ЗАО	Кунцевский	Панченко Римма Борисовна	(499)144-66-62	(499)144-66-63	mirsud200@ums-mos.ru
274	Судебный участок №201	121357 ул. Верейская, д.21	Район Кунцево ЗАО	Кунцевский	Лебедева Елена Геннадьевна	(495)440-09-31	(495)443-87-64	mirsud201@ums-mos.ru
275	Судебный участок №202	121351 ул. Полоцкая,  д.6, корп.1	Район Кунцево ЗАО	Кунцевский	Тюльпанов Иван Олегович	(495)443-20-31	(495)443-21-46	mirsud202@ums-mos.ru
276	Судебный участок №203	121614 ул. Крылатские холмы д.26, корп.2	Район Крылатское ЗАО	Кунцевский	Глущенко Ольга Валерьевна	(495)415-34-70	(495)415-31-95	mirsud203@ums-mos.ru
277	Судебный участок №204	121614 ул. Крылатские холмы д.26, корп.2	Район Крылатское ЗАО	Кунцевский	Калашникова Надежда Сергеевна	(495)415-34-82	(495)415-23-15	mirsud204@ums-mos.ru
278	Судебный участок №205	121359 ул.  Марш. Тимошенко д.32	Район Крылатское ЗАО	Кунцевский	Иванова Лариса Евгениевна	(499)149-22-86	(499)149-16-90	mirsud205@ums-mos.ru
279	Судебный участок №207	121059 наб. Тараса Шевченко, д.5	Район Дорогомилово ЗАО	Дорогомиловский	Соломатина Ольга Александровна	(499)243-52-47	(499)243-45-27	mirsud207@ums-mos.ru
280	Судебный участок №208	121248 наб. Тараса Шевченко, д.5	Район Дорогомилово ЗАО	Дорогомиловский	Таланина Галина Николаевна	(499)243-22-39	(499)243-17-03	mirsud208@ums-mos.ru
281	Судебный участок №209	121357 ул. Верейская, д.21	Район Филёвский парк ЗАО	Дорогомиловский	не назначен	(495)440-09-32	(495)443-61-34	mirsud209@ums-mos.ru
282	Судебный участок №210	121357 ул. Верейская, д.21	Район Филёвский парк ЗАО	Дорогомиловский	Томилина Наталия Юрьевна	(495)444-07-45	(495)443-60-41	mirsud210@ums-mos.ru
283	Судебный участок №211	119421 ул. Новаторов, д.16, корп.4	Обручевский район  ЮЗАО	Гагаринский	не назначен	(495)735-81-55	(495)735-81-55	mirsud211@ums-mos.ru
