№ строки	Название объекта	Адрес	Ведомственная принадлежность	Телефон	Сайт	Электронная почта	Округ	Район	Тип объекта
74	Озеленённая территория	улица Мусы Джалиля дом 9 корпус 5	Префектура	8-499-725-43-94	-	-	ЮАО	Зябликово	лыжные трассы и базы (сезонные)
75	Озеро Святое	улица Салтыковская	Департамент природопользования и охраны окружающей среды города Москвы	8-495-700-37-07	-	-	ВАО	Косино-Ухтомский	лыжные трассы и базы (сезонные)
76	Олонецкий проезд, дом  10-20 (парковая зона поймы реки Яузы)	Олонецкий проезд, дом 5	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Бабушкинский	лыжные трассы и базы (сезонные)
77	Олонецкий проезд, дом 10-20	Олонецкий проезд, дом 5	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	(495) 621-88-68	-	-	СВАО	Бабушкинский	лыжные трассы и базы (сезонные)
78	Парк "Бекет"	Загородное шоссе,дом 2а	Префектура	8-495-958-15-90	-	-	ЮАО	Донской	лыжные трассы и базы (сезонные)
79	Парк "Дружбы"	улица Фестивальная	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	САО	Левобережный	лыжные трассы и базы (сезонные)
80	Парк "Северное Тушино" улица  Свободы, дом 85, корп.1	улица Свободы, 85, корпус 1	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-925-243-64-09	-	-	СЗАО	Северное Тушино	лыжные трассы и базы (сезонные)
81	Парк "Северные дубки"	Керамический проезд	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	495-940-33-62	-	-	САО	Восточное Дегунино	лыжные трассы и базы (сезонные)
82	Парк "Сосенки"	пересечение Кавказский б-р и улица Бакинская	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-321-86-13	-	-	ЮАО	Царицыно	лыжные трассы и базы (сезонные)
83	Парк «850-летия Москвы»	Батайский пр-д,65 (велодорожка)	Префектура	8 495-657-45-05	-	-	ЮВАО	Марьино	лыжные трассы и базы (сезонные)
84	Парк «850-летия Москвы»	Проетируемый проезд, кв, 5466-5467	Префектура	8 495-355-19-01	-	-	ЮВАО	Капотня	лыжные трассы и базы (сезонные)
85	Парк «Артема Боровика»	улица Поречная, дом 3, корпус 1 – дом 17/22	Префектура	8 495-657-45-05	-	-	ЮВАО	Марьино	лыжные трассы и базы (сезонные)
86	Парк «Березовая роща»	улица Куусинена, дома 15-19	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	САО	Хорошевский	лыжные трассы и базы (сезонные)
87	Парк «Вагоноремонт»	улица Лобненская, дом 13	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	499-486-60-61	-	-	САО	Дмитровский	лыжные трассы и базы (сезонные)
88	Парк «Грачевка»	улица Клинская	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	495-453-11-75	-	-	САО	Ховрино	лыжные трассы и базы (сезонные)
89	Парк 60 лет Октября	Проспект Андропова дом 9	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-382-81-10	-	-	ЮАО	Нагатино-Садовники	лыжные трассы и базы (сезонные)
90	Парк 60 лет Октября	Проспект Андропова дом 9	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-382-81-10	-	-	ЮАО	Нагатино-Садовники	лыжные трассы и базы (сезонные)
91	Парк культуры и отдыха в Садовниках	Коломенский проезд, дом 14	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-382-81-10	-	-	ЮАО	Нагатино-Садовники	лыжные трассы и базы (сезонные)
92	Парк по Ангарской улице	Улица Ангарская	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	САО	Западное Дегунино	лыжные трассы и базы (сезонные)
93	Парк по Борисовским прудам	Борисовские пруды	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-621-88-68	-	-	ЮАО	Братеево	лыжные трассы и базы (сезонные)
94	Парк у каскада прудов «Радуга»	улица Вешняковс-кая, владение 16	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	ВАО	Вешняки	лыжные трассы и базы (сезонные)
95	Перовский» ПКиО	улица Лазо, владение 7	Департамент Культуры города Москвы	8-495-368-26-10	-	-	ВАО	Перово	лыжные трассы и базы (сезонные)
96	ПИП "Москворецкий"	улица Твардовского, 16	Департамент природопользования и охраны окружающей среды города Москвы	8-499-493-01-80	-	-	СЗАО	Строгино	лыжные трассы и базы (сезонные)
97	ПИП "Москворецкий"	Щукинский полуостров	Департамент природопользования и охраны окружающей среды города Москвы	8-926-799-80-13	-	-	СЗАО	Строгино	лыжные трассы и базы (сезонные)
98	ПИП "Москворецкий", улица Исаковского, 6-22	Кировская пойма, напротив улица Исаковского, 6-22	Департамент природопользования и охраны окружающей среды города Москвы	8-499-493-01-80	-	-	СЗАО	Строгино	лыжные трассы и базы (сезонные)
99	ПИП "Покровское-Стрешнево", Иваньковское ш., 54-1	Вход в парк со стороны Иваньковского шоссе , 54-1	Департамент природопользования и охраны окружающей среды города Москвы	8-499-493-01-80	-	-	СЗАО	Покровское-Стрешнево	лыжные трассы и базы (сезонные)
100	ПИП «Измайлово»	16-я Парковая улица, дом 4А	Департамент природопользования и охраны окружающей среды города Москвы	8-495-465-04-45	-	-	ВАО	Восточное Измайлово	лыжные трассы и базы (сезонные)
101	ПИП «Измайлово»	Измайловский проспект, вход в лесопарковую зону со стороны 12-й Парковой улицы.	Департамент природопользования и охраны окружающей среды города Москвы	8-495-465-04-45	-	-	ВАО	Измайлово	лыжные трассы и базы (сезонные)
102	ПИП «Измайлово»	ст.м. «Измайловская», вход с улица 5-я Парковая	Департамент природопользования и охраны окружающей среды города Москвы	8-499-367-36-81	-	-	ВАО	Измайлово	лыжные трассы и базы (сезонные)
103	ПИП «Измайлово»	ст.м. «Первомайская», вход с улица Чечулина	Департамент природопользования и охраны окружающей среды города Москвы	8-499-367-89-18	-	-	ВАО	Ивановское	лыжные трассы и базы (сезонные)
104	ПИП «Косинский»	улица Медведева, дом 26	Департамент природопользования и охраны окружающей среды города Москвы	8-495-700-37-07	-	-	ВАО	Косино-Ухтомский	лыжные трассы и базы (сезонные)
105	ПИП Измайлово"	вход с улица Чечулина	Департамент природопользования и охраны окружающей среды города Москвы	8-499-367-36-81	-	-	ВАО	Ивановское	лыжные трассы и базы (сезонные)
106	ПК № 11, «Гольяновс-кий парк»	улица Алтайская, владение 4	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	ВАО	Гольяново	лыжные трассы и базы (сезонные)
107	ПК и О "Кузьминки-Люблино"	ПК и О "Кузьминки-Люблино" кв.7	Департамент природопользования и охраны окружающей среды города Москвы	8 495-258-45-60	-	-	ЮВАО	Кузьминки	лыжные трассы и базы (сезонные)
108	ПКИиО "Красная Пресня"	улица Мантулинская, дом 5	Департамент культуры города Москвы	8-499-256-33-42	-	-	ЦАО	Пресненский	лыжные трассы и базы (сезонные)
109	ПКиО «Сокольники»	улица Сокольнический Вал, дом 1, стр.1  (12 маршрутов)	Департамент Культуры города Москвы	8-499-269-13-13	-	-	ВАО	Сокольники	лыжные трассы и базы (сезонные)
110	Пойма реки Городни	Наташинский проезд 6а	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-621-88-68	-	-	ЮАО	Братеево	лыжные трассы и базы (сезонные)
111	пойма реки Городни	улица Мусы Джалиля, дом 2 корпус 2	Префектура	8-499-725-43-94	-	-	ЮАО	Зябликово	лыжные трассы и базы (сезонные)
112	пос.Акулово	Акулово, дом 24	Префектура	8-499-780-67-69	-	-	ВАО	Восточный	лыжные трассы и базы (сезонные)
113	пос.Акулово	Акулово, дом 43	Префектура	8-499-780-67-69	-	-	ВАО	Восточный	лыжные трассы и базы (сезонные)
114	Поселение Вороновское, оздоровительный комплекс "Солнечный городок" ЦБРФ	Поселение Вороново, оздоровительный комплекс "Солнечный городок" ЦБРФ	Муниципалитет	8-985-289-65-30	-	-	ТиНАО	поселение Вороновское	лыжные трассы и базы (сезонные)
115	Поселение Красная Пахра, село Варварино, рядом с церковью Рождества Христова	Поселение Красная Пахра, село Варварино, рядом с церковью Рождества Христова	Муниципалитет	8-926-996-58-46	-	-	ТиНАО	поселение Краснопахорское	лыжные трассы и базы (сезонные)
116	Поселение Щаповское, лесопарк Щапово	Поселение Щапово, лесопарк Щапово	Муниципалитет	8-916-449-62-20	-	-	ТиНАО	поселение Щаповское	лыжные трассы и базы (сезонные)
117	на спортсооружениях	Парк 50-летия октября, улица Удальцова, напротив дома № 49	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-985-411-46-45	-	-	ЗАО	Раменки	лыжные трассы и базы (сезонные)
118	Набережная Москвы-реки	2 Южнопортовый пр-д, дом 2-13	Префектура	8 495-958-98-64	-	-	ЮВАО	Южнопортовый	лыжные трассы и базы (сезонные)
119	Набережная реки Москва	Проспект Андропова дом 22	Префектура	8-499-612-05-62	-	-	ЮАО	Нагатино-Садовники	лыжные трассы и базы (сезонные)
120	Набережная реки Москва	улица Борисовские пруды, дом 10, корпус 1	Префектура	8-495-342-42-70	-	-	ЮАО	Братеево	лыжные трассы и базы (сезонные)
121	Набережная реки Москва	улица Борисовские пруды, дом 44	Префектура	8-495-342-42-70	-	-	ЮАО	Братеево	лыжные трассы и базы (сезонные)
122	НГП «Лосиный остров»	Со стороны домов по адресу: Открытое шоссе, дом 29, корпус 7	Департамент природопользования и охраны окружающей среды города Москвы	8-499-167-04-05	-	-	ВАО	Метрогородок	лыжные трассы и базы (сезонные)
123	НГП «Лосиный остров»	улица Богатырский мост - маршрут 1 (2 маршрута)	Департамент природопользования и охраны окружающей среды города Москвы	8-499-268-60-45	-	-	ВАО	Богородское	лыжные трассы и базы (сезонные)
124	НГП «Лосиный остров»	улица Уральская, 19	Департамент природопользования и охраны окружающей среды города Москвы	8-495-467-65-84	-	-	ВАО	Гольяново	лыжные трассы и базы (сезонные)
125	НГП «Лосиный остров»	Яузская аллея	Департамент природопользования и охраны окружающей среды города Москвы	8-499-268-60-45	-	-	ВАО	Метрогородок	лыжные трассы и базы (сезонные)
126	Новоспасский пруд	Новоспасский пер., дом 11	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	8-495-912-95-43	-	-	ЦАО	Таганский	лыжные трассы и базы (сезонные)
127	ОАО КСК "Битца"	Балаклавский проспект, дом ЗЗ	Префектура	8-495-955-93-93	-	-	ЮАО	Северное Чертаново	лыжные трассы и базы (сезонные)
128	Озелененная территория	Некрасовская улица, дом 8	Префектура	8 985-415-00-09	-	-	ЮВАО	Некрасовка	лыжные трассы и базы (сезонные)
129	Озеленённая территория	Балаклавский пр-т дом 6	Префектура	8-499-619-63-08	-	-	ЮАО	Северное Чертаново	лыжные трассы и базы (сезонные)
130	Озеленённая территория	Ореховый проезд, дом 37, корпус 1	Префектура	8-499-725-43-94	-	-	ЮАО	Зябликово	лыжные трассы и базы (сезонные)
131	Озеленённая территория	улица Академика Янгеля, дом 14, корпус З	Префектура	8-495-382-97-63	-	-	ЮАО	Южное Чертаново	лыжные трассы и базы (сезонные)
