№ строки	Тип транспорта	Наименование проездного документа	Стоимость	Срок действия
251	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 5 месяцев	4250.0	5 месяцев
252	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 6 месяцев	5100.0	6 месяцев
253	Московско-Тверская пригородная пассажирская компания	Билет. Абонемент рабочего дня на 12 месяцев	10200.0	12 месяцев
254	Московско-Тверская пригородная пассажирская компания	Билет. 5 дат	180.0	1 месяц
255	Московско-Тверская пригородная пассажирская компания	Билет. 6 дат	210.0	1 месяц
256	Московско-Тверская пригородная пассажирская компания	Билет. 7 дат	240.0	1 месяц
257	Московско-Тверская пригородная пассажирская компания	Билет. 8 дат	270.0	1 месяц
258	Московско-Тверская пригородная пассажирская компания	Билет. 9 дат	310.0	1 месяц
259	Московско-Тверская пригородная пассажирская компания	Билет. 10 дат	340.0	1 месяц
260	Московско-Тверская пригородная пассажирская компания	Билет. 11 дат	380.0	1 месяц
261	Московско-Тверская пригородная пассажирская компания	Билет. 12 дат	410.0	1 месяц
262	Московско-Тверская пригородная пассажирская компания	Билет. 13 дат	440.0	1 месяц
263	Московско-Тверская пригородная пассажирская компания	Билет. 14 дат	480.0	1 месяц
264	Московско-Тверская пригородная пассажирская компания	Билет. 15 дат	510.0	1 месяц
265	Московско-Тверская пригородная пассажирская компания	Билет. 16 дат	540.0	1 месяц
