№ строки	Название	Наименование ансамбля	Категория
1276	Церковь Успения в Печатниках, 1695 г.		Объект культурного наследия федерального значения
1277	Дом, в котором жил и в 1947 г. умер Садовский Пров Михайлович		Объект культурного наследия регионального значения
1278	Дом Тарасова на Спиридоновке, 1909-1910 гг., арх. Жолтовский И.В.		Объект культурного наследия федерального значения
1279	Ограда с решеткой	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1280	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1281	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1282	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1283	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1284	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1285	Дворовая скульптура	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1286	Главный дом	Особняк Морозова, конец XIX в., арх. Ф.О.Шехтель	Объект культурного наследия федерального значения
1287	Ограда	Особняк А.Ф.Беляева, с оградой 1904 г., арх. И.И.Бони	Объект культурного наследия регионального значения
1288	Ограда	Особняк А.Ф.Беляева, с оградой 1904 г., арх. И.И.Бони	Объект культурного наследия регионального значения
1289	Особняк Беляева, 1904 г., арх. Бони И.И.		Объект культурного наследия федерального значения
1290	Дом, в котором зимой 1903-1904 гг. жил поэт Блок А.А.		Объект культурного наследия регионального значения
1291	Палаты ("Гранатный двор"), XVII в.		Объект культурного наследия федерального значения
1292	Жилой дом поэта Майкова, конец  XVIII в.		Объект культурного наследия федерального значения
1293	Ворота дома жилого Щепочкиной А.Г., сер. XVIII в., 1820 г., 1871 г., 1907 г.		Объект культурного наследия регионального значения
1294	Дом жилой Щепочкиной А.Г. с воротами, сер. XVIII в., 1820 г., 1871 г., 1907 г.		Объект культурного наследия регионального значения
1295	Церковь Спаса на Песках, 1711 г.		Объект культурного наследия федерального значения
1296	Ограда	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия регионального значения
1297	Ограда	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия регионального значения
1298	Ограда	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия регионального значения
1299	Ограда	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия регионального значения
1300	Служебный Флигель	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия регионального значения
1301	Особняк Второва, 1914 г., арх. Адамович В.Д., Маят В.М.	Особняк Второва со служебным флигелем и оградой, 1914 г., арх. Адамович В.Д., Маят В.М.	Объект культурного наследия федерального значения
1302	Дом жилой, XVIII-XIX вв.		Объект культурного наследия федерального значения
1303	Жилой дом, начало XIX в.		Объект культурного наследия федерального значения
1304	Жилой дом дом Сарептского евангелического общества	Ансамбль городской застройки, конец XVIII - начало XIX вв.	Объект культурного наследия федерального значения
1305	Ограда с воротами	Ансамбль городской застройки, конец XVIII - начало XIX вв. Усадьба Воронцовой	Объект культурного наследия федерального значения
1306	восточный Флигель	Ансамбль городской застройки, конец XVIII - начало XIX вв. Усадьба Воронцовой	Объект культурного наследия федерального значения
1307	западный Флигель	Ансамбль городской застройки, конец XVIII - начало XIX вв. Усадьба Воронцовой	Объект культурного наследия федерального значения
1308	Главный дом	Ансамбль городской застройки, конец XVIII - начало XIX вв. Усадьба Воронцовой	Объект культурного наследия федерального значения
1309	Жилой дом	Ансамбль городской застройки, конец XVIII - начало XIX вв.	Объект культурного наследия федерального значения
1310	Флигель	Усадьба, XVIII-XIX вв.	Объект культурного наследия федерального значения
1311	Флигель	Усадьба, XVIII-XIX вв.	Объект культурного наследия федерального значения
1312	Главный дом	Усадьба, XVIII-XIX вв.	Объект культурного наследия федерального значения
1313	Ограда	Дом Мусина-Пушкина, три флигеля и ограда, конец XVIII в., арх. М.Ф.Казаков	Объект культурного наследия федерального значения
1314	Флигель южный	Дом Мусина-Пушкина, три флигеля и ограда, конец XVIII в., арх. М.Ф.Казаков	Объект культурного наследия федерального значения
1315	Надворный флигель	Дом Мусина-Пушкина, три флигеля и ограда, конец XVIII в., арх. М.Ф.Казаков	Объект культурного наследия федерального значения
1316	Флигель северный	Дом Мусина-Пушкина, три флигеля и ограда, конец XVIII в., арх. М.Ф.Казаков	Объект культурного наследия федерального значения
1317	Главный дом	Дом Мусина-Пушкина, три флигеля и ограда, конец XVIII в., арх. М.Ф.Казаков	Объект культурного наследия федерального значения
1318	Дом причта, 1868 г., архитектор Н.И.Козловский	Церковь Софии, 1682 г., Трапезная, 1891-1893 гг.	Объект культурного наследия регионального значения
1319	Колокольня, XIX в., арх. К.М. Быковский		Объект культурного наследия федерального значения
1320	Церковь Софии, 1682 г. Трапезная 1891-1893 гг.		Объект культурного наследия федерального значения
1321	Дом, начало XIX в.		Объект культурного наследия федерального значения
1322	Сад (ок. 0,5 га), кон. XIX в. 1-я пол. XX в.	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1323	Ограда парадного двора, 1890-е гг.	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1324	Хозяйственный корпус (конюшня), 1890-е, 1920-е гг., инженер-архитектор В.Г.Залесский	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1325	Западный флигель (контора), 1890-е гг., инженер-архитектор В.Г.Залесский	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1326	Восточный флигель (прачечная и квартиры служащих), 1890-е гг., инженер-архитектор В.Г.Залесский	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1327	Главный дом, 1891-1893 гг., 1911 г., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг	Городская усадьба П.И.Харитоненко, 2-я пол. XIX в. - 1-я пол. XX в., инженер-архитектор В.Г.Залесский, архитектор Ф.О.Шехтель, художник Ф.Фламенг. Здесь на музыкальных вечерах выступали певец Ф.И.Шаляпин, композитор А.Н.Скрябин. В 1919-1929 гг. останавли	Объект культурного наследия регионального значения
1328	Палаты Хованских, XVII в.		Объект культурного наследия федерального значения
1329	Торговый дом Аршинова, 1899 г., арх. Шехтель Ф.О.		Объект культурного наследия федерального значения
1330	Служебный флигель, 1841 г., 1907 г., архитектор Р.И.Клейн	Комплекс зданий Хоральной синагоги, кон. XIX - нач. XX вв.	Объект культурного наследия регионального значения
1331	Здание синагоги, 1886-1891 гг., 1906-1907 гг., архитектор С.С.Эйбушиц, Р.И.Клейн	Комплекс зданий Хоральной синагоги, кон. XIX - нач. XX вв.	Объект культурного наследия регионального значения
1332	Дом, 1793-1802 гг. арх. М.Ф.Казаков.		Объект культурного наследия федерального значения
1333	Собор Богоявления в Елохове, 1835-1845 гг., арх. Е.Д.Тюрин. Часть постройки конца XVIII в.		Объект культурного наследия федерального значения
1334	Здание народного училища	Ансамбль городской застройки, конец XVIII - начало XIX вв.	Объект культурного наследия федерального значения
1335	Ворота по Яузскому бульвару	Городская усадьба, конец XVIII в.	Объект культурного наследия федерального значения
1336	Ворота по Яузскому бульвару	Городская усадьба, конец XVIII в.	Объект культурного наследия федерального значения
1337	Жилой дом	Городская усадьба, конец XVIII в.	Объект культурного наследия федерального значения
1338	Московский институт акушерства (главный дом с боковыми флигелями и полукруглым служебным корпусом с проездной аркой соединены в одно здание позднейшими постройками)		Объект культурного наследия федерального значения
1339	Два пилона ворот с двумя белокаменными скульптурными группами. Ар-ры Д.И.Жилярди,  А.Г.Григорьев, ск. И.П.Витали	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1340	Два пилона ворот с двумя белокаменными скульптурными группами. Ар-ры Д.И.Жилярди,  А.Г.Григорьев, ск. И.П.Витали	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1341	Главный корпус с интерьерами и двумя боковыми корпусами, начало XIX в.	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1342	Главный корпус с интерьерами и двумя боковыми корпусами, начало XIX в.	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1343	Церковь Рождества  Богородицы на Кулишках ("что на Стрелке"), кон. XVIII в.		Объект культурного наследия федерального значения
1344	Церковь Петра и Павла в Солдатской слободе, конец XVII начало XVIII вв.		Объект культурного наследия федерального значения
1345	Парк "Сокольники" (566.0 Га)		Объект культурного наследия регионального значения
1346	Театр "Тиволи". Здесь в 1920 г. выступал Ленин В.И., кон. XIX нач. ХХ вв., 1926 г., 1970-е гг.		Объект культурного наследия регионального значения
1347	Церковь Воскресения Словущего у Сокольнической заставы, 1909 г., арх. А.П.Толстых, с домом причта  Дом причта		Объект культурного наследия регионального значения
1348	Церковь Воскресения Словущего у Сокольнической заставы, 1909 г., арх. Толстых А.П.		Объект культурного наследия федерального значения
1349	Жилой дом Перцевой, 1906-1910 гг., инж. Н.К.Жуков, худ. С.В.Малютин. "Дом-сказка" (доходный дом З.А.Перцовой), 1886 г., 1905-1907 гг., инж. Н.К.Жуков, худ. С.В.Малютин. Здесь в 1906-1908 гг. жил художник С.В.Малютин. В доме находились мастерские художник		Объект культурного наследия федерального значения
1350	Дом причта церкви Святого Духа на Лазаревском кладбище, XIX в.		Объект культурного наследия федерального значения
1351	Церковь на Лазаревском кладбище, 1784-1787 гг., по проекту арх. В.И.Баженова, строил арх. Е.С.Назаров. Трапезная, 1902-1904 гг.		Объект культурного наследия федерального значения
1352	Здание клуба Октябрьской революции, в котором 10 ноября 1918 г. Ленин Владимир Ильич выступал на собрании рабочих Хамовнического района, посвященном его открытию		Объект культурного наследия федерального значения
1353	Дом, в котором с 1864 г. жил и в 1869 г. умер Одоевский Владимир Федорович. Здесь у него бывали: И.С.Тургенев, Л.Н.Толстой и П.И.Чайковский		Объект культурного наследия федерального значения
1354	Ограда, XIX в.		Объект культурного наследия регионального значения
1355	Церковь Николы на Щепах, XVII в.		Объект культурного наследия федерального значения
1356	Здание министерств иностранных дел и внешней торговли, 1943-1951 гг., арх. Гельфрейх В.Г., Минкус М.А.		Объект культурного наследия регионального значения
1357	Дом Несвицкой, 1793 г., арх. М.Ф.Казаков		Объект культурного наследия федерального значения
1358	Дом, XIX в.		Объект культурного наследия федерального значения
1359	Церковь Всех Святых на Кулишках, 1380 г. Перестроена в XVI-XVII вв.		Объект культурного наследия федерального значения
1360	Ансамбль скаковых конюшен Манташева, 1914-1916 гг., арх. Веснины В.А. и А.А., инж. Измиров А.Г		Объект культурного наследия федерального значения
1361	Ансамбль скаковых конюшен Манташева, 1914-1916 гг., арх. Веснины В.А. и А.А., инж. Измиров А.Г		Объект культурного наследия федерального значения
1362	Ансамбль скаковых конюшен Манташева, 1914-1916 гг., арх. Веснины В.А. и А.А., инж. Измиров А.Г		Объект культурного наследия федерального значения
1363	Квартира, в которой в 1927-1942 гг. жил и работал художник М.В.Нестеров		Объект культурного наследия регионального значения
1364	Главный дом, 1830-е гг., 1850-е гг., 1870-е гг., 1910-е гг.	Городская усадьба А.Д.Негуневой - Е.А.Ивановой - П.Н.Иванова, XIX в. - нач. XX в.	Объект культурного наследия регионального значения
1365	Дом, в котором в конце 1840-х гг. жил Аксаков Сергей Тимофеевич. Здесь у него бывали Н.В.Гоголь, М.С.Щепкин и др. Жилой дом, кон. XVIII в.		Объект культурного наследия федерального значения
1366	Дом, в котором жил Герцен Александр Иванович в 1843-1846 гг.		Объект культурного наследия федерального значения
1367	Дом, в котором жил Герцен Александр Иванович в студенческие годы. Здесь он был арестован в 1883 г.		Объект культурного наследия регионального значения
1368	Дом, в котором жил и в 1904 г. умер Сеченов Иван Михайлович		Объект культурного наследия федерального значения
1369	Памятник революционеру Петру Добрынину, 1967 г.		Объект культурного наследия регионального значения
1370	Памятник А.А.Вишневскому, 1951 г., ск.С.Т.Коненков, арх. В.Е.Шалашов, бронза, гранит		Объект культурного наследия федерального значения
1371	Церковь Вознесения за Серпуховскими воротами, 1709-1763 гг.		Объект культурного наследия федерального значения
1372	Колокольня	Колокольня церкви Троицы в Серебряниках,1781 г., арх. К.И.Бланк. Церковь Троицы, XVII - XVIII вв.	Объект культурного наследия федерального значения
1373	Церковь	Колокольня церкви Троицы в Серебряниках,1781 г., арх. К.И.Бланк. Церковь Троицы, XVII - XVIII вв.	Объект культурного наследия федерального значения
1374	Часовня "Проща" Спасо-Андроникова монастыря, 1889-1890 гг., архитектор А.А.Латков. Памятный знак на месте прощания прп. Сергия Радонежского во время его путешествия в 1365 г. в Нижний Новгород с игуменом Андроником		Объект культурного наследия регионального значения
1375	Дом	Церковь Ваганьковского кладбища и два дома при въезде на кладбище, 1822 г., арх. А.Ф.Элькинский	Объект культурного наследия федерального значения
1376	Дом	Церковь Ваганьковского кладбища и два дома при въезде на кладбище, 1822 г., арх. А.Ф.Элькинский	Объект культурного наследия федерального значения
1377	Церковь	Церковь Ваганьковского кладбища и два дома при въезде на кладбище, 1822 г., арх. А.Ф.Элькинский	Объект культурного наследия федерального значения
1378	Церковь Армянского кладбища, начало XIX в., арх. А.Г.Григорьев		Объект культурного наследия федерального значения
1379	Перронный зал	Станция Московского метрополитена Арбатско-Покровской линии "Электрозаводская", 1944 г., арх. Гельфрейх В.Г., Рожин И.Е. (при участии Копланского П., Шагуриной Л.А.), скульптор Мотовилов Г.М.	Объект культурного наследия регионального значения
1380	наземный вестибюль	Станция Московского метрополитена Арбатско-Покровской линии "Электрозаводская", 1944 г., арх. Гельфрейх В.Г., Рожин И.Е. (при участии Копланского П., Шагуриной Л.А.), скульптор Мотовилов Г.М.	Объект культурного наследия регионального значения
1381	Станция Московского метрополитена Арбатско-Покровской линии "Электрозаводская", 1944 г., арх. Гельфрейх В.Г., Рожин И.Е. (при участии Копланского П., Шагуриной Л.А.), скульптор Мотовилов Г.М.		Объект культурного наследия регионального значения
1382	Доходный дом А.И. Коптева, 1888 г., архитектор В.Н. Карнеев		Объект культурного наследия регионального значения
1383	Здание бывшей конторы "Новосухаревского рынка", 1927-29 гг., арх. К.С.Мельников		Объект культурного наследия регионального значения
1384	Жилой дом, конец XVIII в.		Объект культурного наследия федерального значения
1385	Дом	Комплекс домов страхового общества "Россия", 1899 г.	Объект культурного наследия федерального значения
1386	Церковь Троицы в Листах, 1651-1661 гг.		Объект культурного наследия федерального значения
1387	Здание бывшей Хлебной биржи, в которой в 1918-1920 гг. Ленин Владимир Ильич неоднократно выступал на различных собраниях и митингах		Объект культурного наследия федерального значения
1388	Дом жилой	Городская усадьба, первая половина XIX в.	Объект культурного наследия регионального значения
1389	Дом жилой с лавками	Городская усадьба, первая половина XIX в.	Объект культурного наследия регионального значения
1390	Боковой флигель, XIX в.	Ансамбль Сущевской части, нач. XIX в.	Объект культурного наследия регионального значения
1391	Боковой флигель, XIX в.	Ансамбль Сущевской части, нач. XIX в.	Объект культурного наследия регионального значения
1392	Главное здание Сущевской части, XIX в.		Объект культурного наследия федерального значения
1393	Усадьба "Салтыкова" (7.9 Га) парк		Объект культурного наследия регионального значения
1394	Дом Толстых (деревянный), конец XVIII в.		Объект культурного наследия федерального значения
1395	Церковь Покрова, 1672 г.	Усадьба П.С.Щербатова, XVII-XIX вв.	Объект культурного наследия федерального значения
1396	Дом жилой, XIX в.		Объект культурного наследия федерального значения
1397	Дом жилой, XIX в.		Объект культурного наследия федерального значения
1398	Ворота пилоны ворот	Военно-хозяйственные склады, конец XVIII в.	Объект культурного наследия федерального значения
1399	Южный склад	Военно-хозяйственные склады, конец XVIII в. Склады старого двора	Объект культурного наследия федерального значения
1400	Северный склад	Военно-хозяйственные склады, конец XVIII в. Склады старого двора	Объект культурного наследия федерального значения
1401	Палаты, XVII в.		Объект культурного наследия федерального значения
1402	Дом, конец XVIII начало XIX вв.		Объект культурного наследия федерального значения
1403	Дом жилой. Здесь в квартире инженера и государственного деятеля Кржижановского Г.М. в 1920 г. бывал Ленин В.И. Кон. XIX нач. ХХ вв.		Объект культурного наследия регионального значения
1404	Колокольня, 1806 г.	Церковь Георгия в Яндове, 1654 г. Колокольня, 1806 г.	Объект культурного наследия федерального значения
1405	Надворные постройки: два боковых флигеля и центральный Флигель с проездом (быв. Каретный сарай)	Опекунский совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1406	Главный корпус с интерьерами и двумя боковыми корпусами, начало XIX в. Южный боковой корпус	Опекунский Совет, 1814-1825 гг.	Объект культурного наследия федерального значения
1407	наземный вестибюль	Станция Московского метрополитена Арбатско-Покровской линии "Семеновская" (до 1961 г. - "Сталинская"), 1944 г., архитектор Кравец С.М., скульпторы Венцель Н.К., Мухина В.И., художник Ахметьев Б.П.	Объект культурного наследия регионального значения
1408	Перронный зал	Станция Московского метрополитена Арбатско-Покровской линии "Семеновская" (до 1961 г. - "Сталинская"), 1944 г., архитектор Кравец С.М., скульпторы Венцель Н.К., Мухина В.И., художник Ахметьев Б.П.	Объект культурного наследия регионального значения
1409	Станция Московского метрополитена Арбатско-Покровской линии "Семеновская" (до 1961 г. "Сталинская"), 1944 г., архитектор Кравец С.М., скульпторы Венцель Н.К., Мухина В.И., художник Ахметьев Б.П.		Объект культурного наследия регионального значения
1410	корпус служб	Городская усадьба (Носова), XIX в.	Объект культурного наследия регионального значения
1411	Главный дом	Городская усадьба (Носова), XIX в.	Объект культурного наследия регионального значения
1412	Городская усадьба (Носова), XIX в.		Объект культурного наследия регионального значения
1413	Городская усадьба (Носова), XIX в.		Объект культурного наследия регионального значения
1414	Церковь	Церковь Георгия в Яндове, 1654 г. Колокольня, 1806 г.	Объект культурного наследия федерального значения
1415	Бюст М.И.Авербаха, 1952 г., скульп. Меркуров С.Д., арх. Француз И.А., бронза, гранит		Объект культурного наследия федерального значения
1416	Здание Института глазных болезней им. Гельмгольца, нач. XX в.		Объект культурного наследия федерального значения
1417	Служебный корпус Яузской части, кон. XVIII нач. XIX вв.	Полицейская Яузская часть, кон. XVIII - нач. XIX вв.	Объект культурного наследия федерального значения
1418	Служебный корпус Яузской части, кон. XVIII нач. XIX вв.	Полицейская Яузская часть, кон. XVIII - нач. XIX вв.	Объект культурного наследия федерального значения
1419	Театральный флигель городской усадьбы Алексеевых, в которой с 1863 по 1903 гг. жил выдающийся режиссер, актер и К.С.Станиславский. Здесь в 1883-1888 гг. проходили спектакли знаменитого "Алексеевского драматического кружка		Объект культурного наследия регионального значения
1420	Ограда	Городская усадьба, конец XIX - начало ХХ вв.	Объект культурного наследия федерального значения
1421	Гранитная Ограда по улице	Городская усадьба, конец XIX - начало ХХ вв.	Объект культурного наследия федерального значения
1422	Здание Московского уездного Совета, в котором 17 мая 1919 г. Ленин Владимир Ильич выступил на V Московском чрезвычайном уездном съезде Советов		Объект культурного наследия федерального значения
1423	Особняк, 1908 г., арх. А. Правдин		Объект культурного наследия регионального значения
1424	Административно-жилое здание, 1949-1953 гг., арх. Душкин А.Н., Мезенцев Б.С.		Объект культурного наследия регионального значения
1425	Доходный дом, 1904 г., архитектор О.О.Шишковский	Доходные дома купца Ф.И.Афремова, нач XX в.	Объект культурного наследия регионального значения
1426	Здание  Наркомзема: ныне Министерство сельского хозяйства СССР, 1928-1933 гг., арх. Щусев А.В.		Объект культурного наследия регионального значения
1427	Дом Мамонтова с двухэтажной квартирой худ. М.А.Врубеля, построенной по его проекту в 1891-1892 гг. В доме два майоликовых камина и две печи, сделанные по эскизам Врубеля		Объект культурного наследия федерального значения
1428	Ограда, XIX в.	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1429	Ретирада	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1430	Ретирада	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1431	Солдатский корпус № 4	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1432	Церковь Спасская, 1714 г.		Объект культурного наследия федерального значения
1433	Усадьба "Терлецких" (6.3 га) парк		Объект культурного наследия регионального значения
1434	Ротонда	Усадьба П.С.Щербатова, XVII-XIX вв.	Объект культурного наследия федерального значения
1435	Парк	Усадьба П.С.Щербатова, XVII-XIX вв.	Объект культурного наследия федерального значения
1436	Главный дом, XVIII в.	Усадьба П.С.Щербатова, XVII-XIX вв.	Объект культурного наследия федерального значения
1437	Палаты гостя Сверчковa, XVII в.		Объект культурного наследия федерального значения
1438	Дом, начало XIX в., с пилонами ворот		Объект культурного наследия федерального значения
1439	Бюст маршала Ф.И.Толбухина, 1959 г., ск. Л.Е.Кербель, арх. Г.А.Захаров; бронза, лабрадорит		Объект культурного наследия федерального значения
1440	Самотечный бульвар (7.0 Га)		Объект культурного наследия регионального значения
1441	Самотечный бульвар (7.0 Га)		Объект культурного наследия регионального значения
1442	Бюст дважды Героя Советского Союза В.И.Попкова, 1953 г., ск. Л.Е.Кербель, арх. Л.Г.Голубовский, бронза, гранит		Объект культурного наследия регионального значения
1443	Введенская Церковь	Введенская единоверческая община, начало XIX в.	Объект культурного наследия федерального значения
1444	Троицкая Церковь	Введенская единоверческая община, начало XIX в.	Объект культурного наследия федерального значения
1445	Введенская единоверческая община, начало XIX в.		Объект культурного наследия федерального значения
1446	Введенская единоверческая община, начало XIX в.		Объект культурного наследия федерального значения
1447	Солдатский корпус № 3	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1448	Солдатский корпус № 2 со стеной оградой по Спасской улице	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1449	Боковой флигель, начало XIX в.	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1450	Дом Н.И.Новикова (И.С.Гендрикова), 1775 г., по проекту арх. В.И.Баженова. Построен арх. Н.Н.Леграном главный дом	Комплекс Спасских казарм, 1798 г., 1842 г.	Объект культурного наследия федерального значения
1451	Жилой дом, начало XIX в.		Объект культурного наследия федерального значения
1452	Декоративные часы из металла с движущимися элементами на фасаде Центрального государственного театра кукол, 1970 г., скульптор Шаховской Д.М., Шимес П.М., медь кованая	Театр кукол Образцова С.В. Комплекс. 1970-1980 гг. Арх. Ю.Н.Шевердяев, О.М.Гарсиа, А.П.Мелихов, В.И.Уткин, констр. Н.И.Журавлева, Б.А.Новиков. Здесь в 1970-1992 гг. работал театральный деятель, актер и режиссер, народный артист СССР С.В.Образцов	Объект культурного наследия регионального значения
1453	Доходный дом, 1901 г., арх. А.Чижиков		Объект культурного наследия регионального значения
