streetname,areaid,okrug,area
Краснобогатырская улица,34,ВАО,Район Преображенское
Большой Трёхсвятительский переулок,13,ЦАО,Басманный район
Лермонтовская улица,34,ВАО,Район Преображенское
Медовый переулок,34,ВАО,Район Преображенское
Новый проезд,34,ВАО,Район Преображенское
Окружной проезд,34,ВАО,Район Преображенское
Открытое шоссе,34,ВАО,Район Преображенское
Палочный переулок,34,ВАО,Район Преображенское
Потешная улица,34,ВАО,Район Преображенское
Преображенская набережная,34,ВАО,Район Преображенское
Преображенская площадь,34,ВАО,Район Преображенское
Преображенская улица,34,ВАО,Район Преображенское
Малый Трёхсвятительский переулок,13,ЦАО,Басманный район
улица Преображенский Вал,34,ВАО,Район Преображенское
Проектируемый проезд N 951,34,ВАО,Район Преображенское
Просторная улица,34,ВАО,Район Преображенское
1-я Пугачёвская улица,34,ВАО,Район Преображенское
2-я Пугачёвская улица,34,ВАО,Район Преображенское
Малая Семёновская улица,34,ВАО,Район Преображенское
Страховская улица,34,ВАО,Район Преображенское
1-й Суворовский переулок,34,ВАО,Район Преображенское
Суворовская улица,34,ВАО,Район Преображенское
улица Титова,34,ВАО,Район Преображенское
Малый Гавриков переулок,13,ЦАО,Басманный район
Тюменская улица,34,ВАО,Район Преображенское
Фигурный переулок,34,ВАО,Район Преображенское
Халтуринская улица,34,ВАО,Район Преображенское
Халтуринский проезд,34,ВАО,Район Преображенское
улица Хромова,34,ВАО,Район Преображенское
Большая Черкизовская улица,34,ВАО,Район Преображенское
Малая Черкизовская улица,34,ВАО,Район Преображенское
3-я Черкизовская улица,34,ВАО,Район Преображенское
набережная Шитова,34,ВАО,Район Преображенское
Электрозаводская улица,34,ВАО,Район Преображенское
Большой Казённый переулок,13,ЦАО,Басманный район
1-й Электрозаводский переулок,34,ВАО,Район Преображенское
2-й Электрозаводский переулок,34,ВАО,Район Преображенское
Матросский мост,34,ВАО,Район Преображенское
Малое кольцо Московской железной дороги (МКМЖД),34,ВАО,Район Преображенское
Глебовский мост,34,ВАО,Район Преображенское
Электрозаводский мост,34,ВАО,Район Преображенское
Московская Кольцевая Автодорога,35,ВАО,Район Северное Измайлово
Никитинская улица,35,ВАО,Район Северное Измайлово
3-я Парковая улица,35,ВАО,Район Северное Измайлово
5-я Парковая улица,35,ВАО,Район Северное Измайлово
Гарднеровский переулок,13,ЦАО,Басманный район
7-я Парковая улица,35,ВАО,Район Северное Измайлово
9-я Парковая улица,35,ВАО,Район Северное Измайлово
11-я Парковая улица,35,ВАО,Район Северное Измайлово
13-я Парковая улица,35,ВАО,Район Северное Измайлово
15-я Парковая улица,35,ВАО,Район Северное Измайлово
16-я Парковая улица,35,ВАО,Район Северное Измайлово
Сиреневый бульвар,35,ВАО,Район Северное Измайлово
площадь Соловецких Юнг,35,ВАО,Район Северное Измайлово
улица Константина Федина,35,ВАО,Район Северное Измайлово
Щёлковский проезд,35,ВАО,Район Северное Измайлово
Гольяновская улица,13,ЦАО,Басманный район
Щёлковское шоссе,35,ВАО,Район Северное Измайлово
"МКАД, 105-й километр",35,ВАО,Район Северное Измайлово
Барабанный переулок,36,ВАО,Район Соколиная Гора
улица Благуша,36,ВАО,Район Соколиная Гора
Борисовская улица,36,ВАО,Район Соколиная Гора
проспект Будённого,36,ВАО,Район Соколиная Гора
Буракова улица,36,ВАО,Район Соколиная Гора
Вельяминовская улица,36,ВАО,Район Соколиная Гора
Вольная улица,36,ВАО,Район Соколиная Гора
Вольный переулок,36,ВАО,Район Соколиная Гора
Гольяновский проезд,13,ЦАО,Басманный район
2-й Вольный переулок,36,ВАО,Район Соколиная Гора
Гаражная улица,36,ВАО,Район Соколиная Гора
улица Бориса Жигулёнкова,36,ВАО,Район Соколиная Гора
площадь Журавлёва,36,ВАО,Район Соколиная Гора
Верхний Журавлёв переулок,36,ВАО,Район Соколиная Гора
Нижний Журавлёв переулок,36,ВАО,Район Соколиная Гора
Зверинецкая улица,36,ВАО,Район Соколиная Гора
Золотая улица,36,ВАО,Район Соколиная Гора
улица Ибрагимова,36,ВАО,Район Соколиная Гора
Измайловская улица,36,ВАО,Район Соколиная Гора
Гороховский переулок,13,ЦАО,Басманный район
улица Измайловский Вал,36,ВАО,Район Соколиная Гора
Измайловское шоссе,36,ВАО,Район Соколиная Гора
3-й Кирпичный переулок,36,ВАО,Район Соколиная Гора
Кирпичная улица,36,ВАО,Район Соколиная Гора
1-й Кирпичный переулок,36,ВАО,Район Соколиная Гора
Лечебная улица,36,ВАО,Район Соколиная Гора
Мажоров переулок,36,ВАО,Район Соколиная Гора
Медовый переулок,36,ВАО,Район Соколиная Гора
Мироновская улица,36,ВАО,Район Соколиная Гора
Окружной проезд,36,ВАО,Район Соколиная Гора
Хитровский переулок,13,ЦАО,Басманный район
Семёновская площадь,36,ВАО,Район Соколиная Гора
Большая Семёновская улица,36,ВАО,Район Соколиная Гора
Малая Семёновская улица,36,ВАО,Район Соколиная Гора
улица Семёновский Вал,36,ВАО,Район Соколиная Гора
Семёновский переулок,36,ВАО,Район Соколиная Гора
Семёновский проезд,36,ВАО,Район Соколиная Гора
3-я улица Соколиной Горы,36,ВАО,Район Соколиная Гора
5-я улица Соколиной Горы,36,ВАО,Район Соколиная Гора
8-я улица Соколиной Горы,36,ВАО,Район Соколиная Гора
9-я улица Соколиной Горы,36,ВАО,Район Соколиная Гора
Госпитальная площадь,13,ЦАО,Басманный район
10-я улица Соколиной Горы,36,ВАО,Район Соколиная Гора
Ткацкая улица,36,ВАО,Район Соколиная Гора
улица Уткина,36,ВАО,Район Соколиная Гора
Фортунатовская улица,36,ВАО,Район Соколиная Гора
2-я Хапиловская улица,36,ВАО,Район Соколиная Гора
Щербаковская улица,36,ВАО,Район Соколиная Гора
Электродный проезд,36,ВАО,Район Соколиная Гора
Электрозаводская улица,36,ВАО,Район Соколиная Гора
шоссе Энтузиастов,36,ВАО,Район Соколиная Гора
проезд Энтузиастов,36,ВАО,Район Соколиная Гора
Госпитальная набережная,13,ЦАО,Басманный район
Малое кольцо Московской железной дороги (МКМЖД),36,ВАО,Район Соколиная Гора
Электрозаводский мост,36,ВАО,Район Соколиная Гора
Вешняковская улица,23,ВАО,Район Вешняки
Дворцовый проезд,23,ВАО,Район Вешняки
аллея Жемчуговой,23,ВАО,Район Вешняки
площадь Амилкара Кабрала,23,ВАО,Район Вешняки
Кетчерская улица,23,ВАО,Район Вешняки
Косинская улица,23,ВАО,Район Вешняки
улица Красный Казанец,23,ВАО,Район Вешняки
Кусковский просек,23,ВАО,Район Вешняки
Госпитальная улица,13,ЦАО,Басманный район
улица Молдагуловой,23,ВАО,Район Вешняки
Московская Кольцевая Автодорога,23,ВАО,Район Вешняки
3-я Музейная улица,23,ВАО,Район Вешняки
аллея Первой Маёвки,23,ВАО,Район Вешняки
Рассветная аллея,23,ВАО,Район Вешняки
Реутовская улица,23,ВАО,Район Вешняки
Снайперская улица,23,ВАО,Район Вешняки
улица Старый Гай,23,ВАО,Район Вешняки
улица Юности,23,ВАО,Район Вешняки
"МКАД, 4-й километр",23,ВАО,Район Вешняки
улица Госпитальный Вал,13,ЦАО,Басманный район
"МКАД, 5-й километр",23,ВАО,Район Вешняки
"МКАД, 6-й километр",23,ВАО,Район Вешняки
"МКАД, 7-й километр",23,ВАО,Район Вешняки
Измайловский бульвар,24,ВАО,Район Восточное Измайлово
Измайловский проспект,24,ВАО,Район Восточное Измайлово
Московская Кольцевая Автодорога,24,ВАО,Район Восточное Измайлово
9-я Парковая улица,24,ВАО,Район Восточное Измайлово
11-я Парковая улица,24,ВАО,Район Восточное Измайлово
12-я Парковая улица,24,ВАО,Район Восточное Измайлово
13-я Парковая улица,24,ВАО,Район Восточное Измайлово
Госпитальный переулок,13,ЦАО,Басманный район
14-я Парковая улица,24,ВАО,Район Восточное Измайлово
15-я Парковая улица,24,ВАО,Район Восточное Измайлово
16-я Парковая улица,24,ВАО,Район Восточное Измайлово
Первомайская улица,24,ВАО,Район Восточное Измайлово
Верхняя Первомайская улица,24,ВАО,Район Восточное Измайлово
Нижняя Первомайская улица,24,ВАО,Район Восточное Измайлово
Средняя Первомайская улица,24,ВАО,Район Восточное Измайлово
Первомайский проезд,24,ВАО,Район Восточное Измайлово
Сиреневый бульвар,24,ВАО,Район Восточное Измайлово
"МКАД, 106-й километр",24,ВАО,Район Восточное Измайлово
Малый Харитоньевский переулок,13,ЦАО,Басманный район
посёлок Акулово,33,ВАО,Район Восточный
посёлок Восточный,33,ВАО,Район Восточный
Главная улица,33,ВАО,Район Восточный
улица 9 Мая,33,ВАО,Район Восточный
Западная улица,33,ВАО,Район Восточный
Хвойная улица,33,ВАО,Район Восточный
Зелёный проспект,37,ВАО,Район Ивановское
Большой Купавенский проезд,37,ВАО,Район Ивановское
Малый Купавенский проезд,37,ВАО,Район Ивановское
Магнитогорская улица,37,ВАО,Район Ивановское
Девяткин переулок,13,ЦАО,Басманный район
улица Металлургов,37,ВАО,Район Ивановское
улица Молостовых,37,ВАО,Район Ивановское
Московская Кольцевая Автодорога,37,ВАО,Район Ивановское
Напольный проезд,37,ВАО,Район Ивановское
Прокатная улица,37,ВАО,Район Ивановское
Сапёрный проезд,37,ВАО,Район Ивановское
Саянская улица,37,ВАО,Район Ивановское
Свободный проспект,37,ВАО,Район Ивановское
улица Сталеваров,37,ВАО,Район Ивановское
Терлецкий проезд,37,ВАО,Район Ивановское
Большой Демидовский переулок,13,ЦАО,Басманный район
Федеративный проспект,37,ВАО,Район Ивановское
Фрязевская улица,37,ВАО,Район Ивановское
Челябинская улица,37,ВАО,Район Ивановское
улица Чечулина,37,ВАО,Район Ивановское
шоссе Энтузиастов,37,ВАО,Район Ивановское
"МКАД, 1-й километр",37,ВАО,Район Ивановское
"МКАД, 2-й километр",37,ВАО,Район Ивановское
"МКАД, 3-й километр",37,ВАО,Район Ивановское
"МКАД, 107-й километр",37,ВАО,Район Ивановское
"МКАД, 108-й километр",37,ВАО,Район Ивановское
Малый Демидовский переулок,13,ЦАО,Басманный район
"МКАД, 109-й километр",37,ВАО,Район Ивановское
Бабаевская улица,26,ВАО,Район Сокольники
улица Барболина,26,ВАО,Район Сокольники
улица Богатырский Мост,26,ВАО,Район Сокольники
Богородское шоссе,26,ВАО,Район Сокольники
1-я Боевская улица,26,ВАО,Район Сокольники
2-я Боевская улица,26,ВАО,Район Сокольники
улица Гастелло,26,ВАО,Район Сокольники
Егерская улица,26,ВАО,Район Сокольники
улица Жебрунова,26,ВАО,Район Сокольники
Денисовский переулок,13,ЦАО,Басманный район
Колодезная улица,26,ВАО,Район Сокольники
Колодезный переулок,26,ВАО,Район Сокольники
улица Короленко,26,ВАО,Район Сокольники
улица Лобачика,26,ВАО,Район Сокольники
Лосинский проезд,26,ВАО,Район Сокольники
1-й Лучевой просек,26,ВАО,Район Сокольники
2-й Лучевой просек,26,ВАО,Район Сокольники
3-й Лучевой просек,26,ВАО,Район Сокольники
4-й Лучевой просек,26,ВАО,Район Сокольники
5-й Лучевой просек,26,ВАО,Район Сокольники
Доброслободская улица,13,ЦАО,Басманный район
6-й Лучевой просек,26,ВАО,Район Сокольники
Ляминский проезд,26,ВАО,Район Сокольники
Майский просек,26,ВАО,Район Сокольники
Маленковская улица,26,ВАО,Район Сокольники
улица Матросская Тишина,26,ВАО,Район Сокольники
Большой Матросский переулок,26,ВАО,Район Сокольники
Микульский переулок,26,ВАО,Район Сокольники
Митьковский проезд,26,ВАО,Район Сокольники
улица Олений Вал,26,ВАО,Район Сокольники
Малый Олений переулок,26,ВАО,Район Сокольники
Дурасовский переулок,13,ЦАО,Басманный район
Олений проезд,26,ВАО,Район Сокольники
Большая Оленья улица,26,ВАО,Район Сокольники
Малая Оленья улица,26,ВАО,Район Сокольники
Большая Остроумовская улица,26,ВАО,Район Сокольники
Малая Остроумовская улица,26,ВАО,Район Сокольники
Охотничья улица,26,ВАО,Район Сокольники
Песочная аллея,26,ВАО,Район Сокольники
Песочный переулок,26,ВАО,Район Сокольники
1-й Полевой переулок,26,ВАО,Район Сокольники
2-й Полевой переулок,26,ВАО,Район Сокольники
Елизаветинский переулок,13,ЦАО,Басманный район
4-й Полевой переулок,26,ВАО,Район Сокольники
Поперечный просек,26,ВАО,Район Сокольники
Попов проезд,26,ВАО,Район Сокольники
Ростокинский проезд,26,ВАО,Район Сокольники
Рубцовско-Дворцовая улица,26,ВАО,Район Сокольники
Русаковская набережная,26,ВАО,Район Сокольники
Русаковская улица,26,ВАО,Район Сокольники
1-я Рыбинская улица,26,ВАО,Район Сокольники
2-я Рыбинская улица,26,ВАО,Район Сокольники
3-я Рыбинская улица,26,ВАО,Район Сокольники
Яковоапостольский переулок,13,ЦАО,Басманный район
Рыбинский переулок,26,ВАО,Район Сокольники
улица Сокольническая Слободка,26,ВАО,Район Сокольники
1-я Сокольническая улица,26,ВАО,Район Сокольники
2-я Сокольническая улица,26,ВАО,Район Сокольники
3-я Сокольническая улица,26,ВАО,Район Сокольники
4-я Сокольническая улица,26,ВАО,Район Сокольники
5-я Сокольническая улица,26,ВАО,Район Сокольники
Сокольнический Павильонный проезд,26,ВАО,Район Сокольники
проезд Сокольнического Круга,26,ВАО,Район Сокольники
улица Сокольнический Вал,26,ВАО,Район Сокольники
Елоховский проезд,13,ЦАО,Басманный район
Сокольнический переулок,26,ВАО,Район Сокольники
Сокольническая площадь,26,ВАО,Район Сокольники
Старослободская улица,26,ВАО,Район Сокольники
Старослободский переулок,26,ВАО,Район Сокольники
улица Стромынка,26,ВАО,Район Сокольники
Стромынский переулок,26,ВАО,Район Сокольники
Большая Тихоновская улица,26,ВАО,Район Сокольники
Малая Тихоновская улица,26,ВАО,Район Сокольники
улица Ширяево Поле,26,ВАО,Район Сокольники
Большая Ширяевская улица,26,ВАО,Район Сокольники
улица Жуковского,13,ЦАО,Басманный район
Малая Ширяевская улица,26,ВАО,Район Сокольники
2-й Ширяевский переулок,26,ВАО,Район Сокольники
улица Шумкина,26,ВАО,Район Сокольники
Матросский мост,26,ВАО,Район Сокольники
Богатырский мост,26,ВАО,Район Сокольники
Глебовский мост,26,ВАО,Район Сокольники
Электрозаводский мост,26,ВАО,Район Сокольники
Бережковская набережная,38,ЗАО,Район Дорогомилово
1-я Бородинская улица,38,ЗАО,Район Дорогомилово
2-я Бородинская улица,38,ЗАО,Район Дорогомилово
улица Забелина,13,ЦАО,Басманный район
Брянская улица,38,ЗАО,Район Дорогомилово
1-й Брянский переулок,38,ЗАО,Район Дорогомилово
2-й Брянский переулок,38,ЗАО,Район Дорогомилово
улица Дениса Давыдова,38,ЗАО,Район Дорогомилово
Большая Дорогомиловская улица,38,ЗАО,Район Дорогомилово
Малая Дорогомиловская улица,38,ЗАО,Район Дорогомилово
площадь Дорогомиловская Застава,38,ЗАО,Район Дорогомилово
Дохтуровский переулок,38,ЗАО,Район Дорогомилово
улица Дунаевского,38,ЗАО,Район Дорогомилово
площадь Европы,38,ЗАО,Район Дорогомилово
площадь Земляной Вал,13,ЦАО,Басманный район
улица Генерала Ермолова,38,ЗАО,Район Дорогомилово
Киевская улица,38,ЗАО,Район Дорогомилово
площадь Киевского Вокзала,38,ЗАО,Район Дорогомилово
улица Кульнева,38,ЗАО,Район Дорогомилово
Кутузовский переулок,38,ЗАО,Район Дорогомилово
Кутузовский проезд,38,ЗАО,Район Дорогомилово
Кутузовский проспект,38,ЗАО,Район Дорогомилово
Минская улица,38,ЗАО,Район Дорогомилово
улица Можайский Вал,38,ЗАО,Район Дорогомилово
Можайский переулок,38,ЗАО,Район Дорогомилово
Малый Ивановский переулок,13,ЦАО,Басманный район
6-й Можайский переулок,38,ЗАО,Район Дорогомилово
1-й Можайский тупик,38,ЗАО,Район Дорогомилово
улица Неверовского,38,ЗАО,Район Дорогомилово
улица Потылиха,38,ЗАО,Район Дорогомилово
Платовская улица,38,ЗАО,Район Дорогомилово
площадь Победы,38,ЗАО,Район Дорогомилово
Поклонная улица,38,ЗАО,Район Дорогомилово
улица Раевского,38,ЗАО,Район Дорогомилово
Резервный проезд,38,ЗАО,Район Дорогомилово
Студенческая улица,38,ЗАО,Район Дорогомилово
1-й Ирининский переулок,13,ЦАО,Басманный район
улица 1812 Года,38,ЗАО,Район Дорогомилово
Украинский бульвар,38,ЗАО,Район Дорогомилово
улица Братьев Фонченко,38,ЗАО,Район Дорогомилово
набережная Тараса Шевченко,38,ЗАО,Район Дорогомилово
мост Богдана Хмельницкого,38,ЗАО,Район Дорогомилово
Новоарбатский мост,38,ЗАО,Район Дорогомилово
Малое кольцо Московской железной дороги (МКМЖД),38,ЗАО,Район Дорогомилово
мост Багратион,38,ЗАО,Район Дорогомилово
Лужнецкий мост,38,ЗАО,Район Дорогомилово
улица Алябьева,48,ЗАО,Район Филевский Парк
2-й Ирининский переулок,13,ЦАО,Басманный район
Багратионовский проезд,48,ЗАО,Район Филевский Парк
улица Барклая,48,ЗАО,Район Филевский Парк
Береговой проезд,48,ЗАО,Район Филевский Парк
улица Олеко Дундича,48,ЗАО,Район Филевский Парк
Заречная улица,48,ЗАО,Район Филевский Парк
Звенигородская улица,48,ЗАО,Район Филевский Парк
Кастанаевская улица,48,ЗАО,Район Филевский Парк
улица Василисы Кожиной,48,ЗАО,Район Филевский Парк
Крылатская улица,48,ЗАО,Район Филевский Парк
Минская улица,48,ЗАО,Район Филевский Парк
3-й Ирининский переулок,13,ЦАО,Басманный район
площадь Московско-Минской Дивизии,48,ЗАО,Район Филевский Парк
улица Мясищева,48,ЗАО,Район Филевский Парк
Новозаводская улица,48,ЗАО,Район Филевский Парк
Проектируемый проезд N 153,48,ЗАО,Район Филевский Парк
Промышленный проезд,48,ЗАО,Район Филевский Парк
площадь Ромена Роллана,48,ЗАО,Район Филевский Парк
Рублёвское шоссе,48,ЗАО,Район Филевский Парк
Сеславинская улица,48,ЗАО,Район Филевский Парк
Тучковская улица,48,ЗАО,Район Филевский Парк
Физкультурный проезд,48,ЗАО,Район Филевский Парк
улица Казакова,13,ЦАО,Басманный район
Филёвская набережная,48,ЗАО,Район Филевский Парк
Филёвский бульвар,48,ЗАО,Район Филевский Парк
Большая Филёвская улица,48,ЗАО,Район Филевский Парк
2-я Филёвская улица,48,ЗАО,Район Филевский Парк
3-я Филёвская улица,48,ЗАО,Район Филевский Парк
Крылатский мост,48,ЗАО,Район Филевский Парк
Шелепихинский мост,48,ЗАО,Район Филевский Парк
Аминьевское шоссе,49,ЗАО,Район Фили-Давыдково
улица Артамонова,49,ЗАО,Район Фили-Давыдково
улица Ватутина,49,ЗАО,Район Фили-Давыдково
Казарменный переулок,13,ЦАО,Басманный район
Ворошиловский парк,49,ЗАО,Район Фили-Давыдково
Давыдковская улица,49,ЗАО,Район Фили-Давыдково
улица Олеко Дундича,49,ЗАО,Район Фили-Давыдково
Житомирская улица,49,ЗАО,Район Фили-Давыдково
Звенигородская улица,49,ЗАО,Район Фили-Давыдково
Звенигородский переулок,49,ЗАО,Район Фили-Давыдково
Инициативная улица,49,ЗАО,Район Фили-Давыдково
Кастанаевская улица,49,ЗАО,Район Фили-Давыдково
улица Клочкова,49,ЗАО,Район Фили-Давыдково
Кременчугская улица,49,ЗАО,Район Фили-Давыдково
Старая Басманная улица,13,ЦАО,Басманный район
улица Герасима Курина,49,ЗАО,Район Фили-Давыдково
Кутузовский проспект,49,ЗАО,Район Фили-Давыдково
Минская улица,49,ЗАО,Район Фили-Давыдково
улица Пивченкова,49,ЗАО,Район Фили-Давыдково
Пинский проезд,49,ЗАО,Район Фили-Давыдково
улица Полосухина,49,ЗАО,Район Фили-Давыдково
площадь Ромена Роллана,49,ЗАО,Район Фили-Давыдково
Рублёвское шоссе,49,ЗАО,Район Фили-Давыдково
улица Алексея Свиридова,49,ЗАО,Район Фили-Давыдково
Славянский бульвар,49,ЗАО,Район Фили-Давыдково
Мясницкая улица,13,ЦАО,Басманный район
Староволынская улица,49,ЗАО,Район Фили-Давыдково
Староможайское шоссе,49,ЗАО,Район Фили-Давыдково
Тарутинская улица,49,ЗАО,Район Фили-Давыдково
Большая Филёвская улица,49,ЗАО,Район Фили-Давыдково
Малая Филёвская улица,49,ЗАО,Район Фили-Давыдково
улица Ивана Франко,49,ЗАО,Район Фили-Давыдково
Аминьевский мост,49,ЗАО,Район Фили-Давыдково
Давыдковский мост,49,ЗАО,Район Фили-Давыдково
площадь Защитников Неба,39,ЗАО,Район Крылатское
Крылатская улица,39,ЗАО,Район Крылатское
Мясницкий проезд,13,ЦАО,Басманный район
2-я Крылатская улица,39,ЗАО,Район Крылатское
улица Крылатские Холмы,39,ЗАО,Район Крылатское
посёлок Лесной,39,ЗАО,Район Крылатское
Московская Кольцевая Автодорога,39,ЗАО,Район Крылатское
Осенняя улица,39,ЗАО,Район Крылатское
Островная улица,39,ЗАО,Район Крылатское
Островной проезд,39,ЗАО,Район Крылатское
Проектируемый проезд N 369,39,ЗАО,Район Крылатское
Рублёвское шоссе,39,ЗАО,Район Крылатское
посёлок Сосновка,39,ЗАО,Район Крылатское
Большой Козловский переулок,13,ЦАО,Басманный район
Осенний бульвар,39,ЗАО,Район Крылатское
посёлок Екатериновка,39,ЗАО,Район Крылатское
"МКАД, 60-й километр",39,ЗАО,Район Крылатское
Северо-Западный тоннель,39,ЗАО,Район Крылатское
Крылатский мост,39,ЗАО,Район Крылатское
Бобруйская улица,40,ЗАО,Район Кунцево
улица Боженко,40,ЗАО,Район Кунцево
улица Василия Ботылева,40,ЗАО,Район Кунцево
улица Екатерины Будановой,40,ЗАО,Район Кунцево
Ельнинская улица,40,ЗАО,Район Кунцево
Малый Козловский переулок,13,ЦАО,Басманный район
Истринская улица,40,ЗАО,Район Кунцево
улица Коцюбинского,40,ЗАО,Район Кунцево
Крылатская улица,40,ЗАО,Район Кунцево
1-я Крылатская улица,40,ЗАО,Район Кунцево
Кунцевская улица,40,ЗАО,Район Кунцево
Молдавская улица,40,ЗАО,Район Кунцево
Молодогвардейская улица,40,ЗАО,Район Кунцево
Москворецкая улица,40,ЗАО,Район Кунцево
Московская Кольцевая Автодорога,40,ЗАО,Район Кунцево
1-я Мякининская улица,40,ЗАО,Район Кунцево
Колпачный переулок,13,ЦАО,Басманный район
2-я Мякининская улица,40,ЗАО,Район Кунцево
3-я Мякининская улица,40,ЗАО,Район Кунцево
4-я Мякининская улица,40,ЗАО,Район Кунцево
5-я Мякининская улица,40,ЗАО,Район Кунцево
Набережная улица,40,ЗАО,Район Кунцево
Новолучанская улица,40,ЗАО,Район Кунцево
посёлок Новорублёво,40,ЗАО,Район Кунцево
Новорублёвская улица,40,ЗАО,Район Кунцево
2-я Новорублёвская улица,40,ЗАО,Район Кунцево
Обводное шоссе,40,ЗАО,Район Кунцево
Большой Златоустинский переулок,13,ЦАО,Басманный район
Оршанская улица,40,ЗАО,Район Кунцево
улица Академика Павлова,40,ЗАО,Район Кунцево
Партизанская улица,40,ЗАО,Район Кунцево
площадь Академика Петрова,40,ЗАО,Район Кунцево
Полоцкая улица,40,ЗАО,Район Кунцево
посёлок Рублёво,40,ЗАО,Район Кунцево
Рублёво-Успенское шоссе,40,ЗАО,Район Кунцево
Рублёвская улица,40,ЗАО,Район Кунцево
Рублёвское шоссе,40,ЗАО,Район Кунцево
Советская улица,40,ЗАО,Район Кунцево
Малый Златоустинский переулок,13,ЦАО,Басманный район
Старолучанская улица,40,ЗАО,Район Кунцево
улица Маршала Тимошенко,40,ЗАО,Район Кунцево
улица Леси Украинки,40,ЗАО,Район Кунцево
улица Ивана Франко,40,ЗАО,Район Кунцево
3-я Черепковская улица,40,ЗАО,Район Кунцево
Ярцевская улица,40,ЗАО,Район Кунцево
"МКАД, 57-й километр",40,ЗАО,Район Кунцево
"МКАД, 58-й километр",40,ЗАО,Район Кунцево
"МКАД, 59-й километр",40,ЗАО,Район Кунцево
улица Петра Алексеева,41,ЗАО,Можайский Район
Кондрашёвский тупик,13,ЦАО,Басманный район
1-й переулок Петра Алексеева,41,ЗАО,Можайский Район
2-й переулок Петра Алексеева,41,ЗАО,Можайский Район
Аминьевское шоссе,41,ЗАО,Можайский Район
улица Багрицкого,41,ЗАО,Можайский Район
Барвихинская улица,41,ЗАО,Можайский Район
Беловежская улица,41,ЗАО,Можайский Район
Верейская улица,41,ЗАО,Можайский Район
улица Вересаева,41,ЗАО,Можайский Район
Витебская улица,41,ЗАО,Можайский Район
Вяземская улица,41,ЗАО,Можайский Район
Нижняя Красносельская улица,13,ЦАО,Басманный район
Гвардейская улица,41,ЗАО,Можайский Район
Гжатская улица,41,ЗАО,Можайский Район
улица Говорова,41,ЗАО,Можайский Район
улица Горбунова,41,ЗАО,Можайский Район
улица Гришина,41,ЗАО,Можайский Район
Гродненская улица,41,ЗАО,Можайский Район
Дорогобужская улица,41,ЗАО,Можайский Район
2-й Дорогобужский переулок,41,ЗАО,Можайский Район
улица Генерала Дорохова,41,ЗАО,Можайский Район
проезд Загорского,41,ЗАО,Можайский Район
площадь Красные Ворота,13,ЦАО,Басманный район
Запорожская улица,41,ЗАО,Можайский Район
Козлова улица,41,ЗАО,Можайский Район
улица Красных Зорь,41,ЗАО,Можайский Район
улица Кубинка,41,ЗАО,Можайский Район
улица Кутузова,41,ЗАО,Можайский Район
Можайское шоссе,41,ЗАО,Можайский Район
Московская Кольцевая Автодорога,41,ЗАО,Можайский Район
улица Маршала Неделина,41,ЗАО,Можайский Район
улица Ращупкина,41,ЗАО,Можайский Район
Рябиновая улица,41,ЗАО,Можайский Район
Кривоколенный переулок,13,ЦАО,Басманный район
Сафоновская улица,41,ЗАО,Можайский Район
Сколковское шоссе,41,ЗАО,Можайский Район
проезд Толбухина,41,ЗАО,Можайский Район
улица Толбухина,41,ЗАО,Можайский Район
Троекуровский проезд,41,ЗАО,Можайский Район
Тюльпанная улица,41,ЗАО,Можайский Район
"МКАД, 53-й километр",41,ЗАО,Можайский Район
"МКАД, 54-й километр",41,ЗАО,Можайский Район
"МКАД, 55-й километр",41,ЗАО,Можайский Район
"МКАД, 56-й километр",41,ЗАО,Можайский Район
площадь Цезаря Куникова,13,ЦАО,Басманный район
Аминьевский мост,41,ЗАО,Можайский Район
Багрицкий мост,41,ЗАО,Можайский Район
Дорогобужский мост,41,ЗАО,Можайский Район
Боровское шоссе,42,ЗАО,Район Ново-Переделкино
1-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
2-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
3-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
4-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
5-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
6-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
площадь Курского Вокзала,13,ЦАО,Басманный район
7-я улица Лазенки,42,ЗАО,Район Ново-Переделкино
1-я улица Лукино,42,ЗАО,Район Ново-Переделкино
2-я улица Лукино,42,ЗАО,Район Ново-Переделкино
Лукинская улица,42,ЗАО,Район Ново-Переделкино
улица Скульптора Мухиной,42,ЗАО,Район Ново-Переделкино
Новоорловская улица,42,ЗАО,Район Ново-Переделкино
Новопеределкинская улица,42,ЗАО,Район Ново-Переделкино
Парковая улица,42,ЗАО,Район Ново-Переделкино
Приречная улица,42,ЗАО,Район Ново-Переделкино
1-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
Ладожская улица,13,ЦАО,Басманный район
2-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
3-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
4-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
5-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
6-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
7-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
8-я улица Новые Сады,42,ЗАО,Район Ново-Переделкино
